ticker_code,company_name,company_full_name,sector,exchange
DPG,Dat Phuong JSC,Công ty Cổ phần Đạt Phương,Construction & Materials,HOSTC
DPH,HAIPHARCO,Công ty cổ phần Dược phẩm Hải Phòng,Health Care,UPCOM
DPM,PVFCCO,Tổng Công ty Cổ phần Phân bón và Hóa chất dầu khí,Chemicals,HOSTC
DPP,DONAIPHARM,Công ty Cổ phần Dược Đồng Nai,Health Care,UPCOM
DPR,DORUCO,Công ty Cổ phần Cao su Đồng Phú,Chemicals,HOSTC
DPS,"SOC SON INVEST.,JSC",Công ty Cổ phần Đầu tư Phát triển Sóc Sơn,Basic Resources,HNX
DQC,DQ JSC,Công ty Cổ phần Bóng đèn Điện Quang,Industrial Goods & Services,HOSTC
DRC,DRC,Công ty Cổ phần Cao Su Đà Nẵng,Automobiles & Parts,HOSTC
DRH,DRH Holdings,Công ty Cổ phần DRH Holdings,Real Estate,HOSTC
DRI,Đầu tư cao su Đắk Lắk,Công ty Cổ phần Đầu tư cao su Đắk Lắk,Chemicals,UPCOM
