DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,38.45,ABT,38.45,38.45,38.45,20.00
25/04/2019,38.00,ABT,38.00,38.00,38.00,100.00
24/04/2019,38.00,ABT,38.00,38.00,38.00,0.00
23/04/2019,38.00,ABT,38.00,38.00,38.00,250.00
22/04/2019,38.00,ABT,38.00,38.00,38.00,0.00
19/04/2019,38.00,ABT,39.10,39.10,38.00,3050.00
18/04/2019,39.60,ABT,39.60,39.60,39.60,0.00
17/04/2019,39.60,ABT,40.00,40.00,39.60,260.00
16/04/2019,40.00,ABT,40.00,40.00,40.00,140.00
12/04/2019,40.00,ABT,40.00,40.00,40.00,0.00
11/04/2019,40.00,ABT,40.00,40.05,40.00,940.00
10/04/2019,40.00,ABT,40.00,40.00,40.00,0.00
09/04/2019,40.00,ABT,40.50,40.50,40.00,260.00
08/04/2019,40.00,ABT,39.75,41.30,39.75,1200.00
05/04/2019,40.00,ABT,40.00,40.00,40.00,20.00
04/04/2019,40.00,ABT,40.00,40.00,40.00,1050.00
03/04/2019,40.00,ABT,40.70,40.70,40.00,1280.00
02/04/2019,40.70,ABT,40.80,40.80,39.60,90.00
01/04/2019,40.00,ABT,40.00,40.00,39.60,3660.00
29/03/2019,42.50,ABT,42.50,42.50,40.00,2180.00
28/03/2019,41.00,ABT,43.00,43.00,40.00,2150.00
27/03/2019,42.50,ABT,43.00,43.00,41.00,3150.00
26/03/2019,43.50,ABT,43.00,43.50,43.00,30.00
25/03/2019,40.80,ABT,40.80,40.80,40.80,70.00
22/03/2019,41.00,ABT,41.00,41.00,41.00,200.00
21/03/2019,40.60,ABT,41.00,41.00,40.50,1040.00
20/03/2019,40.10,ABT,41.05,41.05,40.10,5000.00
19/03/2019,41.05,ABT,41.05,41.05,41.05,20.00
18/03/2019,42.50,ABT,42.50,42.50,42.50,0.00
15/03/2019,42.50,ABT,42.50,42.50,42.50,170.00
14/03/2019,41.65,ABT,42.00,42.50,41.65,6270.00
13/03/2019,41.50,ABT,41.50,41.50,41.50,0.00
12/03/2019,41.50,ABT,41.50,41.50,41.50,0.00
11/03/2019,41.50,ABT,42.50,42.50,41.50,560.00
08/03/2019,42.90,ABT,42.90,42.90,42.90,110.00
07/03/2019,42.95,ABT,42.50,42.95,41.55,70.00
06/03/2019,43.00,ABT,43.00,43.00,43.00,10.00
05/03/2019,43.45,ABT,43.45,43.45,43.45,10.00
04/03/2019,43.00,ABT,43.00,43.00,43.00,270.00
01/03/2019,43.00,ABT,42.50,43.50,42.50,370.00
28/02/2019,42.50,ABT,43.50,43.50,42.50,1010.00
27/02/2019,44.00,ABT,44.30,44.30,44.00,360.00
26/02/2019,43.00,ABT,43.50,43.50,43.00,220.00
25/02/2019,43.95,ABT,43.95,43.95,43.95,80.00
22/02/2019,43.95,ABT,44.45,44.45,43.95,20.00
21/02/2019,43.00,ABT,43.50,43.50,43.00,370.00
20/02/2019,43.50,ABT,45.00,45.00,43.50,30.00
19/02/2019,45.00,ABT,43.00,45.00,43.00,570.00
18/02/2019,45.00,ABT,45.00,45.00,44.00,5040.00
15/02/2019,45.00,ABT,46.50,46.50,44.00,1670.00
14/02/2019,45.50,ABT,45.50,45.50,45.50,0.00
13/02/2019,45.50,ABT,45.50,45.50,44.10,1250.00
12/02/2019,46.00,ABT,46.00,46.00,46.00,2880.00
11/02/2019,44.00,ABT,44.00,44.00,44.00,40.00
01/02/2019,43.10,ABT,43.10,43.10,43.10,0.00
31/01/2019,43.10,ABT,46.00,46.00,43.10,30.00
30/01/2019,44.50,ABT,44.50,44.50,44.50,20.00
29/01/2019,44.50,ABT,45.00,45.00,44.50,30.00
28/01/2019,45.00,ABT,44.50,45.00,44.50,50.00
25/01/2019,44.50,ABT,44.50,44.50,44.50,600.00
24/01/2019,45.00,ABT,45.00,45.00,45.00,0.00
23/01/2019,45.00,ABT,45.00,45.00,45.00,0.00
22/01/2019,45.00,ABT,42.00,45.00,42.00,640.00
21/01/2019,43.00,ABT,43.00,43.00,43.00,1000.00
18/01/2019,44.00,ABT,43.00,44.00,43.00,3010.00
17/01/2019,43.00,ABT,43.00,43.00,43.00,0.00
16/01/2019,43.00,ABT,43.00,43.00,43.00,10.00
15/01/2019,43.00,ABT,42.70,43.00,42.70,2150.00
14/01/2019,42.50,ABT,42.90,42.90,42.50,3470.00
11/01/2019,42.95,ABT,42.95,42.95,42.95,0.00
10/01/2019,42.95,ABT,41.50,43.00,41.50,400.00
09/01/2019,42.90,ABT,41.00,42.90,41.00,2100.00
08/01/2019,40.65,ABT,41.00,42.20,40.65,1160.00
07/01/2019,39.50,ABT,39.00,40.65,38.50,2460.00
04/01/2019,38.00,ABT,37.00,38.00,36.00,680.00
03/01/2019,37.00,ABT,38.00,38.00,36.50,1330.00
02/01/2019,39.10,ABT,40.20,42.95,39.10,520.00
28/12/2018,40.20,ABT,41.00,41.80,40.20,1350.00
27/12/2018,42.30,ABT,42.00,42.30,39.60,1060.00
26/12/2018,39.55,ABT,41.00,43.60,39.55,240.00
25/12/2018,40.75,ABT,40.70,40.75,40.70,700.00
24/12/2018,43.00,ABT,41.40,43.20,41.40,710.00
21/12/2018,43.00,ABT,43.50,43.50,43.00,2430.00
20/12/2018,43.10,ABT,45.70,45.70,43.00,4070.00
19/12/2018,45.00,ABT,43.05,45.00,43.00,1110.00
18/12/2018,43.00,ABT,43.70,43.70,43.00,1420.00
17/12/2018,43.50,ABT,43.50,43.60,43.50,1530.00
14/12/2018,43.50,ABT,44.00,44.05,43.50,1080.00
13/12/2018,43.35,ABT,43.35,43.35,43.35,10.00
12/12/2018,45.00,ABT,43.10,45.00,43.10,1110.00
11/12/2018,43.25,ABT,43.10,43.25,43.10,2900.00
10/12/2018,44.50,ABT,43.00,44.50,43.00,1470.00
07/12/2018,45.45,ABT,42.30,45.45,42.30,200.00
06/12/2018,45.00,ABT,44.95,45.00,44.95,120.00
05/12/2018,43.10,ABT,43.05,43.10,43.05,20.00
04/12/2018,44.05,ABT,44.05,44.05,44.05,10.00
03/12/2018,45.00,ABT,43.10,45.00,43.10,4110.00
30/11/2018,43.10,ABT,45.00,45.00,43.10,70.00
29/11/2018,45.00,ABT,45.00,45.00,45.00,10.00
28/11/2018,44.60,ABT,44.60,45.00,44.60,200.00
27/11/2018,44.65,ABT,44.65,44.65,44.65,0.00
26/11/2018,44.65,ABT,47.00,47.00,44.55,1810.00
23/11/2018,47.00,ABT,46.00,47.00,46.00,600.00
22/11/2018,44.00,ABT,46.30,46.30,44.00,460.00
21/11/2018,43.65,ABT,46.90,46.90,43.65,1020.00
20/11/2018,46.90,ABT,46.85,46.90,46.80,1550.00
19/11/2018,44.10,ABT,47.95,47.95,44.10,1310.00
16/11/2018,46.90,ABT,46.85,46.90,46.85,1370.00
15/11/2018,44.05,ABT,46.50,46.90,44.05,1250.00
14/11/2018,44.05,ABT,44.20,44.20,44.05,2000.00
13/11/2018,47.35,ABT,46.95,47.35,46.95,1550.00
12/11/2018,47.35,ABT,47.45,47.45,46.50,4590.00
09/11/2018,46.50,ABT,42.00,46.50,42.00,1730.00
08/11/2018,45.00,ABT,42.20,45.00,42.20,2800.00
