DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,30.10,ACB,30.00,30.20,29.90,1123078.00
25/04/2019,30.00,ACB,30.10,30.40,29.90,745480.00
24/04/2019,30.10,ACB,29.70,30.20,29.50,1062284.00
23/04/2019,29.60,ACB,29.40,29.90,29.10,1651748.00
22/04/2019,29.30,ACB,29.70,29.70,29.10,1362678.00
19/04/2019,29.60,ACB,29.80,29.90,29.60,599302.00
18/04/2019,29.70,ACB,29.30,30.00,29.30,1019057.00
17/04/2019,29.90,ACB,30.10,30.30,29.90,688254.00
16/04/2019,30.00,ACB,30.20,30.20,29.80,1328836.00
12/04/2019,30.20,ACB,30.20,30.30,30.00,1051329.00
11/04/2019,30.30,ACB,30.60,30.60,30.10,905666.00
10/04/2019,30.20,ACB,30.30,30.50,30.20,868574.00
09/04/2019,30.50,ACB,30.80,31.00,30.50,1801683.00
08/04/2019,30.80,ACB,30.20,30.90,30.20,2224599.00
05/04/2019,30.20,ACB,30.20,30.40,30.10,767879.00
04/04/2019,30.20,ACB,29.90,30.30,29.90,1091143.00
03/04/2019,30.10,ACB,30.50,30.50,29.90,1394796.00
02/04/2019,30.30,ACB,30.50,30.70,30.30,1184570.00
01/04/2019,30.30,ACB,30.30,30.50,30.30,751744.00
29/03/2019,30.30,ACB,30.30,30.50,30.20,1915257.00
28/03/2019,30.30,ACB,30.40,30.50,30.20,1366727.00
27/03/2019,30.40,ACB,30.40,30.60,30.20,856984.00
26/03/2019,30.30,ACB,30.20,30.40,30.10,1540206.00
25/03/2019,30.10,ACB,30.40,30.40,29.90,2275202.00
22/03/2019,30.50,ACB,30.40,30.70,30.40,1819172.00
21/03/2019,30.40,ACB,31.00,31.40,30.40,2939770.00
20/03/2019,31.00,ACB,31.40,31.40,30.70,3143264.00
19/03/2019,31.30,ACB,32.00,32.00,31.20,2828856.00
18/03/2019,31.90,ACB,31.80,32.20,31.70,3739699.00
15/03/2019,31.70,ACB,31.60,31.80,31.30,2649931.00
14/03/2019,31.50,ACB,31.40,32.00,31.30,2333220.00
13/03/2019,31.40,ACB,31.10,31.70,30.90,5473410.00
12/03/2019,30.90,ACB,30.50,30.90,30.30,2504257.00
11/03/2019,30.40,ACB,30.30,30.60,30.20,1032198.00
08/03/2019,30.30,ACB,30.40,30.60,30.20,1416810.00
07/03/2019,30.50,ACB,30.40,30.70,30.30,3301746.00
06/03/2019,30.30,ACB,30.20,30.40,30.00,1178516.00
05/03/2019,30.30,ACB,30.40,30.70,30.10,2465893.00
04/03/2019,30.40,ACB,30.00,30.50,29.90,3120806.00
01/03/2019,30.00,ACB,29.80,30.10,29.50,1478830.00
28/02/2019,29.70,ACB,30.80,30.80,29.70,3793504.00
27/02/2019,30.60,ACB,30.80,30.90,30.50,1544839.00
26/02/2019,30.80,ACB,30.80,31.20,30.60,2277127.00
25/02/2019,31.00,ACB,30.70,31.40,30.50,3874034.00
22/02/2019,30.50,ACB,30.20,30.80,30.00,3974330.00
21/02/2019,30.10,ACB,30.40,30.70,30.10,2970459.00
20/02/2019,30.40,ACB,30.30,30.50,30.20,1693486.00
19/02/2019,30.30,ACB,30.50,30.50,30.20,2754758.00
18/02/2019,30.40,ACB,30.20,30.50,30.20,1908779.00
15/02/2019,30.20,ACB,30.10,30.40,30.00,2176902.00
14/02/2019,30.10,ACB,30.50,30.50,30.10,1357835.00
13/02/2019,30.50,ACB,30.60,30.70,30.30,2093177.00
12/02/2019,30.50,ACB,30.20,30.60,30.20,2059630.00
11/02/2019,30.20,ACB,29.80,30.90,29.60,1713857.00
01/02/2019,29.50,ACB,29.40,29.60,29.30,781100.00
31/01/2019,29.40,ACB,29.60,29.80,29.30,1674668.00
30/01/2019,29.30,ACB,31.00,31.00,29.00,1565464.00
29/01/2019,29.00,ACB,28.80,29.00,28.60,1091518.00
28/01/2019,28.90,ACB,29.20,29.30,28.00,997088.00
25/01/2019,29.20,ACB,29.80,29.80,29.10,836534.00
24/01/2019,29.20,ACB,29.20,29.50,29.00,1743450.00
23/01/2019,29.10,ACB,29.00,29.20,28.90,1160094.00
22/01/2019,29.10,ACB,29.70,29.80,29.10,1845725.00
21/01/2019,29.50,ACB,28.70,30.00,28.70,2079830.00
18/01/2019,28.60,ACB,29.00,29.00,28.40,1412966.00
17/01/2019,28.90,ACB,28.90,29.10,28.80,737519.00
16/01/2019,28.80,ACB,29.10,29.30,28.80,509354.00
15/01/2019,29.10,ACB,28.20,29.10,26.50,901146.00
14/01/2019,28.70,ACB,28.80,28.90,28.70,937155.00
11/01/2019,28.90,ACB,29.00,29.10,28.80,1250077.00
10/01/2019,28.90,ACB,29.00,29.10,28.90,1378687.00
09/01/2019,29.00,ACB,28.60,29.10,28.50,2196358.00
08/01/2019,28.50,ACB,31.40,31.40,28.50,846226.00
07/01/2019,28.70,ACB,28.90,28.90,28.50,1305819.00
04/01/2019,28.30,ACB,28.00,28.50,27.60,2771983.00
03/01/2019,28.10,ACB,26.30,29.10,26.30,1956382.00
02/01/2019,29.20,ACB,29.60,29.60,28.90,1103106.00
28/12/2018,29.60,ACB,29.50,29.60,29.00,2193351.00
27/12/2018,29.40,ACB,29.40,29.70,29.00,2409678.00
26/12/2018,28.70,ACB,26.00,29.00,26.00,1518665.00
25/12/2018,28.80,ACB,28.80,28.80,28.10,4310235.00
24/12/2018,29.00,ACB,28.00,29.50,28.00,2237789.00
21/12/2018,29.40,ACB,29.50,29.50,29.10,1670803.00
20/12/2018,29.60,ACB,29.40,29.70,29.30,1170804.00
19/12/2018,29.60,ACB,32.50,32.50,29.20,1319853.00
18/12/2018,29.60,ACB,29.40,29.60,29.00,2694145.00
17/12/2018,29.60,ACB,30.30,30.40,29.60,2746380.00
14/12/2018,30.40,ACB,30.70,30.70,30.40,2099130.00
13/12/2018,30.70,ACB,31.00,31.10,30.70,1772531.00
12/12/2018,30.90,ACB,30.30,30.90,30.30,1157684.00
11/12/2018,30.60,ACB,27.50,31.00,27.50,2484639.00
10/12/2018,30.50,ACB,30.50,30.90,29.90,2669530.00
07/12/2018,30.60,ACB,30.90,31.30,30.60,2288776.00
06/12/2018,30.80,ACB,30.80,31.30,30.60,3345040.00
05/12/2018,31.00,ACB,30.90,31.20,30.40,3447060.00
04/12/2018,31.10,ACB,31.30,31.60,30.80,2802120.00
03/12/2018,31.30,ACB,29.90,31.30,29.90,4691062.00
30/11/2018,29.80,ACB,27.50,30.10,27.50,2971296.00
29/11/2018,29.50,ACB,29.50,30.00,29.50,3544622.00
28/11/2018,29.40,ACB,26.80,29.50,26.80,3171523.00
27/11/2018,28.80,ACB,29.10,29.30,28.60,2599848.00
26/11/2018,29.10,ACB,28.50,29.10,28.50,1633057.00
23/11/2018,29.00,ACB,29.50,29.50,29.00,2688110.00
22/11/2018,29.40,ACB,29.90,30.10,29.10,4403748.00
21/11/2018,28.90,ACB,28.60,29.00,28.30,2458849.00
20/11/2018,28.90,ACB,29.00,29.00,28.60,2168097.00
19/11/2018,29.00,ACB,28.30,29.00,28.30,2238672.00
16/11/2018,28.50,ACB,27.50,28.90,27.50,3519615.00
15/11/2018,27.50,ACB,27.10,28.10,27.10,2698586.00
14/11/2018,27.60,ACB,28.20,28.50,27.40,3291576.00
13/11/2018,28.30,ACB,28.60,28.60,28.00,2753099.00
12/11/2018,28.70,ACB,28.70,28.80,28.30,1775059.00
09/11/2018,28.70,ACB,29.40,29.60,28.70,2981239.00
08/11/2018,29.40,ACB,29.70,30.00,29.30,2607660.00
07/11/2018,29.30,ACB,29.50,29.70,29.00,2944403.00
06/11/2018,29.40,ACB,30.20,30.40,29.40,2657882.00
05/11/2018,30.20,ACB,30.40,30.50,29.60,3088300.00
02/11/2018,30.40,ACB,29.50,30.40,29.50,4366028.00
01/11/2018,29.30,ACB,30.30,30.60,29.30,2904172.00
31/10/2018,30.30,ACB,28.60,30.30,28.60,4795396.00
30/10/2018,28.50,ACB,28.00,29.10,27.80,3626018.00
29/10/2018,28.00,ACB,28.30,28.40,27.50,3999762.00
26/10/2018,28.30,ACB,29.10,29.90,28.30,2884427.00
25/10/2018,28.90,ACB,28.90,29.40,27.60,5147562.00
24/10/2018,29.30,ACB,29.60,30.30,29.30,3420367.00
23/10/2018,29.60,ACB,30.80,30.80,29.50,4059421.00
22/10/2018,30.80,ACB,31.00,31.30,30.80,1648420.00
19/10/2018,31.00,ACB,30.90,32.00,30.20,2186199.00
18/10/2018,31.00,ACB,31.50,31.50,30.90,1691619.00
17/10/2018,31.50,ACB,31.70,32.00,31.40,2292759.00
16/10/2018,31.30,ACB,31.00,31.50,31.00,1942897.00
15/10/2018,31.00,ACB,32.20,32.20,31.00,2403128.00
12/10/2018,32.00,ACB,30.60,32.00,30.00,4923922.00
11/10/2018,31.00,ACB,33.30,33.30,30.40,9392018.00
10/10/2018,33.60,ACB,33.70,33.90,33.50,2803041.00
09/10/2018,33.70,ACB,33.70,33.90,33.60,3010019.00
08/10/2018,33.70,ACB,33.50,33.90,33.40,2175364.00
05/10/2018,33.60,ACB,34.00,34.20,33.60,4183777.00
04/10/2018,34.00,ACB,33.50,34.20,33.50,3180913.00
03/10/2018,33.50,ACB,34.00,34.00,33.20,1954922.00
02/10/2018,33.30,ACB,33.70,33.80,33.00,5220366.00
01/10/2018,33.70,ACB,34.10,34.40,33.70,3222310.00
28/09/2018,34.10,ACB,34.00,34.50,33.90,3783478.00
27/09/2018,33.90,ACB,33.90,34.10,33.70,2942652.00
26/09/2018,33.90,ACB,34.00,34.40,33.80,2915363.00
25/09/2018,34.00,ACB,34.20,34.60,34.00,3999558.00
24/09/2018,34.30,ACB,34.50,34.70,34.30,2805624.00
21/09/2018,34.40,ACB,33.90,34.40,33.80,7293427.00
20/09/2018,33.80,ACB,33.50,33.90,33.40,3473652.00
19/09/2018,33.50,ACB,33.60,33.90,33.40,2798730.00
18/09/2018,33.50,ACB,33.00,33.50,32.90,2411600.00
17/09/2018,33.20,ACB,33.70,33.70,33.20,1908269.00
14/09/2018,33.70,ACB,33.40,33.90,33.40,4140257.00
13/09/2018,33.40,ACB,33.00,33.80,32.90,6398577.00
