DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,0.50,ACM,0.60,0.70,0.50,525500.00
25/04/2019,0.60,ACM,0.60,0.60,0.60,0.00
24/04/2019,0.60,ACM,0.60,0.60,0.60,0.00
23/04/2019,0.60,ACM,0.60,0.60,0.60,0.00
22/04/2019,0.60,ACM,0.60,0.60,0.60,0.00
19/04/2019,0.60,ACM,0.50,0.60,0.40,1938600.00
18/04/2019,0.50,ACM,0.50,0.50,0.50,0.00
17/04/2019,0.50,ACM,0.50,0.50,0.50,0.00
16/04/2019,0.50,ACM,0.50,0.50,0.50,0.00
12/04/2019,0.50,ACM,0.50,0.60,0.50,1611500.00
11/04/2019,0.60,ACM,0.60,0.60,0.60,0.00
10/04/2019,0.60,ACM,0.60,0.60,0.60,0.00
09/04/2019,0.60,ACM,0.60,0.60,0.60,0.00
08/04/2019,0.60,ACM,0.60,0.60,0.60,0.00
05/04/2019,0.60,ACM,0.60,0.70,0.50,994100.00
04/04/2019,0.60,ACM,0.70,0.70,0.60,101700.00
03/04/2019,0.60,ACM,0.70,0.70,0.60,233700.00
02/04/2019,0.70,ACM,0.60,0.70,0.60,127300.00
01/04/2019,0.60,ACM,0.60,0.70,0.50,1326400.00
29/03/2019,0.60,ACM,0.60,0.70,0.60,71900.00
28/03/2019,0.70,ACM,0.70,0.70,0.60,58700.00
27/03/2019,0.60,ACM,0.70,0.70,0.60,139500.00
26/03/2019,0.70,ACM,0.60,0.70,0.60,26900.00
25/03/2019,0.60,ACM,0.60,0.70,0.60,137200.00
22/03/2019,0.70,ACM,0.70,0.70,0.60,99119.00
21/03/2019,0.70,ACM,0.60,0.70,0.60,70110.00
20/03/2019,0.70,ACM,0.70,0.70,0.60,99290.00
19/03/2019,0.70,ACM,0.70,0.80,0.70,140400.00
18/03/2019,0.80,ACM,0.70,0.80,0.60,501209.00
15/03/2019,0.70,ACM,0.70,0.80,0.70,751500.00
14/03/2019,0.80,ACM,0.70,0.80,0.60,248100.00
13/03/2019,0.70,ACM,0.80,0.80,0.70,232400.00
12/03/2019,0.80,ACM,0.80,0.80,0.60,559110.00
11/03/2019,0.70,ACM,0.70,0.80,0.70,65800.00
08/03/2019,0.80,ACM,0.70,0.80,0.70,94117.00
07/03/2019,0.80,ACM,0.80,0.90,0.70,876100.00
06/03/2019,0.80,ACM,0.70,0.80,0.70,1715360.00
05/03/2019,0.70,ACM,0.70,0.70,0.60,50600.00
04/03/2019,0.60,ACM,0.60,0.70,0.60,79100.00
01/03/2019,0.60,ACM,0.50,0.60,0.50,111700.00
28/02/2019,0.50,ACM,0.70,0.70,0.50,456900.00
27/02/2019,0.60,ACM,0.60,0.70,0.60,55990.00
26/02/2019,0.60,ACM,0.70,0.70,0.60,24726.00
25/02/2019,0.60,ACM,0.60,0.70,0.60,52200.00
22/02/2019,0.60,ACM,0.60,0.70,0.50,82900.00
21/02/2019,0.60,ACM,0.60,0.70,0.50,303801.00
20/02/2019,0.60,ACM,0.60,0.70,0.60,143900.00
19/02/2019,0.60,ACM,0.60,0.70,0.50,232600.00
18/02/2019,0.60,ACM,0.70,0.70,0.60,325200.00
15/02/2019,0.60,ACM,0.70,0.70,0.60,104100.00
14/02/2019,0.70,ACM,0.70,0.70,0.60,204300.00
13/02/2019,0.60,ACM,0.60,0.70,0.60,212400.00
12/02/2019,0.60,ACM,0.60,0.60,0.50,597320.00
11/02/2019,0.50,ACM,0.60,0.60,0.50,97600.00
01/02/2019,0.60,ACM,0.60,0.60,0.50,57500.00
31/01/2019,0.50,ACM,0.50,0.60,0.50,223400.00
30/01/2019,0.50,ACM,0.50,0.60,0.50,69300.00
29/01/2019,0.50,ACM,0.60,0.60,0.50,105600.00
28/01/2019,0.50,ACM,0.60,0.60,0.50,65300.00
25/01/2019,0.50,ACM,0.60,0.60,0.50,389900.00
24/01/2019,0.50,ACM,0.60,0.60,0.50,106100.00
23/01/2019,0.60,ACM,0.60,0.60,0.50,98304.00
22/01/2019,0.60,ACM,0.60,0.70,0.50,312621.00
21/01/2019,0.60,ACM,0.70,0.70,0.60,152120.00
18/01/2019,0.60,ACM,0.70,0.70,0.60,58320.00
17/01/2019,0.70,ACM,0.70,0.70,0.60,143400.00
16/01/2019,0.70,ACM,0.70,0.70,0.70,78524.00
15/01/2019,0.60,ACM,0.60,0.70,0.60,71100.00
14/01/2019,0.70,ACM,0.70,0.70,0.60,57620.00
11/01/2019,0.70,ACM,0.70,0.70,0.60,684800.00
10/01/2019,0.60,ACM,0.70,0.70,0.60,85500.00
09/01/2019,0.70,ACM,0.70,0.80,0.70,171020.00
08/01/2019,0.70,ACM,0.60,0.80,0.60,132400.00
07/01/2019,0.70,ACM,0.60,0.80,0.60,108200.00
04/01/2019,0.70,ACM,0.60,0.80,0.60,161800.00
03/01/2019,0.70,ACM,0.70,0.80,0.70,220700.00
02/01/2019,0.80,ACM,0.80,0.80,0.80,48000.00
28/12/2018,0.70,ACM,0.70,0.80,0.70,76110.00
27/12/2018,0.70,ACM,0.80,0.80,0.70,34500.00
26/12/2018,0.80,ACM,0.70,0.80,0.70,88500.00
25/12/2018,0.70,ACM,0.70,0.80,0.60,371300.00
24/12/2018,0.70,ACM,0.70,0.80,0.70,29310.00
21/12/2018,0.70,ACM,0.80,0.80,0.70,25700.00
20/12/2018,0.80,ACM,0.80,0.80,0.70,80600.00
19/12/2018,0.70,ACM,0.80,0.80,0.70,44500.00
18/12/2018,0.80,ACM,0.80,0.80,0.70,74900.00
17/12/2018,0.80,ACM,0.70,0.80,0.70,168700.00
14/12/2018,0.80,ACM,0.70,0.80,0.70,69700.00
13/12/2018,0.70,ACM,0.80,0.80,0.70,55800.00
12/12/2018,0.80,ACM,0.80,0.80,0.70,64100.00
11/12/2018,0.70,ACM,0.70,0.80,0.70,94900.00
10/12/2018,0.80,ACM,0.80,0.80,0.70,98000.00
07/12/2018,0.80,ACM,0.80,0.80,0.70,15020.00
06/12/2018,0.80,ACM,0.80,0.80,0.70,92800.00
05/12/2018,0.80,ACM,0.70,0.80,0.70,441300.00
04/12/2018,0.80,ACM,0.70,0.80,0.70,12309.00
03/12/2018,0.70,ACM,0.70,0.80,0.70,89410.00
30/11/2018,0.70,ACM,0.80,0.80,0.70,55700.00
29/11/2018,0.80,ACM,0.80,0.80,0.70,50831.00
28/11/2018,0.80,ACM,0.70,0.80,0.70,102300.00
27/11/2018,0.70,ACM,0.70,0.80,0.70,122500.00
26/11/2018,0.80,ACM,0.70,0.80,0.70,15500.00
23/11/2018,0.80,ACM,0.70,0.80,0.70,16100.00
22/11/2018,0.80,ACM,0.70,0.80,0.70,30620.00
21/11/2018,0.80,ACM,0.80,0.80,0.70,96500.00
20/11/2018,0.70,ACM,0.80,0.80,0.70,99900.00
19/11/2018,0.70,ACM,0.80,0.80,0.70,52600.00
16/11/2018,0.80,ACM,0.80,0.80,0.70,13800.00
15/11/2018,0.80,ACM,0.70,0.80,0.70,84500.00
14/11/2018,0.70,ACM,0.80,0.90,0.70,147300.00
13/11/2018,0.80,ACM,0.90,0.90,0.70,184100.00
12/11/2018,0.80,ACM,0.80,0.90,0.80,79910.00
09/11/2018,0.80,ACM,0.80,0.90,0.80,53300.00
08/11/2018,0.80,ACM,0.90,0.90,0.80,56801.00
07/11/2018,0.80,ACM,0.80,0.90,0.70,122600.00
06/11/2018,0.80,ACM,0.80,0.90,0.80,143900.00
05/11/2018,0.80,ACM,0.80,0.90,0.70,88710.00
02/11/2018,0.80,ACM,0.90,0.90,0.80,21100.00
01/11/2018,0.90,ACM,0.80,0.90,0.70,80720.00
31/10/2018,0.80,ACM,0.80,0.80,0.70,110800.00
30/10/2018,0.80,ACM,0.70,0.90,0.70,246800.00
29/10/2018,0.80,ACM,0.80,0.80,0.70,107200.00
26/10/2018,0.80,ACM,0.80,0.90,0.70,156100.00
25/10/2018,0.80,ACM,0.80,0.90,0.80,842700.00
24/10/2018,0.90,ACM,0.80,0.90,0.80,71300.00
23/10/2018,0.90,ACM,0.90,0.90,0.70,719600.00
22/10/2018,0.80,ACM,0.90,0.90,0.80,173800.00
19/10/2018,0.80,ACM,0.90,0.90,0.80,81100.00
18/10/2018,0.90,ACM,0.90,0.90,0.80,45200.00
17/10/2018,0.90,ACM,0.90,0.90,0.80,1565900.00
16/10/2018,0.90,ACM,0.90,0.90,0.80,57100.00
15/10/2018,0.80,ACM,0.80,0.90,0.80,111700.00
12/10/2018,0.80,ACM,0.90,0.90,0.80,458500.00
11/10/2018,0.90,ACM,0.80,0.90,0.80,247201.00
10/10/2018,0.90,ACM,0.80,0.90,0.80,22461.00
