DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,14.00,ADS,13.95,14.00,13.60,28350.00
25/04/2019,13.95,ADS,13.95,14.00,13.60,19110.00
24/04/2019,14.00,ADS,13.90,14.00,13.65,14230.00
23/04/2019,14.10,ADS,13.80,14.10,13.80,16630.00
22/04/2019,13.70,ADS,13.70,13.70,13.65,12820.00
19/04/2019,13.70,ADS,13.40,13.80,13.40,17370.00
18/04/2019,13.40,ADS,13.35,13.40,13.30,13960.00
17/04/2019,13.35,ADS,13.35,13.40,13.25,15800.00
16/04/2019,13.35,ADS,13.30,13.35,13.20,18450.00
12/04/2019,13.25,ADS,13.30,13.30,13.20,11580.00
11/04/2019,13.30,ADS,13.30,13.30,13.10,15010.00
10/04/2019,13.30,ADS,13.30,13.35,13.25,11650.00
09/04/2019,13.30,ADS,13.30,13.35,13.30,10370.00
08/04/2019,13.35,ADS,13.40,13.40,13.35,13510.00
05/04/2019,13.40,ADS,13.35,13.40,13.35,15530.00
04/04/2019,13.35,ADS,13.35,13.40,12.90,4040.00
03/04/2019,13.35,ADS,13.30,13.35,13.30,8330.00
02/04/2019,13.30,ADS,13.30,13.35,12.95,6360.00
01/04/2019,13.40,ADS,13.35,13.40,13.35,7450.00
29/03/2019,13.35,ADS,13.35,13.35,13.30,10700.00
28/03/2019,13.30,ADS,13.05,13.30,13.05,6090.00
27/03/2019,13.25,ADS,13.25,13.25,13.20,2190.00
26/03/2019,13.20,ADS,13.05,13.20,13.05,5310.00
25/03/2019,13.25,ADS,13.05,13.25,13.05,6150.00
22/03/2019,13.35,ADS,13.35,13.35,13.35,6260.00
21/03/2019,13.35,ADS,13.30,13.35,13.10,13820.00
20/03/2019,13.25,ADS,13.30,13.40,13.25,2200.00
19/03/2019,13.35,ADS,13.30,13.35,13.05,5910.00
18/03/2019,13.35,ADS,13.05,13.35,13.00,9760.00
15/03/2019,13.30,ADS,13.30,13.30,13.00,9490.00
14/03/2019,13.30,ADS,13.30,13.35,13.30,8500.00
13/03/2019,13.25,ADS,13.30,13.30,13.05,11050.00
12/03/2019,13.25,ADS,13.30,13.30,13.00,11010.00
11/03/2019,13.30,ADS,13.15,13.30,12.80,10000.00
08/03/2019,13.30,ADS,13.20,13.30,13.15,10110.00
07/03/2019,13.30,ADS,13.35,13.35,13.25,5080.00
06/03/2019,13.35,ADS,13.35,13.35,13.25,10960.00
05/03/2019,13.30,ADS,13.30,13.35,13.30,6120.00
04/03/2019,13.35,ADS,13.20,13.35,13.20,16930.00
01/03/2019,13.30,ADS,13.35,13.35,13.10,13430.00
28/02/2019,13.35,ADS,13.35,13.35,13.20,8990.00
27/02/2019,13.40,ADS,13.35,13.40,13.20,11100.00
26/02/2019,13.35,ADS,13.35,13.35,13.20,14100.00
25/02/2019,13.35,ADS,13.20,13.35,13.00,21910.00
22/02/2019,13.25,ADS,13.20,13.25,12.90,15290.00
21/02/2019,13.25,ADS,13.25,13.25,13.15,14530.00
20/02/2019,13.25,ADS,13.05,13.30,13.05,16780.00
19/02/2019,13.30,ADS,13.20,13.30,13.20,12710.00
18/02/2019,13.30,ADS,13.25,13.35,13.25,18930.00
15/02/2019,13.30,ADS,13.30,13.35,13.20,16550.00
14/02/2019,13.30,ADS,13.30,13.30,13.20,15160.00
13/02/2019,13.30,ADS,13.35,13.35,13.25,6180.00
12/02/2019,13.35,ADS,13.20,13.35,13.20,11800.00
11/02/2019,13.35,ADS,13.35,13.35,13.00,17190.00
01/02/2019,13.30,ADS,13.35,13.35,13.10,20970.00
31/01/2019,13.25,ADS,13.25,13.25,13.25,3500.00
30/01/2019,13.30,ADS,13.35,13.35,13.00,18610.00
29/01/2019,13.35,ADS,13.35,13.35,13.25,17190.00
28/01/2019,13.30,ADS,13.30,13.30,13.05,20600.00
25/01/2019,13.30,ADS,13.35,13.35,13.25,17400.00
24/01/2019,13.25,ADS,13.30,13.40,13.20,15450.00
23/01/2019,13.30,ADS,13.20,13.30,13.00,20750.00
22/01/2019,13.20,ADS,13.45,13.45,13.15,15090.00
21/01/2019,13.40,ADS,13.50,13.50,13.35,14160.00
18/01/2019,13.40,ADS,13.45,13.45,13.20,16490.00
17/01/2019,13.35,ADS,13.40,13.40,13.30,17350.00
16/01/2019,13.55,ADS,13.60,13.60,13.55,13430.00
15/01/2019,13.60,ADS,13.50,13.60,13.40,28490.00
14/01/2019,13.50,ADS,13.50,13.50,13.10,19210.00
11/01/2019,13.10,ADS,13.55,13.60,13.10,17200.00
10/01/2019,13.50,ADS,13.55,13.55,13.50,8090.00
09/01/2019,13.50,ADS,13.30,13.50,13.30,15950.00
08/01/2019,13.30,ADS,13.50,13.50,13.25,15620.00
07/01/2019,13.60,ADS,14.00,14.20,13.50,16970.00
04/01/2019,13.80,ADS,13.70,13.80,13.55,15650.00
03/01/2019,13.30,ADS,13.60,13.60,12.90,31640.00
02/01/2019,13.80,ADS,14.40,14.40,13.75,14300.00
28/12/2018,14.40,ADS,13.65,14.40,13.40,57940.00
27/12/2018,13.70,ADS,13.25,13.70,13.15,40160.00
26/12/2018,13.10,ADS,13.25,13.25,13.05,14270.00
25/12/2018,13.20,ADS,13.30,13.30,12.70,19820.00
24/12/2018,13.20,ADS,13.45,13.45,13.20,17170.00
21/12/2018,13.40,ADS,13.40,13.40,13.30,14840.00
20/12/2018,13.50,ADS,13.50,13.50,13.30,18760.00
19/12/2018,13.55,ADS,13.50,13.55,13.40,19310.00
18/12/2018,13.50,ADS,13.15,13.55,13.15,19960.00
17/12/2018,13.65,ADS,13.60,13.65,13.10,22600.00
14/12/2018,13.65,ADS,13.20,13.70,13.20,14130.00
13/12/2018,13.70,ADS,13.65,13.70,13.60,21120.00
12/12/2018,13.70,ADS,13.70,13.70,13.60,20550.00
11/12/2018,13.70,ADS,13.60,13.70,13.40,28130.00
10/12/2018,13.60,ADS,13.55,13.60,13.30,32140.00
