DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,3.90,AGR,3.90,3.98,3.90,114470.00
25/04/2019,3.94,AGR,3.90,4.04,3.90,55330.00
24/04/2019,3.96,AGR,4.04,4.04,3.95,151550.00
23/04/2019,3.98,AGR,3.94,4.10,3.94,84920.00
22/04/2019,3.98,AGR,4.08,4.08,3.98,79630.00
19/04/2019,4.08,AGR,4.09,4.09,4.00,206280.00
18/04/2019,4.01,AGR,4.11,4.11,3.98,167530.00
17/04/2019,4.11,AGR,4.10,4.21,4.10,212720.00
16/04/2019,4.10,AGR,4.24,4.24,4.05,261230.00
12/04/2019,4.21,AGR,4.00,4.21,4.00,933150.00
11/04/2019,3.94,AGR,3.90,4.07,3.90,219640.00
10/04/2019,3.94,AGR,3.87,3.95,3.86,85960.00
09/04/2019,3.95,AGR,3.95,3.97,3.90,63880.00
08/04/2019,3.95,AGR,3.91,3.96,3.89,110050.00
05/04/2019,3.94,AGR,3.85,3.95,3.85,78300.00
04/04/2019,3.95,AGR,3.90,4.05,3.88,136680.00
03/04/2019,3.90,AGR,3.90,4.00,3.75,198950.00
02/04/2019,4.00,AGR,4.02,4.10,3.90,226870.00
01/04/2019,4.02,AGR,4.10,4.14,4.02,66610.00
29/03/2019,4.10,AGR,4.02,4.20,4.00,239660.00
28/03/2019,4.08,AGR,4.10,4.11,4.00,168160.00
27/03/2019,4.10,AGR,4.16,4.19,4.10,132330.00
26/03/2019,4.16,AGR,4.21,4.28,4.10,216940.00
25/03/2019,4.20,AGR,3.91,4.25,3.72,679440.00
22/03/2019,3.99,AGR,3.92,4.00,3.80,317800.00
21/03/2019,3.96,AGR,4.15,4.19,3.96,533570.00
20/03/2019,4.22,AGR,4.20,4.23,4.07,980370.00
19/03/2019,4.05,AGR,4.05,4.05,4.00,1115200.00
18/03/2019,3.79,AGR,3.53,3.79,3.53,713670.00
15/03/2019,3.55,AGR,3.59,3.59,3.53,139030.00
14/03/2019,3.55,AGR,3.50,3.60,3.50,97310.00
13/03/2019,3.58,AGR,3.57,3.58,3.55,52980.00
12/03/2019,3.57,AGR,3.57,3.57,3.40,80590.00
11/03/2019,3.57,AGR,3.58,3.60,3.55,94700.00
08/03/2019,3.58,AGR,3.64,3.64,3.56,46360.00
07/03/2019,3.64,AGR,3.56,3.65,3.53,209330.00
06/03/2019,3.56,AGR,3.55,3.57,3.51,80240.00
05/03/2019,3.53,AGR,3.49,3.59,3.45,279340.00
04/03/2019,3.49,AGR,3.50,3.50,3.46,37600.00
01/03/2019,3.50,AGR,3.52,3.52,3.41,35190.00
28/02/2019,3.45,AGR,3.50,3.50,3.45,73720.00
27/02/2019,3.50,AGR,3.49,3.50,3.45,76440.00
26/02/2019,3.48,AGR,3.50,3.50,3.45,65240.00
25/02/2019,3.45,AGR,3.49,3.49,3.45,59310.00
22/02/2019,3.49,AGR,3.50,3.50,3.42,30270.00
21/02/2019,3.50,AGR,3.50,3.51,3.45,19780.00
20/02/2019,3.51,AGR,3.51,3.52,3.46,85940.00
