DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,8.60,AMS,8.60,8.60,8.60,300.00
25/04/2019,8.60,AMS,8.60,8.60,8.60,200.00
24/04/2019,8.60,AMS,8.60,8.60,8.60,300.00
23/04/2019,8.60,AMS,8.60,8.60,8.60,200.00
22/04/2019,8.70,AMS,8.60,8.70,7.40,1100.00
19/04/2019,8.60,AMS,8.60,8.60,8.60,300.00
18/04/2019,8.60,AMS,8.60,8.60,8.60,200.00
17/04/2019,8.70,AMS,8.70,8.70,8.70,300.00
16/04/2019,8.60,AMS,8.60,8.60,8.60,200.00
12/04/2019,8.60,AMS,8.60,8.60,8.60,300.00
11/04/2019,8.60,AMS,8.60,8.60,8.60,300.00
10/04/2019,8.50,AMS,8.50,8.50,8.50,300.00
09/04/2019,8.50,AMS,8.50,8.50,8.50,200.00
08/04/2019,8.50,AMS,8.50,8.50,8.50,1200.00
05/04/2019,8.50,AMS,8.50,8.50,8.50,200.00
04/04/2019,8.60,AMS,8.50,8.60,8.50,600.00
03/04/2019,8.60,AMS,8.60,8.60,8.60,301.00
02/04/2019,8.60,AMS,8.60,8.60,8.60,300.00
01/04/2019,8.60,AMS,8.60,8.60,8.60,300.00
29/03/2019,8.60,AMS,8.60,8.60,8.60,200.00
28/03/2019,8.60,AMS,8.60,8.60,8.60,300.00
27/03/2019,8.50,AMS,8.50,8.50,8.50,300.00
26/03/2019,8.60,AMS,8.50,8.60,8.50,700.00
25/03/2019,8.60,AMS,8.60,8.60,8.60,332.00
22/03/2019,8.60,AMS,8.60,8.60,8.60,410.00
21/03/2019,8.50,AMS,8.50,8.50,8.50,300.00
20/03/2019,8.50,AMS,8.50,8.50,8.50,300.00
19/03/2019,8.50,AMS,8.50,8.50,8.50,300.00
18/03/2019,8.70,AMS,8.70,8.70,8.70,500.00
15/03/2019,8.70,AMS,8.60,8.70,8.60,2300.00
14/03/2019,8.50,AMS,8.80,8.80,8.50,400.00
13/03/2019,8.60,AMS,8.80,8.90,8.60,700.00
12/03/2019,8.80,AMS,8.80,8.80,8.80,200.00
11/03/2019,8.70,AMS,8.30,8.70,8.30,3900.00
08/03/2019,9.20,AMS,8.00,9.20,8.00,23610.00
07/03/2019,8.00,AMS,8.00,8.00,8.00,200.00
06/03/2019,8.00,AMS,8.00,8.00,8.00,200.00
05/03/2019,8.00,AMS,8.00,8.00,8.00,500.00
04/03/2019,8.00,AMS,8.00,8.00,8.00,300.00
01/03/2019,8.00,AMS,7.90,8.00,7.90,2000.00
28/02/2019,7.90,AMS,7.80,7.90,7.80,2200.00
27/02/2019,8.00,AMS,8.00,8.00,8.00,500.00
26/02/2019,8.00,AMS,8.00,8.00,8.00,2000.00
25/02/2019,8.10,AMS,8.10,8.10,8.10,0.00
22/02/2019,8.10,AMS,8.10,8.10,8.10,400.00
21/02/2019,8.10,AMS,8.30,8.30,8.10,2200.00
20/02/2019,8.40,AMS,8.40,8.40,8.40,300.00
19/02/2019,8.40,AMS,8.40,8.40,8.40,200.00
18/02/2019,8.40,AMS,8.40,8.40,8.40,300.00
15/02/2019,8.40,AMS,8.40,8.40,8.40,500.00
14/02/2019,8.40,AMS,8.40,8.40,8.40,300.00
13/02/2019,8.40,AMS,8.40,8.40,8.40,100.00
12/02/2019,8.40,AMS,8.40,8.40,8.40,200.00
11/02/2019,8.40,AMS,8.40,8.40,8.40,300.00
01/02/2019,8.50,AMS,8.50,8.50,8.50,300.00
31/01/2019,8.50,AMS,8.50,8.50,8.50,300.00
30/01/2019,8.50,AMS,8.50,8.50,8.50,300.00
29/01/2019,8.30,AMS,8.30,8.30,8.30,200.00
28/01/2019,8.30,AMS,8.30,8.30,8.30,300.00
25/01/2019,8.30,AMS,8.30,8.30,8.30,300.00
24/01/2019,8.30,AMS,8.30,8.30,8.30,200.00
23/01/2019,8.30,AMS,8.30,8.30,8.30,300.00
22/01/2019,8.30,AMS,8.30,8.30,8.30,300.00
21/01/2019,8.20,AMS,8.40,8.50,8.20,4300.00
18/01/2019,8.50,AMS,8.50,8.50,8.50,200.00
17/01/2019,8.60,AMS,8.60,8.60,8.60,500.00
16/01/2019,8.60,AMS,8.60,8.60,8.60,500.00
15/01/2019,7.10,AMS,8.60,8.60,7.10,1100.00
14/01/2019,8.60,AMS,8.00,8.60,8.00,1200.00
11/01/2019,8.00,AMS,8.00,8.00,8.00,300.00
10/01/2019,8.00,AMS,8.00,8.00,8.00,200.00
09/01/2019,8.00,AMS,8.00,8.00,8.00,200.00
08/01/2019,8.00,AMS,8.00,8.00,8.00,200.00
07/01/2019,8.00,AMS,8.00,8.00,8.00,300.00
04/01/2019,8.00,AMS,8.00,8.00,8.00,42.00
03/01/2019,8.00,AMS,8.00,8.00,8.00,300.00
02/01/2019,8.00,AMS,8.00,8.00,8.00,600.00
28/12/2018,8.00,AMS,8.00,8.00,8.00,4242.00
27/12/2018,8.00,AMS,8.00,8.00,8.00,700.00
26/12/2018,8.00,AMS,8.00,8.00,8.00,200.00
25/12/2018,8.00,AMS,8.00,8.00,8.00,0.00
24/12/2018,8.00,AMS,8.00,8.00,8.00,300.00
21/12/2018,8.00,AMS,8.00,8.00,8.00,0.00
20/12/2018,8.00,AMS,8.00,8.00,8.00,0.00
19/12/2018,8.00,AMS,7.90,8.00,7.90,300.00
18/12/2018,8.00,AMS,8.00,8.00,8.00,0.00
17/12/2018,8.00,AMS,8.00,8.00,8.00,0.00
14/12/2018,8.00,AMS,8.00,8.00,8.00,0.00
13/12/2018,8.00,AMS,8.00,8.00,8.00,30.00
12/12/2018,8.00,AMS,8.00,8.00,8.00,0.00
11/12/2018,8.00,AMS,8.00,8.00,8.00,175.00
10/12/2018,8.00,AMS,8.00,8.00,8.00,37.00
07/12/2018,8.00,AMS,8.00,8.00,8.00,300.00
06/12/2018,8.00,AMS,8.00,8.00,8.00,300.00
05/12/2018,8.00,AMS,8.00,8.00,8.00,0.00
04/12/2018,8.00,AMS,8.00,8.00,8.00,0.00
03/12/2018,8.00,AMS,8.00,8.00,8.00,1500.00
30/11/2018,8.00,AMS,8.00,8.00,8.00,5300.00
29/11/2018,8.00,AMS,8.00,8.00,8.00,6400.00
28/11/2018,8.00,AMS,8.00,8.10,8.00,28600.00
27/11/2018,8.00,AMS,8.00,8.00,8.00,3.00
26/11/2018,8.00,AMS,8.00,8.00,8.00,500.00
23/11/2018,8.00,AMS,8.00,8.00,8.00,0.00
22/11/2018,8.00,AMS,8.00,8.00,8.00,0.00
21/11/2018,8.00,AMS,8.00,8.00,8.00,200.00
20/11/2018,8.00,AMS,8.00,8.00,8.00,307.00
19/11/2018,8.00,AMS,8.00,8.00,8.00,1000.00
16/11/2018,8.00,AMS,8.00,8.00,7.50,8500.00
15/11/2018,8.00,AMS,8.00,8.00,8.00,1000.00
14/11/2018,8.00,AMS,8.00,8.00,8.00,19652.00
13/11/2018,8.00,AMS,7.90,8.00,7.90,9515.00
12/11/2018,7.90,AMS,8.00,8.00,7.90,1200.00
09/11/2018,7.90,AMS,8.00,8.00,7.90,1700.00
08/11/2018,8.00,AMS,7.70,8.00,7.70,300.00
07/11/2018,8.00,AMS,8.00,8.00,8.00,3500.00
06/11/2018,8.00,AMS,8.00,8.00,8.00,1600.00
05/11/2018,8.00,AMS,8.00,8.00,8.00,2115.00
02/11/2018,8.30,AMS,8.00,8.30,7.70,23152.00
01/11/2018,7.70,AMS,8.00,8.00,7.70,5400.00
31/10/2018,8.00,AMS,7.70,8.00,7.70,9800.00
30/10/2018,7.80,AMS,8.00,8.00,7.80,4800.00
29/10/2018,8.00,AMS,8.00,8.00,8.00,500.00
26/10/2018,8.00,AMS,8.00,8.00,8.00,300.00
25/10/2018,8.00,AMS,6.80,8.00,6.80,3300.00
24/10/2018,8.00,AMS,8.00,8.00,8.00,15000.00
23/10/2018,8.00,AMS,8.00,8.00,8.00,14500.00
22/10/2018,8.00,AMS,8.00,8.00,8.00,8400.00
19/10/2018,8.00,AMS,8.00,8.00,8.00,0.00
18/10/2018,8.00,AMS,8.00,8.00,8.00,0.00
17/10/2018,8.00,AMS,8.00,8.10,8.00,14400.00
16/10/2018,8.00,AMS,7.90,8.00,7.90,600.00
15/10/2018,8.00,AMS,8.00,8.00,8.00,300.00
12/10/2018,8.00,AMS,7.90,8.00,7.90,2900.00
11/10/2018,7.70,AMS,7.90,8.00,7.70,1200.00
10/10/2018,8.00,AMS,8.00,8.00,8.00,200.00
09/10/2018,8.00,AMS,8.00,8.00,8.00,200.00
08/10/2018,8.00,AMS,8.00,8.00,8.00,200.00
05/10/2018,8.00,AMS,8.00,8.00,8.00,500.00
04/10/2018,8.00,AMS,8.00,8.00,8.00,114.00
03/10/2018,8.20,AMS,8.20,8.20,8.20,200.00
02/10/2018,8.20,AMS,8.10,8.20,8.10,300.00
01/10/2018,8.20,AMS,8.20,8.20,8.20,6416.00
28/09/2018,8.20,AMS,8.20,8.20,8.20,500.00
27/09/2018,8.20,AMS,8.10,8.20,8.10,700.00
26/09/2018,8.10,AMS,8.10,8.10,8.10,53915.00
25/09/2018,8.10,AMS,8.00,8.10,7.90,19000.00
24/09/2018,8.00,AMS,7.70,8.00,7.70,10300.00
21/09/2018,7.50,AMS,7.50,7.50,7.30,14830.00
20/09/2018,7.50,AMS,7.50,7.50,7.20,57900.00
19/09/2018,7.40,AMS,7.40,7.40,7.40,0.00
18/09/2018,7.40,AMS,7.40,7.40,7.40,200.00
17/09/2018,7.40,AMS,7.40,7.40,7.40,300.00
14/09/2018,7.40,AMS,7.00,7.40,7.00,3200.00
13/09/2018,7.00,AMS,7.00,7.00,7.00,0.00
12/09/2018,7.00,AMS,7.00,7.00,7.00,1000.00
11/09/2018,7.00,AMS,7.00,7.00,7.00,0.00
10/09/2018,7.00,AMS,7.00,7.00,7.00,9500.00
07/09/2018,7.00,AMS,6.90,7.00,6.90,8701.00
06/09/2018,6.60,AMS,6.60,8.00,6.60,5700.00
05/09/2018,7.70,AMS,7.70,7.70,7.70,0.00
04/09/2018,7.60,AMS,7.70,7.70,7.60,400.00
31/08/2018,8.00,AMS,8.00,8.00,8.00,0.00
30/08/2018,8.00,AMS,8.00,8.00,8.00,263.00
29/08/2018,8.00,AMS,8.00,8.00,7.00,5050.00
28/08/2018,7.60,AMS,7.60,7.60,7.60,205.00
27/08/2018,7.40,AMS,7.40,7.40,7.40,100.00
24/08/2018,7.00,AMS,7.00,7.00,7.00,100.00
23/08/2018,6.70,AMS,7.00,7.00,6.50,1500.00
22/08/2018,7.00,AMS,6.80,7.00,6.70,39200.00
21/08/2018,7.00,AMS,7.00,7.00,7.00,400.00
20/08/2018,7.00,AMS,7.00,7.00,7.00,0.00
17/08/2018,7.00,AMS,7.00,7.00,7.00,100.00
16/08/2018,6.90,AMS,6.90,6.90,6.90,100.00
15/08/2018,7.90,AMS,6.00,7.90,6.00,1900.00
14/08/2018,7.00,AMS,7.00,7.00,7.00,0.00
13/08/2018,7.00,AMS,7.00,7.00,7.00,0.00
10/08/2018,7.00,AMS,7.00,7.00,7.00,100.00
09/08/2018,7.00,AMS,7.00,7.00,7.00,0.00
08/08/2018,7.00,AMS,7.00,7.00,7.00,0.00
07/08/2018,7.00,AMS,7.00,7.00,7.00,0.00
06/08/2018,7.00,AMS,7.00,7.00,7.00,300.00
03/08/2018,7.10,AMS,7.10,7.10,7.10,0.00
02/08/2018,7.10,AMS,7.10,7.10,7.10,0.00
01/08/2018,7.10,AMS,7.10,7.10,7.10,500.00
31/07/2018,7.30,AMS,7.30,7.30,7.30,100.00
30/07/2018,7.00,AMS,7.00,7.00,7.00,100.00
27/07/2018,6.80,AMS,7.00,7.00,5.80,1400.00
26/07/2018,6.90,AMS,6.50,6.90,6.50,3400.00
25/07/2018,7.10,AMS,7.10,7.10,7.10,0.00
24/07/2018,7.10,AMS,7.10,7.10,7.10,0.00
23/07/2018,7.10,AMS,7.10,7.10,7.10,200.00
20/07/2018,6.80,AMS,6.80,6.80,6.80,0.00
19/07/2018,6.80,AMS,6.80,6.80,6.80,0.00
18/07/2018,6.80,AMS,6.80,6.80,6.80,0.00
17/07/2018,6.80,AMS,6.80,6.80,6.80,0.00
16/07/2018,6.80,AMS,6.80,6.80,6.80,0.00
13/07/2018,6.80,AMS,6.80,6.80,6.80,200.00
12/07/2018,6.80,AMS,6.80,6.80,6.80,200.00
11/07/2018,6.80,AMS,6.70,6.80,6.70,1300.00
10/07/2018,6.90,AMS,6.90,6.90,6.90,0.00
09/07/2018,6.90,AMS,6.90,6.90,6.90,0.00
06/07/2018,6.90,AMS,6.90,6.90,6.90,200.00
05/07/2018,6.10,AMS,6.10,6.10,6.10,0.00
04/07/2018,6.80,AMS,6.10,6.80,6.10,3600.00
03/07/2018,6.80,AMS,7.00,7.00,6.00,500.00
02/07/2018,7.00,AMS,6.00,7.00,6.00,2200.00
29/06/2018,7.00,AMS,7.00,7.00,7.00,100.00
28/06/2018,6.90,AMS,6.90,6.90,6.90,200.00
27/06/2018,7.00,AMS,7.00,7.00,7.00,0.00
26/06/2018,7.00,AMS,7.00,7.00,7.00,0.00
25/06/2018,7.00,AMS,7.00,7.00,7.00,100.00
22/06/2018,7.00,AMS,7.00,7.00,7.00,100.00
21/06/2018,7.00,AMS,6.90,7.00,6.90,300.00
20/06/2018,6.10,AMS,6.10,6.10,6.10,0.00
19/06/2018,6.10,AMS,6.10,6.10,6.10,2000.00
18/06/2018,7.10,AMS,7.10,7.10,7.10,100.00
15/06/2018,7.20,AMS,6.30,7.20,6.30,300.00
