DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,7.80,APG,7.55,7.80,7.41,207080.00
25/04/2019,7.60,APG,7.40,7.77,7.40,255400.00
24/04/2019,7.78,APG,7.46,8.00,7.46,342540.00
23/04/2019,7.78,APG,7.78,7.79,7.65,205180.00
22/04/2019,7.78,APG,7.75,7.79,7.50,311290.00
19/04/2019,7.75,APG,7.50,7.75,7.40,162860.00
18/04/2019,7.70,APG,7.35,7.80,7.35,362120.00
17/04/2019,7.80,APG,7.41,7.90,7.41,596920.00
16/04/2019,7.90,APG,7.40,7.90,7.40,260380.00
12/04/2019,7.78,APG,8.00,8.28,7.78,450940.00
11/04/2019,8.36,APG,8.39,8.40,7.78,608180.00
10/04/2019,8.36,APG,8.00,8.45,7.90,483750.00
09/04/2019,8.40,APG,8.60,8.60,8.00,558480.00
08/04/2019,8.60,APG,8.60,8.60,8.25,299690.00
05/04/2019,8.50,APG,8.40,8.75,8.28,585020.00
04/04/2019,8.90,APG,8.30,8.90,8.19,686560.00
03/04/2019,8.80,APG,8.37,9.00,8.37,265040.00
02/04/2019,9.00,APG,8.75,9.00,8.22,217450.00
01/04/2019,8.80,APG,9.10,9.10,8.50,270040.00
29/03/2019,9.10,APG,8.70,9.10,8.67,241070.00
28/03/2019,9.30,APG,9.50,9.50,8.84,336610.00
27/03/2019,9.50,APG,9.00,9.50,8.55,277910.00
26/03/2019,9.09,APG,8.50,9.09,8.30,198740.00
25/03/2019,8.50,APG,8.37,8.89,8.30,211000.00
22/03/2019,8.89,APG,9.55,9.70,8.89,476240.00
21/03/2019,9.55,APG,9.70,9.70,9.30,424440.00
20/03/2019,9.60,APG,10.00,10.00,9.40,521970.00
19/03/2019,10.00,APG,10.40,10.50,10.00,399700.00
18/03/2019,10.40,APG,10.10,10.40,10.05,536330.00
15/03/2019,10.05,APG,9.70,10.05,9.50,812000.00
14/03/2019,9.41,APG,9.00,9.41,8.90,716480.00
