DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,3.10,APS,3.00,3.10,3.00,5100.00
25/04/2019,3.10,APS,3.00,3.10,3.00,8170.00
24/04/2019,3.10,APS,3.00,3.10,3.00,11000.00
23/04/2019,3.00,APS,3.00,3.00,3.00,25000.00
22/04/2019,3.10,APS,3.10,3.10,3.10,0.00
19/04/2019,3.10,APS,2.90,3.10,2.90,2400.00
18/04/2019,3.10,APS,3.10,3.10,3.10,0.00
17/04/2019,3.10,APS,3.10,3.10,3.10,0.00
16/04/2019,3.10,APS,3.00,3.10,3.00,17100.00
12/04/2019,3.10,APS,3.10,3.10,3.10,0.00
11/04/2019,3.10,APS,3.10,3.10,3.10,0.00
10/04/2019,3.10,APS,3.10,3.10,3.10,1010.00
09/04/2019,3.10,APS,3.10,3.10,3.10,21410.00
08/04/2019,3.10,APS,3.00,3.10,3.00,4100.00
05/04/2019,3.10,APS,3.00,3.10,3.00,9300.00
04/04/2019,3.10,APS,3.10,3.10,3.10,2400.00
03/04/2019,3.20,APS,3.20,3.20,3.20,0.00
02/04/2019,3.20,APS,3.10,3.20,3.10,300.00
01/04/2019,3.10,APS,3.10,3.10,3.10,7520.00
29/03/2019,3.10,APS,3.10,3.10,3.10,800.00
28/03/2019,3.10,APS,3.00,3.10,3.00,33800.00
27/03/2019,3.10,APS,3.10,3.10,3.00,9000.00
26/03/2019,3.10,APS,3.10,3.10,3.10,3901.00
25/03/2019,3.10,APS,3.10,3.10,3.00,17600.00
22/03/2019,3.20,APS,3.10,3.20,3.10,8600.00
21/03/2019,3.20,APS,3.10,3.20,3.10,27700.00
20/03/2019,3.10,APS,3.20,3.20,3.10,15700.00
19/03/2019,3.20,APS,3.10,3.20,3.10,44200.00
18/03/2019,3.10,APS,3.10,3.10,3.10,11300.00
15/03/2019,3.10,APS,3.10,3.10,3.10,230.00
14/03/2019,3.20,APS,3.10,3.20,3.00,48700.00
13/03/2019,3.10,APS,3.20,3.20,3.10,10330.00
12/03/2019,3.20,APS,3.20,3.20,3.20,13200.00
11/03/2019,3.20,APS,3.00,3.20,3.00,38631.00
08/03/2019,3.20,APS,3.30,3.30,3.00,32300.00
07/03/2019,3.30,APS,3.20,3.30,3.20,4800.00
06/03/2019,3.30,APS,3.20,3.30,3.20,2231.00
05/03/2019,3.20,APS,3.20,3.20,3.10,12500.00
04/03/2019,3.20,APS,3.20,3.20,3.20,20602.00
01/03/2019,3.20,APS,3.10,3.30,3.10,76100.00
28/02/2019,3.10,APS,3.20,3.20,3.10,22500.00
27/02/2019,3.10,APS,3.10,3.10,3.10,25800.00
26/02/2019,3.20,APS,3.10,3.20,3.10,39490.00
25/02/2019,3.10,APS,3.10,3.10,3.00,7700.00
22/02/2019,3.20,APS,3.10,3.20,3.00,55800.00
21/02/2019,3.10,APS,3.10,3.10,3.00,14100.00
20/02/2019,3.10,APS,3.10,3.10,3.10,5000.00
19/02/2019,3.10,APS,3.10,3.10,3.10,22800.00
18/02/2019,3.10,APS,3.10,3.10,3.00,14100.00
15/02/2019,3.20,APS,3.20,3.20,3.10,13200.00
14/02/2019,3.10,APS,3.10,3.10,3.00,9500.00
13/02/2019,3.10,APS,3.10,3.10,3.00,16100.00
12/02/2019,3.20,APS,3.10,3.20,3.10,10800.00
11/02/2019,3.10,APS,3.10,3.30,3.10,7100.00
01/02/2019,3.00,APS,3.00,3.20,2.70,29100.00
31/01/2019,3.00,APS,3.10,3.10,3.00,22900.00
30/01/2019,3.00,APS,3.10,3.10,3.00,20900.00
29/01/2019,3.00,APS,3.10,3.10,3.00,72900.00
28/01/2019,3.10,APS,3.20,3.20,3.10,10400.00
25/01/2019,3.10,APS,3.10,3.10,3.10,11400.00
24/01/2019,3.10,APS,3.10,3.10,3.00,24900.00
23/01/2019,3.20,APS,3.10,3.20,3.10,18800.00
22/01/2019,3.20,APS,3.10,3.20,3.10,16100.00
21/01/2019,3.20,APS,3.10,3.20,3.10,8100.00
18/01/2019,3.20,APS,3.10,3.20,3.00,4400.00
17/01/2019,3.20,APS,3.10,3.20,3.10,8500.00
16/01/2019,3.10,APS,3.10,3.10,3.10,11000.00
15/01/2019,3.10,APS,3.10,3.10,3.00,24700.00
14/01/2019,3.10,APS,3.10,3.20,3.10,7200.00
11/01/2019,3.10,APS,3.10,3.10,3.10,2500.00
10/01/2019,3.10,APS,3.10,3.10,3.00,109400.00
09/01/2019,3.10,APS,3.00,3.10,3.00,11200.00
08/01/2019,3.10,APS,3.00,3.10,3.00,14500.00
07/01/2019,3.00,APS,3.00,3.10,3.00,28600.00
04/01/2019,3.10,APS,3.00,3.10,3.00,49300.00
03/01/2019,3.00,APS,3.00,3.00,3.00,24700.00
02/01/2019,3.00,APS,3.00,3.00,3.00,9300.00
28/12/2018,3.10,APS,3.00,3.10,2.90,9300.00
27/12/2018,2.90,APS,3.00,3.10,2.90,28400.00
26/12/2018,2.90,APS,3.00,3.00,2.90,43800.00
25/12/2018,3.00,APS,3.00,3.00,3.00,47000.00
24/12/2018,3.00,APS,3.00,3.00,3.00,58000.00
21/12/2018,3.00,APS,2.90,3.00,2.90,52600.00
20/12/2018,2.90,APS,2.90,2.90,2.90,11700.00
19/12/2018,3.00,APS,3.00,3.00,3.00,0.00
18/12/2018,3.00,APS,2.90,3.20,2.90,92100.00
17/12/2018,3.00,APS,3.00,3.10,3.00,6000.00
14/12/2018,3.00,APS,2.90,3.00,2.90,63000.00
13/12/2018,3.00,APS,2.90,3.00,2.90,3000.00
12/12/2018,2.90,APS,2.90,3.00,2.90,15700.00
11/12/2018,2.90,APS,2.90,2.90,2.90,15300.00
10/12/2018,2.90,APS,2.90,2.90,2.90,2000.00
07/12/2018,2.90,APS,2.90,2.90,2.90,9500.00
06/12/2018,2.90,APS,2.90,2.90,2.90,12010.00
