DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,7.47,ASM,7.44,7.48,7.44,1234340.00
25/04/2019,7.45,ASM,7.56,7.56,7.44,1046200.00
24/04/2019,7.55,ASM,7.55,7.64,7.55,2321590.00
23/04/2019,7.55,ASM,7.55,7.60,7.44,1396640.00
22/04/2019,7.50,ASM,7.73,7.77,7.50,949370.00
19/04/2019,7.76,ASM,7.80,7.83,7.72,1428230.00
18/04/2019,7.75,ASM,7.84,7.87,7.63,1918270.00
17/04/2019,7.80,ASM,7.80,7.95,7.77,3223150.00
16/04/2019,7.77,ASM,7.80,7.80,7.70,1242860.00
12/04/2019,7.90,ASM,8.00,8.02,7.89,1147840.00
11/04/2019,7.95,ASM,7.83,8.03,7.82,2931820.00
10/04/2019,7.80,ASM,7.69,7.86,7.64,2085620.00
09/04/2019,7.70,ASM,7.69,7.80,7.67,1215410.00
08/04/2019,7.70,ASM,7.73,7.73,7.67,1210350.00
05/04/2019,7.73,ASM,7.79,7.79,7.69,2827730.00
04/04/2019,7.79,ASM,7.82,7.84,7.70,3784560.00
03/04/2019,7.77,ASM,7.70,7.77,7.59,1687260.00
02/04/2019,7.70,ASM,7.95,7.99,7.70,2318930.00
01/04/2019,7.88,ASM,7.45,7.88,7.45,4627930.00
29/03/2019,7.40,ASM,7.38,7.45,7.38,1328770.00
28/03/2019,7.40,ASM,7.35,7.49,7.31,1588280.00
27/03/2019,7.40,ASM,7.30,7.40,7.30,1462190.00
26/03/2019,7.27,ASM,7.30,7.38,7.25,1444920.00
25/03/2019,7.30,ASM,7.30,7.70,7.25,1733030.00
22/03/2019,7.76,ASM,7.80,7.87,7.65,1134250.00
21/03/2019,7.80,ASM,7.91,7.94,7.80,1587500.00
20/03/2019,7.95,ASM,8.00,8.00,7.85,1346550.00
19/03/2019,8.00,ASM,7.94,8.15,7.91,1954940.00
18/03/2019,8.21,ASM,8.24,8.34,8.21,1867970.00
15/03/2019,8.28,ASM,8.43,8.43,8.27,1382780.00
14/03/2019,8.40,ASM,8.45,8.49,8.39,1322160.00
13/03/2019,8.49,ASM,8.55,8.58,8.47,3471170.00
12/03/2019,8.47,ASM,8.50,8.52,8.36,2170890.00
11/03/2019,8.40,ASM,8.38,8.40,8.28,1098190.00
08/03/2019,8.40,ASM,8.50,8.60,8.37,1836260.00
07/03/2019,8.69,ASM,8.70,8.83,8.67,2256820.00
06/03/2019,8.58,ASM,8.45,8.60,8.35,2682470.00
05/03/2019,8.35,ASM,8.30,8.49,8.20,2264950.00
04/03/2019,8.30,ASM,8.20,8.30,8.16,1515360.00
01/03/2019,8.15,ASM,8.04,8.26,8.04,1193950.00
28/02/2019,8.05,ASM,8.10,8.32,7.99,1978130.00
27/02/2019,8.10,ASM,8.15,8.16,8.09,1647850.00
26/02/2019,8.15,ASM,8.25,8.28,8.03,2896350.00
25/02/2019,8.22,ASM,8.06,8.34,8.06,1601300.00
22/02/2019,8.18,ASM,8.13,8.20,7.90,2590940.00
21/02/2019,8.15,ASM,8.41,8.49,7.97,2945710.00
20/02/2019,8.41,ASM,8.54,8.58,8.30,1837820.00
19/02/2019,8.54,ASM,8.70,8.78,8.54,1682720.00
18/02/2019,8.70,ASM,8.76,8.78,8.60,1377160.00
15/02/2019,8.70,ASM,8.69,8.75,8.61,1702060.00
14/02/2019,8.71,ASM,8.90,8.90,8.66,1430850.00
13/02/2019,8.88,ASM,8.99,9.08,8.80,1292560.00
12/02/2019,8.86,ASM,8.62,8.90,8.60,2502370.00
11/02/2019,8.50,ASM,8.36,8.60,8.30,1656190.00
01/02/2019,8.16,ASM,8.15,8.16,8.05,617690.00
31/01/2019,8.15,ASM,8.14,8.23,8.12,1338220.00
30/01/2019,8.14,ASM,8.00,8.18,8.00,1888010.00
29/01/2019,8.00,ASM,8.05,8.09,8.00,1544340.00
28/01/2019,8.08,ASM,8.18,8.18,8.05,1956110.00
25/01/2019,8.05,ASM,8.01,8.18,7.94,2322950.00
24/01/2019,8.00,ASM,8.05,8.13,7.94,1917240.00
23/01/2019,8.00,ASM,7.73,8.09,7.56,4447230.00
22/01/2019,7.75,ASM,8.05,8.09,7.75,2312460.00
21/01/2019,8.05,ASM,8.06,8.15,7.99,2544690.00
18/01/2019,8.06,ASM,8.04,8.12,8.01,3027020.00
17/01/2019,8.04,ASM,8.28,8.29,8.04,1789780.00
16/01/2019,8.28,ASM,8.19,8.35,8.19,2392710.00
15/01/2019,8.19,ASM,8.00,8.30,7.93,3669720.00
14/01/2019,8.00,ASM,8.17,8.23,8.00,2843040.00
11/01/2019,8.20,ASM,8.31,8.40,8.12,2370090.00
10/01/2019,8.34,ASM,8.31,8.60,8.10,4527870.00
