DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,6.50,ASP,6.22,6.50,6.22,130.00
25/04/2019,6.22,ASP,6.53,6.55,6.22,21160.00
24/04/2019,6.44,ASP,6.40,6.45,6.40,23350.00
23/04/2019,6.44,ASP,6.35,6.44,6.35,110.00
22/04/2019,6.35,ASP,6.49,6.49,6.35,110.00
19/04/2019,6.48,ASP,6.48,6.48,6.48,10.00
18/04/2019,6.49,ASP,6.30,6.49,6.10,12260.00
17/04/2019,6.46,ASP,6.47,6.47,6.42,2930.00
16/04/2019,6.19,ASP,6.25,6.25,6.19,11760.00
12/04/2019,6.50,ASP,6.50,6.50,6.30,820.00
11/04/2019,6.50,ASP,6.50,6.50,6.50,0.00
10/04/2019,6.50,ASP,6.29,6.50,6.29,18010.00
09/04/2019,6.50,ASP,6.31,6.50,6.31,3320.00
08/04/2019,6.50,ASP,6.50,6.53,6.45,20720.00
05/04/2019,6.49,ASP,6.44,6.49,6.34,10010.00
04/04/2019,6.44,ASP,6.30,6.50,6.30,950.00
03/04/2019,6.40,ASP,6.43,6.45,6.35,17720.00
02/04/2019,6.25,ASP,6.22,6.30,6.20,10090.00
01/04/2019,6.25,ASP,6.30,6.30,6.20,19130.00
29/03/2019,6.30,ASP,6.20,6.31,6.20,7820.00
28/03/2019,6.55,ASP,6.30,6.55,6.22,3370.00
27/03/2019,6.30,ASP,6.30,6.30,6.25,5970.00
26/03/2019,6.49,ASP,6.20,6.49,6.20,80.00
25/03/2019,6.30,ASP,6.20,6.30,6.20,1170.00
22/03/2019,6.30,ASP,6.30,6.30,6.20,1490.00
21/03/2019,6.30,ASP,6.25,6.30,6.25,4460.00
20/03/2019,6.30,ASP,6.30,6.30,6.30,13800.00
19/03/2019,6.30,ASP,6.50,6.50,6.30,20960.00
18/03/2019,6.50,ASP,6.55,6.55,6.49,6070.00
15/03/2019,6.49,ASP,6.11,6.49,6.11,930.00
14/03/2019,6.30,ASP,6.30,6.30,6.25,6100.00
13/03/2019,6.21,ASP,6.45,6.45,6.15,20600.00
12/03/2019,6.45,ASP,6.22,6.45,6.22,2170.00
11/03/2019,6.45,ASP,6.45,6.45,6.20,3330.00
08/03/2019,6.50,ASP,6.50,6.50,6.50,80.00
07/03/2019,6.40,ASP,6.31,6.40,6.25,5450.00
06/03/2019,6.40,ASP,6.30,6.40,6.30,6300.00
05/03/2019,6.40,ASP,6.40,6.50,6.38,10710.00
04/03/2019,6.45,ASP,6.54,6.54,6.45,1550.00
01/03/2019,6.54,ASP,6.49,6.54,6.49,2900.00
28/02/2019,6.50,ASP,6.25,6.50,6.20,5830.00
27/02/2019,6.49,ASP,6.49,6.49,6.46,2400.00
26/02/2019,6.49,ASP,6.53,6.53,6.30,16220.00
25/02/2019,6.54,ASP,6.54,6.55,6.40,26320.00
22/02/2019,6.54,ASP,6.30,6.54,6.30,2750.00
21/02/2019,6.54,ASP,6.50,6.54,6.50,16550.00
20/02/2019,6.50,ASP,6.54,6.54,6.40,1400.00
19/02/2019,6.58,ASP,6.50,6.58,6.40,6220.00
18/02/2019,6.60,ASP,6.69,6.69,6.40,6520.00
