DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,28.30,ATS,31.00,31.00,28.30,700.00
25/04/2019,28.20,ATS,28.20,28.20,28.20,500.00
24/04/2019,28.10,ATS,28.10,28.10,28.10,600.00
23/04/2019,28.00,ATS,28.00,28.00,28.00,0.00
22/04/2019,28.00,ATS,28.00,28.00,28.00,500.00
19/04/2019,28.10,ATS,28.10,28.10,28.10,500.00
18/04/2019,28.00,ATS,25.40,28.00,25.40,500.00
17/04/2019,28.20,ATS,28.20,28.20,28.20,500.00
16/04/2019,28.20,ATS,28.30,28.40,28.20,1500.00
12/04/2019,28.30,ATS,28.30,28.30,28.30,500.00
11/04/2019,28.10,ATS,28.10,28.10,28.10,500.00
10/04/2019,28.00,ATS,28.00,28.00,28.00,800.00
09/04/2019,28.00,ATS,28.00,28.00,28.00,500.00
08/04/2019,28.00,ATS,30.00,30.00,28.00,1100.00
05/04/2019,30.00,ATS,30.00,30.00,30.00,600.00
04/04/2019,28.50,ATS,28.50,28.50,28.50,100.00
03/04/2019,31.20,ATS,31.20,31.20,31.20,0.00
02/04/2019,31.20,ATS,31.20,31.20,31.20,0.00
01/04/2019,31.20,ATS,31.20,31.20,31.20,100.00
29/03/2019,34.30,ATS,34.30,34.30,34.30,500.00
28/03/2019,34.40,ATS,34.40,34.40,34.40,500.00
27/03/2019,34.30,ATS,34.30,34.30,34.30,500.00
26/03/2019,34.30,ATS,34.30,34.30,34.30,100.00
25/03/2019,38.10,ATS,38.10,38.10,38.10,500.00
22/03/2019,38.10,ATS,38.10,38.10,38.10,500.00
21/03/2019,38.10,ATS,38.10,38.10,38.10,600.00
20/03/2019,38.10,ATS,38.10,38.10,38.10,500.00
19/03/2019,38.10,ATS,38.10,38.10,38.10,600.00
18/03/2019,38.00,ATS,38.00,38.00,38.00,500.00
15/03/2019,38.00,ATS,38.00,38.00,38.00,600.00
14/03/2019,38.00,ATS,38.00,38.00,38.00,500.00
13/03/2019,38.00,ATS,38.00,38.00,38.00,800.00
12/03/2019,38.40,ATS,38.40,38.40,38.40,500.00
11/03/2019,38.40,ATS,38.20,38.40,38.20,5500.00
08/03/2019,38.40,ATS,38.40,38.40,38.40,500.00
07/03/2019,38.50,ATS,38.40,38.50,38.40,700.00
