DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
03/05/2012,1.40,BAS,1.40,1.40,1.40,0.00
02/05/2012,1.50,BAS,1.50,1.50,1.50,70310.00
27/04/2012,1.40,BAS,1.40,1.40,1.40,36740.00
26/04/2012,1.30,BAS,1.30,1.30,1.30,20560.00
25/04/2012,1.20,BAS,1.20,1.20,1.20,36780.00
24/04/2012,1.10,BAS,1.10,1.10,1.10,93500.00
23/04/2012,1.00,BAS,1.00,1.00,1.00,29310.00
20/04/2012,0.90,BAS,0.90,0.90,0.90,6970.00
19/04/2012,0.80,BAS,0.80,0.80,0.80,28230.00
18/04/2012,0.90,BAS,0.90,0.90,0.90,106460.00
17/04/2012,1.00,BAS,1.00,1.00,1.00,0.00
16/04/2012,1.00,BAS,1.00,1.00,1.00,7260.00
13/04/2012,1.10,BAS,1.10,1.10,1.10,33310.00
12/04/2012,1.10,BAS,1.10,1.10,1.10,19000.00
11/04/2012,1.00,BAS,1.00,1.00,1.00,13140.00
10/04/2012,0.90,BAS,0.90,0.90,0.90,12460.00
09/04/2012,0.80,BAS,0.80,0.80,0.80,35020.00
06/04/2012,0.90,BAS,0.90,0.90,0.90,37250.00
05/04/2012,1.00,BAS,1.00,1.00,1.00,48690.00
04/04/2012,1.10,BAS,1.10,1.10,1.10,99400.00
03/04/2012,1.20,BAS,1.20,1.20,1.20,5530.00
30/03/2012,1.30,BAS,1.30,1.30,1.30,5110.00
29/03/2012,1.40,BAS,1.40,1.40,1.40,65930.00
28/03/2012,1.30,BAS,1.30,1.30,1.30,32850.00
27/03/2012,1.20,BAS,1.20,1.20,1.20,52220.00
26/03/2012,1.10,BAS,1.10,1.10,1.10,26660.00
23/03/2012,1.00,BAS,1.00,1.00,1.00,20610.00
22/03/2012,1.10,BAS,1.10,1.10,1.10,17530.00
21/03/2012,1.10,BAS,1.10,1.10,1.10,30730.00
20/03/2012,1.20,BAS,1.20,1.20,1.20,18910.00
19/03/2012,1.10,BAS,1.10,1.10,1.10,41450.00
16/03/2012,1.10,BAS,1.10,1.10,1.10,1110.00
15/03/2012,1.00,BAS,1.00,1.00,1.00,3760.00
14/03/2012,1.10,BAS,1.10,1.10,1.10,1330.00
13/03/2012,1.20,BAS,1.20,1.20,1.20,40830.00
12/03/2012,1.10,BAS,1.10,1.10,1.10,14700.00
09/03/2012,1.00,BAS,1.00,1.00,1.00,10970.00
08/03/2012,1.00,BAS,1.00,1.00,1.00,4020.00
07/03/2012,1.10,BAS,1.10,1.10,1.10,15810.00
06/03/2012,1.20,BAS,1.20,1.20,1.20,20540.00
05/03/2012,1.10,BAS,1.10,1.10,1.10,8100.00
02/03/2012,1.00,BAS,1.00,1.00,1.00,56830.00
01/03/2012,0.90,BAS,0.90,0.90,0.90,6080.00
29/02/2012,0.90,BAS,0.90,0.90,0.90,12170.00
28/02/2012,0.80,BAS,0.80,0.80,0.80,31450.00
27/02/2012,0.90,BAS,0.90,0.90,0.90,21100.00
24/02/2012,0.90,BAS,0.90,0.90,0.90,25980.00
23/02/2012,0.90,BAS,0.90,0.90,0.90,23020.00
