DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,40.00,BAX,40.00,40.00,39.90,4900.00
25/04/2019,38.70,BAX,38.10,38.70,38.10,1100.00
24/04/2019,40.50,BAX,40.50,40.50,40.50,500.00
23/04/2019,44.90,BAX,38.10,44.90,38.10,700.00
22/04/2019,41.10,BAX,42.50,42.50,41.10,4500.00
19/04/2019,45.60,BAX,45.60,45.60,45.60,0.00
18/04/2019,45.60,BAX,46.90,46.90,45.60,800.00
17/04/2019,46.80,BAX,46.50,46.80,46.00,4600.00
16/04/2019,45.30,BAX,44.90,45.30,44.90,800.00
12/04/2019,44.70,BAX,44.70,44.70,44.70,5600.00
11/04/2019,40.70,BAX,40.70,40.70,37.20,7600.00
10/04/2019,37.00,BAX,37.00,37.00,37.00,0.00
09/04/2019,37.00,BAX,37.00,37.00,37.00,2300.00
08/04/2019,36.00,BAX,35.00,36.00,35.00,4700.00
05/04/2019,34.50,BAX,34.50,34.50,34.50,0.00
04/04/2019,34.50,BAX,34.50,34.50,34.50,0.00
03/04/2019,34.50,BAX,34.50,34.50,34.50,0.00
02/04/2019,34.50,BAX,34.50,34.50,34.50,0.00
01/04/2019,34.50,BAX,34.50,34.50,34.50,0.00
29/03/2019,34.50,BAX,34.50,34.50,34.50,0.00
28/03/2019,34.50,BAX,34.50,34.50,34.50,0.00
27/03/2019,34.50,BAX,34.50,34.50,34.50,0.00
26/03/2019,34.50,BAX,34.50,34.50,34.50,0.00
25/03/2019,34.50,BAX,34.50,34.50,34.50,0.00
22/03/2019,34.50,BAX,34.50,34.50,34.50,0.00
21/03/2019,34.50,BAX,34.50,34.50,34.50,0.00
20/03/2019,34.50,BAX,34.50,34.50,34.50,0.00
19/03/2019,34.50,BAX,34.50,34.50,34.50,0.00
18/03/2019,34.50,BAX,34.50,34.50,34.50,0.00
15/03/2019,34.50,BAX,34.50,34.50,34.50,0.00
14/03/2019,34.50,BAX,34.50,34.50,34.50,100.00
13/03/2019,34.00,BAX,34.00,34.00,34.00,0.00
12/03/2019,34.00,BAX,34.00,34.00,34.00,600.00
11/03/2019,32.00,BAX,32.00,32.00,32.00,500.00
08/03/2019,30.00,BAX,30.00,30.00,30.00,300.00
07/03/2019,28.00,BAX,28.00,28.00,28.00,0.00
06/03/2019,28.00,BAX,28.00,28.00,28.00,0.00
05/03/2019,28.00,BAX,28.00,28.00,28.00,0.00
04/03/2019,28.00,BAX,28.00,28.00,28.00,0.00
01/03/2019,28.00,BAX,28.00,28.00,28.00,0.00
28/02/2019,28.00,BAX,28.00,28.00,28.00,0.00
27/02/2019,28.00,BAX,28.00,28.00,28.00,100.00
26/02/2019,27.00,BAX,27.00,27.00,27.00,0.00
25/02/2019,27.00,BAX,27.00,27.00,27.00,0.00
22/02/2019,27.00,BAX,27.00,27.00,27.00,0.00
21/02/2019,27.00,BAX,27.00,27.00,27.00,60.00
20/02/2019,27.00,BAX,27.00,27.00,27.00,0.00
19/02/2019,27.00,BAX,27.00,27.00,27.00,0.00
18/02/2019,27.00,BAX,27.00,27.00,27.00,60.00
