DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,18.10,BBT,18.10,18.10,18.10,0.00
25/04/2019,18.10,BBT,18.10,18.10,18.10,100.00
24/04/2019,18.10,BBT,18.10,18.10,18.10,0.00
23/04/2019,18.10,BBT,18.10,18.10,18.10,2100.00
22/04/2019,17.60,BBT,17.60,17.60,17.60,2000.00
19/04/2019,16.50,BBT,17.80,17.80,16.50,600.00
18/04/2019,19.60,BBT,17.50,19.60,16.10,400.00
17/04/2019,18.00,BBT,18.00,18.00,18.00,5500.00
16/04/2019,18.00,BBT,18.10,18.10,18.00,1700.00
12/04/2019,18.10,BBT,18.10,18.10,18.10,5030.00
11/04/2019,18.10,BBT,18.10,18.10,18.10,200.00
10/04/2019,18.10,BBT,18.10,18.10,18.10,20.00
09/04/2019,18.00,BBT,18.10,18.20,18.00,810.00
08/04/2019,20.20,BBT,20.20,20.20,20.20,0.00
05/04/2019,20.20,BBT,20.20,20.20,20.20,62.00
04/04/2019,17.60,BBT,18.50,21.20,17.60,700.00
03/04/2019,18.50,BBT,18.50,18.50,18.50,0.00
02/04/2019,19.00,BBT,18.00,19.00,18.00,1003.00
01/04/2019,19.00,BBT,19.00,19.50,19.00,700.00
29/03/2019,19.60,BBT,19.60,19.60,19.60,152.00
28/03/2019,17.50,BBT,17.50,17.50,17.50,0.00
27/03/2019,17.50,BBT,17.50,17.50,17.50,300.00
26/03/2019,18.00,BBT,18.00,18.00,18.00,198.00
25/03/2019,18.00,BBT,18.00,18.00,18.00,700.00
22/03/2019,17.90,BBT,17.90,17.90,17.90,350.00
21/03/2019,19.00,BBT,18.10,19.00,17.50,700.00
20/03/2019,19.00,BBT,19.00,19.00,19.00,0.00
19/03/2019,19.00,BBT,19.00,19.00,19.00,1030.00
18/03/2019,19.00,BBT,19.00,19.00,19.00,600.00
15/03/2019,18.60,BBT,18.60,18.60,18.60,300.00
14/03/2019,18.60,BBT,18.50,18.60,18.50,1300.00
13/03/2019,19.60,BBT,19.60,19.60,19.60,0.00
12/03/2019,19.60,BBT,19.60,19.60,19.60,0.00
11/03/2019,19.60,BBT,19.50,19.60,19.50,1350.00
08/03/2019,19.60,BBT,19.60,19.60,19.60,0.00
