DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,8.30,BCC,8.20,8.40,8.20,203166.00
25/04/2019,8.20,BCC,8.30,8.40,8.10,141930.00
24/04/2019,8.30,BCC,8.10,8.30,8.10,333120.00
23/04/2019,8.10,BCC,8.40,8.60,8.10,441092.00
22/04/2019,8.50,BCC,8.70,8.70,8.40,249375.00
19/04/2019,8.80,BCC,8.70,8.80,8.50,318480.00
18/04/2019,8.70,BCC,8.60,8.70,8.40,445635.00
17/04/2019,8.70,BCC,8.80,9.10,8.70,362789.00
16/04/2019,8.90,BCC,8.80,9.10,8.70,313421.00
12/04/2019,8.90,BCC,8.70,9.20,8.60,588385.00
11/04/2019,8.70,BCC,8.70,8.70,8.60,166615.00
10/04/2019,8.70,BCC,8.40,8.70,8.40,261121.00
09/04/2019,8.60,BCC,8.80,8.90,8.40,491990.00
08/04/2019,9.00,BCC,9.60,9.60,8.70,300120.00
05/04/2019,9.00,BCC,8.60,9.10,8.60,894796.00
04/04/2019,8.40,BCC,7.80,8.40,7.70,997116.00
03/04/2019,7.70,BCC,7.80,7.80,7.70,90400.00
02/04/2019,7.80,BCC,7.80,7.90,7.70,151770.00
01/04/2019,7.80,BCC,7.90,7.90,7.60,175901.00
29/03/2019,7.90,BCC,7.90,8.00,7.80,80542.00
28/03/2019,7.80,BCC,7.90,7.90,7.80,54300.00
27/03/2019,7.90,BCC,7.80,8.00,7.80,41645.00
26/03/2019,7.80,BCC,7.80,8.00,7.70,132455.00
25/03/2019,7.70,BCC,7.80,7.80,7.40,251100.00
22/03/2019,7.90,BCC,7.80,7.90,7.70,103780.00
21/03/2019,7.80,BCC,8.20,8.40,7.80,316161.00
20/03/2019,8.20,BCC,8.10,8.20,7.90,302822.00
19/03/2019,8.10,BCC,7.90,8.30,7.80,723253.00
18/03/2019,7.80,BCC,7.50,8.10,7.50,361880.00
15/03/2019,7.70,BCC,7.10,7.90,7.10,899831.00
14/03/2019,7.20,BCC,7.10,7.20,7.00,82830.00
13/03/2019,7.20,BCC,7.20,7.40,7.00,660140.00
12/03/2019,7.20,BCC,7.00,7.30,7.00,258975.00
11/03/2019,7.00,BCC,7.10,7.20,7.00,165140.00
08/03/2019,7.10,BCC,7.10,7.20,7.00,135845.00
07/03/2019,7.10,BCC,7.10,7.30,7.00,425255.00
06/03/2019,7.10,BCC,7.00,7.10,6.90,57517.00
05/03/2019,6.90,BCC,7.00,7.10,6.90,512330.00
04/03/2019,6.90,BCC,6.80,7.20,6.80,260396.00
01/03/2019,6.80,BCC,6.80,6.90,6.80,18185.00
28/02/2019,6.80,BCC,6.90,6.90,6.80,65395.00
27/02/2019,6.90,BCC,6.70,6.90,6.70,85800.00
26/02/2019,6.80,BCC,6.70,6.80,6.60,34370.00
25/02/2019,6.80,BCC,6.90,7.00,6.80,19133.00
22/02/2019,6.90,BCC,7.00,7.00,6.50,214632.00
21/02/2019,7.10,BCC,7.10,7.10,6.90,129028.00
20/02/2019,7.00,BCC,7.00,7.20,7.00,143940.00
19/02/2019,7.00,BCC,7.40,7.40,7.00,362000.00
18/02/2019,7.30,BCC,6.90,7.40,6.90,306935.00
15/02/2019,6.90,BCC,6.80,6.90,6.80,49308.00
14/02/2019,6.80,BCC,6.70,6.80,6.60,70380.00
13/02/2019,6.80,BCC,6.80,6.80,6.70,49900.00
12/02/2019,6.90,BCC,6.80,6.90,6.70,48580.00
11/02/2019,6.90,BCC,6.80,6.90,6.80,18100.00
01/02/2019,6.80,BCC,6.70,6.80,6.70,2000.00
31/01/2019,6.80,BCC,6.70,6.80,6.70,745.00
30/01/2019,6.70,BCC,6.70,6.80,6.70,16200.00
29/01/2019,6.70,BCC,6.60,6.70,6.50,12600.00
28/01/2019,6.50,BCC,6.50,6.50,6.50,3200.00
25/01/2019,6.60,BCC,6.60,6.60,6.50,2635.00
24/01/2019,6.50,BCC,6.60,6.60,6.50,10390.00
23/01/2019,6.60,BCC,6.60,6.60,6.50,16784.00
22/01/2019,6.60,BCC,6.70,6.70,6.60,32930.00
21/01/2019,6.70,BCC,6.70,6.70,6.60,17956.00
18/01/2019,6.60,BCC,6.70,6.70,6.60,9140.00
17/01/2019,6.70,BCC,6.70,6.70,6.60,5400.00
16/01/2019,6.70,BCC,6.70,6.70,6.70,100.00
15/01/2019,6.80,BCC,6.60,6.80,6.60,5077.00
14/01/2019,6.80,BCC,6.80,6.80,6.80,3040.00
11/01/2019,6.80,BCC,6.50,6.90,6.50,55803.00
10/01/2019,6.50,BCC,6.50,6.60,6.50,22150.00
09/01/2019,6.60,BCC,6.50,6.60,6.50,15055.00
08/01/2019,6.50,BCC,6.50,6.50,6.50,4050.00
07/01/2019,6.60,BCC,6.60,6.60,6.50,14022.00
04/01/2019,6.60,BCC,6.50,6.60,6.40,33100.00
03/01/2019,6.50,BCC,6.50,6.50,6.40,65600.00
02/01/2019,6.50,BCC,6.70,6.70,6.50,71305.00
28/12/2018,6.50,BCC,6.60,6.60,6.50,10700.00
27/12/2018,6.60,BCC,6.60,6.70,6.50,18800.00
26/12/2018,6.50,BCC,6.50,6.70,6.50,27610.00
25/12/2018,6.50,BCC,6.50,6.80,6.50,6680.00
24/12/2018,6.80,BCC,6.90,6.90,6.70,12500.00
21/12/2018,6.90,BCC,6.90,6.90,6.90,10500.00
