DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,6.50,BCG,6.25,6.50,5.95,753040.00
25/04/2019,6.27,BCG,6.30,6.35,6.20,2729860.00
24/04/2019,6.30,BCG,6.40,6.40,6.20,3187190.00
23/04/2019,6.33,BCG,6.20,6.34,6.16,1646230.00
22/04/2019,6.20,BCG,6.30,6.31,6.08,691720.00
19/04/2019,6.30,BCG,6.00,6.30,5.80,1090720.00
18/04/2019,5.92,BCG,6.20,6.20,5.91,517970.00
17/04/2019,6.17,BCG,6.59,6.59,6.17,633650.00
16/04/2019,6.59,BCG,6.74,6.74,6.40,675320.00
12/04/2019,6.80,BCG,6.70,6.80,6.40,1276820.00
11/04/2019,6.70,BCG,6.65,6.98,6.60,1359660.00
10/04/2019,6.65,BCG,6.28,6.65,6.12,811380.00
09/04/2019,6.27,BCG,6.27,6.35,6.15,624550.00
08/04/2019,6.27,BCG,6.50,6.53,6.26,437450.00
05/04/2019,6.50,BCG,6.50,6.60,6.41,464480.00
04/04/2019,6.50,BCG,6.18,6.60,6.00,722330.00
03/04/2019,6.18,BCG,6.15,6.18,6.05,537090.00
02/04/2019,6.12,BCG,6.06,6.17,6.05,640280.00
01/04/2019,6.06,BCG,6.04,6.20,6.00,510450.00
29/03/2019,6.01,BCG,6.28,6.28,6.00,383060.00
28/03/2019,6.00,BCG,5.59,6.00,5.51,688740.00
27/03/2019,5.61,BCG,5.50,5.64,5.48,101200.00
26/03/2019,5.48,BCG,5.46,5.48,5.42,127470.00
25/03/2019,5.46,BCG,5.50,5.51,5.40,165680.00
22/03/2019,5.51,BCG,5.49,5.53,5.49,88520.00
21/03/2019,5.50,BCG,5.60,5.80,5.50,118660.00
20/03/2019,5.60,BCG,5.75,5.75,5.60,69200.00
19/03/2019,5.71,BCG,5.50,5.83,5.50,109380.00
18/03/2019,5.50,BCG,5.52,5.54,5.48,146210.00
15/03/2019,5.50,BCG,5.48,5.50,5.45,129500.00
14/03/2019,5.48,BCG,5.58,5.58,5.45,108050.00
13/03/2019,5.48,BCG,5.50,5.53,5.44,154930.00
12/03/2019,5.53,BCG,5.60,5.61,5.52,101470.00
11/03/2019,5.58,BCG,5.60,5.61,5.56,106540.00
08/03/2019,5.60,BCG,5.59,5.65,5.57,145380.00
07/03/2019,5.60,BCG,5.62,5.64,5.58,138710.00
06/03/2019,5.64,BCG,5.68,5.68,5.57,128950.00
05/03/2019,5.68,BCG,5.65,5.69,5.60,164350.00
04/03/2019,5.68,BCG,5.58,5.68,5.55,118850.00
01/03/2019,5.61,BCG,5.58,5.64,5.30,100560.00
28/02/2019,5.61,BCG,5.70,5.70,5.60,75730.00
27/02/2019,5.68,BCG,5.63,5.80,5.60,201040.00
26/02/2019,5.64,BCG,5.70,5.72,5.35,122250.00
25/02/2019,5.74,BCG,5.81,5.81,5.72,111710.00
22/02/2019,5.76,BCG,5.80,5.80,5.50,110430.00
21/02/2019,5.80,BCG,5.93,5.93,5.55,75620.00
20/02/2019,5.95,BCG,6.09,6.10,5.95,99860.00
19/02/2019,5.98,BCG,6.19,6.19,5.98,117600.00
18/02/2019,6.18,BCG,6.19,6.19,6.10,95490.00
15/02/2019,6.15,BCG,6.19,6.19,6.08,96220.00
14/02/2019,6.15,BCG,6.15,6.15,6.00,181290.00
13/02/2019,6.15,BCG,6.30,6.35,6.07,246540.00
12/02/2019,6.40,BCG,6.56,6.56,6.40,38280.00
11/02/2019,6.56,BCG,6.56,6.56,6.40,163690.00
01/02/2019,6.56,BCG,6.15,6.56,5.90,201480.00
31/01/2019,6.14,BCG,6.20,6.21,6.00,154910.00
30/01/2019,6.17,BCG,6.20,6.20,6.00,115130.00
29/01/2019,6.20,BCG,5.75,6.20,5.60,382670.00
28/01/2019,5.96,BCG,6.40,6.42,5.96,211590.00
25/01/2019,6.39,BCG,6.39,6.45,6.20,364090.00
24/01/2019,6.40,BCG,6.35,6.44,6.20,748330.00
23/01/2019,6.30,BCG,5.99,6.40,5.79,416990.00
22/01/2019,5.99,BCG,6.01,6.07,5.90,136830.00
21/01/2019,6.00,BCG,5.50,6.00,5.50,772950.00
18/01/2019,5.64,BCG,5.10,5.64,5.03,584670.00
17/01/2019,5.29,BCG,4.91,5.29,4.89,120160.00
16/01/2019,4.95,BCG,5.00,5.00,4.95,92650.00
15/01/2019,5.00,BCG,5.00,5.01,4.95,68070.00
14/01/2019,5.01,BCG,5.02,5.03,4.95,11810.00
11/01/2019,5.00,BCG,4.95,5.00,4.93,36140.00
10/01/2019,4.95,BCG,5.17,5.17,4.95,38730.00
09/01/2019,5.10,BCG,5.19,5.19,5.00,45570.00
08/01/2019,5.20,BCG,5.20,5.20,5.00,56770.00
07/01/2019,5.20,BCG,5.18,5.30,5.09,48900.00
04/01/2019,5.30,BCG,5.05,5.30,4.66,62330.00
03/01/2019,5.00,BCG,5.16,5.30,4.80,383340.00
02/01/2019,5.16,BCG,5.54,5.55,5.16,121280.00
28/12/2018,5.54,BCG,5.55,5.55,5.40,118530.00
27/12/2018,5.40,BCG,5.53,5.60,5.40,168040.00
26/12/2018,5.53,BCG,5.55,5.55,5.40,162210.00
25/12/2018,5.53,BCG,5.55,5.55,5.18,117010.00
24/12/2018,5.55,BCG,5.35,5.65,5.35,131860.00
21/12/2018,5.48,BCG,5.13,5.48,5.13,117160.00
20/12/2018,5.51,BCG,5.48,5.67,5.45,127190.00
19/12/2018,5.50,BCG,5.74,5.75,5.48,115850.00
18/12/2018,5.60,BCG,5.77,6.02,5.35,426330.00
17/12/2018,5.75,BCG,5.97,5.97,5.75,156180.00
14/12/2018,5.97,BCG,6.00,6.00,5.90,132410.00
13/12/2018,6.00,BCG,6.00,6.05,5.95,136770.00
12/12/2018,6.00,BCG,5.99,6.06,5.91,163210.00
11/12/2018,5.99,BCG,5.99,6.00,5.91,86100.00
10/12/2018,5.99,BCG,5.90,6.00,5.85,109270.00
07/12/2018,5.90,BCG,5.90,5.94,5.82,108970.00
06/12/2018,5.92,BCG,5.97,5.97,5.80,120370.00
05/12/2018,5.97,BCG,5.95,5.99,5.88,129290.00
04/12/2018,6.00,BCG,6.02,6.03,5.90,119290.00
03/12/2018,6.02,BCG,6.07,6.10,5.88,186880.00
30/11/2018,6.04,BCG,6.10,6.10,5.90,119350.00
29/11/2018,6.10,BCG,6.14,6.18,5.97,156570.00
28/11/2018,6.14,BCG,6.10,6.14,5.98,163440.00
27/11/2018,6.10,BCG,6.18,6.18,5.98,123340.00
26/11/2018,6.10,BCG,5.90,6.26,5.90,153590.00
23/11/2018,5.90,BCG,5.90,5.93,5.80,115000.00
22/11/2018,5.90,BCG,5.89,5.96,5.79,167130.00
21/11/2018,5.86,BCG,5.90,5.90,5.75,110620.00
