DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
22/02/2018,41.90,BCI,41.60,41.90,41.10,51340.00
21/02/2018,41.60,BCI,41.50,42.00,41.50,4760.00
13/02/2018,41.60,BCI,41.00,41.60,40.90,32490.00
12/02/2018,41.00,BCI,41.00,41.00,41.00,11520.00
09/02/2018,41.00,BCI,42.00,42.45,41.00,172930.00
08/02/2018,41.00,BCI,40.00,41.00,39.70,28080.00
07/02/2018,40.00,BCI,42.00,42.90,40.00,38700.00
06/02/2018,42.00,BCI,41.00,42.00,39.25,28320.00
05/02/2018,42.20,BCI,43.20,43.50,42.20,27980.00
02/02/2018,43.60,BCI,43.50,44.00,43.50,14990.00
01/02/2018,43.60,BCI,44.00,44.10,43.50,14110.00
31/01/2018,44.00,BCI,44.00,45.00,42.60,12590.00
30/01/2018,44.90,BCI,44.00,44.90,42.00,8540.00
29/01/2018,44.00,BCI,46.50,47.80,42.60,6840.00
26/01/2018,44.70,BCI,44.00,44.70,44.00,38090.00
25/01/2018,41.80,BCI,40.00,42.80,40.00,137050.00
22/01/2018,40.00,BCI,41.75,41.75,40.00,30410.00
19/01/2018,39.05,BCI,36.50,39.05,36.50,28790.00
18/01/2018,36.50,BCI,37.00,37.00,36.20,6360.00
17/01/2018,37.00,BCI,37.00,37.00,36.00,12080.00
16/01/2018,36.50,BCI,38.00,38.00,36.20,11850.00
15/01/2018,36.50,BCI,36.00,38.00,34.20,12720.00
12/01/2018,36.50,BCI,36.00,38.50,36.00,12900.00
11/01/2018,36.00,BCI,34.00,36.50,34.00,29630.00
10/01/2018,35.25,BCI,35.50,35.90,35.20,3530.00
09/01/2018,35.60,BCI,34.00,35.60,34.00,20190.00
08/01/2018,35.60,BCI,34.50,36.00,34.50,14390.00
05/01/2018,34.10,BCI,36.00,36.00,34.10,11200.00
04/01/2018,35.50,BCI,35.50,36.00,35.50,12400.00
03/01/2018,35.50,BCI,34.40,35.50,34.40,15010.00
02/01/2018,34.40,BCI,34.00,34.95,34.00,1880.00
29/12/2017,34.50,BCI,35.00,35.00,34.30,3710.00
28/12/2017,34.50,BCI,34.00,35.00,33.10,3760.00
27/12/2017,34.00,BCI,34.90,36.00,34.00,1810.00
26/12/2017,34.10,BCI,34.10,35.00,34.10,2210.00
25/12/2017,35.75,BCI,35.80,35.80,35.75,1300.00
22/12/2017,33.50,BCI,33.10,33.60,33.10,2060.00
21/12/2017,33.50,BCI,34.50,35.00,33.50,4500.00
20/12/2017,34.50,BCI,33.20,35.60,33.20,6200.00
19/12/2017,34.00,BCI,35.90,35.90,33.60,3480.00
18/12/2017,34.90,BCI,33.00,35.40,33.00,1800.00
15/12/2017,34.00,BCI,34.00,34.50,33.60,5530.00
14/12/2017,34.00,BCI,36.40,36.40,33.80,8510.00
13/12/2017,34.10,BCI,34.50,34.50,34.00,3150.00
12/12/2017,34.00,BCI,33.90,35.00,33.90,56500.00
11/12/2017,34.50,BCI,33.00,35.00,33.00,40980.00
08/12/2017,33.60,BCI,33.10,33.70,33.10,4820.00
07/12/2017,34.00,BCI,33.00,34.00,32.85,18180.00
06/12/2017,32.70,BCI,32.70,32.80,32.70,12050.00
05/12/2017,33.00,BCI,33.50,33.50,33.00,4830.00
04/12/2017,33.50,BCI,33.20,34.50,33.20,12890.00
01/12/2017,34.80,BCI,32.10,34.80,32.10,8500.00
30/11/2017,32.60,BCI,34.90,35.00,32.20,22370.00
29/11/2017,32.80,BCI,33.00,34.25,32.80,12700.00
28/11/2017,35.00,BCI,34.55,36.00,34.55,15890.00
27/11/2017,35.30,BCI,34.30,35.30,34.30,4300.00
24/11/2017,35.15,BCI,32.90,35.15,32.90,17870.00
23/11/2017,32.90,BCI,31.75,33.00,31.75,17200.00
22/11/2017,33.00,BCI,33.00,33.00,31.90,9300.00
21/11/2017,32.00,BCI,31.85,32.45,31.85,106610.00
20/11/2017,31.75,BCI,31.30,32.70,31.30,34190.00
17/11/2017,31.60,BCI,31.50,31.60,31.50,1390.00
