DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,36.30,BDG,36.30,36.30,36.30,0.00
25/04/2019,36.30,BDG,36.30,36.30,36.30,0.00
24/04/2019,36.30,BDG,36.30,36.30,36.30,0.00
23/04/2019,36.30,BDG,36.30,36.30,36.30,100.00
22/04/2019,38.00,BDG,38.00,38.00,38.00,0.00
19/04/2019,38.00,BDG,38.00,38.00,38.00,100.00
18/04/2019,38.90,BDG,38.90,38.90,38.90,0.00
17/04/2019,38.90,BDG,38.90,38.90,38.90,100.00
16/04/2019,36.30,BDG,36.30,36.30,36.30,100.00
12/04/2019,39.50,BDG,39.50,39.50,39.50,100.00
11/04/2019,36.30,BDG,36.30,36.30,36.30,100.00
10/04/2019,39.00,BDG,39.00,39.00,39.00,0.00
09/04/2019,39.00,BDG,39.00,39.00,39.00,200.00
08/04/2019,38.20,BDG,38.20,38.20,38.20,100.00
05/04/2019,39.40,BDG,39.40,39.40,39.40,0.00
04/04/2019,39.40,BDG,39.40,39.40,39.40,0.00
03/04/2019,39.00,BDG,40.00,40.00,39.00,600.00
02/04/2019,40.30,BDG,36.10,40.30,36.10,1003.00
01/04/2019,39.50,BDG,39.50,39.50,39.50,200.00
29/03/2019,35.80,BDG,35.80,35.80,35.80,100.00
28/03/2019,41.00,BDG,41.00,41.00,41.00,100.00
27/03/2019,35.80,BDG,35.80,35.80,35.80,100.00
26/03/2019,42.10,BDG,42.10,42.10,42.10,0.00
25/03/2019,42.10,BDG,42.10,42.10,42.10,0.00
22/03/2019,42.20,BDG,42.00,42.20,42.00,1100.00
21/03/2019,41.90,BDG,41.90,41.90,41.90,0.00
20/03/2019,41.90,BDG,41.90,41.90,41.90,0.00
19/03/2019,41.00,BDG,42.00,42.50,41.00,1200.00
18/03/2019,40.00,BDG,40.00,40.00,40.00,0.00
15/03/2019,40.00,BDG,40.00,40.00,40.00,0.00
14/03/2019,40.00,BDG,39.90,40.00,39.90,400.00
13/03/2019,39.00,BDG,39.00,39.00,39.00,300.00
12/03/2019,38.10,BDG,38.10,38.10,38.10,0.00
11/03/2019,38.10,BDG,38.10,38.10,38.10,0.00
08/03/2019,38.10,BDG,38.10,38.10,38.10,0.00
07/03/2019,38.10,BDG,38.10,38.10,38.10,0.00
06/03/2019,38.10,BDG,38.10,38.10,38.10,0.00
05/03/2019,38.10,BDG,38.10,38.10,38.10,1.00
04/03/2019,38.10,BDG,38.10,38.10,38.10,0.00
01/03/2019,38.10,BDG,38.10,38.10,38.10,1.00
28/02/2019,38.10,BDG,38.10,38.10,38.10,0.00
27/02/2019,38.10,BDG,38.10,38.10,38.10,100.00
26/02/2019,37.20,BDG,37.20,37.20,37.20,3.00
25/02/2019,38.00,BDG,36.30,38.00,36.30,200.00
22/02/2019,40.00,BDG,34.80,40.00,34.80,400.00
21/02/2019,39.00,BDG,39.00,39.00,39.00,0.00
20/02/2019,39.00,BDG,39.00,39.00,39.00,1500.00
19/02/2019,38.80,BDG,32.60,38.80,32.60,1001.00
18/02/2019,38.10,BDG,38.10,38.10,38.10,0.00
15/02/2019,38.10,BDG,38.10,38.10,38.10,100.00
14/02/2019,33.20,BDG,33.20,33.20,33.20,100.00
13/02/2019,36.90,BDG,36.90,36.90,36.90,0.00
12/02/2019,36.90,BDG,36.90,36.90,36.90,0.00
11/02/2019,36.90,BDG,36.90,36.90,36.90,0.00
01/02/2019,36.90,BDG,36.90,36.90,36.90,100.00
31/01/2019,33.10,BDG,33.10,33.10,33.10,0.00
30/01/2019,33.10,BDG,33.10,33.10,33.10,0.00
29/01/2019,33.10,BDG,33.10,33.10,33.10,100.00
28/01/2019,38.00,BDG,38.00,38.00,38.00,0.00
25/01/2019,38.00,BDG,38.00,38.00,38.00,0.00
24/01/2019,38.00,BDG,38.00,38.00,38.00,0.00
23/01/2019,38.00,BDG,38.00,38.00,38.00,100.00
22/01/2019,37.80,BDG,37.80,37.80,37.80,0.00
21/01/2019,37.80,BDG,37.80,37.80,37.80,0.00
18/01/2019,38.00,BDG,32.20,40.00,32.20,900.00
17/01/2019,36.00,BDG,36.00,36.00,36.00,0.00
16/01/2019,36.00,BDG,36.00,36.00,36.00,0.00
15/01/2019,36.00,BDG,36.00,36.00,36.00,400.00
