DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,48.00,BED,48.00,48.00,48.00,0.00
25/04/2019,48.00,BED,48.00,48.00,48.00,0.00
24/04/2019,48.00,BED,48.00,48.00,48.00,0.00
23/04/2019,48.00,BED,48.00,48.00,48.00,100.00
22/04/2019,48.00,BED,47.90,52.50,47.90,1000.00
19/04/2019,57.20,BED,57.20,57.20,57.20,0.00
18/04/2019,57.20,BED,57.00,57.20,57.00,700.00
17/04/2019,52.00,BED,52.00,52.00,52.00,400.00
16/04/2019,47.30,BED,47.30,47.30,47.30,100.00
12/04/2019,43.00,BED,43.00,43.00,43.00,0.00
11/04/2019,43.00,BED,43.00,43.00,43.00,0.00
10/04/2019,43.00,BED,43.00,43.00,43.00,0.00
09/04/2019,43.00,BED,43.00,43.00,43.00,0.00
08/04/2019,43.00,BED,43.00,43.00,43.00,0.00
05/04/2019,43.00,BED,43.00,43.00,43.00,0.00
04/04/2019,43.00,BED,43.00,43.00,43.00,0.00
03/04/2019,43.00,BED,43.00,43.00,43.00,0.00
02/04/2019,43.00,BED,43.00,43.00,43.00,0.00
01/04/2019,43.00,BED,43.00,43.00,43.00,0.00
29/03/2019,43.00,BED,43.00,43.00,43.00,0.00
28/03/2019,43.00,BED,43.00,43.00,43.00,0.00
27/03/2019,43.00,BED,43.00,43.00,43.00,0.00
26/03/2019,43.00,BED,43.00,43.00,43.00,0.00
25/03/2019,43.00,BED,43.00,43.00,43.00,90.00
22/03/2019,43.00,BED,43.00,43.00,43.00,0.00
21/03/2019,43.00,BED,43.00,43.00,43.00,0.00
20/03/2019,43.00,BED,43.00,43.00,43.00,0.00
19/03/2019,43.00,BED,43.00,43.00,43.00,0.00
18/03/2019,43.00,BED,43.00,43.00,43.00,0.00
15/03/2019,43.00,BED,43.00,43.00,43.00,0.00
14/03/2019,43.00,BED,43.00,43.00,43.00,0.00
13/03/2019,43.00,BED,43.00,43.00,43.00,0.00
12/03/2019,43.00,BED,43.00,43.00,43.00,50.00
11/03/2019,43.00,BED,43.00,43.00,43.00,1200.00
08/03/2019,43.40,BED,44.20,44.20,43.40,1400.00
07/03/2019,40.20,BED,40.20,40.20,40.20,100.00
