DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,82.00,BHN,80.00,82.00,80.00,920.00
25/04/2019,82.00,BHN,82.00,82.00,82.00,170.00
24/04/2019,82.00,BHN,81.50,82.00,81.50,410.00
23/04/2019,81.50,BHN,81.50,81.50,81.50,710.00
22/04/2019,80.10,BHN,81.70,82.00,80.10,5310.00
19/04/2019,81.90,BHN,81.90,81.90,81.90,0.00
18/04/2019,81.90,BHN,81.90,82.00,81.90,2150.00
17/04/2019,81.90,BHN,80.50,82.20,80.50,590.00
16/04/2019,82.40,BHN,82.40,82.40,82.40,0.00
12/04/2019,82.40,BHN,82.40,82.40,82.40,10.00
11/04/2019,81.50,BHN,82.00,82.00,81.50,290.00
10/04/2019,82.20,BHN,81.50,82.20,81.50,830.00
09/04/2019,82.00,BHN,82.00,82.00,81.90,1200.00
08/04/2019,82.40,BHN,82.40,82.40,82.40,100.00
05/04/2019,82.00,BHN,82.00,82.00,82.00,1470.00
04/04/2019,81.00,BHN,80.50,82.50,80.50,1510.00
03/04/2019,82.00,BHN,82.00,82.70,82.00,1340.00
02/04/2019,82.90,BHN,82.00,82.90,82.00,600.00
01/04/2019,82.50,BHN,82.10,83.20,82.00,410.00
29/03/2019,82.00,BHN,82.00,82.00,82.00,70.00
28/03/2019,83.30,BHN,81.30,83.50,81.30,590.00
27/03/2019,81.10,BHN,82.00,82.00,81.10,870.00
26/03/2019,82.00,BHN,82.00,82.90,82.00,2390.00
25/03/2019,82.00,BHN,82.10,82.10,80.10,1870.00
22/03/2019,82.10,BHN,80.10,82.10,80.10,1120.00
21/03/2019,82.00,BHN,82.00,82.00,82.00,50.00
20/03/2019,82.00,BHN,82.50,82.90,82.00,460.00
19/03/2019,82.50,BHN,82.00,82.90,82.00,2130.00
18/03/2019,82.00,BHN,82.00,82.20,82.00,4090.00
15/03/2019,80.30,BHN,82.20,82.30,80.30,400.00
14/03/2019,82.00,BHN,79.80,82.00,79.80,5130.00
13/03/2019,82.00,BHN,80.00,82.00,80.00,2650.00
12/03/2019,82.30,BHN,82.00,82.80,81.60,3230.00
11/03/2019,82.90,BHN,79.90,83.00,79.60,8710.00
08/03/2019,79.70,BHN,80.00,80.00,79.50,2130.00
07/03/2019,80.50,BHN,80.00,80.50,80.00,790.00
06/03/2019,80.60,BHN,80.90,80.90,79.60,1330.00
05/03/2019,80.90,BHN,80.00,80.90,79.90,1430.00
04/03/2019,80.00,BHN,80.00,80.00,79.50,870.00
01/03/2019,80.00,BHN,79.70,81.50,79.50,730.00
28/02/2019,79.90,BHN,79.70,80.00,79.60,580.00
27/02/2019,79.50,BHN,80.00,80.00,79.50,470.00
26/02/2019,80.00,BHN,80.10,80.10,80.00,60.00
25/02/2019,80.10,BHN,79.10,80.80,79.10,4260.00
22/02/2019,80.80,BHN,80.80,80.80,80.80,1190.00
21/02/2019,80.80,BHN,80.80,81.30,80.80,670.00
20/02/2019,80.80,BHN,82.00,82.00,80.80,530.00
19/02/2019,81.00,BHN,81.90,81.90,81.00,690.00
18/02/2019,82.20,BHN,82.50,82.60,80.00,1780.00
15/02/2019,82.60,BHN,83.50,83.50,80.50,1180.00
14/02/2019,82.20,BHN,83.80,83.80,82.20,80.00
13/02/2019,82.20,BHN,81.60,82.20,79.80,310.00
12/02/2019,81.60,BHN,81.50,81.70,80.00,430.00
11/02/2019,79.10,BHN,82.70,82.70,79.10,450.00
01/02/2019,83.90,BHN,83.90,83.90,83.90,10.00
31/01/2019,78.50,BHN,78.50,78.50,78.50,300.00
30/01/2019,80.80,BHN,80.00,80.80,78.10,700.00
29/01/2019,80.00,BHN,80.00,80.00,80.00,220.00
28/01/2019,80.00,BHN,79.10,80.30,79.10,130.00
25/01/2019,80.40,BHN,80.00,80.40,80.00,770.00
24/01/2019,80.40,BHN,80.00,80.60,80.00,720.00
23/01/2019,80.80,BHN,82.00,82.20,80.00,500.00
22/01/2019,82.30,BHN,82.30,82.30,82.30,50.00
21/01/2019,82.30,BHN,82.80,82.80,78.60,1450.00
18/01/2019,80.00,BHN,80.00,80.00,80.00,10.00
17/01/2019,83.20,BHN,83.20,83.20,83.20,0.00
16/01/2019,83.20,BHN,83.20,83.20,83.20,30.00
15/01/2019,83.20,BHN,78.50,83.20,78.50,170.00
14/01/2019,82.50,BHN,78.00,82.50,78.00,1270.00
11/01/2019,83.30,BHN,83.30,83.30,83.30,0.00
10/01/2019,83.30,BHN,83.30,83.30,83.30,0.00
09/01/2019,83.30,BHN,80.00,83.50,80.00,530.00
08/01/2019,83.30,BHN,80.90,83.30,80.90,20.00
07/01/2019,81.00,BHN,83.90,83.90,81.00,20.00
04/01/2019,81.00,BHN,80.00,81.00,80.00,1200.00
03/01/2019,80.10,BHN,80.10,80.10,80.10,200.00
02/01/2019,81.00,BHN,81.00,82.50,81.00,270.00
28/12/2018,81.00,BHN,83.10,83.10,81.00,690.00
27/12/2018,81.00,BHN,81.00,81.00,81.00,10.00
26/12/2018,82.30,BHN,82.40,82.40,82.30,30.00
25/12/2018,82.40,BHN,82.40,82.40,80.00,540.00
24/12/2018,82.40,BHN,83.00,83.00,82.00,790.00
21/12/2018,80.00,BHN,80.00,80.00,80.00,10.00
20/12/2018,80.00,BHN,80.00,80.10,80.00,60.00
19/12/2018,83.90,BHN,83.90,83.90,83.90,100.00
18/12/2018,80.00,BHN,83.00,83.90,80.00,880.00
17/12/2018,80.50,BHN,80.50,80.50,80.50,250.00
14/12/2018,82.20,BHN,82.50,82.50,82.20,1150.00
13/12/2018,82.50,BHN,82.40,82.50,82.40,510.00
12/12/2018,82.50,BHN,82.50,82.50,82.50,650.00
11/12/2018,82.20,BHN,81.90,83.50,81.90,220.00
10/12/2018,84.00,BHN,82.10,84.00,82.00,370.00
07/12/2018,83.00,BHN,83.50,83.50,81.80,650.00
06/12/2018,81.80,BHN,83.40,83.40,81.50,380.00
05/12/2018,85.00,BHN,80.10,85.00,80.10,650.00
04/12/2018,85.30,BHN,85.30,85.30,85.30,20.00
03/12/2018,82.00,BHN,85.50,85.50,82.00,1020.00
30/11/2018,82.50,BHN,84.50,84.50,82.50,320.00
29/11/2018,83.00,BHN,85.60,85.60,82.50,1450.00
28/11/2018,82.20,BHN,85.00,85.00,82.20,230.00
27/11/2018,84.00,BHN,83.00,84.00,83.00,340.00
26/11/2018,83.00,BHN,82.30,84.00,82.20,930.00
23/11/2018,82.40,BHN,82.50,82.50,82.40,550.00
22/11/2018,83.00,BHN,82.80,84.90,82.80,1180.00
21/11/2018,83.00,BHN,82.70,85.00,82.70,1530.00
20/11/2018,82.70,BHN,82.70,82.70,82.70,20.00
19/11/2018,84.00,BHN,84.00,84.00,84.00,10.00
16/11/2018,82.70,BHN,83.00,85.00,82.70,280.00
15/11/2018,83.00,BHN,83.10,84.90,83.00,1680.00
14/11/2018,83.10,BHN,83.10,83.10,83.10,60.00
13/11/2018,85.00,BHN,83.10,86.00,83.00,590.00
12/11/2018,83.50,BHN,83.50,83.50,83.50,50.00
09/11/2018,83.00,BHN,84.30,84.30,83.00,340.00
08/11/2018,84.30,BHN,84.80,84.80,84.30,20.00
07/11/2018,83.00,BHN,83.00,83.00,83.00,240.00
06/11/2018,83.50,BHN,83.10,83.50,83.00,130.00
05/11/2018,83.00,BHN,83.00,83.00,83.00,70.00
02/11/2018,85.10,BHN,80.70,85.10,80.70,420.00
01/11/2018,86.50,BHN,82.20,86.50,81.10,230.00
31/10/2018,82.20,BHN,83.50,84.00,82.20,540.00
30/10/2018,84.90,BHN,82.00,84.90,82.00,440.00
29/10/2018,84.10,BHN,85.00,85.00,84.10,700.00
26/10/2018,85.00,BHN,85.00,87.00,83.50,2640.00
25/10/2018,83.00,BHN,83.00,83.00,83.00,10.00
24/10/2018,88.40,BHN,90.00,90.00,88.40,720.00
23/10/2018,88.00,BHN,83.50,88.00,83.50,790.00
22/10/2018,88.40,BHN,85.00,88.80,85.00,2860.00
19/10/2018,85.10,BHN,83.70,85.10,83.70,360.00
18/10/2018,83.70,BHN,87.50,87.50,83.70,20.00
17/10/2018,87.50,BHN,84.60,87.50,84.60,220.00
16/10/2018,84.90,BHN,85.00,85.00,83.60,750.00
15/10/2018,85.00,BHN,86.00,86.00,85.00,880.00
12/10/2018,85.80,BHN,77.10,86.00,77.10,110.00
11/10/2018,82.00,BHN,88.10,88.10,82.00,2670.00
10/10/2018,88.10,BHN,90.00,90.00,88.10,1810.00
09/10/2018,90.00,BHN,90.00,90.10,90.00,760.00
08/10/2018,90.00,BHN,90.00,91.00,90.00,1030.00
05/10/2018,90.00,BHN,91.90,91.90,88.80,4570.00
04/10/2018,91.90,BHN,92.70,92.70,91.00,1490.00
03/10/2018,92.70,BHN,90.20,92.70,89.00,2710.00
02/10/2018,90.20,BHN,87.00,92.30,87.00,5440.00
01/10/2018,86.80,BHN,86.10,88.00,86.10,1340.00
28/09/2018,86.00,BHN,88.80,89.00,86.00,2650.00
27/09/2018,86.60,BHN,86.00,86.60,84.00,1910.00
26/09/2018,86.00,BHN,85.00,86.10,85.00,1100.00
25/09/2018,85.00,BHN,83.50,86.00,83.50,5160.00
24/09/2018,83.50,BHN,83.00,84.50,83.00,2220.00
21/09/2018,83.00,BHN,83.10,83.50,82.50,760.00
20/09/2018,83.10,BHN,83.80,83.80,83.00,3070.00
19/09/2018,83.00,BHN,84.40,84.40,83.00,2850.00
18/09/2018,83.00,BHN,84.40,84.40,83.00,630.00
17/09/2018,84.40,BHN,84.60,84.60,82.30,1660.00
14/09/2018,84.40,BHN,82.50,84.40,82.50,720.00
13/09/2018,82.40,BHN,82.50,82.50,82.40,20.00
12/09/2018,83.60,BHN,86.00,86.00,83.60,880.00
11/09/2018,83.50,BHN,83.30,84.00,82.10,650.00
10/09/2018,83.30,BHN,81.00,85.90,81.00,500.00
07/09/2018,83.30,BHN,81.00,83.30,81.00,1170.00
06/09/2018,81.00,BHN,80.00,81.10,75.50,3530.00
05/09/2018,81.00,BHN,82.90,82.90,81.00,2450.00
04/09/2018,81.50,BHN,84.00,84.00,81.50,560.00
31/08/2018,84.00,BHN,84.70,84.70,84.00,410.00
30/08/2018,84.90,BHN,86.00,86.00,84.90,240.00
29/08/2018,84.90,BHN,84.90,85.00,84.80,1930.00
28/08/2018,83.80,BHN,81.60,83.80,81.60,2840.00
27/08/2018,81.60,BHN,81.10,83.00,81.10,2280.00
24/08/2018,81.10,BHN,80.50,82.90,80.20,1100.00
23/08/2018,81.00,BHN,81.00,81.00,81.00,710.00
22/08/2018,81.90,BHN,79.10,82.00,79.00,410.00
21/08/2018,82.00,BHN,83.70,84.00,82.00,350.00
20/08/2018,83.00,BHN,83.00,83.00,83.00,0.00
17/08/2018,83.00,BHN,80.80,83.00,80.10,1060.00
16/08/2018,80.70,BHN,83.00,83.00,80.70,750.00
15/08/2018,83.00,BHN,83.00,83.00,83.00,0.00
14/08/2018,83.00,BHN,87.00,87.00,83.00,910.00
13/08/2018,82.20,BHN,83.90,84.00,79.00,1430.00
10/08/2018,83.20,BHN,84.50,84.60,83.20,290.00
09/08/2018,83.00,BHN,85.00,85.00,83.00,440.00
08/08/2018,85.90,BHN,80.80,87.00,80.80,80.00
07/08/2018,85.90,BHN,85.90,85.90,82.10,110.00
06/08/2018,83.80,BHN,83.60,83.80,83.60,1960.00
03/08/2018,86.50,BHN,82.60,86.80,82.60,2090.00
02/08/2018,87.20,BHN,86.00,87.20,86.00,1640.00
01/08/2018,83.10,BHN,85.90,86.70,83.10,2170.00
31/07/2018,82.60,BHN,85.60,85.60,82.30,2400.00
30/07/2018,85.60,BHN,85.60,85.60,85.60,10.00
27/07/2018,84.00,BHN,83.00,84.00,83.00,1900.00
26/07/2018,82.20,BHN,83.60,83.60,82.20,1610.00
25/07/2018,82.20,BHN,85.30,85.30,82.10,410.00
24/07/2018,85.90,BHN,81.60,85.90,81.60,430.00
23/07/2018,85.50,BHN,80.70,85.50,80.70,190.00
20/07/2018,85.20,BHN,92.50,92.50,85.20,920.00
19/07/2018,89.80,BHN,84.40,89.80,80.10,3630.00
18/07/2018,84.00,BHN,83.50,87.00,83.50,1780.00
17/07/2018,83.00,BHN,85.00,85.00,82.00,680.00
16/07/2018,83.90,BHN,81.10,83.90,80.00,5020.00
13/07/2018,84.00,BHN,85.50,85.50,84.00,550.00
12/07/2018,84.00,BHN,80.10,84.10,78.00,850.00
11/07/2018,83.10,BHN,90.40,90.40,83.00,2650.00
10/07/2018,86.40,BHN,86.00,86.40,81.00,3020.00
09/07/2018,80.80,BHN,75.10,80.80,75.10,2630.00
06/07/2018,75.60,BHN,81.00,83.60,75.60,35200.00
05/07/2018,81.10,BHN,86.50,86.50,81.10,5160.00
04/07/2018,86.50,BHN,87.00,91.30,86.50,4930.00
03/07/2018,93.00,BHN,92.50,93.00,87.00,2350.00
02/07/2018,91.50,BHN,91.50,91.50,87.10,1790.00
29/06/2018,91.50,BHN,98.00,98.00,91.50,2790.00
28/06/2018,97.00,BHN,101.90,101.90,97.00,730.00
27/06/2018,98.30,BHN,105.90,105.90,97.10,450.00
26/06/2018,103.90,BHN,101.10,104.00,100.00,1620.00
25/06/2018,101.10,BHN,108.90,108.90,101.10,730.00
22/06/2018,105.90,BHN,105.90,105.90,99.50,120.00
21/06/2018,106.00,BHN,107.80,107.80,105.00,220.00
20/06/2018,105.00,BHN,111.00,111.90,99.50,1410.00
19/06/2018,105.00,BHN,112.70,112.70,105.00,1440.00
18/06/2018,112.80,BHN,115.00,115.00,105.10,450.00
15/06/2018,111.00,BHN,117.60,117.60,107.20,160.00
14/06/2018,112.20,BHN,112.50,113.00,105.70,5110.00
13/06/2018,112.50,BHN,116.90,116.90,110.00,540.00
12/06/2018,111.00,BHN,119.50,119.50,110.10,1810.00
11/06/2018,114.00,BHN,110.10,114.00,109.90,5660.00
08/06/2018,109.90,BHN,103.30,109.90,103.30,510.00
07/06/2018,110.00,BHN,107.90,111.50,107.90,3870.00
06/06/2018,110.70,BHN,111.60,111.60,104.20,540.00
05/06/2018,108.90,BHN,109.80,109.80,102.90,1030.00
04/06/2018,108.80,BHN,105.00,110.00,97.00,3470.00
01/06/2018,103.90,BHN,103.90,103.90,99.50,370.00
31/05/2018,104.00,BHN,100.00,104.00,100.00,760.00
30/05/2018,104.70,BHN,104.90,105.90,98.00,2080.00
29/05/2018,104.90,BHN,111.00,111.00,97.40,1140.00
28/05/2018,104.70,BHN,109.70,109.90,101.00,1180.00
25/05/2018,108.00,BHN,112.30,112.30,103.20,280.00
24/05/2018,108.90,BHN,109.00,109.40,106.90,390.00
23/05/2018,108.80,BHN,105.80,109.90,105.10,110.00
22/05/2018,107.00,BHN,115.50,115.50,106.20,650.00
21/05/2018,114.00,BHN,102.30,115.00,102.30,580.00
18/05/2018,109.00,BHN,105.10,109.40,105.00,210.00
17/05/2018,105.50,BHN,109.00,112.90,105.10,200.00
16/05/2018,111.00,BHN,111.00,115.00,111.00,400.00
15/05/2018,111.00,BHN,111.00,112.60,109.00,2360.00
14/05/2018,108.80,BHN,109.00,109.30,100.10,1160.00
11/05/2018,105.90,BHN,107.00,107.00,100.30,1000.00
10/05/2018,105.00,BHN,104.00,107.00,103.50,400.00
09/05/2018,107.00,BHN,112.00,114.00,104.60,1370.00
08/05/2018,112.00,BHN,104.40,114.40,104.30,1190.00
07/05/2018,112.00,BHN,108.00,112.00,101.20,1460.00
04/05/2018,108.00,BHN,99.00,108.00,99.00,3070.00
03/05/2018,103.00,BHN,98.10,105.00,98.00,3280.00
02/05/2018,105.00,BHN,105.80,105.80,97.30,310.00
27/04/2018,104.50,BHN,95.00,104.50,92.10,3340.00
26/04/2018,99.00,BHN,100.00,101.00,98.00,2590.00
24/04/2018,104.00,BHN,103.00,115.00,103.00,860.00
23/04/2018,109.70,BHN,118.80,126.10,109.70,1400.00
20/04/2018,117.90,BHN,115.50,120.00,106.10,2460.00
19/04/2018,114.00,BHN,115.00,115.50,112.00,3590.00
18/04/2018,115.50,BHN,118.90,118.90,115.00,1680.00
17/04/2018,116.50,BHN,117.00,117.00,116.50,430.00
16/04/2018,116.00,BHN,122.00,122.00,116.00,690.00
13/04/2018,119.90,BHN,115.50,121.50,115.50,5030.00
12/04/2018,117.40,BHN,120.00,124.00,115.00,9280.00
11/04/2018,120.00,BHN,121.00,121.00,119.00,11660.00
10/04/2018,121.00,BHN,121.10,121.10,119.00,2510.00
09/04/2018,121.00,BHN,119.10,123.00,119.10,2470.00
06/04/2018,121.80,BHN,125.00,125.00,120.50,9280.00
05/04/2018,123.70,BHN,125.80,125.80,123.50,5810.00
04/04/2018,126.10,BHN,127.00,127.00,126.00,3900.00
03/04/2018,127.00,BHN,128.50,130.00,127.00,1330.00
02/04/2018,128.50,BHN,129.40,129.40,128.00,6030.00
30/03/2018,129.50,BHN,129.00,129.90,129.00,3950.00
29/03/2018,128.00,BHN,130.00,130.00,127.10,6740.00
28/03/2018,131.60,BHN,132.60,132.60,130.00,3480.00
27/03/2018,132.90,BHN,129.10,133.90,129.10,1410.00
26/03/2018,132.50,BHN,133.60,133.60,131.00,7240.00
23/03/2018,133.90,BHN,136.00,136.00,130.50,2550.00
22/03/2018,136.00,BHN,136.00,136.00,134.50,4410.00
21/03/2018,134.00,BHN,135.00,136.90,134.00,5570.00
20/03/2018,135.00,BHN,131.00,139.00,131.00,3350.00
19/03/2018,132.00,BHN,133.00,134.00,132.00,2730.00
16/03/2018,134.00,BHN,137.00,137.00,132.00,25810.00
15/03/2018,137.00,BHN,134.00,138.50,132.00,1890.00
14/03/2018,138.50,BHN,140.00,141.00,138.00,1520.00
13/03/2018,140.00,BHN,143.00,143.00,138.50,1610.00
12/03/2018,140.00,BHN,137.30,143.00,136.10,5300.00
09/03/2018,140.10,BHN,140.20,145.00,140.00,13420.00
08/03/2018,144.50,BHN,141.00,147.00,141.00,2130.00
07/03/2018,144.70,BHN,146.90,146.90,142.00,1950.00
06/03/2018,144.30,BHN,148.00,148.00,144.00,2460.00
05/03/2018,148.00,BHN,148.00,148.00,145.00,11580.00
02/03/2018,148.00,BHN,142.00,148.00,142.00,3680.00
01/03/2018,147.00,BHN,147.20,147.30,145.00,3330.00
28/02/2018,147.20,BHN,147.30,150.00,145.00,2150.00
27/02/2018,147.20,BHN,147.00,149.90,146.10,3130.00
26/02/2018,151.50,BHN,150.40,156.90,145.00,11090.00
23/02/2018,150.20,BHN,141.10,157.00,141.10,620.00
22/02/2018,148.60,BHN,154.00,158.90,148.60,4210.00
21/02/2018,154.00,BHN,149.60,159.00,149.60,4290.00
13/02/2018,149.50,BHN,158.00,158.00,146.00,4340.00
12/02/2018,148.30,BHN,142.00,148.30,142.00,7530.00
09/02/2018,138.60,BHN,129.20,138.60,129.00,2740.00
08/02/2018,138.00,BHN,137.00,138.90,137.00,3920.00
07/02/2018,137.00,BHN,142.00,143.00,137.00,14140.00
06/02/2018,135.00,BHN,135.00,136.00,132.10,15750.00
05/02/2018,142.00,BHN,149.50,149.50,140.00,9220.00
02/02/2018,149.50,BHN,145.10,149.50,142.20,8270.00
01/02/2018,147.90,BHN,150.20,150.30,147.90,8270.00
31/01/2018,154.00,BHN,157.50,157.50,150.00,9650.00
30/01/2018,157.50,BHN,163.00,163.00,156.00,18190.00
29/01/2018,163.00,BHN,167.60,170.00,160.00,5200.00
26/01/2018,167.60,BHN,171.70,171.70,166.10,20070.00
25/01/2018,160.50,BHN,158.00,160.50,155.00,51840.00
22/01/2018,150.00,BHN,149.00,150.00,145.00,23360.00
19/01/2018,147.00,BHN,148.00,148.00,146.00,30620.00
18/01/2018,148.00,BHN,148.80,149.10,145.00,31200.00
17/01/2018,148.90,BHN,150.00,150.00,147.00,53140.00
16/01/2018,149.00,BHN,149.00,149.90,147.40,91950.00
15/01/2018,148.50,BHN,150.20,150.20,148.20,12300.00
12/01/2018,150.00,BHN,152.00,152.00,146.00,12830.00
11/01/2018,152.00,BHN,147.50,152.00,147.40,41300.00
10/01/2018,147.50,BHN,143.50,148.00,143.50,52470.00
09/01/2018,143.50,BHN,143.70,143.80,138.60,43130.00
08/01/2018,142.00,BHN,139.00,142.00,137.00,17750.00
05/01/2018,139.50,BHN,140.00,140.00,137.00,19020.00
04/01/2018,142.00,BHN,139.00,142.00,135.50,40170.00
03/01/2018,135.50,BHN,138.90,138.90,135.00,18840.00
02/01/2018,134.40,BHN,128.00,134.40,128.00,27380.00
29/12/2017,127.60,BHN,126.90,129.10,124.00,37830.00
28/12/2017,124.00,BHN,121.10,127.00,121.10,29420.00
27/12/2017,122.00,BHN,124.00,124.90,121.20,20400.00
26/12/2017,124.00,BHN,128.00,128.00,124.00,19100.00
25/12/2017,128.00,BHN,128.20,129.00,126.10,9070.00
22/12/2017,128.00,BHN,130.00,130.00,127.00,16570.00
21/12/2017,126.90,BHN,124.60,127.00,124.00,26530.00
20/12/2017,127.40,BHN,130.10,132.00,123.00,24890.00
19/12/2017,130.10,BHN,129.60,135.60,129.60,33360.00
18/12/2017,136.00,BHN,142.80,142.80,136.00,23640.00
15/12/2017,136.00,BHN,135.00,138.50,132.00,19020.00
14/12/2017,135.00,BHN,137.00,137.00,129.00,8290.00
13/12/2017,135.00,BHN,137.00,139.00,134.00,16700.00
