DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
29/08/2017,22.00,BHS,21.60,22.00,21.50,4595120.00
28/08/2017,21.70,BHS,21.60,21.95,21.20,3567490.00
25/08/2017,21.60,BHS,22.00,22.00,21.45,2710450.00
24/08/2017,21.90,BHS,21.80,21.90,21.45,2190920.00
23/08/2017,21.55,BHS,21.30,21.60,21.25,1771700.00
22/08/2017,21.30,BHS,21.40,21.70,21.10,2708950.00
21/08/2017,21.20,BHS,20.50,21.30,20.40,2547060.00
18/08/2017,20.30,BHS,20.05,20.60,20.05,1381700.00
17/08/2017,20.55,BHS,20.60,20.90,20.20,1036350.00
16/08/2017,20.40,BHS,20.00,20.40,19.90,1409180.00
15/08/2017,20.40,BHS,21.30,21.30,20.40,1568010.00
14/08/2017,21.30,BHS,22.00,22.00,21.30,3074760.00
11/08/2017,20.85,BHS,20.00,20.85,19.80,5174230.00
10/08/2017,19.50,BHS,18.05,19.80,18.05,3631960.00
09/08/2017,18.90,BHS,19.80,19.85,18.90,6035610.00
08/08/2017,20.30,BHS,21.80,22.00,20.30,4963570.00
07/08/2017,21.80,BHS,20.60,22.40,20.50,4057130.00
04/08/2017,22.00,BHS,23.50,23.60,21.70,4848360.00
03/08/2017,23.10,BHS,24.55,24.70,23.00,6082130.00
02/08/2017,24.70,BHS,24.60,24.70,24.35,1225450.00
01/08/2017,24.60,BHS,24.60,24.90,24.50,1488970.00
31/07/2017,24.50,BHS,24.85,25.00,24.05,2806790.00
28/07/2017,24.80,BHS,24.80,25.00,24.60,1412300.00
27/07/2017,24.70,BHS,25.35,25.35,24.60,2988570.00
26/07/2017,25.25,BHS,25.10,25.35,25.05,2236110.00
25/07/2017,25.00,BHS,24.80,25.05,24.55,2081340.00
24/07/2017,24.55,BHS,24.40,24.90,24.30,1945330.00
21/07/2017,24.30,BHS,24.30,25.20,24.20,3541610.00
20/07/2017,24.30,BHS,24.30,24.50,23.90,1622210.00
19/07/2017,24.10,BHS,24.10,24.85,23.60,3342520.00
18/07/2017,24.10,BHS,26.00,26.00,24.10,5610130.00
17/07/2017,25.90,BHS,26.00,26.50,25.30,4311420.00
14/07/2017,25.30,BHS,24.60,25.60,24.55,5467130.00
13/07/2017,24.40,BHS,24.30,24.70,24.00,3301520.00
12/07/2017,24.20,BHS,24.20,24.30,23.90,2800670.00
11/07/2017,23.85,BHS,23.90,23.90,23.55,1463500.00
10/07/2017,23.85,BHS,23.85,24.25,23.70,2990080.00
07/07/2017,23.85,BHS,23.70,24.50,23.50,3277870.00
06/07/2017,23.55,BHS,23.70,23.70,23.50,1702100.00
05/07/2017,23.70,BHS,23.80,23.90,23.55,1566870.00
04/07/2017,23.80,BHS,23.95,23.95,23.65,1720030.00
03/07/2017,23.75,BHS,23.45,24.15,23.25,2319980.00
30/06/2017,23.50,BHS,23.85,23.90,23.40,2726470.00
29/06/2017,23.85,BHS,23.80,24.60,23.70,2779810.00
28/06/2017,23.90,BHS,23.60,24.15,23.30,2724040.00
27/06/2017,23.40,BHS,24.60,24.60,23.15,5763680.00
26/06/2017,24.40,BHS,25.00,25.40,23.80,9185740.00
23/06/2017,24.90,BHS,24.20,25.40,23.80,5229220.00
22/06/2017,24.15,BHS,24.10,24.90,24.00,4220770.00
21/06/2017,23.75,BHS,22.25,23.75,21.75,6617270.00
20/06/2017,22.20,BHS,21.80,22.65,21.80,4956990.00
19/06/2017,21.60,BHS,20.90,21.60,20.85,5060700.00
16/06/2017,20.60,BHS,20.30,20.80,20.20,3337220.00
15/06/2017,20.20,BHS,20.00,20.35,20.00,3303500.00
14/06/2017,20.20,BHS,20.50,20.90,20.20,3889100.00
13/06/2017,20.55,BHS,20.80,21.10,20.55,3229380.00
12/06/2017,20.65,BHS,19.50,21.35,19.50,10826170.00
09/06/2017,20.30,BHS,21.15,21.20,20.20,3673340.00
08/06/2017,21.35,BHS,21.40,21.95,21.00,2719280.00
07/06/2017,21.20,BHS,20.80,21.30,20.70,2260840.00
06/06/2017,20.45,BHS,20.20,20.80,19.80,2556720.00
05/06/2017,20.50,BHS,21.50,21.90,20.50,2566040.00
02/06/2017,21.50,BHS,21.70,22.00,21.40,1165360.00
01/06/2017,21.70,BHS,20.60,22.40,20.60,2360820.00
31/05/2017,21.25,BHS,22.20,22.80,21.25,3502910.00
30/05/2017,22.80,BHS,23.95,24.10,22.20,3820350.00
29/05/2017,22.95,BHS,22.20,22.95,22.00,2505740.00
26/05/2017,21.45,BHS,20.50,21.45,20.45,5639360.00
25/05/2017,20.05,BHS,19.50,20.20,19.50,3384540.00
24/05/2017,19.10,BHS,19.25,19.45,18.90,2594500.00
23/05/2017,19.20,BHS,19.55,19.60,19.20,1231900.00
22/05/2017,19.20,BHS,18.80,19.55,18.80,3002050.00
19/05/2017,18.60,BHS,18.40,18.75,18.30,1525840.00
18/05/2017,18.55,BHS,18.60,18.95,18.45,1486860.00
17/05/2017,18.95,BHS,18.35,19.40,18.20,1801250.00
16/05/2017,18.60,BHS,19.70,19.75,18.55,3180910.00
15/05/2017,19.80,BHS,20.50,20.50,19.60,2544020.00
12/05/2017,20.10,BHS,19.80,20.50,19.70,1769370.00
11/05/2017,19.80,BHS,20.40,20.90,19.50,6005060.00
10/05/2017,19.70,BHS,19.10,19.90,18.70,3057350.00
09/05/2017,19.00,BHS,17.60,19.00,17.55,3855720.00
08/05/2017,17.90,BHS,18.50,18.70,17.40,3132390.00
05/05/2017,18.10,BHS,17.60,18.10,17.00,3125530.00
04/05/2017,17.00,BHS,18.10,19.00,16.85,5722080.00
03/05/2017,18.10,BHS,17.10,18.10,17.10,3605680.00
28/04/2017,16.95,BHS,15.85,16.95,15.50,3290010.00
27/04/2017,15.85,BHS,15.20,15.85,15.10,2575160.00
26/04/2017,15.35,BHS,15.00,15.70,15.00,2767350.00
25/04/2017,14.90,BHS,14.45,15.00,14.20,3690340.00
24/04/2017,14.05,BHS,13.50,14.25,13.35,3025870.00
21/04/2017,13.65,BHS,13.75,13.80,13.50,1240690.00
20/04/2017,13.70,BHS,13.75,14.00,13.50,5437390.00
19/04/2017,13.10,BHS,12.50,13.10,12.50,2273140.00
18/04/2017,12.25,BHS,12.00,12.30,11.90,1308390.00
17/04/2017,12.00,BHS,12.40,12.45,12.00,747200.00
14/04/2017,12.30,BHS,12.55,12.55,12.00,1305250.00
13/04/2017,12.55,BHS,12.30,12.85,12.25,2517460.00
12/04/2017,12.30,BHS,12.20,12.40,12.15,1612220.00
11/04/2017,12.20,BHS,12.20,12.35,12.15,1015320.00
10/04/2017,12.25,BHS,12.20,12.40,12.15,1656360.00
07/04/2017,12.10,BHS,12.15,12.30,12.10,859060.00
05/04/2017,12.15,BHS,12.25,12.40,12.15,870380.00
04/04/2017,12.35,BHS,12.45,12.65,12.35,935800.00
03/04/2017,12.50,BHS,12.20,12.70,12.05,1853250.00
31/03/2017,12.25,BHS,12.55,12.55,12.15,1111040.00
30/03/2017,12.55,BHS,12.65,12.90,12.55,783990.00
29/03/2017,12.65,BHS,12.50,12.90,12.50,1105000.00
28/03/2017,12.50,BHS,12.80,12.80,12.50,1688430.00
27/03/2017,12.90,BHS,12.95,13.00,12.70,1576870.00
24/03/2017,12.95,BHS,13.10,13.25,12.95,1397290.00
23/03/2017,13.10,BHS,12.90,13.25,12.70,1601630.00
22/03/2017,13.00,BHS,13.15,13.30,12.90,2612440.00
21/03/2017,13.20,BHS,13.30,13.45,13.05,2668620.00
20/03/2017,13.15,BHS,12.85,13.20,12.70,4247510.00
17/03/2017,12.35,BHS,12.40,12.50,12.25,2488040.00
16/03/2017,12.40,BHS,12.00,12.60,12.00,2647720.00
15/03/2017,12.00,BHS,11.50,12.00,11.40,3253740.00
14/03/2017,11.60,BHS,11.75,11.85,11.55,1201990.00
13/03/2017,11.75,BHS,11.40,11.85,11.40,1839680.00
10/03/2017,11.40,BHS,10.80,11.55,10.80,3758800.00
09/03/2017,10.80,BHS,10.65,10.85,10.65,1230130.00
08/03/2017,10.70,BHS,10.80,10.80,10.65,1123950.00
07/03/2017,10.70,BHS,10.70,10.80,10.65,854740.00
06/03/2017,10.70,BHS,10.60,10.95,10.60,1071900.00
03/03/2017,10.65,BHS,10.80,10.80,10.60,1465690.00
02/03/2017,10.80,BHS,10.85,11.00,10.80,532190.00
01/03/2017,10.85,BHS,11.30,11.45,10.80,1950760.00
28/02/2017,11.00,BHS,10.80,11.00,10.60,2159650.00
27/02/2017,13.65,BHS,13.75,13.90,13.60,1614590.00
24/02/2017,13.75,BHS,13.65,13.95,13.65,1240210.00
23/02/2017,13.65,BHS,13.80,13.95,13.65,1168680.00
22/02/2017,14.00,BHS,14.25,14.30,14.00,1148720.00
21/02/2017,14.20,BHS,14.40,14.45,14.10,1853430.00
20/02/2017,14.10,BHS,13.30,14.10,13.30,2452410.00
17/02/2017,13.20,BHS,13.50,13.50,13.20,2143230.00
16/02/2017,13.55,BHS,13.60,13.70,13.40,2093300.00
15/02/2017,13.65,BHS,13.70,13.70,13.45,2472310.00
14/02/2017,13.70,BHS,13.80,13.80,13.45,1692410.00
13/02/2017,13.80,BHS,13.80,14.00,13.50,2397250.00
10/02/2017,13.80,BHS,13.60,13.80,13.25,2521300.00
09/02/2017,13.60,BHS,13.95,14.00,13.60,1286840.00
08/02/2017,13.90,BHS,14.10,14.10,13.80,1637210.00
