DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,1.20,BII,1.10,1.20,1.00,2019900.00
25/04/2019,1.10,BII,1.30,1.30,1.10,4882880.00
24/04/2019,1.20,BII,1.20,1.20,1.20,74210.00
23/04/2019,1.10,BII,1.10,1.10,1.10,762106.00
22/04/2019,1.00,BII,1.00,1.00,0.90,1276600.00
19/04/2019,0.90,BII,0.90,0.90,0.80,1100128.00
18/04/2019,0.80,BII,0.70,0.80,0.70,1249800.00
17/04/2019,0.70,BII,0.70,0.80,0.70,295700.00
16/04/2019,0.70,BII,0.80,0.80,0.70,284200.00
12/04/2019,0.80,BII,0.70,0.80,0.70,491030.00
11/04/2019,0.70,BII,0.80,0.80,0.70,189300.00
10/04/2019,0.80,BII,0.80,0.80,0.70,339100.00
09/04/2019,0.70,BII,0.70,0.80,0.70,132144.00
08/04/2019,0.70,BII,0.70,0.80,0.70,603300.00
05/04/2019,0.70,BII,0.70,0.80,0.70,618700.00
04/04/2019,0.70,BII,0.70,0.80,0.60,1704130.00
03/04/2019,0.70,BII,0.80,0.80,0.70,1398800.00
02/04/2019,0.80,BII,0.80,0.90,0.70,294900.00
01/04/2019,0.80,BII,0.80,0.90,0.70,288030.00
29/03/2019,0.80,BII,0.80,0.90,0.80,296110.00
28/03/2019,0.80,BII,0.80,0.80,0.70,105800.00
27/03/2019,0.80,BII,0.80,0.80,0.70,44500.00
26/03/2019,0.70,BII,0.80,0.80,0.70,66741.00
25/03/2019,0.80,BII,0.80,0.80,0.70,62800.00
22/03/2019,0.80,BII,0.80,0.90,0.80,123320.00
21/03/2019,0.80,BII,0.80,0.90,0.80,97600.00
20/03/2019,0.90,BII,0.80,0.90,0.70,233800.00
19/03/2019,0.80,BII,0.90,0.90,0.80,234700.00
18/03/2019,0.90,BII,0.80,0.90,0.80,256800.00
15/03/2019,0.80,BII,0.80,0.90,0.70,129700.00
14/03/2019,0.80,BII,0.70,0.90,0.70,259500.00
13/03/2019,0.80,BII,0.80,0.80,0.70,48800.00
12/03/2019,0.80,BII,0.90,0.90,0.70,307201.00
11/03/2019,0.80,BII,0.80,0.90,0.70,258600.00
08/03/2019,0.80,BII,0.90,0.90,0.80,292700.00
07/03/2019,0.80,BII,0.80,0.80,0.80,525910.00
06/03/2019,0.70,BII,0.70,0.80,0.70,241300.00
05/03/2019,0.70,BII,0.70,0.80,0.70,146800.00
04/03/2019,0.70,BII,0.70,0.80,0.70,195200.00
01/03/2019,0.70,BII,0.80,0.80,0.70,18800.00
28/02/2019,0.70,BII,0.80,0.80,0.70,160000.00
27/02/2019,0.80,BII,0.70,0.80,0.60,865000.00
26/02/2019,0.70,BII,0.70,0.80,0.70,496600.00
25/02/2019,0.80,BII,0.70,0.80,0.60,258600.00
22/02/2019,0.70,BII,0.70,0.70,0.60,53100.00
21/02/2019,0.70,BII,0.70,0.70,0.60,70510.00
20/02/2019,0.70,BII,0.70,0.80,0.60,122944.00
19/02/2019,0.70,BII,0.70,0.70,0.60,149900.00
18/02/2019,0.70,BII,0.70,0.80,0.70,416700.00
