DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,13.95,BMC,13.95,14.00,13.60,14410.00
25/04/2019,14.10,BMC,14.00,14.30,13.60,12550.00
24/04/2019,14.00,BMC,14.00,14.00,14.00,2700.00
23/04/2019,14.00,BMC,14.00,14.00,13.50,12330.00
22/04/2019,14.10,BMC,14.10,14.10,14.00,7410.00
19/04/2019,14.10,BMC,14.10,14.15,14.10,3510.00
18/04/2019,14.20,BMC,14.05,14.20,14.05,7710.00
17/04/2019,14.20,BMC,14.05,14.20,14.05,14440.00
16/04/2019,14.30,BMC,14.25,14.30,14.05,12960.00
12/04/2019,14.30,BMC,14.15,14.30,14.15,7010.00
11/04/2019,14.30,BMC,14.00,14.30,14.00,4180.00
10/04/2019,14.20,BMC,14.10,14.20,14.00,9920.00
09/04/2019,14.30,BMC,14.40,14.40,14.00,12850.00
08/04/2019,14.50,BMC,14.60,14.60,14.10,8200.00
05/04/2019,14.60,BMC,14.20,14.60,14.10,3810.00
04/04/2019,14.50,BMC,14.10,15.05,14.00,18260.00
03/04/2019,14.10,BMC,13.90,14.10,13.90,830.00
02/04/2019,14.10,BMC,13.90,14.10,13.90,20.00
01/04/2019,14.05,BMC,14.10,14.10,13.70,14270.00
29/03/2019,14.10,BMC,14.00,14.10,13.95,5040.00
28/03/2019,14.00,BMC,14.00,14.30,13.90,11680.00
27/03/2019,14.10,BMC,14.05,14.10,14.00,15940.00
26/03/2019,14.30,BMC,14.30,14.30,14.05,35980.00
25/03/2019,14.30,BMC,14.40,15.00,14.00,14570.00
22/03/2019,14.25,BMC,14.25,14.30,14.15,6040.00
21/03/2019,14.15,BMC,14.40,14.40,14.10,21630.00
20/03/2019,14.30,BMC,14.30,14.30,14.05,12010.00
19/03/2019,14.35,BMC,14.35,14.35,14.30,5220.00
18/03/2019,14.45,BMC,14.40,14.50,14.20,18900.00
15/03/2019,14.45,BMC,14.50,14.50,14.30,10210.00
14/03/2019,14.50,BMC,14.45,14.50,14.30,13250.00
13/03/2019,14.45,BMC,14.50,14.60,14.45,10010.00
12/03/2019,14.60,BMC,14.50,14.60,14.00,53740.00
11/03/2019,14.50,BMC,14.60,14.60,14.35,50740.00
08/03/2019,15.40,BMC,14.10,15.40,14.05,19500.00
07/03/2019,14.40,BMC,14.45,14.45,14.00,35970.00
06/03/2019,14.45,BMC,14.40,14.50,14.20,6020.00
05/03/2019,14.50,BMC,14.40,14.50,14.15,4590.00
04/03/2019,14.50,BMC,14.30,14.50,14.10,32680.00
01/03/2019,14.60,BMC,14.30,14.80,14.20,56950.00
28/02/2019,14.55,BMC,14.30,14.60,14.30,8770.00
