DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,9.80,BSI,9.99,9.99,9.80,8420.00
25/04/2019,9.80,BSI,9.95,9.95,9.80,10710.00
24/04/2019,9.95,BSI,9.60,10.00,9.60,2700.00
23/04/2019,9.99,BSI,10.00,10.00,9.90,11030.00
22/04/2019,9.90,BSI,10.25,10.25,9.90,56730.00
19/04/2019,9.74,BSI,9.70,9.80,9.70,64900.00
18/04/2019,9.62,BSI,9.80,9.80,9.62,28750.00
17/04/2019,9.80,BSI,9.80,9.80,9.68,3510.00
16/04/2019,9.68,BSI,9.60,9.68,9.60,5570.00
12/04/2019,9.70,BSI,9.90,9.90,9.60,24350.00
11/04/2019,9.90,BSI,9.90,9.90,9.90,10.00
10/04/2019,9.90,BSI,9.90,9.90,9.60,9750.00
09/04/2019,9.70,BSI,9.99,9.99,9.55,38560.00
08/04/2019,9.90,BSI,10.00,10.00,9.90,9060.00
05/04/2019,9.70,BSI,10.00,10.00,9.70,14860.00
04/04/2019,9.90,BSI,9.70,9.90,9.70,220.00
03/04/2019,9.90,BSI,10.00,10.00,9.70,15250.00
02/04/2019,10.00,BSI,10.00,10.00,10.00,1900.00
01/04/2019,10.00,BSI,9.90,10.00,9.90,3650.00
29/03/2019,9.90,BSI,10.10,10.10,9.80,5190.00
28/03/2019,9.90,BSI,9.95,10.10,9.80,27300.00
27/03/2019,9.95,BSI,10.00,10.05,9.90,3110.00
26/03/2019,10.00,BSI,9.90,10.00,9.90,70.00
25/03/2019,10.00,BSI,10.10,10.10,10.00,1440.00
22/03/2019,9.90,BSI,10.10,10.10,9.90,2390.00
21/03/2019,10.10,BSI,10.10,10.10,10.00,13570.00
20/03/2019,10.00,BSI,10.00,10.00,9.95,10350.00
19/03/2019,10.00,BSI,10.05,10.05,9.95,21760.00
18/03/2019,10.00,BSI,10.30,10.30,10.00,73330.00
15/03/2019,10.30,BSI,10.40,10.40,10.15,6310.00
14/03/2019,10.40,BSI,10.40,10.40,10.20,1750.00
13/03/2019,10.40,BSI,10.20,10.40,10.05,54650.00
12/03/2019,10.10,BSI,10.10,10.10,10.00,13680.00
11/03/2019,10.20,BSI,10.30,10.30,10.20,70.00
08/03/2019,10.30,BSI,10.30,10.30,10.10,7170.00
07/03/2019,10.30,BSI,10.20,10.30,10.20,16570.00
06/03/2019,10.20,BSI,10.10,10.20,10.10,3750.00
05/03/2019,10.10,BSI,10.10,10.20,10.00,10550.00
04/03/2019,10.30,BSI,10.20,10.30,10.10,1300.00
01/03/2019,10.20,BSI,10.20,10.20,10.10,5320.00
28/02/2019,10.20,BSI,10.00,10.20,10.00,28870.00
27/02/2019,10.20,BSI,10.30,10.30,10.10,24970.00
26/02/2019,10.20,BSI,10.30,10.30,10.10,40970.00
25/02/2019,10.10,BSI,10.20,10.30,10.10,38630.00
22/02/2019,10.20,BSI,10.20,10.30,10.15,10960.00
21/02/2019,10.20,BSI,10.20,10.20,10.00,17060.00
20/02/2019,10.10,BSI,9.50,10.20,9.50,67500.00
19/02/2019,9.70,BSI,9.90,9.90,9.70,8080.00
18/02/2019,9.80,BSI,9.63,10.00,9.61,20270.00
15/02/2019,9.63,BSI,9.40,9.70,9.40,14830.00
14/02/2019,9.40,BSI,9.40,9.60,9.40,8510.00
13/02/2019,9.30,BSI,9.32,9.40,8.98,20750.00
12/02/2019,9.30,BSI,9.40,9.40,9.20,21920.00
11/02/2019,9.21,BSI,9.40,9.40,9.21,3180.00
01/02/2019,9.19,BSI,9.40,9.40,9.19,5230.00
31/01/2019,9.19,BSI,9.30,9.30,9.10,2510.00
30/01/2019,9.10,BSI,9.29,9.29,9.00,6430.00
29/01/2019,9.10,BSI,9.15,9.40,9.10,5460.00
28/01/2019,9.10,BSI,9.40,9.40,9.10,1040.00
25/01/2019,9.30,BSI,9.30,9.30,9.10,10200.00
24/01/2019,9.10,BSI,9.10,9.10,9.00,34350.00
23/01/2019,9.20,BSI,9.30,9.30,8.90,22970.00
22/01/2019,9.20,BSI,9.02,9.50,9.00,37670.00
21/01/2019,9.20,BSI,9.51,9.79,9.20,21510.00
18/01/2019,9.70,BSI,9.90,9.90,9.60,26210.00
17/01/2019,9.70,BSI,10.00,10.00,9.66,11030.00
16/01/2019,9.90,BSI,9.80,9.90,9.70,21350.00
15/01/2019,9.70,BSI,9.70,9.90,9.65,29890.00
14/01/2019,9.65,BSI,9.90,9.90,9.65,3890.00
