DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,18.00,BSP,18.00,18.00,18.00,150.00
25/04/2019,17.20,BSP,17.40,17.40,17.20,5035.00
24/04/2019,17.30,BSP,17.60,17.60,17.30,1315.00
23/04/2019,17.60,BSP,18.00,18.00,17.60,2000.00
22/04/2019,17.50,BSP,17.80,18.00,17.40,2700.00
19/04/2019,19.50,BSP,19.40,19.50,19.40,3000.00
18/04/2019,18.70,BSP,19.00,19.00,18.70,1600.00
17/04/2019,19.50,BSP,19.50,19.50,19.50,600.00
16/04/2019,19.50,BSP,19.50,19.50,19.50,100.00
12/04/2019,18.50,BSP,18.60,18.70,18.50,10900.00
11/04/2019,18.20,BSP,18.60,18.60,18.20,6000.00
10/04/2019,18.50,BSP,18.80,18.80,18.50,1900.00
09/04/2019,18.50,BSP,18.50,18.80,18.50,31600.00
08/04/2019,18.50,BSP,18.50,18.50,18.30,11400.00
05/04/2019,18.50,BSP,18.50,18.50,18.50,6900.00
04/04/2019,18.50,BSP,18.50,18.80,18.50,19200.00
03/04/2019,18.40,BSP,18.40,18.50,18.20,37800.00
02/04/2019,18.50,BSP,18.50,18.50,18.10,50000.00
01/04/2019,18.50,BSP,18.50,18.50,18.50,7800.00
29/03/2019,18.50,BSP,18.40,18.50,18.40,10200.00
28/03/2019,18.30,BSP,18.30,18.30,18.30,0.00
27/03/2019,18.30,BSP,18.30,18.30,18.30,100.00
26/03/2019,18.40,BSP,18.40,18.40,18.40,4800.00
25/03/2019,18.40,BSP,18.50,18.50,18.40,1800.00
22/03/2019,18.50,BSP,18.50,18.50,18.50,500.00
21/03/2019,18.50,BSP,18.50,18.50,18.50,0.00
20/03/2019,18.40,BSP,18.50,18.50,18.40,3400.00
19/03/2019,18.40,BSP,18.40,18.40,18.40,5000.00
18/03/2019,18.50,BSP,18.60,18.60,18.50,5700.00
15/03/2019,18.60,BSP,18.60,18.60,18.60,2300.00
14/03/2019,18.50,BSP,18.50,18.50,18.50,400.00
13/03/2019,18.60,BSP,18.60,18.60,18.60,0.00
12/03/2019,18.50,BSP,18.90,18.90,18.50,14700.00
11/03/2019,18.70,BSP,17.10,18.80,17.10,15800.00
08/03/2019,18.10,BSP,17.30,18.10,17.30,1800.00
07/03/2019,19.00,BSP,19.00,19.00,19.00,1000.00
06/03/2019,19.00,BSP,19.00,19.00,19.00,0.00
05/03/2019,19.00,BSP,19.00,19.00,19.00,1300.00
04/03/2019,19.00,BSP,19.00,19.00,19.00,0.00
01/03/2019,19.00,BSP,19.10,19.10,19.00,3100.00
28/02/2019,19.00,BSP,19.00,19.00,19.00,4100.00
27/02/2019,19.00,BSP,19.00,19.00,19.00,3000.00
26/02/2019,19.00,BSP,19.00,19.00,19.00,2200.00
25/02/2019,19.00,BSP,19.00,19.00,19.00,2500.00
22/02/2019,19.00,BSP,19.00,19.00,19.00,3500.00
21/02/2019,19.00,BSP,19.00,19.00,19.00,1000.00
20/02/2019,19.00,BSP,19.00,19.00,19.00,3100.00
19/02/2019,19.00,BSP,19.00,19.00,19.00,200.00
18/02/2019,19.00,BSP,19.00,19.00,19.00,3300.00
15/02/2019,19.00,BSP,19.00,19.00,19.00,0.00
14/02/2019,19.00,BSP,19.00,19.00,19.00,0.00
13/02/2019,19.00,BSP,19.00,19.10,19.00,9400.00
12/02/2019,19.00,BSP,19.00,19.00,19.00,5200.00
11/02/2019,19.00,BSP,19.00,19.00,19.00,5800.00
01/02/2019,19.10,BSP,19.10,19.10,19.10,0.00
31/01/2019,19.10,BSP,19.10,19.10,19.10,3100.00
30/01/2019,19.00,BSP,19.10,19.10,19.00,2100.00
29/01/2019,19.00,BSP,19.10,19.10,19.00,2100.00
28/01/2019,19.00,BSP,19.10,19.10,19.00,1200.00
25/01/2019,19.00,BSP,19.00,19.00,19.00,300.00
24/01/2019,20.00,BSP,20.00,20.00,20.00,1000.00
23/01/2019,20.00,BSP,20.00,20.00,20.00,2000.00
22/01/2019,20.50,BSP,20.80,20.80,20.50,1200.00
21/01/2019,20.80,BSP,20.80,20.80,20.80,10000.00
18/01/2019,20.70,BSP,20.70,20.70,20.70,0.00
17/01/2019,20.80,BSP,20.00,20.80,20.00,14000.00
16/01/2019,20.00,BSP,20.00,20.00,19.90,500.00
15/01/2019,20.30,BSP,20.30,20.30,20.30,0.00
14/01/2019,20.30,BSP,20.30,20.30,20.30,0.00
11/01/2019,20.30,BSP,20.30,20.30,20.30,0.00
10/01/2019,20.30,BSP,20.30,20.30,20.30,0.00
09/01/2019,20.30,BSP,20.30,20.30,20.30,0.00
08/01/2019,20.30,BSP,20.30,20.30,20.30,0.00
07/01/2019,20.30,BSP,20.30,20.30,20.30,0.00
04/01/2019,20.30,BSP,20.30,20.30,20.30,100.00
03/01/2019,18.00,BSP,18.00,18.00,18.00,0.00
02/01/2019,18.00,BSP,18.00,18.00,18.00,0.00
28/12/2018,18.00,BSP,18.00,18.00,18.00,0.00
27/12/2018,18.00,BSP,18.00,18.00,18.00,0.00
