DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,14.10,BSR,14.00,14.20,13.90,2124762.00
25/04/2019,14.10,BSR,14.00,14.30,13.70,3290307.00
24/04/2019,13.90,BSR,13.10,14.00,13.10,5856991.00
23/04/2019,13.10,BSR,13.00,13.10,12.90,1359333.00
22/04/2019,13.00,BSR,12.80,13.10,12.80,1226478.00
19/04/2019,12.80,BSR,12.70,13.00,12.70,931130.00
18/04/2019,12.70,BSR,12.90,13.00,12.70,1321637.00
17/04/2019,12.90,BSR,12.80,13.10,12.80,1404453.00
16/04/2019,13.00,BSR,12.90,13.10,12.70,1272548.00
12/04/2019,13.10,BSR,13.00,13.10,12.80,1720750.00
11/04/2019,13.00,BSR,13.00,13.10,13.00,797400.00
10/04/2019,13.00,BSR,13.20,13.20,12.90,1351690.00
09/04/2019,13.30,BSR,13.30,13.50,13.20,2037899.00
08/04/2019,13.30,BSR,13.10,13.40,13.00,1530849.00
05/04/2019,13.00,BSR,13.10,13.20,12.90,1144330.00
04/04/2019,13.20,BSR,13.00,13.40,13.00,2331987.00
03/04/2019,13.10,BSR,12.80,13.10,12.70,1725600.00
02/04/2019,12.70,BSR,12.70,13.00,12.60,1842080.00
01/04/2019,12.70,BSR,12.70,12.90,12.40,2224700.00
29/03/2019,12.70,BSR,12.80,12.90,12.50,2299686.00
28/03/2019,12.80,BSR,13.10,13.20,11.50,1686846.00
27/03/2019,13.20,BSR,13.00,13.40,12.90,1935780.00
26/03/2019,12.90,BSR,12.90,13.10,12.70,1330327.00
25/03/2019,12.90,BSR,13.00,13.00,12.70,2485053.00
22/03/2019,13.20,BSR,13.40,13.40,13.00,1312925.00
21/03/2019,13.30,BSR,13.50,13.90,13.20,2254420.00
20/03/2019,13.60,BSR,13.70,13.70,13.20,2148752.00
19/03/2019,13.70,BSR,13.90,14.00,13.60,2544226.00
18/03/2019,13.80,BSR,14.00,14.10,13.80,2044845.00
15/03/2019,14.10,BSR,14.00,14.20,13.80,1745856.00
14/03/2019,14.00,BSR,13.90,14.10,13.70,1658266.00
13/03/2019,13.90,BSR,14.00,14.10,13.80,2996040.00
12/03/2019,14.00,BSR,14.20,14.30,13.90,1959470.00
11/03/2019,14.10,BSR,14.20,14.20,13.90,1228934.00
08/03/2019,14.20,BSR,14.50,14.50,14.10,1295348.00
07/03/2019,14.40,BSR,14.40,14.80,14.40,2994481.00
06/03/2019,14.50,BSR,14.60,14.60,14.10,1197088.00
05/03/2019,14.50,BSR,14.10,14.60,14.00,4438870.00
04/03/2019,14.10,BSR,13.70,14.20,13.70,2224778.00
01/03/2019,13.70,BSR,13.70,13.80,13.60,1591859.00
28/02/2019,13.70,BSR,14.00,14.10,13.60,1095695.00
27/02/2019,13.90,BSR,13.90,14.10,13.90,1088480.00
26/02/2019,13.90,BSR,14.20,14.20,13.80,1433335.00
25/02/2019,14.20,BSR,14.00,14.30,14.00,1622834.00
22/02/2019,14.10,BSR,14.20,14.20,13.90,1749016.00
21/02/2019,14.20,BSR,14.30,14.40,14.10,1359556.00
20/02/2019,14.20,BSR,14.30,14.40,14.10,1220876.00
19/02/2019,14.30,BSR,14.80,14.80,14.20,1903003.00
18/02/2019,14.70,BSR,14.30,14.70,14.20,2749513.00
15/02/2019,14.30,BSR,14.20,14.30,14.00,1566100.00
14/02/2019,14.20,BSR,13.90,14.30,13.90,1587930.00
13/02/2019,14.10,BSR,13.60,14.30,13.60,2775513.00
12/02/2019,13.60,BSR,13.30,13.60,13.20,1652785.00
11/02/2019,13.30,BSR,13.00,13.30,13.00,837710.00
01/02/2019,13.00,BSR,13.20,13.20,12.90,835950.00
31/01/2019,13.10,BSR,13.00,13.30,13.00,1194630.00
30/01/2019,13.00,BSR,12.50,13.10,12.50,1518249.00
29/01/2019,12.60,BSR,12.60,12.60,12.40,833930.00
28/01/2019,12.70,BSR,12.50,12.80,12.20,1860290.00
25/01/2019,12.30,BSR,12.30,12.40,12.20,702829.00
24/01/2019,12.30,BSR,12.10,12.40,11.80,1410920.00
23/01/2019,12.00,BSR,12.20,12.20,11.90,1467160.00
22/01/2019,12.10,BSR,12.20,12.40,12.10,1300297.00
21/01/2019,12.20,BSR,12.80,12.90,11.80,5107272.00
18/01/2019,13.40,BSR,13.50,13.60,13.20,1245223.00
17/01/2019,13.50,BSR,13.50,13.60,13.40,893657.00
16/01/2019,13.60,BSR,13.60,13.70,13.40,1569100.00
15/01/2019,13.50,BSR,13.50,13.60,13.40,1133340.00
14/01/2019,13.40,BSR,13.80,13.80,13.30,837109.00
11/01/2019,13.70,BSR,13.40,13.90,13.30,2346200.00
10/01/2019,13.40,BSR,13.50,13.60,13.30,1382350.00
09/01/2019,13.50,BSR,13.40,13.60,13.30,1388802.00
08/01/2019,13.20,BSR,13.40,13.40,13.20,614836.00
07/01/2019,13.20,BSR,13.40,13.60,13.10,1297910.00
04/01/2019,13.20,BSR,13.20,13.30,12.80,1309060.00
03/01/2019,13.20,BSR,13.50,13.60,13.00,1303200.00
02/01/2019,13.50,BSR,13.80,13.80,13.40,688310.00
28/12/2018,13.60,BSR,13.80,14.10,13.50,1546117.00
27/12/2018,13.90,BSR,13.40,14.20,13.40,2097731.00
26/12/2018,13.20,BSR,13.50,13.60,13.10,1742000.00
25/12/2018,13.40,BSR,13.70,13.70,13.00,3285950.00
24/12/2018,13.90,BSR,14.40,14.40,13.80,1491200.00
21/12/2018,14.40,BSR,14.50,14.50,14.20,1146570.00
20/12/2018,14.50,BSR,14.20,14.70,14.10,1491185.00
19/12/2018,14.30,BSR,14.60,14.60,14.20,1442600.00
18/12/2018,14.50,BSR,14.70,14.70,14.40,2140710.00
17/12/2018,14.90,BSR,15.10,15.20,14.70,2463321.00
14/12/2018,15.30,BSR,15.40,15.40,15.10,1031890.00
13/12/2018,15.40,BSR,15.50,15.70,15.30,1291380.00
12/12/2018,15.60,BSR,15.00,15.70,15.00,1701519.00
11/12/2018,15.00,BSR,15.20,15.30,14.90,1757610.00
10/12/2018,15.30,BSR,15.60,15.60,15.10,1726479.00
07/12/2018,15.50,BSR,15.60,15.80,15.40,1182541.00
06/12/2018,15.50,BSR,15.30,15.90,15.20,3497078.00
05/12/2018,15.40,BSR,15.30,15.40,15.10,1842000.00
04/12/2018,15.40,BSR,15.40,15.60,15.30,2011360.00
03/12/2018,15.20,BSR,14.90,15.50,14.90,2873919.00
30/11/2018,14.70,BSR,14.90,14.90,14.60,934200.00
29/11/2018,14.70,BSR,14.90,15.20,14.70,936600.00
28/11/2018,15.10,BSR,15.00,15.10,14.90,418400.00
27/11/2018,15.00,BSR,15.00,15.40,14.80,1702220.00
26/11/2018,15.10,BSR,14.50,15.20,14.40,1088643.00
23/11/2018,14.60,BSR,14.60,14.70,14.50,829211.00
22/11/2018,14.60,BSR,15.10,15.20,14.40,3026508.00
21/11/2018,15.00,BSR,14.90,15.00,14.70,1269820.00
20/11/2018,15.10,BSR,15.30,15.30,15.00,856630.00
19/11/2018,15.40,BSR,15.00,15.50,13.00,1225507.00
16/11/2018,15.20,BSR,15.00,15.40,15.00,2083251.00
15/11/2018,14.90,BSR,15.00,15.30,14.90,856120.00
14/11/2018,14.80,BSR,15.30,15.40,14.80,2592291.00
13/11/2018,15.40,BSR,15.60,15.80,15.40,1364850.00
12/11/2018,16.00,BSR,15.50,16.10,15.30,1513688.00
09/11/2018,15.60,BSR,16.10,16.10,15.50,1760740.00
08/11/2018,16.20,BSR,16.30,16.50,16.10,886250.00
07/11/2018,16.10,BSR,16.20,16.30,15.90,953910.00
06/11/2018,16.20,BSR,16.20,16.70,16.20,2873338.00
05/11/2018,16.10,BSR,16.30,16.30,15.80,980133.00
02/11/2018,16.40,BSR,16.10,16.40,16.00,1507400.00
01/11/2018,15.90,BSR,16.50,16.50,15.90,1063610.00
31/10/2018,16.50,BSR,15.80,16.50,15.80,2635545.00
30/10/2018,15.70,BSR,15.50,15.90,15.50,743209.00
29/10/2018,15.60,BSR,15.80,16.00,15.50,1223802.00
26/10/2018,15.70,BSR,15.60,16.40,15.60,1463380.00
25/10/2018,15.90,BSR,15.80,16.10,15.00,2534474.00
24/10/2018,15.90,BSR,16.50,16.60,15.60,2477002.00
23/10/2018,16.50,BSR,17.00,17.00,16.10,2149170.00
22/10/2018,16.90,BSR,16.80,17.30,16.80,1113580.00
19/10/2018,16.90,BSR,16.70,17.30,16.30,1357151.00
18/10/2018,16.80,BSR,17.20,17.20,16.80,1250590.00
17/10/2018,17.20,BSR,17.00,17.60,17.00,2295195.00
16/10/2018,16.90,BSR,16.60,17.00,16.60,1269200.00
15/10/2018,16.70,BSR,17.10,17.20,16.50,1320970.00
12/10/2018,17.20,BSR,16.40,17.30,16.00,2660010.00
11/10/2018,16.70,BSR,18.40,18.40,16.10,8183266.00
10/10/2018,18.50,BSR,18.80,18.90,18.30,3458770.00
09/10/2018,18.80,BSR,19.10,19.40,18.70,4541409.00
08/10/2018,19.10,BSR,19.60,19.60,19.00,3494942.00
05/10/2018,19.60,BSR,20.20,20.20,19.40,3729366.00
04/10/2018,20.20,BSR,20.20,20.60,20.00,4387431.00
03/10/2018,20.20,BSR,20.30,20.40,19.50,4544530.00
02/10/2018,20.30,BSR,20.50,20.80,20.10,5267350.00
01/10/2018,20.20,BSR,20.30,20.80,20.00,5482504.00
28/09/2018,20.00,BSR,21.00,21.00,19.80,6106055.00
27/09/2018,20.90,BSR,20.60,20.90,20.10,4418568.00
26/09/2018,20.40,BSR,20.70,21.40,20.20,5501055.00
25/09/2018,20.70,BSR,19.90,20.80,19.90,3912611.00
24/09/2018,19.90,BSR,19.50,20.00,19.20,3437250.00
21/09/2018,19.30,BSR,19.50,19.80,18.80,4545084.00
20/09/2018,19.60,BSR,19.60,19.90,18.80,5097730.00
19/09/2018,18.90,BSR,18.00,19.30,17.90,8285694.00
18/09/2018,17.90,BSR,17.80,17.90,17.40,2148183.00
17/09/2018,17.80,BSR,18.00,18.20,17.70,2899341.00
14/09/2018,18.00,BSR,18.00,18.10,17.80,2439092.00
13/09/2018,18.10,BSR,17.90,18.40,17.90,2992641.00
12/09/2018,17.80,BSR,17.60,18.20,17.60,4664024.00
11/09/2018,17.60,BSR,16.80,17.80,16.70,3901853.00
10/09/2018,16.70,BSR,16.80,17.10,16.60,1138800.00
07/09/2018,16.80,BSR,16.60,16.90,16.40,1137921.00
06/09/2018,16.70,BSR,16.80,16.90,16.50,1151240.00
05/09/2018,16.80,BSR,17.10,17.10,16.60,1086540.00
04/09/2018,17.20,BSR,17.40,17.50,16.90,1313160.00
31/08/2018,17.40,BSR,17.20,17.80,17.10,3288596.00
30/08/2018,17.10,BSR,16.90,17.10,16.60,1355751.00
29/08/2018,16.60,BSR,16.80,17.30,16.60,2238675.00
28/08/2018,16.80,BSR,17.00,17.00,16.70,750524.00
27/08/2018,16.80,BSR,16.60,17.30,16.60,2010600.00
24/08/2018,16.60,BSR,16.70,16.80,16.50,1278940.00
23/08/2018,16.80,BSR,16.90,17.00,16.50,1215500.00
22/08/2018,16.70,BSR,16.70,17.20,16.60,1550211.00
21/08/2018,16.60,BSR,16.30,16.70,16.20,1644360.00
20/08/2018,16.30,BSR,16.90,16.90,16.20,1304440.00
17/08/2018,16.80,BSR,17.10,17.30,16.70,955250.00
16/08/2018,16.80,BSR,17.40,17.50,16.00,2585684.00
15/08/2018,17.10,BSR,17.70,18.10,17.00,2299149.00
14/08/2018,17.70,BSR,17.90,18.00,17.40,2354758.00
13/08/2018,17.90,BSR,18.20,18.60,17.60,1896455.00
10/08/2018,18.20,BSR,18.20,18.50,17.70,1754081.00
09/08/2018,18.30,BSR,17.90,18.90,17.90,2705658.00
