DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,1.70,BT6,1.70,1.70,1.70,0.00
25/04/2019,1.70,BT6,1.70,1.70,1.70,0.00
24/04/2019,1.70,BT6,1.70,1.70,1.70,100.00
23/04/2019,1.60,BT6,1.60,1.60,1.60,0.00
22/04/2019,1.60,BT6,1.60,1.60,1.60,100.00
19/04/2019,1.40,BT6,1.60,1.60,1.40,700.00
18/04/2019,1.70,BT6,1.50,1.70,1.50,1129.00
17/04/2019,1.70,BT6,1.70,1.70,1.70,0.00
16/04/2019,1.70,BT6,1.70,1.70,1.70,750.00
12/04/2019,1.50,BT6,1.50,1.50,1.50,600.00
11/04/2019,1.70,BT6,1.70,1.70,1.70,0.00
10/04/2019,1.70,BT6,1.70,1.70,1.70,289.00
09/04/2019,1.70,BT6,1.60,1.90,1.50,5211.00
08/04/2019,1.70,BT6,1.70,1.70,1.70,100.00
05/04/2019,1.80,BT6,1.80,1.80,1.80,0.00
04/04/2019,1.80,BT6,1.70,1.80,1.70,200.00
03/04/2019,1.80,BT6,1.80,1.80,1.80,0.00
02/04/2019,1.80,BT6,1.80,1.80,1.80,0.00
01/04/2019,1.90,BT6,1.60,1.90,1.60,3000.00
29/03/2019,1.70,BT6,1.60,1.70,1.60,600.00
28/03/2019,1.70,BT6,1.60,1.70,1.60,539.00
27/03/2019,1.60,BT6,1.60,1.60,1.60,1100.00
26/03/2019,1.60,BT6,1.60,1.60,1.60,1100.00
25/03/2019,1.60,BT6,1.60,1.60,1.50,1900.00
22/03/2019,1.40,BT6,1.40,1.40,1.40,500.00
21/03/2019,1.30,BT6,1.40,1.40,1.30,2201.00
20/03/2019,1.70,BT6,1.40,1.70,1.40,1600.00
19/03/2019,1.60,BT6,1.60,1.60,1.60,100.00
18/03/2019,1.60,BT6,1.60,1.60,1.60,250.00
15/03/2019,1.50,BT6,1.70,1.70,1.50,3500.00
14/03/2019,1.70,BT6,1.50,1.70,1.50,2009.00
13/03/2019,1.70,BT6,1.70,1.70,1.70,100.00
12/03/2019,1.60,BT6,1.60,1.70,1.50,2900.00
11/03/2019,1.70,BT6,1.70,1.70,1.70,100.00
