DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,15.50,BTD,15.50,15.60,15.50,4400.00
25/04/2019,15.40,BTD,16.40,16.40,15.40,1400.00
24/04/2019,16.30,BTD,16.50,16.60,15.90,1000.00
23/04/2019,16.00,BTD,16.00,16.50,15.80,33200.00
22/04/2019,15.90,BTD,15.40,15.90,15.10,26200.00
19/04/2019,15.40,BTD,16.30,16.30,15.40,3600.00
18/04/2019,16.30,BTD,16.40,16.60,16.30,4100.00
17/04/2019,16.60,BTD,14.60,16.60,14.60,103000.00
16/04/2019,14.50,BTD,14.50,14.50,14.50,320.00
12/04/2019,14.20,BTD,14.20,14.20,14.20,300.00
11/04/2019,14.20,BTD,14.20,14.20,14.20,2200.00
10/04/2019,14.20,BTD,14.20,14.20,14.20,100.00
09/04/2019,14.30,BTD,14.20,14.30,14.00,18620.00
08/04/2019,14.40,BTD,14.00,14.60,14.00,31200.00
05/04/2019,14.00,BTD,14.00,14.00,14.00,1200.00
04/04/2019,14.00,BTD,14.00,14.00,14.00,8600.00
03/04/2019,14.00,BTD,14.00,14.00,13.90,7910.00
02/04/2019,14.00,BTD,14.10,14.10,14.00,5300.00
01/04/2019,14.00,BTD,14.00,14.10,14.00,26400.00
29/03/2019,14.20,BTD,14.20,14.20,14.20,1000.00
28/03/2019,14.00,BTD,14.00,14.00,14.00,3000.00
27/03/2019,13.90,BTD,14.30,14.30,13.80,10500.00
26/03/2019,14.60,BTD,14.70,14.70,14.50,3600.00
25/03/2019,14.60,BTD,14.20,15.00,14.20,13200.00
22/03/2019,14.50,BTD,13.80,14.50,13.80,34300.00
21/03/2019,13.90,BTD,13.80,13.90,13.70,22800.00
20/03/2019,13.80,BTD,13.70,13.80,13.70,16300.00
19/03/2019,13.70,BTD,13.70,13.80,13.60,9300.00
18/03/2019,13.70,BTD,13.60,13.80,13.60,3800.00
15/03/2019,13.60,BTD,13.60,13.60,13.60,800.00
14/03/2019,14.00,BTD,14.10,14.10,14.00,3232.00
13/03/2019,13.90,BTD,13.80,13.90,13.80,10100.00
12/03/2019,13.80,BTD,13.70,13.80,13.60,35500.00
11/03/2019,13.70,BTD,13.70,13.70,13.70,0.00
08/03/2019,13.70,BTD,13.70,13.70,13.70,1600.00
07/03/2019,13.70,BTD,13.60,13.70,13.60,2800.00
06/03/2019,13.60,BTD,13.60,13.60,13.40,3300.00
05/03/2019,13.60,BTD,13.10,13.60,13.10,4300.00
04/03/2019,13.60,BTD,13.40,13.60,13.10,3800.00
01/03/2019,13.80,BTD,13.10,13.80,13.10,1800.00
28/02/2019,13.50,BTD,13.90,13.90,13.50,700.00
27/02/2019,13.20,BTD,12.40,13.20,12.40,3000.00
26/02/2019,13.90,BTD,12.30,13.90,12.30,2900.00
