DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,4.50,BTS,4.50,4.50,4.50,6600.00
25/04/2019,4.50,BTS,4.50,4.50,4.50,50.00
24/04/2019,4.50,BTS,4.50,4.50,4.50,1400.00
23/04/2019,4.40,BTS,4.40,4.40,4.40,2700.00
22/04/2019,4.70,BTS,4.60,4.70,4.50,8400.00
19/04/2019,4.50,BTS,4.50,4.50,4.50,5800.00
18/04/2019,4.50,BTS,4.50,4.50,4.50,0.00
17/04/2019,4.50,BTS,4.50,4.50,4.50,4500.00
16/04/2019,4.70,BTS,4.60,4.70,4.60,1100.00
12/04/2019,4.70,BTS,4.70,4.70,4.70,20.00
11/04/2019,4.70,BTS,4.70,4.70,4.70,100.00
10/04/2019,4.50,BTS,4.50,4.50,4.50,4300.00
09/04/2019,4.50,BTS,4.70,4.70,4.40,3200.00
08/04/2019,4.40,BTS,4.40,4.40,4.40,50.00
05/04/2019,4.40,BTS,4.40,4.40,4.40,0.00
04/04/2019,4.40,BTS,4.40,4.40,4.40,0.00
03/04/2019,4.40,BTS,4.40,4.40,4.40,0.00
02/04/2019,4.40,BTS,4.40,4.40,4.40,0.00
01/04/2019,4.40,BTS,4.40,4.40,4.40,10.00
29/03/2019,4.40,BTS,4.40,4.40,4.40,0.00
28/03/2019,4.40,BTS,4.40,4.40,4.40,0.00
27/03/2019,4.40,BTS,4.40,4.40,4.40,200.00
26/03/2019,4.70,BTS,4.30,4.70,4.30,400.00
25/03/2019,4.30,BTS,4.30,4.30,4.30,1100.00
22/03/2019,4.30,BTS,4.40,4.40,4.30,1000.00
21/03/2019,4.50,BTS,4.50,4.50,4.50,4300.00
20/03/2019,4.70,BTS,4.70,4.70,4.70,0.00
19/03/2019,4.70,BTS,4.70,4.70,4.70,0.00
18/03/2019,4.70,BTS,4.70,4.70,4.70,1300.00
15/03/2019,4.70,BTS,4.60,4.80,4.60,14000.00
14/03/2019,4.90,BTS,4.90,4.90,4.90,5000.00
13/03/2019,4.50,BTS,4.50,4.50,4.50,2200.00
12/03/2019,4.60,BTS,4.60,4.60,4.60,100.00
11/03/2019,4.50,BTS,4.50,4.50,4.50,0.00
08/03/2019,4.50,BTS,4.50,4.50,4.50,1500.00
07/03/2019,4.50,BTS,4.50,4.50,4.50,5568.00
06/03/2019,4.60,BTS,4.60,4.60,4.60,300.00
05/03/2019,4.50,BTS,4.50,4.50,4.50,1800.00
04/03/2019,4.40,BTS,4.40,4.40,4.40,0.00
01/03/2019,4.40,BTS,4.40,4.40,4.40,0.00
28/02/2019,4.40,BTS,4.40,4.40,4.40,3000.00
27/02/2019,4.40,BTS,4.40,4.40,4.40,3190.00
26/02/2019,4.50,BTS,4.50,4.50,4.50,4074.00
25/02/2019,4.80,BTS,4.80,4.80,4.80,522.00
22/02/2019,4.70,BTS,4.70,4.70,4.70,3408.00
21/02/2019,4.30,BTS,4.30,4.30,4.30,4.00
20/02/2019,4.30,BTS,4.20,4.30,4.20,10392.00
19/02/2019,4.30,BTS,4.90,4.90,4.30,5500.00
18/02/2019,4.50,BTS,4.50,4.50,4.50,4.00
15/02/2019,4.50,BTS,4.50,4.50,4.50,2607.00
14/02/2019,4.50,BTS,4.50,4.50,4.50,1100.00
13/02/2019,4.40,BTS,4.50,4.50,4.40,2100.00
12/02/2019,4.50,BTS,4.50,4.50,4.50,2000.00
11/02/2019,4.80,BTS,4.80,4.80,4.80,0.00
01/02/2019,4.80,BTS,4.80,4.80,4.80,7000.00
31/01/2019,5.30,BTS,5.30,5.30,5.30,0.00
30/01/2019,5.30,BTS,5.30,5.30,5.30,0.00
29/01/2019,5.30,BTS,5.30,5.30,5.30,0.00
28/01/2019,5.30,BTS,4.80,5.30,4.80,2100.00
25/01/2019,5.30,BTS,5.30,5.30,5.30,0.00
24/01/2019,5.30,BTS,5.30,5.30,5.30,0.00
23/01/2019,5.30,BTS,5.30,5.30,5.30,0.00
22/01/2019,5.30,BTS,5.30,5.30,5.30,0.00
21/01/2019,5.30,BTS,5.30,5.30,5.30,100.00
18/01/2019,5.00,BTS,5.00,5.00,5.00,5100.00
17/01/2019,4.80,BTS,4.80,4.80,4.80,100.00
16/01/2019,4.60,BTS,4.60,4.60,4.60,100.00
15/01/2019,4.20,BTS,4.20,4.20,4.20,0.00
14/01/2019,4.20,BTS,4.20,4.20,4.20,700.00
11/01/2019,4.20,BTS,4.20,4.20,4.20,0.00
10/01/2019,4.20,BTS,4.20,4.20,4.20,0.00
09/01/2019,4.20,BTS,4.20,4.20,4.20,0.00
08/01/2019,4.20,BTS,4.20,4.20,4.20,300.00
07/01/2019,4.20,BTS,4.20,4.20,4.20,2420.00
04/01/2019,4.40,BTS,4.50,4.50,4.40,1400.00
03/01/2019,4.50,BTS,4.50,4.50,4.50,100.00
02/01/2019,4.80,BTS,4.80,4.80,4.80,3000.00
28/12/2018,5.30,BTS,5.30,5.30,5.30,110.00
27/12/2018,5.00,BTS,5.60,5.60,4.80,1200.00
26/12/2018,5.30,BTS,5.30,5.50,5.30,3400.00
25/12/2018,5.80,BTS,5.80,5.80,5.80,100.00
24/12/2018,5.50,BTS,5.50,5.50,5.50,210.00
21/12/2018,5.30,BTS,5.00,5.30,5.00,280.00
20/12/2018,5.20,BTS,4.90,5.20,4.90,200.00
19/12/2018,4.90,BTS,4.90,4.90,4.90,100.00
18/12/2018,4.90,BTS,4.90,4.90,4.90,10.00
17/12/2018,4.90,BTS,5.00,5.00,4.50,1700.00
14/12/2018,4.70,BTS,4.70,4.70,4.70,220.00
13/12/2018,4.90,BTS,4.90,4.90,4.90,0.00
12/12/2018,4.90,BTS,5.40,5.40,4.90,1400.00
11/12/2018,5.40,BTS,5.40,5.40,5.40,0.00
10/12/2018,5.40,BTS,5.40,5.40,5.40,0.00
07/12/2018,5.40,BTS,5.30,5.40,4.60,530.00
06/12/2018,5.00,BTS,5.40,5.40,5.00,640.00
05/12/2018,5.10,BTS,5.10,5.10,4.60,9200.00
04/12/2018,5.10,BTS,5.10,5.10,5.10,0.00
03/12/2018,5.10,BTS,5.50,5.50,5.10,700.00
30/11/2018,5.00,BTS,5.50,5.50,5.00,1200.00
29/11/2018,5.20,BTS,5.50,5.50,5.20,1110.00
28/11/2018,5.20,BTS,5.50,5.50,5.20,2200.00
27/11/2018,5.70,BTS,5.70,5.70,5.70,1080.00
26/11/2018,5.90,BTS,5.90,5.90,5.90,0.00
23/11/2018,5.90,BTS,5.90,5.90,5.90,0.00
22/11/2018,5.90,BTS,5.90,5.90,5.90,0.00
21/11/2018,5.90,BTS,5.90,5.90,5.90,0.00
20/11/2018,5.90,BTS,5.90,5.90,5.90,0.00
19/11/2018,5.90,BTS,5.90,5.90,5.90,0.00
16/11/2018,5.90,BTS,5.90,5.90,5.90,100.00
15/11/2018,5.60,BTS,5.40,5.60,5.40,200.00
14/11/2018,5.90,BTS,5.90,5.90,5.90,0.00
13/11/2018,5.90,BTS,5.90,5.90,5.90,0.00
12/11/2018,5.90,BTS,5.90,5.90,5.90,100.00
09/11/2018,5.80,BTS,5.80,5.80,5.80,0.00
08/11/2018,5.80,BTS,5.80,5.80,5.80,100.00
07/11/2018,5.60,BTS,5.90,5.90,5.30,400.00
06/11/2018,5.80,BTS,5.80,5.80,5.80,0.00
05/11/2018,5.80,BTS,6.00,6.00,5.80,200.00
02/11/2018,5.90,BTS,5.90,5.90,5.90,110.00
01/11/2018,6.00,BTS,6.00,6.00,6.00,0.00
31/10/2018,6.00,BTS,6.00,6.00,6.00,0.00
30/10/2018,6.00,BTS,6.00,6.00,6.00,100.00
29/10/2018,5.90,BTS,5.90,5.90,5.90,0.00
26/10/2018,5.90,BTS,5.90,5.90,5.90,0.00
25/10/2018,5.90,BTS,5.90,5.90,5.90,0.00
24/10/2018,5.90,BTS,5.90,5.90,5.90,100.00
23/10/2018,5.80,BTS,5.80,5.80,5.80,100.00
22/10/2018,5.90,BTS,5.90,5.90,5.90,100.00
19/10/2018,5.80,BTS,5.80,5.80,5.80,0.00
18/10/2018,5.80,BTS,5.80,5.80,5.80,100.00
17/10/2018,5.70,BTS,5.50,5.70,5.50,200.00
16/10/2018,5.50,BTS,5.50,5.50,5.50,100.00
15/10/2018,5.20,BTS,5.80,5.80,5.20,3030.00
12/10/2018,5.70,BTS,5.70,5.70,5.70,0.00
11/10/2018,5.70,BTS,5.20,5.70,5.20,300.00
10/10/2018,5.70,BTS,5.70,5.70,5.70,0.00
