DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,88.60,BVH,89.40,89.40,87.40,90340.00
25/04/2019,89.40,BVH,90.60,92.00,89.40,102270.00
24/04/2019,90.90,BVH,91.00,92.00,90.90,16560.00
23/04/2019,91.80,BVH,89.00,91.80,89.00,30600.00
22/04/2019,90.30,BVH,91.50,91.50,90.00,22920.00
19/04/2019,91.50,BVH,91.00,92.10,91.00,14560.00
18/04/2019,91.00,BVH,92.00,92.00,90.80,45450.00
17/04/2019,91.20,BVH,90.50,92.90,90.40,95820.00
16/04/2019,91.30,BVH,92.30,92.30,90.00,40520.00
12/04/2019,92.30,BVH,94.00,94.00,92.30,115230.00
11/04/2019,93.90,BVH,93.90,94.50,93.60,46900.00
10/04/2019,94.50,BVH,94.50,94.90,93.00,36060.00
09/04/2019,95.00,BVH,95.00,95.00,94.10,141630.00
08/04/2019,94.10,BVH,94.00,94.40,93.90,67060.00
05/04/2019,93.70,BVH,94.00,94.10,93.70,21140.00
04/04/2019,94.00,BVH,93.50,94.10,93.00,48150.00
03/04/2019,93.00,BVH,94.00,94.90,92.50,109810.00
02/04/2019,94.30,BVH,95.00,96.20,93.60,71220.00
01/04/2019,95.00,BVH,96.00,96.00,94.00,75410.00
29/03/2019,95.00,BVH,96.00,97.40,95.00,148060.00
28/03/2019,96.00,BVH,96.00,96.40,93.00,39030.00
27/03/2019,95.70,BVH,95.50,96.50,94.80,47500.00
26/03/2019,94.60,BVH,95.50,95.80,94.60,75260.00
25/03/2019,95.50,BVH,96.10,96.10,95.50,76750.00
22/03/2019,96.10,BVH,95.60,96.50,95.60,72660.00
21/03/2019,96.00,BVH,97.00,98.20,96.00,81670.00
20/03/2019,97.60,BVH,95.30,97.90,95.30,219060.00
19/03/2019,95.30,BVH,96.00,96.00,94.70,203310.00
18/03/2019,95.00,BVH,96.30,97.00,95.00,122480.00
15/03/2019,96.30,BVH,96.00,97.10,96.00,485910.00
14/03/2019,95.80,BVH,96.00,97.50,95.80,105300.00
13/03/2019,96.00,BVH,96.50,97.00,95.90,158480.00
12/03/2019,95.80,BVH,95.80,96.70,95.70,199160.00
11/03/2019,95.60,BVH,96.10,96.10,95.40,92780.00
08/03/2019,95.40,BVH,95.50,96.00,95.00,49270.00
07/03/2019,96.60,BVH,98.20,98.50,96.50,92910.00
06/03/2019,98.00,BVH,98.30,98.50,97.30,73310.00
05/03/2019,98.30,BVH,95.10,98.40,95.10,300850.00
04/03/2019,96.50,BVH,93.70,96.80,93.70,119450.00
01/03/2019,93.70,BVH,94.50,94.50,93.30,56320.00
28/02/2019,94.00,BVH,95.20,95.80,93.60,153040.00
27/02/2019,95.20,BVH,94.00,95.50,93.30,74070.00
26/02/2019,93.20,BVH,94.90,95.90,93.00,114570.00
25/02/2019,94.90,BVH,96.50,97.40,94.60,180880.00
22/02/2019,96.50,BVH,96.00,97.90,95.00,147330.00
21/02/2019,95.40,BVH,96.00,96.00,95.20,114100.00
20/02/2019,96.00,BVH,94.20,96.50,94.00,88130.00
19/02/2019,94.20,BVH,93.50,94.90,93.10,30770.00
18/02/2019,93.00,BVH,95.50,96.80,92.20,91670.00
15/02/2019,95.50,BVH,97.00,97.70,95.00,88230.00
14/02/2019,96.30,BVH,97.00,98.50,96.30,122040.00
13/02/2019,96.50,BVH,95.50,98.00,94.50,111960.00
12/02/2019,95.10,BVH,95.50,95.50,95.00,77860.00
11/02/2019,95.50,BVH,95.00,95.70,95.00,64480.00
01/02/2019,95.70,BVH,96.00,96.00,93.30,54770.00
31/01/2019,92.20,BVH,97.00,97.00,92.20,79540.00
30/01/2019,96.50,BVH,90.60,96.80,90.60,125610.00
29/01/2019,94.40,BVH,93.50,94.40,92.10,51580.00
28/01/2019,93.10,BVH,93.90,93.90,92.00,39180.00
25/01/2019,91.90,BVH,90.30,92.00,90.30,21490.00
24/01/2019,90.30,BVH,91.00,91.50,90.00,33490.00
23/01/2019,90.30,BVH,91.90,91.90,90.00,47870.00
22/01/2019,90.00,BVH,92.40,92.40,90.00,57790.00
21/01/2019,92.00,BVH,92.00,92.50,91.00,22660.00
18/01/2019,91.90,BVH,90.10,92.00,90.10,38310.00
17/01/2019,91.90,BVH,90.00,92.40,90.00,51470.00
16/01/2019,90.00,BVH,89.90,90.00,88.80,41990.00
15/01/2019,88.70,BVH,88.50,89.40,88.10,42400.00
14/01/2019,88.50,BVH,90.30,90.30,88.00,26560.00
11/01/2019,90.40,BVH,90.40,90.90,89.50,32020.00
10/01/2019,89.50,BVH,88.10,90.10,88.10,49800.00
09/01/2019,89.00,BVH,86.00,90.00,86.00,100610.00
08/01/2019,88.20,BVH,88.60,88.60,88.00,36610.00
07/01/2019,88.60,BVH,89.50,90.80,87.70,92970.00
04/01/2019,88.60,BVH,89.20,89.20,86.00,96940.00
03/01/2019,89.20,BVH,90.50,91.00,88.40,55310.00
02/01/2019,89.00,BVH,90.90,90.90,89.00,87080.00
28/12/2018,89.00,BVH,92.50,93.00,89.00,58390.00
27/12/2018,92.30,BVH,92.00,93.50,92.00,22060.00
26/12/2018,90.70,BVH,92.00,92.00,90.20,86530.00
25/12/2018,92.00,BVH,92.00,92.70,89.30,38890.00
24/12/2018,92.00,BVH,95.20,95.20,92.00,60340.00
21/12/2018,95.20,BVH,94.50,95.20,92.00,120930.00
20/12/2018,93.30,BVH,91.00,94.00,91.00,76800.00
19/12/2018,91.00,BVH,94.00,94.90,91.00,148480.00
18/12/2018,94.00,BVH,98.60,98.60,93.20,140910.00
17/12/2018,98.60,BVH,99.80,100.00,97.50,50810.00
14/12/2018,99.40,BVH,100.10,100.90,99.40,87660.00
13/12/2018,101.00,BVH,102.00,102.00,101.00,76620.00
12/12/2018,102.00,BVH,102.00,104.00,101.10,106070.00
11/12/2018,100.30,BVH,101.80,101.80,99.50,72940.00
10/12/2018,101.80,BVH,103.00,103.00,100.00,41210.00
07/12/2018,102.40,BVH,100.50,103.00,100.50,90430.00
06/12/2018,101.80,BVH,102.50,102.50,100.80,70600.00
05/12/2018,102.50,BVH,97.00,102.50,97.00,190820.00
04/12/2018,98.20,BVH,97.50,98.60,97.40,62390.00
03/12/2018,97.30,BVH,97.00,99.00,96.80,60370.00
30/11/2018,95.80,BVH,95.00,101.60,95.00,257850.00
29/11/2018,95.00,BVH,96.00,96.30,95.00,58130.00
28/11/2018,97.30,BVH,97.60,97.60,96.00,34180.00
27/11/2018,97.60,BVH,97.90,97.90,96.20,72990.00
26/11/2018,97.90,BVH,97.90,97.90,97.10,138330.00
23/11/2018,97.90,BVH,95.90,97.90,95.90,74860.00
22/11/2018,96.20,BVH,95.90,96.20,93.60,62530.00
21/11/2018,94.00,BVH,93.00,94.50,93.00,40110.00
20/11/2018,94.70,BVH,94.90,95.10,93.00,53000.00
19/11/2018,95.00,BVH,94.70,95.00,93.00,63740.00
16/11/2018,94.80,BVH,95.00,95.90,94.00,41790.00
15/11/2018,94.00,BVH,96.20,96.50,94.00,81850.00
14/11/2018,98.00,BVH,99.00,99.00,97.00,89250.00
13/11/2018,99.00,BVH,97.00,99.00,96.00,60710.00
12/11/2018,97.60,BVH,95.00,98.20,95.00,88770.00
09/11/2018,95.70,BVH,94.00,96.00,94.00,51740.00
08/11/2018,94.20,BVH,90.10,95.50,90.10,105260.00
07/11/2018,94.30,BVH,95.90,95.90,92.60,11550.00
06/11/2018,93.50,BVH,92.60,94.00,92.60,44440.00
05/11/2018,92.90,BVH,95.50,95.70,92.50,86550.00
02/11/2018,95.80,BVH,98.90,98.90,95.50,94690.00
01/11/2018,98.50,BVH,98.10,98.60,97.70,277060.00
31/10/2018,98.10,BVH,96.40,99.00,96.00,273050.00
30/10/2018,96.40,BVH,91.50,96.50,91.50,229710.00
29/10/2018,94.70,BVH,92.00,94.70,92.00,144560.00
26/10/2018,93.50,BVH,92.90,93.50,89.90,141820.00
25/10/2018,92.90,BVH,87.10,92.90,87.10,139280.00
24/10/2018,93.00,BVH,89.50,93.00,89.50,84930.00
23/10/2018,92.00,BVH,91.80,92.00,90.60,67890.00
22/10/2018,91.80,BVH,92.00,92.90,91.40,29130.00
19/10/2018,92.00,BVH,90.80,92.60,90.50,67550.00
18/10/2018,92.20,BVH,89.50,92.50,89.30,64260.00
17/10/2018,89.50,BVH,90.00,90.40,89.40,44560.00
16/10/2018,89.40,BVH,88.10,90.00,88.10,57750.00
15/10/2018,90.00,BVH,91.00,91.00,86.10,69370.00
12/10/2018,91.00,BVH,84.70,91.00,84.70,137360.00
11/10/2018,87.60,BVH,89.00,89.10,85.60,193090.00
10/10/2018,92.00,BVH,92.60,93.00,91.00,121780.00
09/10/2018,92.60,BVH,95.50,95.50,92.60,20800.00
08/10/2018,93.10,BVH,96.00,96.00,92.50,82280.00
05/10/2018,96.00,BVH,96.00,97.00,95.40,26760.00
04/10/2018,95.50,BVH,95.10,96.00,94.00,38220.00
03/10/2018,96.00,BVH,95.20,97.50,95.20,10110.00
02/10/2018,96.00,BVH,97.00,98.00,96.00,69440.00
01/10/2018,97.00,BVH,98.00,98.00,96.80,60200.00
28/09/2018,98.00,BVH,99.00,99.30,97.40,45070.00
27/09/2018,98.40,BVH,95.00,98.40,95.00,101430.00
26/09/2018,95.00,BVH,97.00,97.00,95.00,49360.00
25/09/2018,97.00,BVH,97.30,97.70,94.00,24830.00
24/09/2018,97.70,BVH,98.50,98.50,97.00,11960.00
21/09/2018,97.70,BVH,98.00,99.00,96.50,266280.00
20/09/2018,98.00,BVH,97.50,98.00,94.60,44550.00
19/09/2018,97.50,BVH,97.00,98.00,93.00,89870.00
18/09/2018,97.00,BVH,93.00,97.00,93.00,91820.00
17/09/2018,94.00,BVH,97.00,97.00,93.20,70650.00
14/09/2018,97.70,BVH,99.00,99.00,97.40,59810.00
13/09/2018,99.00,BVH,94.10,101.00,94.10,260180.00
12/09/2018,95.00,BVH,96.00,96.00,94.00,215930.00
11/09/2018,95.70,BVH,89.50,95.70,89.50,165280.00
10/09/2018,89.50,BVH,88.50,90.90,88.50,41160.00
07/09/2018,88.40,BVH,86.00,89.50,86.00,44030.00
06/09/2018,86.00,BVH,88.50,88.60,85.90,142290.00
05/09/2018,88.50,BVH,88.30,91.00,87.50,59550.00
04/09/2018,90.30,BVH,92.00,92.90,89.70,90260.00
31/08/2018,92.50,BVH,91.60,93.40,91.60,115500.00
30/08/2018,91.60,BVH,92.00,92.00,91.00,23980.00
29/08/2018,91.10,BVH,90.20,91.50,90.20,86860.00
28/08/2018,90.90,BVH,90.90,91.30,90.00,63100.00
27/08/2018,90.90,BVH,90.00,90.90,88.20,121260.00
24/08/2018,88.10,BVH,90.00,91.50,88.10,163000.00
23/08/2018,91.00,BVH,88.50,91.60,86.50,219700.00
22/08/2018,87.50,BVH,84.50,87.50,84.00,216960.00
21/08/2018,83.50,BVH,84.00,84.00,82.70,44010.00
20/08/2018,84.00,BVH,84.40,84.40,83.20,100990.00
17/08/2018,84.20,BVH,81.60,84.50,81.60,156220.00
16/08/2018,81.90,BVH,78.50,81.90,78.50,90740.00
15/08/2018,80.60,BVH,83.70,83.70,80.00,80900.00
14/08/2018,82.70,BVH,82.50,83.90,82.50,42550.00
13/08/2018,83.00,BVH,84.50,84.50,81.50,127080.00
10/08/2018,84.50,BVH,82.00,84.50,82.00,195740.00
09/08/2018,82.00,BVH,80.00,82.70,80.00,173410.00
08/08/2018,79.50,BVH,78.40,80.00,77.30,148230.00
07/08/2018,77.10,BVH,76.00,80.00,75.40,268970.00
06/08/2018,76.00,BVH,78.60,78.60,76.00,119440.00
03/08/2018,78.00,BVH,76.90,78.40,76.00,139050.00
02/08/2018,76.00,BVH,77.00,77.00,75.20,53630.00
01/08/2018,78.00,BVH,77.80,79.10,77.00,98080.00
31/07/2018,78.10,BVH,75.00,79.00,75.00,200730.00
30/07/2018,75.00,BVH,74.30,75.90,74.20,101720.00
27/07/2018,73.90,BVH,75.00,75.00,73.30,47650.00
26/07/2018,74.00,BVH,74.90,75.00,73.50,70180.00
25/07/2018,75.00,BVH,74.00,75.80,73.50,212940.00
24/07/2018,74.00,BVH,73.60,74.90,73.20,94220.00
23/07/2018,73.70,BVH,74.00,75.00,73.00,115550.00
20/07/2018,71.00,BVH,76.50,77.00,71.00,374000.00
19/07/2018,75.50,BVH,73.60,78.00,73.60,211380.00
18/07/2018,73.90,BVH,73.00,74.20,72.50,133560.00
17/07/2018,73.00,BVH,75.00,75.00,72.50,133930.00
16/07/2018,75.60,BVH,75.50,76.00,73.50,84450.00
13/07/2018,74.30,BVH,72.80,74.80,72.10,91850.00
12/07/2018,72.50,BVH,71.50,73.00,69.00,170830.00
11/07/2018,71.50,BVH,71.50,73.50,70.60,150480.00
10/07/2018,72.00,BVH,74.30,75.90,72.00,94660.00
09/07/2018,74.20,BVH,74.00,77.00,74.00,45850.00
06/07/2018,75.00,BVH,70.30,75.10,70.30,111800.00
05/07/2018,70.20,BVH,70.10,72.00,70.00,103070.00
04/07/2018,71.00,BVH,73.50,73.60,70.50,246150.00
03/07/2018,73.50,BVH,77.90,78.10,73.50,122740.00
02/07/2018,77.00,BVH,79.20,82.90,76.00,128870.00
29/06/2018,81.30,BVH,79.50,82.50,79.50,61050.00
28/06/2018,81.70,BVH,83.30,83.90,81.70,65050.00
27/06/2018,83.30,BVH,85.20,85.50,82.50,58030.00
26/06/2018,84.00,BVH,86.00,86.00,82.10,56020.00
25/06/2018,86.70,BVH,88.70,88.70,85.20,51420.00
22/06/2018,85.00,BVH,79.10,85.00,79.10,97890.00
21/06/2018,81.00,BVH,83.00,84.00,81.00,279010.00
20/06/2018,83.00,BVH,82.50,84.90,80.00,167530.00
19/06/2018,82.00,BVH,85.00,86.00,80.00,368890.00
18/06/2018,86.00,BVH,86.80,88.00,85.70,113900.00
