DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,41.50,CAP,41.00,41.50,41.00,3620.00
25/04/2019,41.20,CAP,41.10,41.30,40.90,1000.00
24/04/2019,40.80,CAP,41.50,41.50,40.70,4722.00
23/04/2019,41.90,CAP,41.10,41.90,41.10,600.00
22/04/2019,40.70,CAP,41.80,42.00,40.70,9150.00
19/04/2019,42.10,CAP,42.50,42.50,41.80,6800.00
18/04/2019,42.00,CAP,43.00,43.00,42.00,6700.00
17/04/2019,43.10,CAP,43.00,43.50,43.00,9420.00
16/04/2019,43.00,CAP,42.70,43.00,42.60,4800.00
12/04/2019,42.50,CAP,43.40,43.40,42.50,4157.00
11/04/2019,43.00,CAP,43.50,43.70,43.00,2100.00
10/04/2019,42.90,CAP,42.70,42.90,42.00,7100.00
09/04/2019,43.50,CAP,43.50,43.50,43.50,0.00
08/04/2019,43.50,CAP,43.80,44.00,43.10,6300.00
05/04/2019,43.20,CAP,44.00,44.00,42.80,3357.00
04/04/2019,43.90,CAP,44.00,44.00,43.50,8500.00
03/04/2019,43.60,CAP,43.60,43.60,43.60,400.00
02/04/2019,42.40,CAP,42.40,42.40,42.40,800.00
01/04/2019,42.40,CAP,43.30,43.30,42.40,1100.00
29/03/2019,43.40,CAP,43.10,43.40,43.10,1300.00
28/03/2019,44.00,CAP,42.20,44.00,42.20,3010.00
27/03/2019,42.60,CAP,42.50,43.00,42.20,7200.00
26/03/2019,42.50,CAP,42.40,42.50,42.40,2000.00
25/03/2019,42.40,CAP,42.00,42.50,41.60,3600.00
22/03/2019,42.70,CAP,42.00,42.80,41.50,4130.00
21/03/2019,42.60,CAP,42.60,43.00,41.80,900.00
20/03/2019,42.70,CAP,42.00,42.70,42.00,1100.00
19/03/2019,42.80,CAP,42.20,43.00,42.20,1200.00
18/03/2019,42.80,CAP,42.10,42.80,42.10,5320.00
15/03/2019,42.90,CAP,43.00,43.00,41.80,2380.00
14/03/2019,43.00,CAP,43.00,43.00,42.50,3800.00
13/03/2019,43.00,CAP,42.50,43.00,42.50,3000.00
12/03/2019,42.50,CAP,42.90,42.90,41.80,6700.00
11/03/2019,42.00,CAP,41.80,42.00,41.30,4420.00
