DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,12.50,CCI,12.50,12.50,12.50,80.00
25/04/2019,12.95,CCI,12.95,12.95,12.95,0.00
24/04/2019,12.95,CCI,12.95,12.95,12.95,10.00
23/04/2019,12.75,CCI,12.70,12.75,12.70,390.00
22/04/2019,12.75,CCI,12.15,12.75,12.15,230.00
19/04/2019,12.75,CCI,12.75,12.75,12.75,60.00
18/04/2019,12.40,CCI,12.40,12.40,12.40,1100.00
17/04/2019,12.80,CCI,12.05,12.85,12.05,24550.00
16/04/2019,12.05,CCI,12.05,12.05,12.05,110.00
12/04/2019,11.30,CCI,12.80,12.90,11.30,24520.00
11/04/2019,12.10,CCI,12.10,12.10,12.10,0.00
10/04/2019,12.10,CCI,12.90,13.00,12.10,23010.00
09/04/2019,12.90,CCI,13.00,13.00,12.90,160.00
08/04/2019,13.00,CCI,13.00,13.00,13.00,800.00
05/04/2019,13.10,CCI,13.10,13.10,13.10,790.00
04/04/2019,13.10,CCI,13.10,13.10,13.10,500.00
03/04/2019,13.20,CCI,13.20,13.20,13.20,300.00
02/04/2019,13.20,CCI,13.20,13.20,13.20,440.00
01/04/2019,13.20,CCI,13.10,13.20,12.55,4590.00
29/03/2019,13.10,CCI,12.90,13.15,12.30,5060.00
28/03/2019,12.30,CCI,12.90,12.90,12.30,7410.00
27/03/2019,12.10,CCI,12.90,12.90,12.10,2120.00
26/03/2019,12.10,CCI,12.60,13.10,12.10,21770.00
25/03/2019,12.60,CCI,12.60,12.60,12.60,10.00
22/03/2019,11.90,CCI,12.50,13.10,11.90,27070.00
21/03/2019,12.50,CCI,11.70,12.50,11.70,1400.00
20/03/2019,11.70,CCI,12.45,12.45,11.70,310.00
19/03/2019,11.65,CCI,12.70,12.90,11.65,44830.00
18/03/2019,12.40,CCI,12.00,12.80,11.50,24060.00
15/03/2019,12.00,CCI,12.00,12.00,12.00,410.00
14/03/2019,12.50,CCI,12.50,12.50,12.50,10.00
13/03/2019,12.00,CCI,12.00,12.00,12.00,100.00
12/03/2019,12.80,CCI,12.80,12.80,12.80,0.00
11/03/2019,12.80,CCI,12.80,12.80,12.80,0.00
08/03/2019,12.80,CCI,12.80,12.80,12.80,0.00
07/03/2019,12.80,CCI,12.80,12.80,12.80,0.00
06/03/2019,12.80,CCI,12.40,12.80,12.40,7700.00
05/03/2019,12.50,CCI,12.50,12.50,12.50,2390.00
04/03/2019,12.90,CCI,12.90,12.90,12.90,90.00
01/03/2019,12.40,CCI,12.40,12.40,12.40,20.00
28/02/2019,12.40,CCI,12.00,12.40,12.00,30.00
27/02/2019,12.00,CCI,13.10,13.10,12.00,16450.00
26/02/2019,13.20,CCI,13.20,13.20,13.00,800.00
25/02/2019,13.20,CCI,13.20,13.20,13.00,9250.00
22/02/2019,13.20,CCI,13.10,13.20,12.30,25320.00
21/02/2019,13.10,CCI,13.00,13.10,12.15,12800.00
20/02/2019,13.00,CCI,12.90,13.10,12.00,9300.00
19/02/2019,12.90,CCI,12.90,13.10,12.20,6050.00
18/02/2019,12.90,CCI,13.00,13.00,11.90,2870.00
15/02/2019,12.30,CCI,12.25,12.30,12.25,210.00
14/02/2019,12.30,CCI,12.30,12.30,12.30,0.00
13/02/2019,12.30,CCI,11.70,12.30,11.50,190.00
12/02/2019,12.30,CCI,12.30,12.30,12.30,0.00
11/02/2019,12.30,CCI,12.30,12.30,12.30,360.00
01/02/2019,12.20,CCI,12.20,12.20,12.20,0.00
31/01/2019,12.20,CCI,12.10,12.20,12.10,6000.00
30/01/2019,12.20,CCI,11.55,12.20,11.55,4190.00
29/01/2019,11.55,CCI,11.55,11.55,11.55,1000.00
28/01/2019,12.40,CCI,12.40,12.40,12.40,0.00
25/01/2019,12.40,CCI,12.40,12.40,12.40,0.00
24/01/2019,12.40,CCI,12.40,12.40,12.40,0.00
23/01/2019,12.40,CCI,12.40,12.40,12.40,10.00
22/01/2019,12.20,CCI,12.20,12.20,12.20,0.00
21/01/2019,12.20,CCI,12.20,12.20,12.00,16270.00
18/01/2019,11.70,CCI,11.70,11.70,11.70,10.00
17/01/2019,10.95,CCI,11.90,12.00,10.95,1400.00
16/01/2019,11.75,CCI,11.75,11.75,11.75,0.00
15/01/2019,11.75,CCI,11.20,11.75,11.20,1010.00
14/01/2019,11.20,CCI,11.20,11.20,11.20,500.00
11/01/2019,11.75,CCI,11.75,11.75,11.75,0.00
10/01/2019,11.75,CCI,11.75,11.75,11.75,10.00
09/01/2019,12.50,CCI,12.00,12.50,11.20,2540.00
08/01/2019,12.00,CCI,12.00,12.00,12.00,0.00
07/01/2019,12.00,CCI,12.00,12.00,12.00,0.00
04/01/2019,12.00,CCI,12.00,12.00,12.00,0.00
03/01/2019,12.00,CCI,12.00,12.00,12.00,0.00
02/01/2019,12.00,CCI,12.00,12.00,12.00,610.00
28/12/2018,11.65,CCI,11.65,11.65,11.65,1150.00
27/12/2018,11.65,CCI,11.65,11.65,11.65,60000.00
26/12/2018,11.90,CCI,11.90,11.90,11.90,300.00
25/12/2018,11.95,CCI,11.95,11.95,11.95,4030.00
24/12/2018,12.80,CCI,11.60,12.80,11.40,60020.00
21/12/2018,12.00,CCI,11.70,12.00,11.60,60000.00
20/12/2018,12.00,CCI,11.95,12.00,11.95,110.00
19/12/2018,11.80,CCI,11.80,11.80,11.80,120.00
18/12/2018,11.75,CCI,11.75,11.75,11.75,200.00
17/12/2018,12.00,CCI,12.00,12.00,12.00,0.00
14/12/2018,12.00,CCI,11.95,12.00,11.95,130.00
13/12/2018,12.00,CCI,12.00,12.00,12.00,30.00
12/12/2018,11.70,CCI,11.70,11.70,11.70,10.00
11/12/2018,12.00,CCI,11.75,12.00,11.70,70.00
10/12/2018,12.00,CCI,12.00,12.00,12.00,0.00
07/12/2018,12.00,CCI,12.00,12.00,12.00,10.00
06/12/2018,11.70,CCI,11.70,11.70,11.70,10.00
05/12/2018,11.00,CCI,11.70,12.00,11.00,3860.00
04/12/2018,11.70,CCI,11.70,11.70,11.70,8300.00
03/12/2018,11.70,CCI,11.70,12.00,11.70,10160.00
30/11/2018,11.70,CCI,11.70,11.70,11.70,3900.00
29/11/2018,11.70,CCI,11.70,11.70,11.70,5100.00
28/11/2018,11.70,CCI,11.70,11.70,11.50,4450.00
27/11/2018,11.70,CCI,11.70,11.70,11.70,2500.00
26/11/2018,12.00,CCI,11.70,12.00,11.70,2030.00
23/11/2018,11.70,CCI,11.70,11.70,11.70,110.00
22/11/2018,11.70,CCI,11.70,11.80,11.70,4600.00
21/11/2018,11.70,CCI,11.70,11.80,11.60,3460.00
20/11/2018,11.70,CCI,11.70,11.70,11.50,3970.00
19/11/2018,11.70,CCI,11.70,12.20,11.65,5360.00
16/11/2018,11.70,CCI,11.70,11.70,11.70,2840.00
15/11/2018,11.65,CCI,11.80,12.15,11.60,8810.00
14/11/2018,12.00,CCI,11.70,12.10,11.70,12820.00
13/11/2018,11.70,CCI,11.70,12.00,11.50,9780.00
12/11/2018,11.70,CCI,12.15,12.15,11.70,360.00
09/11/2018,12.20,CCI,12.20,12.20,12.20,10.00
08/11/2018,11.90,CCI,11.90,11.90,11.90,0.00
07/11/2018,11.90,CCI,11.90,12.00,11.55,3980.00
06/11/2018,12.00,CCI,11.90,12.00,11.90,100.00
05/11/2018,11.85,CCI,11.85,11.85,11.85,0.00
02/11/2018,11.85,CCI,11.85,11.85,11.85,0.00
01/11/2018,11.85,CCI,11.85,11.85,11.85,0.00
31/10/2018,11.85,CCI,11.85,11.85,11.85,400.00
30/10/2018,11.85,CCI,11.85,11.85,11.85,0.00
29/10/2018,11.85,CCI,11.85,11.85,11.85,0.00
26/10/2018,11.85,CCI,11.90,11.90,11.15,5430.00
25/10/2018,11.85,CCI,11.85,11.85,11.85,0.00
24/10/2018,11.85,CCI,11.85,11.85,11.85,0.00
23/10/2018,11.85,CCI,11.30,11.85,11.30,20.00
22/10/2018,11.85,CCI,11.85,11.85,11.85,0.00
19/10/2018,11.85,CCI,11.85,11.85,11.85,20.00
18/10/2018,11.90,CCI,11.50,11.90,11.40,10420.00
17/10/2018,12.10,CCI,11.50,12.10,11.40,10630.00
16/10/2018,12.20,CCI,12.30,12.30,11.00,330.00
15/10/2018,11.55,CCI,11.60,11.90,11.55,3150.00
12/10/2018,12.40,CCI,11.65,12.40,11.65,220.00
11/10/2018,12.50,CCI,12.50,12.50,12.50,0.00
10/10/2018,12.50,CCI,11.85,12.60,11.85,3300.00
09/10/2018,12.45,CCI,11.85,12.45,11.85,160.00
08/10/2018,12.60,CCI,12.60,12.60,12.60,0.00
05/10/2018,12.60,CCI,12.60,12.60,12.60,0.00
04/10/2018,12.60,CCI,12.10,12.60,12.10,3810.00
03/10/2018,12.60,CCI,12.00,12.60,12.00,2570.00
02/10/2018,12.80,CCI,12.90,12.90,12.05,1140.00
01/10/2018,12.40,CCI,12.15,12.40,12.15,4010.00
28/09/2018,12.70,CCI,12.15,13.00,12.10,7980.00
27/09/2018,13.00,CCI,13.00,13.00,13.00,0.00
26/09/2018,13.00,CCI,13.00,13.00,13.00,0.00
25/09/2018,13.00,CCI,13.00,13.00,13.00,10580.00
24/09/2018,13.00,CCI,12.05,13.00,12.05,20.00
21/09/2018,12.80,CCI,12.80,12.80,12.80,500.00
20/09/2018,12.80,CCI,13.10,13.10,12.80,630.00
19/09/2018,12.55,CCI,12.55,13.10,12.55,80.00
18/09/2018,13.10,CCI,13.00,13.50,13.00,180.00
17/09/2018,12.80,CCI,12.80,12.80,12.80,300.00
14/09/2018,12.80,CCI,13.00,13.10,12.80,690.00
13/09/2018,12.45,CCI,13.20,13.20,12.45,410.00
12/09/2018,13.20,CCI,13.20,13.20,13.20,360.00
11/09/2018,13.00,CCI,13.00,13.00,13.00,10.00
10/09/2018,13.00,CCI,13.00,13.00,12.95,2840.00
07/09/2018,12.95,CCI,12.95,12.95,12.95,10.00
06/09/2018,12.35,CCI,12.20,12.35,12.20,3200.00
05/09/2018,12.20,CCI,13.45,13.45,12.20,3210.00
04/09/2018,12.95,CCI,12.95,12.95,12.95,0.00
31/08/2018,12.95,CCI,13.20,13.20,12.95,4800.00
30/08/2018,13.45,CCI,13.45,13.45,13.45,0.00
29/08/2018,13.45,CCI,12.85,13.45,12.85,9600.00
28/08/2018,13.60,CCI,12.85,13.60,12.85,25020.00
27/08/2018,13.80,CCI,13.80,13.80,13.80,10.00
