DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,3.95,CCL,3.92,4.12,3.92,297840.00
25/04/2019,3.92,CCL,3.86,4.09,3.86,294950.00
24/04/2019,3.90,CCL,3.88,3.93,3.80,134640.00
23/04/2019,3.80,CCL,3.78,3.89,3.78,114920.00
22/04/2019,3.90,CCL,4.00,4.05,3.86,121960.00
19/04/2019,3.99,CCL,3.70,3.99,3.70,306930.00
18/04/2019,3.77,CCL,4.04,4.04,3.77,609000.00
17/04/2019,4.05,CCL,4.09,4.09,3.91,248230.00
16/04/2019,4.09,CCL,4.00,4.20,3.85,475940.00
12/04/2019,3.93,CCL,3.73,3.96,3.71,860640.00
11/04/2019,3.71,CCL,3.57,3.72,3.38,660780.00
10/04/2019,3.48,CCL,3.48,3.56,3.47,42300.00
09/04/2019,3.48,CCL,3.55,3.60,3.46,178430.00
08/04/2019,3.55,CCL,3.39,3.57,3.39,200320.00
05/04/2019,3.39,CCL,3.31,3.51,3.31,70340.00
04/04/2019,3.32,CCL,3.41,3.41,3.32,32530.00
03/04/2019,3.39,CCL,3.25,3.46,3.25,54750.00
02/04/2019,3.25,CCL,3.27,3.30,3.25,49540.00
01/04/2019,3.28,CCL,3.26,3.30,3.26,15330.00
29/03/2019,3.25,CCL,3.37,3.37,3.21,32630.00
28/03/2019,3.24,CCL,3.20,3.29,3.20,18810.00
27/03/2019,3.23,CCL,3.25,3.30,3.23,54230.00
26/03/2019,3.24,CCL,3.28,3.28,3.18,79600.00
25/03/2019,3.20,CCL,3.25,3.25,3.13,62410.00
22/03/2019,3.26,CCL,3.30,3.30,3.20,78750.00
21/03/2019,3.26,CCL,3.38,3.38,3.26,171080.00
20/03/2019,3.37,CCL,3.30,3.39,3.30,51890.00
19/03/2019,3.38,CCL,3.43,3.43,3.34,248560.00
18/03/2019,3.41,CCL,3.46,3.46,3.40,64280.00
15/03/2019,3.46,CCL,3.50,3.54,3.41,44280.00
14/03/2019,3.50,CCL,3.49,3.56,3.44,407100.00
13/03/2019,3.38,CCL,3.38,3.50,3.38,87410.00
12/03/2019,3.42,CCL,3.30,3.46,3.30,146850.00
11/03/2019,3.30,CCL,3.34,3.37,3.25,133460.00
08/03/2019,3.34,CCL,3.36,3.40,3.30,106890.00
07/03/2019,3.42,CCL,3.50,3.53,3.41,147390.00
06/03/2019,3.50,CCL,3.45,3.58,3.45,162030.00
05/03/2019,3.42,CCL,3.28,3.50,3.21,336080.00
04/03/2019,3.28,CCL,3.25,3.28,3.20,76310.00
01/03/2019,3.25,CCL,3.21,3.27,3.15,57370.00
28/02/2019,3.25,CCL,3.15,3.28,3.15,17690.00
27/02/2019,3.20,CCL,3.24,3.25,3.20,40900.00
26/02/2019,3.23,CCL,3.24,3.31,3.20,67240.00
25/02/2019,3.24,CCL,3.25,3.25,3.24,790.00
22/02/2019,3.18,CCL,3.20,3.25,3.18,34570.00
21/02/2019,3.20,CCL,3.22,3.29,3.20,34810.00
20/02/2019,3.25,CCL,3.24,3.28,3.20,23110.00
19/02/2019,3.22,CCL,3.25,3.28,3.22,40170.00
18/02/2019,3.30,CCL,3.29,3.30,3.25,68340.00
15/02/2019,3.29,CCL,3.30,3.30,3.25,77410.00
14/02/2019,3.28,CCL,3.25,3.33,3.25,59550.00
13/02/2019,3.30,CCL,3.24,3.31,3.24,74090.00
12/02/2019,3.24,CCL,3.22,3.30,3.21,91920.00
11/02/2019,3.29,CCL,3.28,3.33,3.22,35320.00
01/02/2019,3.27,CCL,3.31,3.31,3.21,23200.00
31/01/2019,3.19,CCL,3.27,3.39,3.19,106980.00
30/01/2019,3.18,CCL,3.09,3.20,3.09,113020.00
29/01/2019,3.14,CCL,3.06,3.19,3.06,32340.00
28/01/2019,3.14,CCL,3.20,3.22,3.14,58130.00
25/01/2019,3.25,CCL,3.25,3.29,3.16,13160.00
24/01/2019,3.25,CCL,3.30,3.31,3.21,16180.00
23/01/2019,3.29,CCL,3.28,3.30,3.22,91540.00
22/01/2019,3.28,CCL,3.20,3.36,3.17,211200.00
21/01/2019,3.20,CCL,3.20,3.20,3.15,59850.00
18/01/2019,3.20,CCL,3.12,3.20,3.12,90310.00
17/01/2019,3.19,CCL,3.05,3.20,3.05,54330.00
16/01/2019,3.14,CCL,3.20,3.24,3.14,85080.00
15/01/2019,3.20,CCL,3.00,3.23,3.00,316870.00
14/01/2019,3.05,CCL,3.00,3.05,2.95,56080.00
11/01/2019,2.95,CCL,2.94,2.98,2.90,67490.00
10/01/2019,2.90,CCL,2.90,2.95,2.83,78470.00
09/01/2019,2.83,CCL,2.99,2.99,2.82,74690.00
08/01/2019,2.90,CCL,2.73,2.93,2.73,97010.00
07/01/2019,2.90,CCL,2.84,2.97,2.84,62920.00
04/01/2019,2.84,CCL,2.84,2.91,2.80,95620.00
03/01/2019,2.84,CCL,3.00,3.03,2.84,348870.00
02/01/2019,3.05,CCL,3.01,3.06,2.98,8470.00
