DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,20.30,CDN,20.50,20.50,20.30,200.00
25/04/2019,19.60,CDN,20.40,20.40,19.60,3400.00
24/04/2019,20.50,CDN,20.00,21.50,18.50,6600.00
23/04/2019,20.50,CDN,19.00,20.50,19.00,2185.00
22/04/2019,19.40,CDN,19.50,19.50,19.40,300.00
19/04/2019,19.80,CDN,19.80,19.80,19.80,100.00
18/04/2019,19.00,CDN,19.00,19.00,19.00,0.00
17/04/2019,19.00,CDN,19.00,19.00,19.00,0.00
16/04/2019,19.00,CDN,19.00,19.00,18.20,2300.00
12/04/2019,19.30,CDN,18.00,19.50,18.00,5500.00
11/04/2019,18.20,CDN,18.20,18.20,18.20,0.00
10/04/2019,18.20,CDN,18.70,18.70,18.20,1200.00
09/04/2019,18.90,CDN,18.40,18.90,18.40,400.00
08/04/2019,18.50,CDN,18.50,18.50,18.50,0.00
05/04/2019,18.50,CDN,18.50,18.50,18.50,100.00
04/04/2019,18.50,CDN,18.50,18.50,18.50,30.00
03/04/2019,18.50,CDN,17.20,18.70,17.20,3500.00
02/04/2019,18.70,CDN,18.30,19.50,18.30,700.00
01/04/2019,18.00,CDN,18.00,18.00,18.00,960.00
29/03/2019,18.30,CDN,18.50,18.50,17.40,1200.00
28/03/2019,18.40,CDN,17.20,18.40,17.20,1100.00
27/03/2019,18.50,CDN,18.40,19.00,17.80,3440.00
26/03/2019,17.90,CDN,19.00,19.00,16.50,530.00
25/03/2019,18.20,CDN,17.40,18.20,17.30,1100.00
22/03/2019,18.20,CDN,18.00,18.40,18.00,11100.00
21/03/2019,18.20,CDN,17.00,18.20,17.00,82740.00
20/03/2019,17.00,CDN,17.00,17.50,17.00,10000.00
19/03/2019,17.00,CDN,16.40,17.90,16.20,7800.00
18/03/2019,16.40,CDN,16.40,16.40,16.40,9670.00
15/03/2019,16.50,CDN,16.50,16.50,16.50,1600.00
14/03/2019,16.50,CDN,16.50,16.50,16.10,21700.00
13/03/2019,16.50,CDN,15.20,16.50,15.20,30000.00
12/03/2019,16.30,CDN,16.30,16.30,16.30,3000.00
11/03/2019,16.80,CDN,16.80,16.80,16.80,0.00
08/03/2019,16.80,CDN,15.40,16.80,15.40,1100.00
07/03/2019,16.50,CDN,16.50,16.70,16.50,2750.00
06/03/2019,16.60,CDN,16.60,16.60,16.60,0.00
05/03/2019,16.60,CDN,17.40,17.40,16.60,2100.00
04/03/2019,16.50,CDN,17.00,17.00,16.50,2400.00
01/03/2019,16.40,CDN,16.40,16.40,16.40,1000.00
28/02/2019,16.80,CDN,16.80,16.80,16.80,0.00
27/02/2019,16.80,CDN,16.00,16.80,16.00,3100.00
26/02/2019,16.00,CDN,16.00,16.00,16.00,3400.00
25/02/2019,16.50,CDN,16.50,16.50,16.50,0.00
22/02/2019,16.50,CDN,16.50,16.50,16.50,300.00
21/02/2019,16.50,CDN,16.50,16.50,16.50,3500.00
20/02/2019,16.50,CDN,16.50,17.00,16.50,6900.00
19/02/2019,17.50,CDN,17.50,17.50,17.50,0.00
18/02/2019,17.50,CDN,17.50,17.50,17.50,200.00
15/02/2019,17.50,CDN,17.50,17.50,17.50,20.00
14/02/2019,17.50,CDN,17.50,17.50,17.50,100.00
13/02/2019,17.50,CDN,17.50,17.50,17.50,300.00
12/02/2019,16.90,CDN,16.90,16.90,16.90,0.00
11/02/2019,16.90,CDN,16.90,16.90,16.90,0.00
01/02/2019,16.90,CDN,17.00,17.00,16.00,700.00
31/01/2019,15.50,CDN,15.50,15.50,15.50,150.00
30/01/2019,16.90,CDN,16.90,16.90,16.90,0.00
29/01/2019,16.90,CDN,16.90,16.90,16.90,0.00
28/01/2019,16.90,CDN,16.90,16.90,16.90,0.00
25/01/2019,16.90,CDN,16.80,16.90,15.40,1151.00
24/01/2019,15.90,CDN,15.90,15.90,15.90,0.00
23/01/2019,15.90,CDN,15.10,15.90,15.10,300.00
22/01/2019,16.40,CDN,15.50,16.80,15.40,2700.00
21/01/2019,15.50,CDN,15.50,15.50,15.50,2500.00
18/01/2019,15.40,CDN,14.80,15.40,14.80,300.00
17/01/2019,15.60,CDN,14.70,15.60,14.70,1750.00
16/01/2019,15.60,CDN,15.60,15.60,15.60,0.00
15/01/2019,15.60,CDN,15.60,15.60,15.60,700.00
14/01/2019,15.60,CDN,15.40,15.60,15.40,10800.00
11/01/2019,15.60,CDN,15.60,15.60,15.60,0.00
10/01/2019,15.60,CDN,15.60,15.60,15.60,0.00
09/01/2019,15.60,CDN,14.70,15.70,14.60,6900.00
08/01/2019,15.70,CDN,15.70,15.70,15.70,0.00
07/01/2019,15.70,CDN,15.70,15.70,15.70,0.00
04/01/2019,15.70,CDN,15.70,15.70,15.70,200.00
03/01/2019,15.30,CDN,14.60,15.60,14.60,300.00
