DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,1.10,CDO,1.00,1.10,1.00,50880.00
25/04/2019,1.10,CDO,1.10,1.10,1.10,16100.00
24/04/2019,1.10,CDO,1.10,1.10,1.00,52900.00
23/04/2019,1.00,CDO,1.00,1.10,1.00,44900.00
22/04/2019,1.10,CDO,1.10,1.10,1.00,67020.00
19/04/2019,1.00,CDO,1.10,1.10,1.00,97500.00
18/04/2019,1.10,CDO,1.10,1.10,1.00,55510.00
17/04/2019,1.10,CDO,1.10,1.10,1.00,24800.00
16/04/2019,1.10,CDO,1.00,1.10,1.00,12007.00
12/04/2019,1.00,CDO,1.10,1.10,1.00,54340.00
11/04/2019,1.10,CDO,1.00,1.10,1.00,84232.00
10/04/2019,1.10,CDO,1.10,1.10,1.00,34080.00
09/04/2019,1.00,CDO,1.10,1.10,1.00,72970.00
08/04/2019,1.00,CDO,1.10,1.20,1.00,139940.00
05/04/2019,1.10,CDO,1.00,1.10,1.00,175110.00
04/04/2019,1.00,CDO,1.10,1.10,1.00,97339.00
03/04/2019,1.10,CDO,1.10,1.10,1.10,64208.00
02/04/2019,1.10,CDO,1.10,1.10,1.00,52810.00
01/04/2019,1.10,CDO,1.00,1.10,1.00,71710.00
29/03/2019,1.10,CDO,1.00,1.10,1.00,54104.00
28/03/2019,1.10,CDO,1.00,1.10,1.00,4511.00
27/03/2019,1.00,CDO,1.00,1.10,0.90,112105.00
26/03/2019,1.10,CDO,1.00,1.10,0.90,132480.00
25/03/2019,1.00,CDO,1.00,1.00,1.00,76900.00
22/03/2019,1.00,CDO,1.00,1.00,1.00,101000.00
21/03/2019,1.00,CDO,1.00,1.10,0.90,146130.00
20/03/2019,1.00,CDO,1.10,1.10,1.00,123060.00
19/03/2019,1.10,CDO,1.00,1.10,1.00,126600.00
18/03/2019,1.10,CDO,1.00,1.10,1.00,78090.00
15/03/2019,1.00,CDO,1.00,1.10,1.00,108750.00
14/03/2019,1.00,CDO,1.00,1.10,1.00,186200.00
13/03/2019,1.00,CDO,1.10,1.10,1.00,71900.00
12/03/2019,1.00,CDO,1.10,1.10,1.00,116598.00
11/03/2019,1.10,CDO,1.10,1.10,1.00,176411.00
08/03/2019,1.00,CDO,1.10,1.10,0.90,53900.00
07/03/2019,1.00,CDO,1.00,1.10,1.00,281125.00
06/03/2019,1.10,CDO,1.10,1.10,1.00,119490.00
05/03/2019,1.10,CDO,1.00,1.10,1.00,150910.00
04/03/2019,1.00,CDO,0.90,1.10,0.90,150420.00
01/03/2019,1.00,CDO,1.00,1.10,1.00,95613.00
28/02/2019,1.10,CDO,1.00,1.10,1.00,105200.00
27/02/2019,1.00,CDO,0.90,1.10,0.90,115200.00
26/02/2019,1.00,CDO,1.00,1.00,0.90,92290.00
25/02/2019,1.00,CDO,1.00,1.00,0.90,94510.00
22/02/2019,1.00,CDO,1.00,1.10,0.90,102320.00
21/02/2019,1.00,CDO,1.10,1.10,1.00,120750.00
20/02/2019,1.10,CDO,1.10,1.10,1.00,114900.00
19/02/2019,1.10,CDO,1.00,1.10,1.00,9885.00
18/02/2019,1.10,CDO,1.00,1.10,1.00,11750.00
15/02/2019,1.10,CDO,1.00,1.10,1.00,61500.00
14/02/2019,1.10,CDO,1.10,1.10,1.00,115510.00
13/02/2019,1.10,CDO,1.00,1.10,0.90,169030.00
12/02/2019,1.00,CDO,1.10,1.10,0.90,106410.00
11/02/2019,1.00,CDO,1.10,1.10,0.90,61800.00
01/02/2019,1.10,CDO,1.00,1.10,1.00,102123.00
31/01/2019,1.00,CDO,1.00,1.00,1.00,96000.00
30/01/2019,1.00,CDO,0.90,1.00,0.90,111142.00
29/01/2019,0.90,CDO,1.00,1.00,0.90,163281.00
28/01/2019,1.00,CDO,1.00,1.00,1.00,50141.00
25/01/2019,0.90,CDO,1.00,1.00,0.90,28100.00
24/01/2019,1.00,CDO,1.00,1.00,0.90,98990.00
23/01/2019,0.90,CDO,1.00,1.00,0.90,99700.00
22/01/2019,0.90,CDO,0.90,1.00,0.90,95570.00
21/01/2019,1.00,CDO,0.90,1.00,0.90,97053.00
18/01/2019,1.00,CDO,1.00,1.00,0.90,141906.00
17/01/2019,1.00,CDO,1.00,1.00,0.90,103600.00
16/01/2019,1.00,CDO,1.00,1.00,1.00,83855.00
15/01/2019,1.00,CDO,1.00,1.00,1.00,62843.00
14/01/2019,1.00,CDO,1.00,1.00,1.00,20200.00
11/01/2019,0.90,CDO,1.00,1.00,0.90,117560.00
10/01/2019,0.90,CDO,0.90,0.90,0.80,95700.00
09/01/2019,0.90,CDO,0.90,0.90,0.90,38650.00
08/01/2019,0.90,CDO,0.90,1.00,0.90,21800.00
07/01/2019,0.90,CDO,1.00,1.00,0.90,69860.00
04/01/2019,0.90,CDO,0.90,0.90,0.90,166700.00
03/01/2019,0.90,CDO,1.00,1.00,0.90,445700.00
02/01/2019,1.00,CDO,1.00,1.00,0.90,44000.00
28/12/2018,1.00,CDO,1.00,1.00,1.00,67900.00
27/12/2018,0.90,CDO,1.00,1.00,0.90,63900.00
26/12/2018,1.00,CDO,1.00,1.00,1.00,30590.00
25/12/2018,1.00,CDO,0.90,1.00,0.90,22630.00
24/12/2018,1.00,CDO,0.90,1.00,0.90,162060.00
21/12/2018,1.00,CDO,1.00,1.00,0.90,75210.00
20/12/2018,1.00,CDO,1.00,1.00,0.90,78970.00
19/12/2018,1.00,CDO,1.00,1.10,1.00,179220.00
18/12/2018,1.00,CDO,0.90,1.00,0.90,184140.00
17/12/2018,1.00,CDO,1.00,1.00,0.90,245790.00
14/12/2018,1.00,CDO,1.00,1.10,1.00,106020.00
13/12/2018,1.10,CDO,1.00,1.10,1.00,19740.00
12/12/2018,1.10,CDO,1.00,1.10,1.00,24508.00
11/12/2018,1.10,CDO,1.00,1.10,1.00,35022.00
10/12/2018,1.10,CDO,1.00,1.10,1.00,146150.00
07/12/2018,1.00,CDO,1.00,1.10,1.00,34318.00
06/12/2018,1.10,CDO,1.10,1.10,1.00,158100.00
05/12/2018,1.10,CDO,1.10,1.10,1.10,34730.00
04/12/2018,1.10,CDO,1.00,1.10,1.00,119730.00
03/12/2018,1.00,CDO,1.10,1.10,1.00,90400.00
30/11/2018,1.10,CDO,1.10,1.10,1.00,16300.00
29/11/2018,1.10,CDO,1.10,1.10,1.10,32140.00
28/11/2018,1.10,CDO,1.10,1.10,1.00,73122.00
27/11/2018,1.10,CDO,1.10,1.10,1.10,33220.00
26/11/2018,1.10,CDO,1.10,1.10,1.00,104710.00
23/11/2018,1.20,CDO,1.10,1.20,1.10,14510.00
22/11/2018,1.10,CDO,1.10,1.10,1.10,5302.00
21/11/2018,1.10,CDO,1.10,1.10,1.10,33276.00
20/11/2018,1.00,CDO,1.00,1.10,1.00,68360.00
19/11/2018,1.10,CDO,1.10,1.10,1.00,65094.00
16/11/2018,1.10,CDO,1.10,1.10,1.00,48560.00
15/11/2018,1.00,CDO,1.10,1.10,1.00,72040.00
14/11/2018,1.10,CDO,1.10,1.10,1.00,130340.00
13/11/2018,1.10,CDO,1.10,1.20,1.10,110080.00
12/11/2018,1.20,CDO,1.10,1.20,1.10,33598.00
09/11/2018,1.20,CDO,1.10,1.20,1.10,53370.00
08/11/2018,1.20,CDO,1.20,1.20,1.10,132110.00
07/11/2018,1.20,CDO,1.20,1.20,1.10,30730.00
06/11/2018,1.20,CDO,1.20,1.20,1.10,56490.00
05/11/2018,1.20,CDO,1.20,1.20,1.10,57690.00
02/11/2018,1.10,CDO,1.10,1.10,1.00,81450.00
01/11/2018,1.10,CDO,1.10,1.20,1.10,90500.00
31/10/2018,1.20,CDO,1.10,1.20,1.10,105290.00
30/10/2018,1.20,CDO,1.10,1.20,1.10,20330.00
29/10/2018,1.10,CDO,1.10,1.20,1.10,73610.00
26/10/2018,1.10,CDO,1.10,1.20,1.10,106660.00
25/10/2018,1.20,CDO,1.20,1.20,1.10,185800.00
24/10/2018,1.20,CDO,1.20,1.20,1.20,76300.00
23/10/2018,1.30,CDO,1.30,1.40,1.20,285660.00
22/10/2018,1.40,CDO,1.30,1.40,1.30,89901.00
19/10/2018,1.30,CDO,1.40,1.50,1.30,185440.00
18/10/2018,1.50,CDO,1.40,1.50,1.40,214750.00
17/10/2018,1.50,CDO,1.50,1.60,1.40,262940.00
16/10/2018,1.50,CDO,1.50,1.60,1.40,206900.00
15/10/2018,1.60,CDO,1.70,1.70,1.50,173211.00
12/10/2018,1.60,CDO,1.50,1.60,1.50,305300.00
11/10/2018,1.50,CDO,1.60,1.70,1.40,541720.00
10/10/2018,1.60,CDO,1.60,1.60,1.50,1884162.00
09/10/2018,1.40,CDO,1.40,1.40,1.40,28400.00
08/10/2018,1.30,CDO,1.30,1.30,1.30,17040.00
05/10/2018,1.20,CDO,1.20,1.20,1.20,48600.00
03/08/2018,0.89,CDO,0.89,0.89,0.89,0.00
02/08/2018,0.89,CDO,0.89,0.89,0.89,0.00
01/08/2018,0.89,CDO,0.89,0.89,0.89,0.00
31/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
30/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
27/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
26/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
25/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
24/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
23/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
20/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
19/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
18/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
17/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
16/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
13/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
12/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
11/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
10/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
09/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
06/07/2018,0.89,CDO,0.89,0.89,0.89,0.00
