DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,7.60,CHS,7.60,7.60,7.60,0.00
25/04/2019,7.60,CHS,7.60,7.60,7.60,0.00
24/04/2019,7.60,CHS,7.60,7.60,7.60,0.00
23/04/2019,7.60,CHS,7.60,7.60,7.60,0.00
22/04/2019,7.60,CHS,7.60,7.60,7.60,0.00
19/04/2019,7.60,CHS,7.60,7.60,7.60,0.00
18/04/2019,7.60,CHS,7.60,7.60,7.60,0.00
17/04/2019,7.60,CHS,7.60,7.60,7.60,100.00
16/04/2019,8.40,CHS,8.40,8.40,8.40,0.00
12/04/2019,8.40,CHS,8.40,8.40,8.40,0.00
11/04/2019,8.40,CHS,8.40,8.40,8.40,0.00
10/04/2019,8.40,CHS,8.40,8.40,8.40,0.00
09/04/2019,8.40,CHS,8.40,8.40,8.40,0.00
08/04/2019,8.40,CHS,8.40,8.40,8.40,0.00
05/04/2019,8.40,CHS,8.40,8.40,8.40,0.00
04/04/2019,8.40,CHS,8.40,8.40,8.40,0.00
03/04/2019,8.40,CHS,8.40,8.40,8.40,300.00
02/04/2019,8.30,CHS,8.30,8.30,8.30,100.00
01/04/2019,8.70,CHS,8.70,8.70,8.70,0.00
29/03/2019,8.70,CHS,8.70,8.70,8.70,0.00
28/03/2019,8.70,CHS,8.70,8.70,8.70,0.00
27/03/2019,8.70,CHS,8.70,8.70,8.70,0.00
26/03/2019,8.70,CHS,8.70,8.70,8.70,0.00
25/03/2019,9.70,CHS,8.60,9.70,8.60,1500.00
22/03/2019,8.60,CHS,8.60,8.60,8.60,900.00
21/03/2019,8.90,CHS,8.60,9.00,8.60,4600.00
20/03/2019,9.00,CHS,8.60,9.00,8.60,2900.00
19/03/2019,9.00,CHS,9.30,9.30,8.50,5300.00
18/03/2019,9.50,CHS,8.70,9.50,8.50,6900.00
15/03/2019,8.50,CHS,8.70,9.90,8.50,9200.00
14/03/2019,8.50,CHS,8.70,8.70,8.50,5600.00
13/03/2019,8.60,CHS,8.80,8.80,8.10,8200.00
12/03/2019,8.50,CHS,8.60,8.60,8.50,2600.00
11/03/2019,8.00,CHS,8.80,8.80,8.00,6000.00
08/03/2019,8.60,CHS,8.80,8.80,8.60,6900.00
07/03/2019,8.70,CHS,8.70,8.70,8.70,2200.00
06/03/2019,8.70,CHS,9.30,9.30,8.70,2100.00
05/03/2019,8.60,CHS,8.90,8.90,8.60,10100.00
04/03/2019,8.60,CHS,8.70,8.70,8.60,12100.00
01/03/2019,8.60,CHS,8.70,8.70,8.60,11000.00
28/02/2019,8.60,CHS,8.60,8.60,8.60,0.00
27/02/2019,8.60,CHS,8.60,8.60,8.60,0.00
26/02/2019,8.60,CHS,8.60,8.60,8.60,100.00
25/02/2019,10.00,CHS,10.00,10.00,10.00,700.00
22/02/2019,10.00,CHS,8.60,10.30,8.60,700.00
21/02/2019,9.50,CHS,9.50,9.50,9.50,0.00
20/02/2019,10.60,CHS,8.30,10.60,8.30,200.00
19/02/2019,10.70,CHS,8.00,10.70,8.00,200.00
18/02/2019,9.40,CHS,9.40,9.40,9.40,0.00
15/02/2019,9.40,CHS,9.40,9.40,9.40,0.00
14/02/2019,9.40,CHS,9.40,9.40,9.40,0.00
13/02/2019,9.50,CHS,9.30,9.50,9.30,200.00
12/02/2019,8.50,CHS,8.50,8.50,8.50,0.00
11/02/2019,8.50,CHS,8.50,8.50,8.50,100.00
