DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,3.85,CIG,3.88,3.88,3.85,1300.00
25/04/2019,3.88,CIG,3.90,3.90,3.62,4650.00
24/04/2019,3.89,CIG,3.90,3.90,3.80,650.00
23/04/2019,3.80,CIG,3.89,3.89,3.70,3330.00
22/04/2019,3.85,CIG,3.94,3.94,3.80,5760.00
19/04/2019,3.94,CIG,3.95,3.95,3.65,2300.00
18/04/2019,3.75,CIG,3.85,3.85,3.75,3300.00
17/04/2019,3.85,CIG,3.95,3.95,3.85,2680.00
16/04/2019,3.95,CIG,3.95,3.95,3.95,300.00
12/04/2019,3.95,CIG,3.95,3.95,3.95,500.00
11/04/2019,3.95,CIG,3.98,3.98,3.95,1300.00
10/04/2019,3.98,CIG,3.98,3.98,3.98,400.00
09/04/2019,3.98,CIG,3.98,3.98,3.95,2000.00
08/04/2019,3.95,CIG,4.00,4.00,3.90,6900.00
05/04/2019,3.95,CIG,4.10,4.10,3.95,660.00
04/04/2019,3.98,CIG,3.98,3.98,3.98,200.00
03/04/2019,3.98,CIG,3.98,3.98,3.71,4990.00
02/04/2019,3.98,CIG,4.00,4.00,3.98,5530.00
01/04/2019,3.98,CIG,3.94,3.98,3.90,7520.00
29/03/2019,3.94,CIG,3.92,3.95,3.85,21120.00
28/03/2019,3.94,CIG,3.95,3.95,3.92,32270.00
27/03/2019,3.95,CIG,3.92,3.97,3.90,24280.00
26/03/2019,3.97,CIG,3.98,3.98,3.80,14090.00
25/03/2019,3.97,CIG,3.95,3.99,3.92,200340.00
22/03/2019,3.92,CIG,3.96,3.96,3.92,17300.00
21/03/2019,3.96,CIG,4.00,4.00,3.95,21000.00
20/03/2019,3.96,CIG,4.00,4.00,3.95,34490.00
19/03/2019,3.95,CIG,3.90,3.95,3.85,40590.00
18/03/2019,3.90,CIG,3.98,3.98,3.90,3370.00
15/03/2019,3.99,CIG,4.00,4.00,3.90,5350.00
14/03/2019,3.98,CIG,4.00,4.00,3.95,3430.00
13/03/2019,4.00,CIG,3.95,4.02,3.95,43140.00
12/03/2019,3.95,CIG,3.95,4.02,3.95,53120.00
11/03/2019,3.98,CIG,4.02,4.02,3.88,58600.00
08/03/2019,4.02,CIG,4.00,4.05,3.98,8030.00
07/03/2019,3.98,CIG,4.00,4.00,3.95,15920.00
06/03/2019,4.10,CIG,4.10,4.10,3.95,60830.00
05/03/2019,4.17,CIG,4.05,4.20,4.00,77830.00
04/03/2019,4.04,CIG,3.95,4.10,3.95,139790.00
01/03/2019,3.90,CIG,4.00,4.00,3.90,3200.00
28/02/2019,3.90,CIG,4.05,4.08,3.90,23160.00
27/02/2019,4.05,CIG,3.98,4.05,3.98,41870.00
26/02/2019,3.98,CIG,3.91,4.01,3.91,100420.00
25/02/2019,3.91,CIG,3.90,3.95,3.75,74980.00
22/02/2019,3.91,CIG,3.90,3.91,3.80,33780.00
21/02/2019,3.90,CIG,3.86,3.90,3.70,140520.00
20/02/2019,3.86,CIG,3.72,3.87,3.72,44250.00
19/02/2019,3.72,CIG,3.97,3.97,3.70,68370.00
18/02/2019,3.97,CIG,3.74,3.97,3.74,68730.00
15/02/2019,3.74,CIG,3.74,3.74,3.55,60990.00
14/02/2019,3.70,CIG,3.80,3.83,3.60,49100.00
13/02/2019,3.80,CIG,3.80,3.82,3.55,61190.00
12/02/2019,3.80,CIG,3.65,3.80,3.55,88620.00
11/02/2019,3.70,CIG,3.55,3.70,3.55,52190.00
01/02/2019,3.52,CIG,3.45,3.52,3.42,40310.00
31/01/2019,3.40,CIG,3.26,3.40,3.24,18010.00
30/01/2019,3.24,CIG,3.30,3.30,3.15,14740.00
29/01/2019,3.26,CIG,3.06,3.35,3.06,9710.00
28/01/2019,3.26,CIG,2.90,3.26,2.90,110.00
25/01/2019,3.10,CIG,3.15,3.35,3.10,18450.00
24/01/2019,3.15,CIG,3.15,3.15,3.15,0.00
23/01/2019,3.15,CIG,3.15,3.15,3.15,60.00
22/01/2019,3.38,CIG,3.38,3.38,3.38,10.00
21/01/2019,3.19,CIG,3.19,3.19,3.19,20.00
18/01/2019,3.43,CIG,3.43,3.43,3.43,0.00
17/01/2019,3.43,CIG,3.43,3.43,3.43,0.00
16/01/2019,3.43,CIG,3.43,3.43,3.43,0.00
15/01/2019,3.43,CIG,3.03,3.43,3.03,160.00
14/01/2019,3.25,CIG,3.25,3.25,3.25,0.00
11/01/2019,3.25,CIG,3.25,3.25,3.25,0.00
10/01/2019,3.25,CIG,3.28,3.28,3.25,1290.00
09/01/2019,3.30,CIG,3.50,3.50,3.11,130.00
08/01/2019,3.34,CIG,3.34,3.34,3.34,9800.00
07/01/2019,3.37,CIG,3.37,3.37,3.37,100.00
04/01/2019,3.62,CIG,3.68,3.68,3.62,30.00
03/01/2019,3.45,CIG,3.31,3.45,3.31,20.00
02/01/2019,3.55,CIG,3.55,3.55,3.55,0.00
28/12/2018,3.55,CIG,3.68,3.68,3.21,1790.00
27/12/2018,3.45,CIG,3.70,3.70,3.45,60.00
26/12/2018,3.70,CIG,3.70,3.70,3.70,10.00
25/12/2018,3.46,CIG,3.47,3.47,3.23,10280.00
24/12/2018,3.47,CIG,3.46,3.47,3.46,6000.00
21/12/2018,3.71,CIG,3.53,3.71,3.53,360.00
20/12/2018,3.79,CIG,3.53,3.80,3.53,1110.00
19/12/2018,3.79,CIG,3.38,3.85,3.38,18610.00
18/12/2018,3.63,CIG,3.89,3.89,3.63,3370.00
17/12/2018,3.90,CIG,3.90,3.90,3.90,10.00
14/12/2018,3.84,CIG,3.88,3.88,3.48,9520.00
13/12/2018,3.74,CIG,3.28,3.74,3.27,10120.00
12/12/2018,3.51,CIG,3.60,3.93,3.51,1620.00
11/12/2018,3.76,CIG,4.29,4.29,3.76,6740.00
10/12/2018,4.04,CIG,4.24,4.24,3.72,1010.00
07/12/2018,3.99,CIG,3.99,3.99,3.99,10.00
06/12/2018,3.79,CIG,3.84,3.84,3.35,6400.00
05/12/2018,3.60,CIG,3.79,3.79,3.60,210.00
04/12/2018,3.77,CIG,3.53,3.77,3.52,2410.00
03/12/2018,3.78,CIG,3.87,3.87,3.52,10770.00
30/11/2018,3.78,CIG,3.80,3.80,3.43,8150.00
29/11/2018,3.68,CIG,3.98,3.98,3.68,5280.00
28/11/2018,3.95,CIG,4.00,4.00,3.95,30.00
27/11/2018,3.88,CIG,3.90,3.90,3.88,1900.00
26/11/2018,3.90,CIG,3.97,3.97,3.90,480.00
23/11/2018,3.90,CIG,3.97,3.97,3.90,120.00
22/11/2018,3.77,CIG,3.78,3.78,3.62,2600.00
21/11/2018,3.89,CIG,3.98,3.98,3.61,7460.00
20/11/2018,3.88,CIG,3.88,3.88,3.88,230.00
19/11/2018,3.88,CIG,3.63,3.88,3.63,1010.00
16/11/2018,3.89,CIG,3.90,3.90,3.62,17420.00
15/11/2018,3.89,CIG,3.89,3.95,3.80,580.00
14/11/2018,3.89,CIG,3.80,3.90,3.50,250.00
13/11/2018,3.75,CIG,3.70,3.75,3.70,130.00
12/11/2018,3.70,CIG,3.70,3.70,3.69,260.00
09/11/2018,3.69,CIG,3.69,3.69,3.69,100.00
