DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,35.00,CLC,34.30,35.00,34.30,28360.00
25/04/2019,35.00,CLC,34.30,35.00,34.30,430.00
24/04/2019,35.00,CLC,35.00,35.00,34.50,3600.00
23/04/2019,34.95,CLC,34.60,35.00,34.50,4010.00
22/04/2019,34.85,CLC,34.90,34.95,34.85,240.00
19/04/2019,34.95,CLC,34.70,34.95,34.60,1080.00
18/04/2019,34.70,CLC,35.00,35.15,34.50,2390.00
17/04/2019,34.65,CLC,34.70,34.70,34.20,1240.00
16/04/2019,34.30,CLC,34.95,35.20,34.30,2350.00
12/04/2019,34.95,CLC,35.20,35.20,34.90,8010.00
11/04/2019,34.85,CLC,35.25,35.25,34.85,390.00
10/04/2019,34.30,CLC,35.30,35.30,34.30,13330.00
09/04/2019,35.30,CLC,35.20,35.50,34.85,5240.00
08/04/2019,35.20,CLC,35.20,35.20,34.75,4590.00
05/04/2019,35.20,CLC,35.00,35.85,35.00,4530.00
04/04/2019,35.20,CLC,35.80,35.80,34.60,13270.00
03/04/2019,35.15,CLC,35.80,35.80,34.40,6230.00
02/04/2019,35.15,CLC,35.15,35.20,34.75,2610.00
01/04/2019,35.45,CLC,36.50,36.50,35.00,8070.00
29/03/2019,35.80,CLC,35.80,35.80,35.80,0.00
28/03/2019,35.80,CLC,34.50,36.45,34.50,5370.00
27/03/2019,35.00,CLC,35.00,35.70,35.00,3270.00
26/03/2019,34.70,CLC,34.85,34.85,34.70,740.00
25/03/2019,34.40,CLC,34.50,34.85,33.60,2890.00
22/03/2019,34.85,CLC,35.00,35.00,34.05,30.00
21/03/2019,34.50,CLC,35.00,36.90,34.50,5200.00
20/03/2019,34.50,CLC,34.45,34.50,34.45,1550.00
19/03/2019,34.60,CLC,34.45,34.80,34.45,9030.00
18/03/2019,34.80,CLC,36.80,36.80,34.30,280.00
15/03/2019,35.00,CLC,35.00,35.50,34.35,6270.00
14/03/2019,35.00,CLC,35.00,37.00,35.00,490.00
13/03/2019,34.70,CLC,35.00,35.00,34.35,6030.00
12/03/2019,34.70,CLC,34.50,34.70,34.50,4010.00
11/03/2019,34.50,CLC,34.80,34.80,34.50,13700.00
08/03/2019,34.50,CLC,35.90,35.90,34.35,6920.00
07/03/2019,34.80,CLC,34.80,34.80,34.80,360.00
06/03/2019,34.80,CLC,34.80,34.80,34.80,50.00
05/03/2019,34.80,CLC,34.80,34.80,34.40,1130.00
04/03/2019,34.40,CLC,35.00,35.00,34.40,3290.00
01/03/2019,35.20,CLC,35.50,35.50,34.50,550.00
28/02/2019,34.85,CLC,34.35,34.90,34.35,4440.00
27/02/2019,34.65,CLC,34.80,34.80,34.65,130.00
26/02/2019,34.50,CLC,33.85,34.80,33.85,4270.00
25/02/2019,34.80,CLC,34.00,34.80,34.00,3430.00
22/02/2019,34.80,CLC,33.80,34.80,33.80,2170.00
21/02/2019,34.95,CLC,33.60,35.00,33.60,4150.00
20/02/2019,35.40,CLC,36.95,36.95,34.00,1210.00
19/02/2019,35.00,CLC,34.00,35.00,33.55,170.00
18/02/2019,35.30,CLC,34.60,36.50,34.00,6690.00
15/02/2019,35.00,CLC,34.60,35.00,34.60,560.00
14/02/2019,34.50,CLC,34.95,34.95,33.60,1160.00
13/02/2019,34.50,CLC,35.30,35.30,33.60,1750.00
12/02/2019,34.15,CLC,34.10,35.40,33.70,15650.00
11/02/2019,34.75,CLC,34.60,34.80,33.25,320.00
01/02/2019,34.70,CLC,33.70,34.70,33.70,200.00
31/01/2019,34.70,CLC,33.70,35.10,32.60,8990.00
30/01/2019,33.70,CLC,33.05,34.70,33.00,3240.00
29/01/2019,34.80,CLC,33.95,34.80,33.95,6020.00
28/01/2019,35.90,CLC,35.90,35.90,35.90,10.00
25/01/2019,34.50,CLC,34.50,34.50,34.50,230.00
24/01/2019,34.50,CLC,35.60,35.95,34.40,1390.00
23/01/2019,34.60,CLC,35.50,35.50,33.60,3940.00
22/01/2019,34.70,CLC,36.30,36.30,34.70,760.00
21/01/2019,35.00,CLC,34.80,37.00,33.65,3420.00
18/01/2019,34.70,CLC,34.75,34.80,34.40,7730.00
17/01/2019,35.40,CLC,35.40,35.40,35.40,0.00
16/01/2019,35.40,CLC,35.50,35.50,34.70,2940.00
15/01/2019,35.40,CLC,34.00,35.50,34.00,42060.00
14/01/2019,34.00,CLC,35.00,35.95,34.00,570.00
11/01/2019,34.00,CLC,33.40,34.00,33.40,1020.00
10/01/2019,33.45,CLC,33.00,33.45,30.60,6670.00
09/01/2019,32.85,CLC,33.80,33.80,32.85,1290.00
