DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
14/05/2014,3.40,CLP,3.50,3.50,3.40,11960.00
13/05/2014,3.30,CLP,3.30,3.30,3.30,0.00
12/05/2014,3.30,CLP,3.30,3.50,3.30,7030.00
09/05/2014,3.30,CLP,3.30,3.30,3.10,5060.00
08/05/2014,3.10,CLP,3.10,3.10,3.10,5100.00
07/05/2014,3.10,CLP,3.10,3.10,3.10,40.00
06/05/2014,3.30,CLP,3.30,3.30,3.30,760.00
05/05/2014,3.10,CLP,3.10,3.10,3.10,100.00
29/04/2014,3.30,CLP,3.50,3.70,3.30,2030.00
28/04/2014,3.50,CLP,3.50,3.50,3.50,360.00
25/04/2014,3.50,CLP,3.90,3.90,3.50,1620.00
24/04/2014,3.70,CLP,3.70,3.70,3.70,17020.00
23/04/2014,3.90,CLP,3.90,4.10,3.90,3080.00
22/04/2014,4.10,CLP,4.00,4.10,4.00,4630.00
21/04/2014,4.20,CLP,4.20,4.20,4.20,10.00
18/04/2014,4.50,CLP,4.50,4.50,4.40,5000.00
17/04/2014,4.70,CLP,4.70,4.70,4.70,1270.00
16/04/2014,5.00,CLP,5.00,5.00,5.00,1040.00
15/04/2014,5.30,CLP,4.90,5.30,4.90,200.00
14/04/2014,5.00,CLP,5.20,5.20,5.00,1830.00
11/04/2014,5.00,CLP,4.50,5.00,4.50,60.00
10/04/2014,4.80,CLP,4.80,4.80,4.80,500.00
08/04/2014,4.50,CLP,4.80,4.80,4.50,880.00
07/04/2014,4.50,CLP,4.50,4.50,4.50,320.00
04/04/2014,4.80,CLP,5.30,5.30,4.80,5060.00
03/04/2014,5.10,CLP,4.60,5.10,4.60,2110.00
02/04/2014,4.90,CLP,5.20,5.20,4.90,330.00
01/04/2014,5.20,CLP,5.20,5.20,5.20,300.00
31/03/2014,5.00,CLP,4.90,5.00,4.80,330.00
28/03/2014,4.80,CLP,4.80,5.30,4.80,2180.00
27/03/2014,5.10,CLP,5.10,5.10,5.10,710.00
26/03/2014,5.30,CLP,5.80,5.80,5.30,9050.00
25/03/2014,5.60,CLP,5.60,5.60,5.60,1120.00
24/03/2014,5.30,CLP,5.30,5.30,5.30,13450.00
21/03/2014,4.80,CLP,4.80,5.00,4.80,5240.00
20/03/2014,4.80,CLP,4.50,4.80,4.50,830.00
19/03/2014,4.50,CLP,4.90,4.90,4.50,1410.00
18/03/2014,4.60,CLP,4.60,4.60,4.60,920.00
17/03/2014,4.30,CLP,4.30,4.30,4.30,600.00
14/03/2014,4.30,CLP,4.30,4.30,4.30,0.00
13/03/2014,4.30,CLP,4.30,4.30,4.30,70.00
12/03/2014,4.40,CLP,4.40,4.40,4.40,130.00
11/03/2014,4.50,CLP,4.50,4.50,4.50,50.00
10/03/2014,4.70,CLP,4.70,4.70,4.70,0.00
07/03/2014,4.70,CLP,4.70,4.70,4.70,0.00
06/03/2014,4.70,CLP,4.80,4.80,4.70,1070.00
05/03/2014,5.00,CLP,4.60,5.00,4.60,2110.00
04/03/2014,4.90,CLP,4.90,4.90,4.90,10.00
03/03/2014,4.60,CLP,4.60,4.90,4.60,1400.00
28/02/2014,4.60,CLP,4.70,4.70,4.60,990.00
27/02/2014,4.40,CLP,4.40,4.40,4.40,500.00
26/02/2014,4.40,CLP,4.40,4.40,4.40,100.00
25/02/2014,4.60,CLP,4.60,4.60,4.60,100.00
24/02/2014,4.90,CLP,4.90,4.90,4.90,10.00
