DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,10.00,CLX,10.00,10.00,10.00,0.00
25/04/2019,10.00,CLX,10.00,10.00,10.00,0.00
24/04/2019,10.00,CLX,10.00,10.00,10.00,0.00
23/04/2019,10.00,CLX,10.00,10.00,10.00,0.00
22/04/2019,10.00,CLX,10.00,10.00,10.00,0.00
19/04/2019,10.00,CLX,10.00,10.00,10.00,100.00
18/04/2019,11.00,CLX,11.00,11.00,11.00,0.00
17/04/2019,11.00,CLX,11.00,11.00,11.00,0.00
16/04/2019,11.00,CLX,11.00,11.00,11.00,0.00
12/04/2019,11.40,CLX,11.00,11.40,9.90,5730.00
11/04/2019,11.00,CLX,11.00,11.00,11.00,20.00
10/04/2019,11.00,CLX,11.00,11.00,11.00,100.00
09/04/2019,10.60,CLX,10.60,10.60,10.60,0.00
08/04/2019,10.60,CLX,10.60,10.60,10.60,0.00
05/04/2019,10.60,CLX,10.60,10.60,10.60,100.00
04/04/2019,10.60,CLX,10.60,10.60,10.60,600.00
03/04/2019,10.50,CLX,10.50,10.50,10.50,100.00
02/04/2019,10.90,CLX,10.90,10.90,10.90,0.00
01/04/2019,11.00,CLX,10.90,11.00,10.90,320.00
29/03/2019,10.90,CLX,10.90,10.90,10.90,345.00
28/03/2019,10.90,CLX,10.90,10.90,10.90,0.00
27/03/2019,11.00,CLX,10.50,11.00,10.50,510.00
26/03/2019,10.50,CLX,10.50,10.50,10.50,10.00
25/03/2019,10.50,CLX,10.50,10.50,10.50,104.00
22/03/2019,10.30,CLX,10.30,10.30,10.30,0.00
21/03/2019,10.30,CLX,10.30,10.30,10.30,0.00
20/03/2019,10.30,CLX,10.30,10.30,10.30,368.00
19/03/2019,10.30,CLX,10.30,10.30,10.30,4.00
18/03/2019,10.30,CLX,10.30,10.30,10.30,0.00
15/03/2019,10.00,CLX,10.50,10.50,9.80,2045.00
14/03/2019,10.10,CLX,10.10,10.10,10.10,100.00
13/03/2019,10.90,CLX,10.80,10.90,10.40,3205.00
12/03/2019,11.00,CLX,11.00,11.00,10.90,6500.00
11/03/2019,10.40,CLX,10.40,10.40,10.40,0.00
08/03/2019,10.50,CLX,10.40,10.50,10.40,1400.00
07/03/2019,10.30,CLX,10.30,10.30,10.30,500.00
06/03/2019,10.50,CLX,10.50,10.50,10.50,0.00
05/03/2019,11.00,CLX,10.20,11.00,10.20,300.00
04/03/2019,10.90,CLX,10.90,10.90,10.90,0.00
01/03/2019,10.90,CLX,10.90,10.90,10.90,0.00
28/02/2019,10.90,CLX,10.90,10.90,10.90,0.00
27/02/2019,10.90,CLX,10.90,10.90,10.90,50.00
26/02/2019,10.90,CLX,10.90,10.90,10.90,1.00
25/02/2019,10.90,CLX,10.90,10.90,10.90,0.00
22/02/2019,10.90,CLX,10.90,10.90,10.90,0.00
21/02/2019,10.90,CLX,10.90,10.90,10.90,0.00
20/02/2019,10.90,CLX,10.90,10.90,10.90,0.00
