DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,30.40,CMG,30.80,30.80,30.30,53690.00
25/04/2019,30.20,CMG,30.25,30.70,30.00,63420.00
24/04/2019,30.25,CMG,30.40,30.40,30.00,29510.00
23/04/2019,30.20,CMG,29.60,30.90,29.60,44970.00
22/04/2019,29.90,CMG,30.00,30.05,29.50,34830.00
19/04/2019,30.20,CMG,30.00,31.00,30.00,13490.00
18/04/2019,29.70,CMG,31.00,31.30,29.40,125600.00
17/04/2019,31.00,CMG,31.50,32.95,31.00,52020.00
16/04/2019,32.45,CMG,33.00,33.00,32.00,58480.00
12/04/2019,33.00,CMG,33.50,33.50,32.40,28360.00
11/04/2019,33.20,CMG,32.00,33.30,31.80,42030.00
10/04/2019,32.60,CMG,32.10,33.00,31.80,116380.00
09/04/2019,32.80,CMG,33.90,33.90,32.80,53700.00
08/04/2019,33.80,CMG,33.00,34.20,32.50,214170.00
05/04/2019,32.00,CMG,30.00,32.00,30.00,224780.00
04/04/2019,29.95,CMG,30.00,30.20,29.30,69020.00
03/04/2019,29.95,CMG,28.90,30.00,28.90,15440.00
02/04/2019,30.00,CMG,29.65,30.50,29.65,36380.00
01/04/2019,29.65,CMG,30.00,30.00,29.55,21770.00
29/03/2019,30.00,CMG,30.60,30.60,29.80,54070.00
28/03/2019,30.25,CMG,29.20,30.25,29.20,15960.00
27/03/2019,29.90,CMG,28.70,30.20,28.70,42400.00
26/03/2019,28.70,CMG,29.20,29.40,28.70,57930.00
25/03/2019,28.65,CMG,29.50,29.50,28.25,58800.00
22/03/2019,29.30,CMG,28.10,29.40,28.10,70670.00
21/03/2019,28.50,CMG,30.30,30.30,28.50,102000.00
20/03/2019,30.00,CMG,30.50,30.50,29.50,34870.00
19/03/2019,30.50,CMG,31.50,31.50,30.50,28890.00
18/03/2019,31.50,CMG,31.30,31.50,30.80,27730.00
15/03/2019,31.30,CMG,30.30,31.85,30.10,179770.00
14/03/2019,30.90,CMG,30.90,31.00,30.30,29070.00
13/03/2019,30.90,CMG,31.50,31.60,30.90,61700.00
12/03/2019,30.90,CMG,29.80,31.00,29.10,138470.00
11/03/2019,29.60,CMG,29.20,29.70,29.20,40160.00
08/03/2019,29.85,CMG,29.10,29.85,28.90,35510.00
07/03/2019,29.50,CMG,30.60,30.60,29.50,112670.00
06/03/2019,30.00,CMG,30.85,31.40,29.55,224770.00
05/03/2019,30.85,CMG,29.50,30.90,29.50,222050.00
04/03/2019,29.80,CMG,28.90,30.00,28.90,118020.00
01/03/2019,28.75,CMG,28.70,29.00,28.50,9850.00
28/02/2019,28.65,CMG,28.00,29.50,28.00,58420.00
27/02/2019,29.00,CMG,29.00,29.00,28.70,68760.00
26/02/2019,28.50,CMG,28.95,28.95,28.20,39380.00
25/02/2019,28.20,CMG,28.60,29.00,28.20,98290.00
22/02/2019,28.60,CMG,28.90,28.90,28.20,42550.00
21/02/2019,28.65,CMG,29.75,29.80,28.00,117190.00
20/02/2019,29.80,CMG,29.90,29.90,29.30,83620.00
19/02/2019,29.70,CMG,30.00,30.50,29.20,127940.00
18/02/2019,29.40,CMG,29.40,29.60,28.45,96410.00
15/02/2019,28.40,CMG,28.50,28.50,27.50,36100.00
14/02/2019,28.50,CMG,29.45,29.45,28.30,50270.00
13/02/2019,29.10,CMG,28.50,29.50,28.50,66180.00
12/02/2019,28.35,CMG,26.50,28.35,26.50,143220.00
11/02/2019,26.50,CMG,26.50,27.50,25.80,72940.00
01/02/2019,26.50,CMG,26.50,26.80,25.80,30070.00
31/01/2019,26.50,CMG,26.40,27.00,25.80,28460.00
30/01/2019,26.90,CMG,27.30,27.30,26.60,13810.00
29/01/2019,27.35,CMG,26.50,27.70,26.20,45180.00
28/01/2019,26.50,CMG,26.50,27.50,25.90,122790.00
25/01/2019,25.90,CMG,25.40,26.50,25.40,41560.00
24/01/2019,25.90,CMG,27.00,27.10,25.50,54430.00
23/01/2019,27.00,CMG,27.00,27.20,26.60,88800.00
22/01/2019,26.80,CMG,27.45,28.30,26.00,89700.00
21/01/2019,26.80,CMG,25.80,26.80,25.10,151350.00
18/01/2019,25.05,CMG,23.50,25.05,23.50,134270.00
17/01/2019,23.45,CMG,23.10,23.50,23.10,1360.00
16/01/2019,23.10,CMG,23.40,24.00,23.10,207660.00
15/01/2019,23.40,CMG,23.65,23.65,23.00,22370.00
14/01/2019,23.65,CMG,23.90,23.90,22.50,29560.00
11/01/2019,23.50,CMG,23.70,23.70,23.20,42590.00
10/01/2019,23.40,CMG,22.90,23.90,22.90,1050.00
09/01/2019,23.50,CMG,23.40,23.50,22.60,8240.00
08/01/2019,23.40,CMG,23.60,23.60,22.05,16890.00
07/01/2019,23.40,CMG,22.95,23.70,22.90,15320.00
04/01/2019,22.95,CMG,23.50,23.50,22.00,13870.00
03/01/2019,23.50,CMG,23.25,23.85,22.80,113740.00
02/01/2019,23.90,CMG,23.05,24.00,23.05,14310.00
28/12/2018,24.00,CMG,22.60,24.00,22.60,15040.00
27/12/2018,23.20,CMG,23.70,23.70,23.20,87040.00
26/12/2018,23.50,CMG,22.60,23.85,22.60,14940.00
25/12/2018,23.40,CMG,22.60,23.50,22.20,43100.00
24/12/2018,23.50,CMG,23.30,23.50,22.80,66670.00
21/12/2018,22.90,CMG,22.90,23.50,22.90,34170.00
20/12/2018,23.55,CMG,23.30,23.85,22.80,9110.00
19/12/2018,23.30,CMG,23.40,23.40,22.90,27580.00
18/12/2018,22.90,CMG,23.00,24.00,22.60,120790.00
17/12/2018,24.20,CMG,24.05,24.55,24.05,58250.00
14/12/2018,24.80,CMG,24.30,24.85,23.90,16200.00
13/12/2018,24.85,CMG,24.95,25.00,24.10,108260.00
12/12/2018,24.40,CMG,25.50,25.60,24.20,90610.00
11/12/2018,25.60,CMG,25.50,25.80,25.20,213830.00
10/12/2018,24.80,CMG,23.85,24.80,23.50,361750.00
07/12/2018,23.20,CMG,22.50,23.20,22.00,125670.00
06/12/2018,21.70,CMG,21.00,21.70,20.55,71140.00
05/12/2018,20.50,CMG,19.90,20.60,19.90,27290.00
04/12/2018,20.10,CMG,20.10,20.40,19.80,18430.00
03/12/2018,20.00,CMG,19.60,20.00,19.50,21760.00
30/11/2018,19.50,CMG,19.70,19.70,19.30,36470.00
29/11/2018,19.70,CMG,19.40,19.70,19.20,28030.00
28/11/2018,19.40,CMG,19.10,19.50,19.10,24750.00
27/11/2018,19.50,CMG,19.20,19.50,18.90,14530.00
26/11/2018,19.20,CMG,19.00,19.20,19.00,20800.00
23/11/2018,19.20,CMG,19.00,19.20,19.00,3670.00
22/11/2018,19.45,CMG,19.55,20.00,19.00,18260.00
21/11/2018,19.55,CMG,18.75,19.55,18.75,16270.00
20/11/2018,19.20,CMG,18.90,19.20,18.90,3610.00
19/11/2018,19.20,CMG,19.30,19.30,19.00,20090.00
16/11/2018,19.20,CMG,19.00,19.50,19.00,2510.00
15/11/2018,18.90,CMG,18.70,18.90,18.70,9110.00
14/11/2018,18.95,CMG,18.85,19.80,18.70,10460.00
13/11/2018,19.15,CMG,18.85,19.15,18.80,14340.00
12/11/2018,19.40,CMG,18.60,19.40,18.60,6490.00
09/11/2018,19.00,CMG,19.30,19.55,18.25,19050.00
08/11/2018,19.60,CMG,19.80,19.85,19.00,29290.00
07/11/2018,19.45,CMG,19.50,19.70,19.20,25270.00
06/11/2018,19.50,CMG,19.90,20.00,19.40,41230.00
05/11/2018,19.90,CMG,19.20,20.20,19.20,9900.00
02/11/2018,19.90,CMG,20.30,20.30,19.40,12340.00
01/11/2018,20.00,CMG,20.10,20.25,20.00,89870.00
31/10/2018,20.30,CMG,20.10,20.40,20.00,57900.00
30/10/2018,20.15,CMG,20.15,20.40,20.00,19550.00
29/10/2018,20.15,CMG,20.30,20.30,19.20,7030.00
26/10/2018,20.25,CMG,19.60,20.40,19.05,21110.00
25/10/2018,19.90,CMG,19.00,19.90,18.30,36410.00
24/10/2018,19.50,CMG,20.50,20.50,19.50,21380.00
23/10/2018,20.50,CMG,20.80,20.80,20.00,6180.00
22/10/2018,20.80,CMG,20.70,20.80,20.50,12660.00
19/10/2018,20.50,CMG,20.00,20.50,19.50,8870.00
18/10/2018,20.00,CMG,21.10,21.10,20.00,27720.00
17/10/2018,20.40,CMG,20.30,21.20,20.30,21380.00
16/10/2018,20.30,CMG,20.45,20.45,20.30,11210.00
15/10/2018,20.30,CMG,20.50,20.50,20.00,9400.00
12/10/2018,20.50,CMG,19.00,20.80,19.00,91890.00
11/10/2018,20.00,CMG,20.80,21.00,20.00,176490.00
10/10/2018,21.50,CMG,21.50,21.65,21.00,32410.00
09/10/2018,21.50,CMG,22.50,22.50,21.50,28860.00
08/10/2018,22.30,CMG,22.90,22.90,22.30,28800.00
05/10/2018,22.90,CMG,22.55,23.00,22.55,53270.00
04/10/2018,23.00,CMG,23.00,23.40,22.50,36170.00
03/10/2018,23.00,CMG,23.40,23.40,22.65,47520.00
02/10/2018,23.15,CMG,23.80,23.80,22.60,26950.00
01/10/2018,23.80,CMG,24.00,24.10,23.50,9690.00
28/09/2018,24.00,CMG,23.80,24.00,23.80,30510.00
27/09/2018,23.80,CMG,23.40,23.90,23.40,56090.00
26/09/2018,23.40,CMG,23.00,23.60,23.00,45590.00
25/09/2018,23.40,CMG,22.90,24.00,22.90,19050.00
24/09/2018,23.00,CMG,23.00,23.50,22.75,32160.00
21/09/2018,23.00,CMG,23.20,23.60,22.60,25090.00
20/09/2018,23.30,CMG,23.60,23.60,23.30,44640.00
19/09/2018,23.60,CMG,24.40,24.40,23.40,32380.00
18/09/2018,24.40,CMG,24.50,24.50,23.40,46420.00
