DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,5.00,CMS,5.00,5.00,5.00,1400.00
25/04/2019,5.00,CMS,5.00,5.00,5.00,6000.00
24/04/2019,5.00,CMS,4.80,5.00,4.80,3900.00
23/04/2019,4.70,CMS,4.70,4.70,4.70,200.00
22/04/2019,4.60,CMS,4.60,4.60,4.60,1500.00
19/04/2019,4.60,CMS,4.60,4.60,4.50,1500.00
18/04/2019,4.70,CMS,4.70,4.70,4.70,1500.00
17/04/2019,4.90,CMS,4.90,4.90,4.90,4100.00
16/04/2019,4.90,CMS,4.80,4.90,4.80,4200.00
12/04/2019,4.90,CMS,4.90,4.90,4.90,0.00
11/04/2019,4.90,CMS,4.90,4.90,4.90,0.00
10/04/2019,4.90,CMS,4.90,4.90,4.90,0.00
09/04/2019,4.90,CMS,4.70,4.90,4.70,3830.00
08/04/2019,5.00,CMS,5.10,5.10,5.00,1900.00
05/04/2019,5.10,CMS,5.00,5.10,5.00,1200.00
04/04/2019,5.10,CMS,5.10,5.10,5.00,3350.00
03/04/2019,5.00,CMS,5.00,5.00,5.00,300.00
02/04/2019,5.10,CMS,5.00,5.10,5.00,14100.00
01/04/2019,5.10,CMS,5.10,5.10,5.10,3600.00
29/03/2019,5.10,CMS,5.10,5.10,5.10,4900.00
28/03/2019,5.10,CMS,4.90,5.10,4.90,7000.00
27/03/2019,4.90,CMS,4.90,4.90,4.90,0.00
26/03/2019,4.90,CMS,4.90,4.90,4.90,80.00
25/03/2019,4.90,CMS,5.00,5.00,4.90,10000.00
22/03/2019,5.10,CMS,5.00,5.10,5.00,9300.00
21/03/2019,5.00,CMS,5.10,5.10,5.00,3100.00
20/03/2019,5.10,CMS,5.10,5.10,5.10,0.00
19/03/2019,5.10,CMS,5.10,5.10,5.10,8400.00
18/03/2019,5.20,CMS,5.10,5.20,5.10,3400.00
15/03/2019,5.10,CMS,6.00,6.00,5.10,10100.00
14/03/2019,5.50,CMS,5.00,5.50,5.00,700.00
13/03/2019,5.00,CMS,5.00,5.00,5.00,600.00
12/03/2019,5.30,CMS,5.50,5.50,5.30,20000.00
11/03/2019,5.60,CMS,5.60,5.60,5.60,0.00
08/03/2019,5.60,CMS,5.60,5.60,5.60,400.00
07/03/2019,5.60,CMS,5.60,5.60,5.60,445.00
06/03/2019,6.10,CMS,6.10,6.10,6.10,100.00
05/03/2019,5.60,CMS,5.60,5.60,5.60,100.00
04/03/2019,5.70,CMS,5.70,5.70,5.70,0.00
01/03/2019,5.70,CMS,5.70,5.70,5.70,300.00
28/02/2019,5.70,CMS,5.50,5.70,5.50,5200.00
27/02/2019,5.60,CMS,5.60,5.60,5.60,100.00
26/02/2019,5.50,CMS,5.50,5.50,5.50,100.00
25/02/2019,5.40,CMS,5.40,5.40,5.40,110.00
22/02/2019,5.30,CMS,5.30,5.30,5.30,10.00
21/02/2019,5.30,CMS,5.30,5.30,5.30,3000.00
20/02/2019,5.30,CMS,5.30,5.30,5.30,2000.00
19/02/2019,5.80,CMS,5.80,5.80,5.80,0.00
18/02/2019,5.80,CMS,5.30,5.80,5.30,1300.00
15/02/2019,5.80,CMS,5.80,5.80,5.80,0.00
14/02/2019,5.80,CMS,5.70,5.80,5.20,600.00
13/02/2019,5.60,CMS,5.60,5.60,5.60,0.00
12/02/2019,5.60,CMS,5.80,5.80,5.60,200.00
11/02/2019,5.70,CMS,5.30,5.70,5.30,525.00
01/02/2019,5.20,CMS,5.20,5.20,5.20,0.00
31/01/2019,5.20,CMS,5.20,5.20,5.20,19800.00
30/01/2019,5.20,CMS,5.90,5.90,5.20,300.00
29/01/2019,5.40,CMS,5.40,5.40,5.40,125.00
28/01/2019,5.30,CMS,5.40,5.40,5.30,300.00
25/01/2019,5.50,CMS,5.50,5.50,5.50,0.00
24/01/2019,5.50,CMS,5.50,5.50,5.50,0.00
23/01/2019,5.50,CMS,5.50,5.50,5.50,0.00
22/01/2019,5.50,CMS,5.50,5.50,5.50,0.00
21/01/2019,5.50,CMS,5.50,5.50,5.50,0.00
18/01/2019,5.50,CMS,5.50,5.50,5.50,0.00
17/01/2019,5.50,CMS,5.70,5.70,5.50,21100.00
16/01/2019,5.60,CMS,5.60,5.60,5.60,0.00
15/01/2019,5.60,CMS,5.60,5.60,5.60,0.00
14/01/2019,5.60,CMS,5.60,5.60,5.60,0.00
