DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,8.30,CMT,9.00,9.10,8.30,12550.00
25/04/2019,9.10,CMT,9.00,9.20,8.90,4520.00
24/04/2019,8.90,CMT,8.40,9.10,8.40,17300.00
17/04/2019,8.33,CMT,7.85,8.33,7.85,117880.00
16/04/2019,8.37,CMT,8.37,8.80,8.37,155980.00
12/04/2019,9.00,CMT,8.90,9.25,8.90,1100.00
11/04/2019,9.27,CMT,9.27,9.27,9.27,190.00
10/04/2019,9.30,CMT,8.80,9.40,8.80,43920.00
09/04/2019,9.00,CMT,9.20,9.20,8.60,7250.00
08/04/2019,8.70,CMT,8.50,9.30,8.50,6660.00
05/04/2019,8.70,CMT,9.00,9.00,8.70,15030.00
04/04/2019,9.00,CMT,9.10,9.28,9.00,10040.00
03/04/2019,9.30,CMT,9.10,9.30,9.10,13310.00
02/04/2019,9.30,CMT,9.60,9.60,9.30,19730.00
01/04/2019,10.00,CMT,9.40,10.00,9.20,11540.00
29/03/2019,9.60,CMT,9.05,9.60,9.05,2270.00
28/03/2019,9.60,CMT,9.60,9.90,8.90,49580.00
27/03/2019,9.50,CMT,9.54,9.54,8.89,2680.00
26/03/2019,9.55,CMT,9.60,9.60,9.15,230.00
25/03/2019,9.60,CMT,9.90,9.90,8.70,131130.00
22/03/2019,9.35,CMT,9.00,9.35,9.00,2030.00
21/03/2019,9.21,CMT,9.35,9.35,9.21,6260.00
20/03/2019,8.75,CMT,8.18,8.75,8.18,146510.00
19/03/2019,8.18,CMT,7.94,8.18,7.93,60620.00
18/03/2019,7.65,CMT,8.00,8.00,7.65,9690.00
15/03/2019,8.05,CMT,7.56,8.05,7.55,720.00
14/03/2019,8.07,CMT,7.60,8.07,7.60,17350.00
13/03/2019,8.08,CMT,8.08,8.08,8.08,700.00
12/03/2019,8.08,CMT,8.10,8.10,7.66,50.00
11/03/2019,8.10,CMT,7.42,8.10,7.40,13530.00
08/03/2019,7.76,CMT,7.50,7.76,7.43,360.00
07/03/2019,7.77,CMT,7.77,7.77,7.77,1200.00
06/03/2019,7.77,CMT,7.41,7.80,7.41,11080.00
05/03/2019,7.41,CMT,7.45,7.45,7.40,7060.00
04/03/2019,7.85,CMT,7.85,7.85,7.85,0.00
01/03/2019,7.85,CMT,7.85,7.85,7.85,200.00
28/02/2019,7.85,CMT,7.36,7.87,7.36,1270.00
27/02/2019,7.88,CMT,7.85,7.88,7.42,3170.00
26/02/2019,7.90,CMT,7.85,7.90,7.85,8270.00
25/02/2019,7.99,CMT,7.99,7.99,7.99,10270.00
22/02/2019,7.80,CMT,7.80,7.80,7.80,30.00
21/02/2019,7.89,CMT,7.40,7.89,7.40,150.00
20/02/2019,7.90,CMT,7.90,7.90,7.90,20.00
19/02/2019,7.90,CMT,7.99,7.99,7.70,6260.00
18/02/2019,7.99,CMT,7.46,7.99,7.46,1520.00
15/02/2019,7.60,CMT,7.39,7.79,7.39,1820.00
