DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,23.95,CMX,23.60,24.00,23.30,13210.00
25/04/2019,24.00,CMX,24.60,24.60,23.55,21000.00
24/04/2019,24.00,CMX,23.65,24.45,23.10,119230.00
23/04/2019,23.65,CMX,24.60,24.80,23.40,115960.00
22/04/2019,25.00,CMX,26.00,26.20,24.60,101270.00
19/04/2019,26.00,CMX,27.00,27.40,25.80,71480.00
18/04/2019,26.95,CMX,26.00,27.25,25.80,134890.00
17/04/2019,26.00,CMX,27.50,27.90,26.00,113340.00
16/04/2019,27.55,CMX,25.05,28.00,25.05,180430.00
12/04/2019,26.20,CMX,24.50,26.20,24.50,219910.00
11/04/2019,24.50,CMX,24.75,24.75,24.20,133430.00
10/04/2019,23.35,CMX,22.00,23.35,21.95,158600.00
09/04/2019,21.85,CMX,22.40,22.50,21.50,58190.00
08/04/2019,22.20,CMX,22.50,22.50,21.80,18830.00
05/04/2019,22.50,CMX,22.50,22.50,21.80,27800.00
04/04/2019,22.40,CMX,21.10,22.50,21.10,64860.00
03/04/2019,21.10,CMX,21.20,21.95,21.00,19200.00
02/04/2019,21.55,CMX,22.20,22.20,21.55,19030.00
01/04/2019,22.15,CMX,21.80,22.15,21.60,70480.00
29/03/2019,21.20,CMX,21.90,22.20,21.00,24370.00
28/03/2019,22.00,CMX,21.80,22.50,21.00,38850.00
27/03/2019,22.50,CMX,22.20,22.60,20.90,24770.00
26/03/2019,21.85,CMX,21.70,22.50,21.50,39150.00
25/03/2019,21.70,CMX,23.00,23.00,21.70,190110.00
22/03/2019,23.30,CMX,22.40,23.30,20.50,63690.00
21/03/2019,21.90,CMX,22.70,23.40,21.90,165000.00
20/03/2019,23.50,CMX,22.35,23.80,22.35,86130.00
19/03/2019,22.35,CMX,22.35,22.35,21.70,264270.00
18/03/2019,20.90,CMX,19.55,20.90,19.55,159170.00
15/03/2019,19.55,CMX,19.50,20.60,18.80,31450.00
14/03/2019,19.60,CMX,18.65,20.00,18.60,68110.00
13/03/2019,19.25,CMX,19.00,19.50,19.00,74150.00
12/03/2019,19.95,CMX,20.10,20.10,19.40,138710.00
11/03/2019,18.80,CMX,18.30,18.80,18.00,99490.00
08/03/2019,17.60,CMX,16.70,17.65,16.70,177910.00
07/03/2019,16.60,CMX,16.20,16.80,16.00,63640.00
06/03/2019,15.90,CMX,16.00,16.15,15.90,47070.00
05/03/2019,16.10,CMX,16.00,16.20,15.55,58140.00
04/03/2019,16.00,CMX,16.00,16.30,15.75,72600.00
01/03/2019,16.00,CMX,15.50,16.00,15.50,23520.00
28/02/2019,15.60,CMX,16.30,16.30,15.60,38500.00
27/02/2019,16.00,CMX,16.20,16.50,15.80,25480.00
26/02/2019,16.20,CMX,16.30,16.30,15.90,38550.00
25/02/2019,16.20,CMX,15.90,16.30,15.90,57590.00
22/02/2019,15.80,CMX,16.00,16.00,15.60,30920.00
21/02/2019,16.00,CMX,16.00,16.30,15.55,89560.00
20/02/2019,16.00,CMX,16.40,16.40,16.00,30640.00
19/02/2019,16.40,CMX,16.60,16.60,16.00,45670.00
18/02/2019,16.60,CMX,16.80,16.90,15.80,142560.00
15/02/2019,16.40,CMX,17.00,17.40,16.40,47050.00
14/02/2019,17.00,CMX,17.90,18.00,17.00,37210.00
13/02/2019,17.50,CMX,16.40,17.50,16.00,212190.00
12/02/2019,16.40,CMX,16.85,16.85,16.00,66860.00
11/02/2019,16.40,CMX,16.50,17.00,15.80,171470.00
01/02/2019,16.50,CMX,16.60,16.95,16.00,76070.00
31/01/2019,16.60,CMX,16.10,16.80,16.00,71100.00
30/01/2019,16.10,CMX,15.75,16.50,15.75,66070.00
29/01/2019,15.75,CMX,16.80,16.80,15.75,156590.00
28/01/2019,16.90,CMX,17.45,18.50,16.50,100110.00
25/01/2019,17.45,CMX,17.35,17.75,16.60,272080.00
24/01/2019,16.60,CMX,15.80,17.10,15.75,670060.00
23/01/2019,16.00,CMX,16.00,16.00,15.60,40090.00
22/01/2019,16.00,CMX,16.10,16.20,15.70,69950.00
21/01/2019,16.10,CMX,16.15,16.20,15.40,272150.00
18/01/2019,15.15,CMX,15.15,15.15,15.15,79710.00
17/01/2019,14.20,CMX,14.65,14.90,14.20,9210.00
16/01/2019,14.40,CMX,14.70,14.70,14.00,32210.00
15/01/2019,14.00,CMX,13.45,14.00,13.45,29830.00
14/01/2019,13.10,CMX,13.10,13.50,13.10,21170.00
11/01/2019,13.05,CMX,13.50,13.90,13.05,41770.00
10/01/2019,13.50,CMX,14.00,14.00,13.50,29270.00
09/01/2019,13.90,CMX,14.10,14.10,13.70,25190.00
08/01/2019,14.10,CMX,13.90,14.20,13.60,2610.00
07/01/2019,13.90,CMX,13.50,14.00,13.50,14770.00
04/01/2019,13.20,CMX,13.60,13.60,12.85,70330.00
03/01/2019,13.80,CMX,14.20,14.20,13.80,50990.00
02/01/2019,14.80,CMX,14.70,15.40,14.70,3570.00
28/12/2018,15.20,CMX,15.00,15.30,14.85,23640.00
27/12/2018,15.00,CMX,15.05,15.20,14.50,17660.00
26/12/2018,14.95,CMX,14.30,15.00,14.30,26410.00
25/12/2018,14.50,CMX,13.80,14.50,13.75,272740.00
