DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,26.25,CNG,26.25,26.25,26.20,30000.00
25/04/2019,26.25,CNG,26.25,26.65,26.25,26040.00
24/04/2019,26.25,CNG,26.20,26.25,26.20,26320.00
23/04/2019,26.25,CNG,26.30,26.30,26.20,6100.00
22/04/2019,26.30,CNG,26.30,26.90,26.30,13570.00
19/04/2019,26.30,CNG,26.20,26.35,26.20,2140.00
18/04/2019,26.20,CNG,26.10,26.50,26.10,2770.00
17/04/2019,26.25,CNG,26.25,26.25,26.20,35540.00
16/04/2019,26.25,CNG,26.20,26.25,26.20,4700.00
12/04/2019,26.25,CNG,26.20,26.25,26.20,7420.00
11/04/2019,26.20,CNG,26.15,26.20,26.10,25460.00
10/04/2019,26.25,CNG,26.25,26.25,26.05,28110.00
09/04/2019,26.20,CNG,26.30,26.40,26.20,20800.00
08/04/2019,26.30,CNG,26.35,26.35,26.25,33650.00
05/04/2019,26.35,CNG,26.35,26.35,26.25,8360.00
04/04/2019,26.35,CNG,26.70,26.70,26.25,55480.00
03/04/2019,26.70,CNG,26.60,26.70,26.50,1370.00
02/04/2019,26.70,CNG,26.50,26.70,26.40,16030.00
01/04/2019,26.70,CNG,26.50,26.85,26.40,71470.00
29/03/2019,26.75,CNG,26.75,26.75,26.50,3110.00
28/03/2019,26.85,CNG,26.60,26.85,26.60,1040.00
27/03/2019,26.50,CNG,26.80,26.80,26.50,6700.00
26/03/2019,26.65,CNG,27.00,27.00,26.55,13350.00
25/03/2019,26.70,CNG,26.75,26.80,26.60,15100.00
22/03/2019,26.90,CNG,26.70,26.95,26.70,16630.00
21/03/2019,26.65,CNG,26.75,26.85,26.60,18790.00
20/03/2019,26.80,CNG,26.85,26.90,26.70,39100.00
19/03/2019,26.90,CNG,27.00,27.00,26.70,46180.00
18/03/2019,27.00,CNG,27.15,27.20,26.70,25270.00
15/03/2019,26.70,CNG,27.00,27.30,26.70,16170.00
14/03/2019,27.10,CNG,27.25,27.30,27.00,25830.00
13/03/2019,27.00,CNG,26.50,27.40,26.50,54480.00
12/03/2019,26.65,CNG,26.50,26.70,26.45,22400.00
11/03/2019,26.50,CNG,26.95,26.95,26.50,19400.00
08/03/2019,26.80,CNG,26.35,27.10,26.35,32860.00
07/03/2019,26.40,CNG,26.30,26.45,26.30,30930.00
06/03/2019,26.40,CNG,26.30,26.50,26.30,21680.00
05/03/2019,26.25,CNG,26.25,26.45,26.25,32160.00
04/03/2019,26.25,CNG,26.20,26.35,26.20,36360.00
01/03/2019,26.20,CNG,26.50,26.50,26.20,41480.00
28/02/2019,26.65,CNG,26.35,27.00,26.30,13060.00
27/02/2019,26.65,CNG,26.85,26.85,26.35,3530.00
26/02/2019,26.50,CNG,26.35,26.60,26.20,21050.00
25/02/2019,26.50,CNG,26.25,26.90,26.25,26700.00
22/02/2019,26.25,CNG,26.30,26.30,26.10,26320.00
21/02/2019,26.40,CNG,26.50,26.70,26.15,60800.00
20/02/2019,26.10,CNG,26.45,26.45,26.10,18090.00
19/02/2019,26.20,CNG,26.65,26.70,26.10,21590.00
18/02/2019,26.10,CNG,26.95,26.95,26.00,191750.00
15/02/2019,25.95,CNG,26.00,26.00,25.90,9050.00
14/02/2019,25.95,CNG,26.00,26.00,25.95,27070.00
13/02/2019,26.00,CNG,26.00,26.00,25.95,64440.00
12/02/2019,26.00,CNG,26.00,26.00,25.90,68360.00
11/02/2019,26.00,CNG,26.00,26.00,25.95,31100.00
01/02/2019,26.00,CNG,25.95,26.00,25.90,29720.00
31/01/2019,26.00,CNG,26.00,26.00,25.80,57910.00
30/01/2019,25.85,CNG,26.00,26.00,25.80,7160.00
29/01/2019,25.95,CNG,26.00,26.00,25.80,7310.00
28/01/2019,25.90,CNG,25.95,25.95,25.90,19990.00
25/01/2019,25.95,CNG,25.90,25.95,25.80,7870.00
24/01/2019,25.95,CNG,25.95,25.95,25.90,10680.00
23/01/2019,25.95,CNG,26.00,26.00,25.95,3390.00
22/01/2019,26.00,CNG,26.00,26.00,25.90,7610.00
21/01/2019,26.00,CNG,26.00,26.00,25.90,5050.00
18/01/2019,25.90,CNG,26.00,26.00,25.90,5360.00
17/01/2019,26.00,CNG,25.80,26.00,25.80,16860.00
16/01/2019,26.00,CNG,26.10,27.15,25.85,5280.00
15/01/2019,26.00,CNG,26.00,26.00,25.95,8660.00
14/01/2019,26.00,CNG,26.00,26.00,25.90,4190.00
11/01/2019,26.00,CNG,25.95,26.00,25.80,6600.00
10/01/2019,26.00,CNG,26.00,26.00,25.95,5680.00
09/01/2019,26.00,CNG,26.00,26.00,25.60,3630.00
08/01/2019,26.05,CNG,26.00,26.05,25.80,2800.00
07/01/2019,26.00,CNG,26.05,26.05,25.65,420.00
04/01/2019,26.05,CNG,26.00,26.05,25.50,80640.00
03/01/2019,26.00,CNG,25.75,26.00,25.75,15610.00
02/01/2019,26.00,CNG,25.90,26.00,25.85,12110.00
28/12/2018,26.00,CNG,25.90,26.00,25.60,5110.00
27/12/2018,25.90,CNG,25.80,25.90,25.60,12970.00
26/12/2018,25.85,CNG,25.80,25.85,25.80,1860.00
25/12/2018,25.80,CNG,25.80,25.80,25.30,16030.00
24/12/2018,26.25,CNG,25.90,26.25,25.80,17420.00
21/12/2018,25.90,CNG,25.90,25.90,25.70,27930.00
20/12/2018,25.90,CNG,25.80,25.90,25.60,4590.00
19/12/2018,25.90,CNG,25.60,25.90,25.55,7550.00
18/12/2018,26.00,CNG,25.80,26.00,25.50,10300.00
17/12/2018,25.80,CNG,25.80,25.85,25.80,5080.00
14/12/2018,26.00,CNG,26.00,26.00,25.80,40220.00
13/12/2018,26.00,CNG,26.20,26.20,25.95,18350.00
12/12/2018,26.00,CNG,25.95,26.00,25.90,18650.00
11/12/2018,25.95,CNG,25.90,25.95,25.85,3880.00
10/12/2018,25.95,CNG,25.80,26.00,25.80,10210.00
07/12/2018,25.80,CNG,25.95,26.75,25.70,14110.00
06/12/2018,26.00,CNG,26.00,26.20,25.80,13000.00
05/12/2018,26.00,CNG,26.20,27.30,25.85,10360.00
04/12/2018,25.90,CNG,26.00,26.00,25.90,41310.00
03/12/2018,26.00,CNG,26.05,26.50,25.50,76450.00
30/11/2018,26.70,CNG,26.30,26.80,26.10,6060.00
29/11/2018,26.95,CNG,26.30,26.95,26.10,3340.00
28/11/2018,26.30,CNG,26.60,26.60,25.80,22210.00
27/11/2018,26.85,CNG,26.55,26.85,26.50,4330.00
26/11/2018,26.70,CNG,26.80,26.80,26.10,12500.00
23/11/2018,26.50,CNG,26.65,26.70,26.00,23160.00
22/11/2018,26.75,CNG,26.65,26.75,26.60,560.00
21/11/2018,26.75,CNG,26.75,26.75,26.50,25470.00
20/11/2018,26.75,CNG,26.75,26.75,26.75,4380.00
19/11/2018,26.75,CNG,26.60,26.75,26.50,23600.00
16/11/2018,26.85,CNG,26.85,26.85,26.50,22880.00
15/11/2018,26.85,CNG,26.85,26.85,26.85,2490.00
14/11/2018,26.90,CNG,26.60,26.90,26.60,14200.00
13/11/2018,26.90,CNG,26.95,26.95,26.60,6470.00
12/11/2018,26.95,CNG,26.95,26.95,26.60,1350.00
09/11/2018,27.00,CNG,27.00,27.00,26.50,34740.00
08/11/2018,27.00,CNG,27.10,27.10,26.90,13210.00
07/11/2018,27.10,CNG,27.10,27.10,27.00,13240.00
06/11/2018,27.30,CNG,27.30,27.30,26.60,24370.00
05/11/2018,27.20,CNG,27.45,27.45,27.10,3270.00
02/11/2018,27.45,CNG,27.00,27.45,27.00,2010.00
01/11/2018,27.00,CNG,27.00,28.80,26.95,2380.00
31/10/2018,26.95,CNG,26.95,26.95,26.95,1050.00
30/10/2018,26.95,CNG,26.70,26.95,26.70,5310.00
29/10/2018,26.80,CNG,26.90,26.90,26.80,1280.00
26/10/2018,26.90,CNG,26.90,26.90,26.70,8290.00
25/10/2018,26.55,CNG,27.00,27.00,26.50,12830.00
24/10/2018,27.15,CNG,27.00,27.15,26.95,26420.00
23/10/2018,27.20,CNG,27.20,27.20,26.85,18250.00
22/10/2018,27.00,CNG,27.30,27.35,27.00,15560.00
19/10/2018,27.30,CNG,27.20,27.40,27.20,8960.00
18/10/2018,27.20,CNG,27.40,27.50,27.20,10190.00
17/10/2018,27.50,CNG,27.40,27.55,27.10,39210.00
16/10/2018,27.40,CNG,27.40,27.40,27.30,12570.00
15/10/2018,27.40,CNG,27.50,27.65,27.30,61930.00
12/10/2018,27.00,CNG,26.20,27.00,26.20,14730.00
11/10/2018,26.25,CNG,26.90,26.90,26.00,35960.00
10/10/2018,27.00,CNG,27.00,27.15,27.00,26910.00
09/10/2018,26.90,CNG,27.00,27.20,26.90,55090.00
08/10/2018,27.00,CNG,27.50,27.50,26.90,32550.00
05/10/2018,27.50,CNG,27.35,27.80,27.20,52960.00
04/10/2018,27.80,CNG,27.20,27.80,27.20,19470.00
03/10/2018,27.05,CNG,27.00,27.10,26.95,79200.00
02/10/2018,27.00,CNG,26.90,27.20,26.60,125880.00
01/10/2018,26.60,CNG,26.85,26.85,26.55,55210.00
28/09/2018,26.60,CNG,26.90,26.90,26.60,16620.00
27/09/2018,27.00,CNG,27.00,27.00,26.95,260.00
26/09/2018,27.00,CNG,26.35,27.00,26.30,28120.00
25/09/2018,26.30,CNG,26.35,26.40,26.30,102310.00
24/09/2018,26.40,CNG,26.45,26.50,26.30,21130.00
21/09/2018,26.45,CNG,26.50,27.00,26.30,13500.00
20/09/2018,26.50,CNG,26.45,26.50,26.45,34280.00
19/09/2018,26.45,CNG,26.85,26.85,26.45,16870.00
18/09/2018,26.45,CNG,26.45,26.50,26.45,8400.00
17/09/2018,26.45,CNG,26.45,26.50,26.40,11590.00
14/09/2018,26.55,CNG,26.60,26.60,26.45,8530.00
13/09/2018,26.55,CNG,26.50,26.55,26.45,9510.00
12/09/2018,26.60,CNG,26.90,26.90,26.45,12260.00
11/09/2018,26.90,CNG,27.00,27.00,26.90,4100.00
10/09/2018,26.90,CNG,26.90,27.00,26.90,3760.00
07/09/2018,26.90,CNG,27.00,27.00,26.50,7510.00
06/09/2018,27.00,CNG,27.00,27.00,26.90,25560.00
05/09/2018,27.00,CNG,27.00,27.00,26.90,10460.00
04/09/2018,26.90,CNG,27.00,27.00,26.90,35850.00
31/08/2018,27.00,CNG,27.00,27.00,26.90,18970.00
30/08/2018,27.00,CNG,27.00,27.00,27.00,24900.00
29/08/2018,27.10,CNG,27.40,27.40,27.00,16550.00
28/08/2018,27.35,CNG,27.20,27.35,27.00,14660.00
27/08/2018,27.20,CNG,27.50,27.50,27.10,5070.00
24/08/2018,27.20,CNG,26.90,27.20,26.90,4040.00
23/08/2018,26.70,CNG,26.90,27.20,26.70,24190.00
22/08/2018,27.00,CNG,26.90,27.00,26.60,5800.00
21/08/2018,26.90,CNG,26.50,26.95,26.50,6200.00
20/08/2018,26.50,CNG,26.60,26.65,26.50,16680.00
17/08/2018,26.65,CNG,26.70,26.70,26.50,17550.00
16/08/2018,26.70,CNG,26.70,26.70,26.60,9370.00
15/08/2018,26.70,CNG,26.80,26.80,26.50,3610.00
14/08/2018,26.70,CNG,26.80,26.80,26.70,3940.00
13/08/2018,26.80,CNG,26.80,27.00,26.50,11070.00
10/08/2018,26.80,CNG,26.80,26.80,26.60,4690.00
09/08/2018,26.70,CNG,26.80,26.80,26.55,4320.00
08/08/2018,26.90,CNG,26.50,26.90,26.50,11530.00
07/08/2018,26.90,CNG,26.90,26.90,26.00,9270.00
06/08/2018,27.00,CNG,28.00,28.00,26.00,31500.00
03/08/2018,27.00,CNG,26.80,27.00,26.80,860.00
02/08/2018,27.00,CNG,27.20,27.20,26.80,2110.00
