DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,16.30,CSC,16.10,16.30,16.00,1900.00
25/04/2019,16.30,CSC,17.00,17.00,16.00,400.00
24/04/2019,16.30,CSC,16.10,16.30,16.00,600.00
23/04/2019,16.30,CSC,17.10,17.80,16.20,2000.00
22/04/2019,16.30,CSC,16.30,16.30,16.20,6300.00
19/04/2019,16.30,CSC,16.10,16.30,16.00,3500.00
18/04/2019,16.10,CSC,16.20,16.40,16.10,4550.00
17/04/2019,16.10,CSC,16.50,16.50,16.10,1400.00
16/04/2019,16.20,CSC,16.10,16.20,16.10,10710.00
12/04/2019,16.10,CSC,16.00,16.50,16.00,1600.00
11/04/2019,16.50,CSC,16.50,16.50,16.50,0.00
10/04/2019,16.50,CSC,16.10,16.50,16.00,2000.00
09/04/2019,16.50,CSC,16.50,16.50,16.50,502.00
08/04/2019,16.50,CSC,16.30,16.70,16.30,6521.00
05/04/2019,17.80,CSC,17.80,17.80,17.80,200.00
04/04/2019,16.40,CSC,16.10,16.40,15.90,13002.00
03/04/2019,16.40,CSC,16.20,16.40,16.00,9700.00
02/04/2019,16.40,CSC,16.50,16.70,16.40,1500.00
01/04/2019,16.90,CSC,16.20,16.90,16.20,800.00
29/03/2019,16.70,CSC,16.80,16.90,16.50,1500.00
28/03/2019,16.80,CSC,16.80,16.80,16.70,3010.00
27/03/2019,16.80,CSC,16.60,17.70,16.60,4400.00
26/03/2019,17.10,CSC,16.40,17.10,16.30,3200.00
25/03/2019,16.40,CSC,16.20,16.90,16.10,12510.00
22/03/2019,17.60,CSC,18.10,18.10,16.90,15200.00
21/03/2019,18.20,CSC,18.50,19.00,17.70,38612.00
20/03/2019,17.70,CSC,16.10,17.70,16.10,63519.00
19/03/2019,16.10,CSC,15.90,16.20,15.80,25400.00
18/03/2019,15.80,CSC,15.80,16.00,15.80,4712.00
15/03/2019,15.70,CSC,15.70,15.70,15.70,1600.00
14/03/2019,15.70,CSC,15.70,15.70,15.70,100.00
13/03/2019,15.70,CSC,15.60,15.70,15.50,5300.00
12/03/2019,15.70,CSC,15.80,15.90,15.60,8000.00
11/03/2019,16.00,CSC,15.70,16.00,15.70,300.00
08/03/2019,15.80,CSC,15.80,15.80,15.80,0.00
07/03/2019,15.80,CSC,15.80,15.90,15.80,3000.00
06/03/2019,15.80,CSC,15.80,15.80,15.60,10621.00
05/03/2019,15.90,CSC,15.80,15.90,15.70,8900.00
04/03/2019,16.00,CSC,15.50,16.10,15.50,5300.00
01/03/2019,16.00,CSC,16.00,16.10,16.00,6500.00
28/02/2019,16.30,CSC,16.30,16.30,16.30,100.00
27/02/2019,15.90,CSC,15.70,15.90,15.70,2125.00
26/02/2019,15.30,CSC,15.80,15.80,15.30,4200.00
25/02/2019,15.80,CSC,15.80,16.10,15.70,4626.00
22/02/2019,15.80,CSC,15.80,15.80,15.70,6400.00
21/02/2019,16.00,CSC,15.80,16.00,15.70,11025.00
20/02/2019,16.00,CSC,16.40,16.40,15.90,1300.00
19/02/2019,16.40,CSC,16.50,16.60,15.80,24626.00
18/02/2019,16.90,CSC,16.90,17.00,16.90,810.00
15/02/2019,16.90,CSC,16.30,16.90,16.30,22000.00
14/02/2019,16.20,CSC,16.20,16.30,16.00,4201.00
13/02/2019,16.40,CSC,16.30,16.40,16.20,12500.00
12/02/2019,16.20,CSC,15.80,16.20,15.80,2800.00
11/02/2019,15.70,CSC,16.00,16.00,15.70,8710.00
01/02/2019,16.10,CSC,16.10,16.10,16.10,400.00
31/01/2019,16.10,CSC,16.10,16.70,16.10,3915.00
30/01/2019,16.10,CSC,16.40,16.40,16.10,400.00
29/01/2019,16.10,CSC,16.10,16.10,16.10,0.00
28/01/2019,16.10,CSC,16.20,16.40,16.10,700.00
25/01/2019,16.20,CSC,16.60,16.60,16.20,2310.00
24/01/2019,16.20,CSC,16.40,16.70,16.20,2510.00
23/01/2019,16.10,CSC,16.30,16.30,16.10,1500.00
22/01/2019,16.20,CSC,16.20,16.60,16.10,1500.00
21/01/2019,16.20,CSC,17.90,17.90,16.20,1300.00
18/01/2019,16.40,CSC,16.30,16.40,16.10,400.00
17/01/2019,16.10,CSC,16.50,16.50,16.10,1146.00
16/01/2019,16.40,CSC,16.00,16.40,16.00,1700.00
15/01/2019,15.70,CSC,16.40,16.40,15.60,16724.00
14/01/2019,16.30,CSC,16.60,16.60,16.30,3330.00
11/01/2019,16.80,CSC,16.90,16.90,16.80,400.00
10/01/2019,16.60,CSC,16.50,16.70,16.50,1200.00
09/01/2019,16.80,CSC,17.00,17.10,16.00,4800.00
08/01/2019,17.00,CSC,17.00,17.00,16.80,3700.00
07/01/2019,16.80,CSC,17.00,17.00,16.70,726.00
04/01/2019,16.30,CSC,17.10,17.90,16.30,1400.00
03/01/2019,17.10,CSC,17.60,17.80,16.30,5430.00
02/01/2019,16.30,CSC,17.80,17.80,16.30,3800.00
28/12/2018,17.80,CSC,16.50,18.30,16.50,720.00
27/12/2018,18.10,CSC,18.20,18.60,18.00,6300.00
26/12/2018,18.30,CSC,17.80,18.60,17.00,10867.00
25/12/2018,18.00,CSC,16.80,18.10,16.00,23410.00
24/12/2018,16.80,CSC,16.90,16.90,16.40,7130.00
21/12/2018,17.00,CSC,16.00,17.00,16.00,3970.00
20/12/2018,16.40,CSC,15.40,16.40,15.40,5800.00
19/12/2018,15.30,CSC,15.00,16.00,15.00,14850.00
18/12/2018,15.80,CSC,16.10,16.30,15.80,6400.00
17/12/2018,16.30,CSC,17.00,17.00,16.10,10810.00
14/12/2018,16.90,CSC,17.50,18.00,16.90,26400.00
13/12/2018,17.60,CSC,18.20,18.20,17.60,7600.00
12/12/2018,18.10,CSC,18.20,18.20,17.90,5810.00
11/12/2018,18.20,CSC,18.20,18.50,18.00,7200.00
10/12/2018,18.20,CSC,18.00,18.70,18.00,11670.00
07/12/2018,19.10,CSC,19.20,19.20,17.60,33800.00
06/12/2018,19.10,CSC,20.80,21.00,18.20,53500.00
05/12/2018,19.10,CSC,19.10,19.10,19.00,96400.00
04/12/2018,17.40,CSC,17.40,17.40,17.40,81100.00
03/12/2018,31.80,CSC,29.00,32.50,28.50,41975.00
30/11/2018,29.60,CSC,32.00,32.00,29.60,11740.00
29/11/2018,32.80,CSC,35.00,35.50,32.80,10906.00
28/11/2018,36.00,CSC,36.00,36.00,33.50,22040.00
27/11/2018,36.60,CSC,37.00,37.10,33.50,40600.00
26/11/2018,37.00,CSC,37.90,37.90,36.00,15700.00
23/11/2018,34.50,CSC,34.50,34.50,33.00,34020.00
22/11/2018,31.40,CSC,28.90,31.40,28.80,15516.00
21/11/2018,28.60,CSC,28.70,29.40,28.10,5500.00
20/11/2018,28.60,CSC,29.00,29.50,27.10,18700.00
19/11/2018,29.00,CSC,28.20,29.50,28.20,21713.00
16/11/2018,29.50,CSC,29.50,29.70,29.20,16000.00
15/11/2018,30.00,CSC,29.90,30.00,29.00,16300.00
14/11/2018,30.00,CSC,28.70,30.00,28.50,25016.00
13/11/2018,30.00,CSC,30.00,30.00,29.30,38900.00
12/11/2018,30.00,CSC,29.50,30.00,28.00,26500.00
09/11/2018,29.60,CSC,29.50,30.00,29.50,3810.00
08/11/2018,30.00,CSC,29.00,30.20,29.00,15000.00
07/11/2018,29.50,CSC,28.80,29.50,28.00,10300.00
06/11/2018,29.00,CSC,29.10,29.30,29.00,3400.00
05/11/2018,29.10,CSC,29.20,29.20,27.50,9010.00
02/11/2018,28.30,CSC,29.00,29.60,27.60,18650.00
01/11/2018,29.20,CSC,30.40,31.50,29.20,12300.00
31/10/2018,31.50,CSC,31.00,32.40,28.70,46950.00
30/10/2018,31.70,CSC,36.00,36.90,31.70,55820.00
29/10/2018,35.20,CSC,31.10,35.20,31.00,23100.00
26/10/2018,32.00,CSC,34.50,36.00,32.00,32700.00
25/10/2018,34.50,CSC,33.00,34.70,30.80,39805.00
24/10/2018,33.70,CSC,33.00,36.90,33.00,17010.00
23/10/2018,35.20,CSC,37.20,38.00,35.10,68400.00
22/10/2018,39.00,CSC,40.20,43.10,38.50,46310.00
19/10/2018,40.20,CSC,37.20,40.90,36.00,44610.00
18/10/2018,37.20,CSC,44.80,44.80,37.20,91116.00
17/10/2018,40.80,CSC,40.80,40.80,40.00,79695.00
16/10/2018,37.10,CSC,37.10,37.10,35.00,98000.00
15/10/2018,33.80,CSC,33.80,33.80,31.00,84606.00
12/10/2018,30.80,CSC,28.00,30.80,28.00,73314.00
11/10/2018,28.00,CSC,29.00,29.00,27.00,15261.00
10/10/2018,29.80,CSC,28.20,30.50,28.00,26710.00
09/10/2018,28.90,CSC,26.90,29.00,26.90,41534.00
08/10/2018,26.60,CSC,26.60,26.60,26.10,13210.00
05/10/2018,26.60,CSC,26.60,27.50,26.60,10200.00
04/10/2018,27.10,CSC,26.90,27.10,26.10,23700.00
03/10/2018,26.90,CSC,27.20,27.20,26.30,100050.00
02/10/2018,27.20,CSC,26.60,27.20,26.60,66821.00
01/10/2018,26.60,CSC,26.50,26.80,26.00,27890.00
28/09/2018,26.00,CSC,24.50,26.20,24.50,116454.00
27/09/2018,24.50,CSC,24.10,25.30,24.00,242000.00
26/09/2018,24.00,CSC,23.60,24.00,23.50,25700.00
25/09/2018,24.00,CSC,23.20,24.00,23.20,105891.00
24/09/2018,23.60,CSC,22.80,23.60,22.80,4150.00
21/09/2018,23.20,CSC,23.90,23.90,23.00,21420.00
20/09/2018,23.20,CSC,22.70,23.80,22.70,93810.00
19/09/2018,23.00,CSC,23.50,23.70,23.00,109600.00
18/09/2018,23.30,CSC,22.60,23.50,22.60,82600.00
17/09/2018,23.00,CSC,23.30,23.60,22.90,45400.00
14/09/2018,23.30,CSC,22.80,23.90,22.40,75510.00
13/09/2018,22.30,CSC,22.90,22.90,22.20,13000.00
12/09/2018,22.60,CSC,23.10,23.10,22.50,51137.00
11/09/2018,22.90,CSC,23.00,23.50,22.70,93180.00
10/09/2018,23.70,CSC,24.80,24.80,23.50,47600.00
07/09/2018,24.90,CSC,25.00,25.00,24.30,32500.00
06/09/2018,25.00,CSC,24.30,26.00,23.90,287337.00
05/09/2018,23.90,CSC,23.70,24.50,23.50,35905.00
04/09/2018,24.10,CSC,24.70,24.90,23.80,36570.00
31/08/2018,24.70,CSC,25.30,25.70,24.40,57065.00
30/08/2018,25.00,CSC,22.80,25.20,22.80,56930.00
29/08/2018,23.50,CSC,22.50,23.70,22.10,45932.00
28/08/2018,23.50,CSC,24.00,24.60,23.10,36070.00
27/08/2018,24.60,CSC,24.80,24.80,23.50,19500.00
24/08/2018,24.80,CSC,24.40,25.10,24.40,81285.00
23/08/2018,24.00,CSC,23.60,25.30,23.00,141445.00
22/08/2018,23.00,CSC,21.90,23.60,21.50,89875.00
21/08/2018,21.50,CSC,21.50,21.70,21.30,11577.00
20/08/2018,21.40,CSC,21.30,21.40,20.20,33670.00
17/08/2018,21.30,CSC,20.50,21.30,20.50,5900.00
16/08/2018,21.10,CSC,20.50,21.10,20.50,4700.00
15/08/2018,20.60,CSC,21.80,21.80,20.10,40499.00
14/08/2018,21.90,CSC,22.00,22.00,21.30,13000.00
13/08/2018,22.20,CSC,22.20,22.20,21.70,9000.00
10/08/2018,21.70,CSC,21.60,21.70,21.50,7690.00
09/08/2018,21.70,CSC,21.70,22.40,21.60,5100.00
08/08/2018,21.70,CSC,22.80,23.00,21.50,62000.00
07/08/2018,23.30,CSC,23.00,23.60,23.00,23200.00
06/08/2018,23.30,CSC,23.30,23.30,23.00,17900.00
03/08/2018,23.30,CSC,24.00,24.00,23.30,20100.00
02/08/2018,24.00,CSC,24.80,24.90,23.70,40200.00
01/08/2018,24.70,CSC,25.00,25.50,24.00,105077.00
31/07/2018,24.00,CSC,24.50,24.50,23.30,28900.00
30/07/2018,23.90,CSC,23.80,25.50,23.30,96200.00
27/07/2018,23.70,CSC,23.70,23.70,23.70,100.00
26/07/2018,22.30,CSC,22.80,22.80,22.30,4230.00
25/07/2018,22.90,CSC,22.90,23.00,22.90,9200.00
