DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,14.75,CSM,14.60,14.80,14.60,11950.00
25/04/2019,14.60,CSM,14.70,14.90,14.60,40670.00
24/04/2019,14.70,CSM,14.70,14.70,14.70,25790.00
23/04/2019,14.70,CSM,14.75,14.75,14.30,10690.00
22/04/2019,14.60,CSM,14.80,14.80,14.20,129590.00
19/04/2019,14.85,CSM,15.05,15.30,14.80,111300.00
18/04/2019,15.00,CSM,15.05,15.10,14.90,40880.00
17/04/2019,15.30,CSM,15.55,15.80,15.10,65230.00
16/04/2019,15.20,CSM,15.10,15.35,15.00,64010.00
12/04/2019,15.40,CSM,15.40,15.40,15.25,21890.00
11/04/2019,15.50,CSM,15.15,15.50,15.10,43760.00
10/04/2019,15.15,CSM,15.30,15.40,15.15,16530.00
09/04/2019,15.30,CSM,15.50,15.50,15.20,16390.00
08/04/2019,15.50,CSM,15.15,15.80,15.15,104970.00
05/04/2019,15.15,CSM,15.05,15.40,15.05,35990.00
04/04/2019,15.40,CSM,15.20,15.50,15.20,15670.00
03/04/2019,15.50,CSM,15.20,15.60,15.10,60620.00
02/04/2019,15.70,CSM,15.50,15.90,15.20,55190.00
01/04/2019,15.20,CSM,15.15,15.45,15.10,63110.00
29/03/2019,15.15,CSM,15.30,15.60,15.00,106140.00
28/03/2019,15.10,CSM,14.95,15.15,14.80,24400.00
27/03/2019,15.10,CSM,15.30,15.30,15.05,47730.00
26/03/2019,15.25,CSM,15.05,15.25,15.00,84360.00
25/03/2019,15.10,CSM,15.35,15.75,15.10,80840.00
22/03/2019,15.80,CSM,16.00,16.20,15.80,50430.00
21/03/2019,16.00,CSM,16.35,16.65,15.70,417550.00
20/03/2019,16.35,CSM,15.30,16.40,15.25,179220.00
19/03/2019,15.40,CSM,15.50,15.55,15.40,117400.00
18/03/2019,15.50,CSM,15.60,15.60,15.45,95310.00
15/03/2019,15.55,CSM,15.55,15.70,15.50,195660.00
14/03/2019,15.55,CSM,15.60,15.65,15.45,114640.00
13/03/2019,15.65,CSM,15.70,15.80,15.60,178600.00
12/03/2019,15.60,CSM,14.90,15.60,14.80,256380.00
11/03/2019,14.85,CSM,15.00,15.20,14.80,57420.00
08/03/2019,14.90,CSM,14.90,15.00,14.90,35110.00
07/03/2019,15.00,CSM,15.20,15.45,15.00,194320.00
06/03/2019,14.90,CSM,14.90,15.00,14.80,52790.00
05/03/2019,14.85,CSM,14.80,14.85,14.70,48260.00
04/03/2019,14.85,CSM,14.85,14.85,14.60,90340.00
01/03/2019,14.60,CSM,14.80,14.80,14.60,37620.00
28/02/2019,14.60,CSM,14.70,14.70,14.60,8140.00
27/02/2019,14.80,CSM,14.55,14.80,14.50,11720.00
26/02/2019,14.55,CSM,14.60,14.80,14.50,33120.00
25/02/2019,14.65,CSM,14.60,14.65,14.60,2500.00
22/02/2019,14.65,CSM,14.70,14.85,14.65,14860.00
21/02/2019,14.70,CSM,14.80,14.80,14.50,24470.00
20/02/2019,14.70,CSM,14.80,14.80,14.65,21500.00
19/02/2019,14.80,CSM,14.80,14.90,14.70,26550.00
18/02/2019,14.75,CSM,14.85,14.85,14.75,8510.00
15/02/2019,14.90,CSM,14.85,15.55,14.85,84390.00
14/02/2019,14.85,CSM,14.95,15.00,14.70,25290.00
13/02/2019,14.85,CSM,14.90,14.95,14.65,25140.00
12/02/2019,14.90,CSM,14.80,15.10,14.60,73480.00
11/02/2019,14.90,CSM,14.95,15.00,14.50,18010.00
01/02/2019,14.60,CSM,14.70,14.90,14.50,3820.00
31/01/2019,14.65,CSM,14.70,14.70,14.65,21430.00
