DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,120.80,CTD,121.00,121.10,119.50,82680.00
25/04/2019,120.90,CTD,121.00,121.50,120.50,97870.00
24/04/2019,121.00,CTD,120.10,121.00,119.50,110990.00
23/04/2019,120.10,CTD,119.50,120.50,119.30,180470.00
22/04/2019,119.50,CTD,120.20,120.60,118.70,377800.00
19/04/2019,121.50,CTD,120.40,122.00,120.30,222600.00
18/04/2019,120.60,CTD,121.00,121.60,120.00,264910.00
17/04/2019,121.60,CTD,123.20,123.90,121.00,240130.00
16/04/2019,124.00,CTD,125.00,125.00,122.20,182590.00
12/04/2019,126.10,CTD,122.00,126.40,122.00,270900.00
11/04/2019,121.70,CTD,121.60,127.00,119.70,990750.00
10/04/2019,121.80,CTD,121.80,128.00,121.80,698410.00
09/04/2019,130.90,CTD,140.00,140.10,130.90,651760.00
08/04/2019,140.70,CTD,141.90,142.00,140.50,42980.00
05/04/2019,140.70,CTD,140.40,142.40,140.40,132940.00
04/04/2019,140.90,CTD,141.00,142.70,140.90,52470.00
03/04/2019,142.40,CTD,142.50,142.50,140.10,57200.00
02/04/2019,142.50,CTD,142.00,143.00,140.90,110590.00
01/04/2019,141.90,CTD,141.00,142.20,141.00,65930.00
29/03/2019,143.40,CTD,146.00,146.20,143.00,89830.00
28/03/2019,146.00,CTD,141.00,146.00,141.00,212520.00
27/03/2019,142.00,CTD,140.50,142.00,140.40,42890.00
26/03/2019,140.40,CTD,137.00,140.40,137.00,79900.00
25/03/2019,138.00,CTD,141.00,141.30,138.00,88450.00
22/03/2019,142.90,CTD,142.00,142.90,140.00,114810.00
21/03/2019,142.00,CTD,141.80,142.80,141.00,194380.00
20/03/2019,141.90,CTD,142.50,143.00,140.00,85310.00
19/03/2019,142.30,CTD,142.00,143.50,141.50,203850.00
18/03/2019,141.70,CTD,142.00,142.70,141.20,95970.00
15/03/2019,142.00,CTD,144.30,144.30,142.00,139980.00
14/03/2019,144.20,CTD,142.00,144.80,142.00,176420.00
13/03/2019,142.00,CTD,142.00,142.40,141.50,158550.00
12/03/2019,141.90,CTD,141.00,142.90,140.20,298250.00
11/03/2019,141.00,CTD,142.00,142.00,138.00,152130.00
08/03/2019,141.10,CTD,135.50,144.90,133.50,427970.00
07/03/2019,135.50,CTD,133.00,136.00,131.90,237200.00
06/03/2019,133.00,CTD,133.50,135.00,131.90,185040.00
05/03/2019,133.50,CTD,134.20,136.00,133.50,187880.00
04/03/2019,134.20,CTD,134.20,136.90,134.20,154640.00
01/03/2019,134.20,CTD,134.00,135.00,134.00,51090.00
28/02/2019,133.80,CTD,137.50,137.50,133.80,124220.00
27/02/2019,136.50,CTD,136.00,136.90,135.60,49860.00
26/02/2019,135.60,CTD,136.90,138.00,135.00,81830.00
25/02/2019,136.00,CTD,134.20,137.00,134.20,71570.00
22/02/2019,134.20,CTD,135.80,137.00,134.20,111040.00
21/02/2019,137.00,CTD,137.10,137.10,136.00,82600.00
20/02/2019,137.10,CTD,136.10,138.00,136.10,59520.00
19/02/2019,136.80,CTD,139.50,139.80,136.80,141990.00
18/02/2019,139.60,CTD,139.50,140.70,139.50,55960.00
15/02/2019,139.50,CTD,138.00,140.10,137.70,101750.00
14/02/2019,137.30,CTD,135.00,137.70,134.80,207410.00
13/02/2019,133.90,CTD,134.60,135.70,133.50,153870.00
12/02/2019,134.60,CTD,135.30,136.60,134.00,82210.00
11/02/2019,135.30,CTD,132.40,135.30,132.40,40590.00
01/02/2019,132.40,CTD,134.80,135.00,132.40,90810.00
