DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,23.00,CTF,23.00,23.00,23.00,20.00
25/04/2019,23.00,CTF,22.70,23.00,22.70,26000.00
24/04/2019,22.60,CTF,22.50,22.70,22.40,24100.00
23/04/2019,23.25,CTF,23.00,23.95,22.95,76140.00
22/04/2019,22.90,CTF,23.80,23.80,22.70,33200.00
19/04/2019,22.50,CTF,23.95,23.95,22.50,16110.00
18/04/2019,23.95,CTF,23.30,23.95,23.30,20010.00
17/04/2019,23.95,CTF,23.80,24.00,23.80,39000.00
16/04/2019,23.80,CTF,23.80,23.80,23.75,20000.00
12/04/2019,23.00,CTF,23.00,23.90,23.00,27360.00
11/04/2019,24.00,CTF,23.50,24.00,23.50,10200.00
10/04/2019,23.95,CTF,22.15,23.95,22.10,210.00
09/04/2019,23.50,CTF,23.50,23.50,22.60,28750.00
08/04/2019,24.00,CTF,25.00,25.00,24.00,30160.00
05/04/2019,24.00,CTF,24.00,24.00,24.00,10.00
04/04/2019,24.00,CTF,25.00,25.65,24.00,21100.00
03/04/2019,24.00,CTF,23.80,24.00,23.80,15010.00
02/04/2019,24.00,CTF,23.95,25.60,23.95,44860.00
01/04/2019,23.95,CTF,23.85,23.95,23.85,21000.00
29/03/2019,23.85,CTF,23.85,23.85,23.85,20.00
28/03/2019,23.85,CTF,23.80,23.85,22.50,270.00
27/03/2019,23.85,CTF,22.20,23.85,22.20,21010.00
26/03/2019,23.85,CTF,23.70,23.85,23.60,15420.00
25/03/2019,23.90,CTF,22.35,23.90,22.35,110.00
22/03/2019,23.95,CTF,23.80,23.95,22.35,32200.00
21/03/2019,24.00,CTF,23.80,24.00,23.80,15100.00
20/03/2019,24.00,CTF,24.00,24.00,24.00,100.00
19/03/2019,24.00,CTF,22.30,24.00,22.30,31660.00
18/03/2019,23.95,CTF,23.80,24.00,22.35,21740.00
15/03/2019,23.95,CTF,23.75,24.00,23.75,22120.00
14/03/2019,24.00,CTF,24.00,24.00,24.00,10.00
13/03/2019,24.00,CTF,24.00,24.00,23.50,18120.00
12/03/2019,24.00,CTF,24.45,25.00,23.20,30020.00
11/03/2019,24.80,CTF,23.25,24.80,23.25,22020.00
08/03/2019,25.00,CTF,25.00,25.00,25.00,0.00
07/03/2019,25.00,CTF,24.50,25.00,23.25,32310.00
06/03/2019,25.00,CTF,24.00,25.00,23.25,32300.00
05/03/2019,25.00,CTF,24.50,25.00,24.50,25050.00
04/03/2019,26.00,CTF,25.50,26.00,25.50,26010.00
01/03/2019,26.00,CTF,26.00,26.00,26.00,0.00
28/02/2019,26.00,CTF,26.00,27.00,26.00,25020.00
27/02/2019,26.00,CTF,26.00,26.00,26.00,0.00
26/02/2019,26.00,CTF,25.90,26.00,25.90,20020.00
25/02/2019,26.00,CTF,25.40,26.00,25.40,25010.00
22/02/2019,26.00,CTF,26.00,26.00,26.00,0.00
21/02/2019,26.00,CTF,25.40,26.00,25.40,22010.00
20/02/2019,26.00,CTF,25.00,26.00,25.00,33120.00
19/02/2019,26.00,CTF,25.00,26.00,25.00,40010.00
18/02/2019,26.00,CTF,26.00,27.00,26.00,370.00
15/02/2019,26.00,CTF,26.00,26.00,26.00,100.00
14/02/2019,26.00,CTF,25.15,26.00,25.15,40190.00
13/02/2019,27.00,CTF,25.90,27.00,25.00,26260.00
12/02/2019,25.55,CTF,23.80,25.55,23.80,27900.00
11/02/2019,23.90,CTF,23.50,24.00,23.50,35030.00
01/02/2019,23.00,CTF,23.00,23.00,23.00,0.00
31/01/2019,23.00,CTF,23.00,23.00,23.00,0.00
30/01/2019,23.00,CTF,23.00,23.00,23.00,0.00
29/01/2019,23.00,CTF,23.00,23.00,23.00,0.00
28/01/2019,23.00,CTF,23.00,23.00,23.00,0.00
25/01/2019,23.00,CTF,22.50,23.00,22.50,31400.00
24/01/2019,21.50,CTF,22.90,23.00,21.50,25100.00
23/01/2019,23.00,CTF,21.40,23.00,21.40,42220.00
22/01/2019,23.00,CTF,22.90,23.00,22.90,42100.00
21/01/2019,23.00,CTF,23.00,23.00,23.00,100.00
18/01/2019,22.95,CTF,22.90,22.95,22.90,20000.00
17/01/2019,23.00,CTF,22.90,23.00,22.90,26030.00
16/01/2019,22.80,CTF,22.80,22.80,22.80,300.00
15/01/2019,22.50,CTF,22.85,23.00,22.00,34090.00
14/01/2019,23.00,CTF,22.50,23.00,22.00,36660.00
11/01/2019,23.00,CTF,22.90,23.00,22.90,32900.00
10/01/2019,22.90,CTF,22.50,23.00,22.00,39250.00
09/01/2019,23.00,CTF,22.90,23.00,22.90,34100.00
08/01/2019,23.00,CTF,23.50,23.90,21.50,40110.00
07/01/2019,23.00,CTF,23.30,23.30,22.50,1690.00
04/01/2019,22.90,CTF,23.00,24.70,22.90,28120.00
03/01/2019,23.10,CTF,23.00,23.10,23.00,38100.00
02/01/2019,23.50,CTF,23.50,23.50,23.50,0.00
28/12/2018,23.50,CTF,23.50,23.50,23.50,1000.00
27/12/2018,23.50,CTF,23.50,23.50,23.50,100.00
26/12/2018,23.50,CTF,21.90,23.50,21.90,36210.00
25/12/2018,23.50,CTF,21.90,23.50,21.90,110.00
24/12/2018,23.50,CTF,23.50,23.50,23.50,12000.00
