DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,4.20,CTP,4.20,4.30,4.20,62810.00
25/04/2019,4.20,CTP,4.00,4.20,4.00,47620.00
24/04/2019,4.10,CTP,4.20,4.20,4.00,44300.00
23/04/2019,4.20,CTP,4.20,4.20,4.20,19450.00
22/04/2019,4.20,CTP,4.20,4.20,4.20,30400.00
19/04/2019,4.10,CTP,4.10,4.10,4.10,4600.00
18/04/2019,4.10,CTP,4.10,4.10,4.10,13100.00
17/04/2019,4.10,CTP,4.20,4.30,4.10,51236.00
16/04/2019,4.10,CTP,4.20,4.20,4.10,40868.00
12/04/2019,4.30,CTP,4.30,4.30,4.10,14900.00
11/04/2019,4.30,CTP,4.10,4.30,4.10,47336.00
10/04/2019,4.10,CTP,4.00,4.10,4.00,3410.00
09/04/2019,4.10,CTP,4.00,4.10,4.00,19810.00
08/04/2019,4.00,CTP,4.10,4.10,4.00,43600.00
05/04/2019,4.10,CTP,4.10,4.10,4.00,7800.00
04/04/2019,4.10,CTP,4.10,4.10,4.10,20200.00
03/04/2019,4.10,CTP,4.10,4.20,4.10,25100.00
02/04/2019,4.00,CTP,4.20,4.20,4.00,24406.00
01/04/2019,4.10,CTP,4.20,4.20,4.00,68500.00
29/03/2019,4.20,CTP,4.00,4.20,4.00,17500.00
28/03/2019,4.10,CTP,4.10,4.10,3.90,30222.00
27/03/2019,4.10,CTP,4.00,4.20,4.00,54500.00
26/03/2019,3.90,CTP,3.70,3.90,3.70,45451.00
25/03/2019,3.60,CTP,4.00,4.00,3.60,55840.00
22/03/2019,3.90,CTP,3.90,4.00,3.80,25514.00
21/03/2019,4.00,CTP,4.00,4.00,4.00,6505.00
20/03/2019,4.00,CTP,3.90,4.10,3.90,81200.00
19/03/2019,3.90,CTP,3.90,3.90,3.80,17900.00
18/03/2019,3.90,CTP,4.00,4.00,3.90,29801.00
15/03/2019,4.00,CTP,4.10,4.10,3.80,34800.00
14/03/2019,4.00,CTP,4.10,4.20,3.90,27900.00
13/03/2019,4.10,CTP,4.10,4.20,4.00,23706.00
12/03/2019,4.10,CTP,3.90,4.10,3.70,16900.00
11/03/2019,4.00,CTP,4.30,4.30,4.00,79273.00
08/03/2019,4.40,CTP,4.30,4.50,4.30,17914.00
07/03/2019,4.50,CTP,4.60,4.60,4.40,2430.00
06/03/2019,4.60,CTP,4.50,4.60,4.40,68350.00
05/03/2019,4.50,CTP,4.40,4.50,4.30,23000.00
04/03/2019,4.50,CTP,4.40,4.50,4.40,36480.00
01/03/2019,4.30,CTP,4.20,4.40,4.20,15719.00
28/02/2019,4.20,CTP,4.20,4.30,4.20,5100.00
27/02/2019,4.20,CTP,4.10,4.30,4.10,2200.00
26/02/2019,4.20,CTP,4.30,4.30,4.10,20500.00
25/02/2019,4.30,CTP,4.30,4.30,4.30,7100.00
22/02/2019,4.40,CTP,4.40,4.40,4.40,20600.00
21/02/2019,4.40,CTP,4.40,4.40,4.40,300.00
20/02/2019,4.40,CTP,4.30,4.40,4.30,7476.00
19/02/2019,4.50,CTP,4.50,4.50,4.30,12222.00
18/02/2019,4.50,CTP,4.40,4.50,4.30,20800.00
15/02/2019,4.30,CTP,4.40,4.40,4.30,3400.00
14/02/2019,4.30,CTP,4.40,4.40,4.30,13319.00
13/02/2019,4.40,CTP,4.50,4.50,4.30,71030.00
12/02/2019,4.50,CTP,4.50,4.70,4.50,16001.00
11/02/2019,4.50,CTP,4.50,4.60,4.40,53526.00
01/02/2019,4.60,CTP,4.40,4.60,4.40,25975.00
31/01/2019,4.30,CTP,4.50,4.50,4.30,4370.00
30/01/2019,4.40,CTP,4.40,4.40,4.30,52306.00
29/01/2019,4.00,CTP,3.80,4.00,3.80,18956.00
28/01/2019,3.70,CTP,3.80,3.80,3.70,11100.00
25/01/2019,3.70,CTP,3.80,3.80,3.70,9363.00
24/01/2019,3.80,CTP,3.80,3.80,3.80,17060.00
23/01/2019,3.80,CTP,3.70,3.80,3.70,10100.00
22/01/2019,3.60,CTP,3.70,3.70,3.60,4400.00
21/01/2019,3.70,CTP,3.80,3.80,3.70,600.00
18/01/2019,3.70,CTP,3.80,3.80,3.70,1600.00
17/01/2019,3.80,CTP,3.80,3.80,3.80,9830.00
16/01/2019,3.60,CTP,3.70,3.70,3.60,16300.00
15/01/2019,3.70,CTP,3.80,3.80,3.70,10700.00
14/01/2019,3.70,CTP,3.80,3.90,3.70,17300.00
11/01/2019,4.00,CTP,3.90,4.00,3.90,5600.00
10/01/2019,3.80,CTP,3.90,3.90,3.80,3900.00
09/01/2019,3.90,CTP,3.80,4.00,3.80,11050.00
08/01/2019,3.70,CTP,3.60,3.80,3.60,31100.00
07/01/2019,3.50,CTP,3.60,3.60,3.50,5600.00
04/01/2019,3.50,CTP,3.50,3.60,3.50,3100.00
03/01/2019,3.60,CTP,3.50,3.60,3.40,12800.00
02/01/2019,3.50,CTP,3.50,3.50,3.40,26510.00
28/12/2018,3.70,CTP,3.50,3.70,3.50,7200.00
27/12/2018,3.70,CTP,3.50,3.70,3.50,4500.00
26/12/2018,3.60,CTP,3.50,3.60,3.50,5200.00
