DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,26.40,CTR,25.90,26.40,25.80,44113.00
25/04/2019,25.90,CTR,26.00,26.70,25.40,171601.00
24/04/2019,25.50,CTR,25.70,25.70,25.20,48880.00
23/04/2019,25.40,CTR,24.80,25.40,24.80,37000.00
22/04/2019,25.20,CTR,25.50,26.40,25.00,70932.00
19/04/2019,25.70,CTR,25.50,25.80,25.00,60792.00
18/04/2019,25.00,CTR,25.50,25.60,24.90,71353.00
17/04/2019,24.80,CTR,24.70,25.60,24.70,128759.00
16/04/2019,24.70,CTR,24.50,24.80,24.10,64130.00
12/04/2019,25.00,CTR,25.10,25.20,24.60,73512.00
11/04/2019,25.40,CTR,24.00,25.40,24.00,41983.00
10/04/2019,25.50,CTR,25.50,25.60,25.10,61023.00
09/04/2019,25.50,CTR,26.10,26.10,25.50,93201.00
08/04/2019,26.20,CTR,26.10,26.60,25.50,128876.00
05/04/2019,26.10,CTR,26.40,26.40,25.70,78503.00
04/04/2019,26.00,CTR,26.60,27.00,26.00,147638.00
03/04/2019,26.70,CTR,25.40,27.00,25.10,249554.00
02/04/2019,25.40,CTR,25.30,25.90,25.30,135531.00
01/04/2019,25.70,CTR,25.60,26.30,25.50,61754.00
29/03/2019,25.60,CTR,26.00,26.30,25.50,138012.00
28/03/2019,26.00,CTR,25.50,26.50,25.50,167820.00
27/03/2019,26.10,CTR,25.30,26.10,25.20,122283.00
26/03/2019,24.90,CTR,24.20,25.40,24.00,89910.00
25/03/2019,24.20,CTR,25.50,25.90,23.60,210362.00
22/03/2019,25.80,CTR,27.10,27.30,25.50,271300.00
21/03/2019,27.00,CTR,28.00,28.70,26.90,332579.00
20/03/2019,28.00,CTR,28.50,29.00,27.30,181308.00
19/03/2019,28.10,CTR,27.50,29.30,27.20,613367.00
18/03/2019,26.20,CTR,23.20,26.20,23.20,508490.00
15/03/2019,23.80,CTR,22.20,23.90,22.00,100454.00
14/03/2019,22.40,CTR,22.40,22.60,21.90,102260.00
13/03/2019,22.40,CTR,22.80,22.80,22.30,96289.00
12/03/2019,22.40,CTR,22.40,22.50,22.00,74400.00
11/03/2019,22.30,CTR,21.40,23.00,21.40,68927.00
08/03/2019,21.40,CTR,21.00,21.40,20.90,67135.00
07/03/2019,21.20,CTR,21.30,21.30,21.10,83448.00
06/03/2019,21.40,CTR,21.20,21.50,21.00,92917.00
05/03/2019,21.40,CTR,21.20,21.80,21.00,116172.00
04/03/2019,21.20,CTR,20.00,21.60,20.00,148326.00
01/03/2019,20.30,CTR,19.10,20.40,19.10,77655.00
28/02/2019,19.10,CTR,19.10,19.20,19.00,34340.00
27/02/2019,19.00,CTR,19.20,19.30,19.00,46883.00
26/02/2019,19.00,CTR,19.10,19.20,19.00,118398.00
25/02/2019,19.10,CTR,19.10,19.40,19.00,83872.00
22/02/2019,19.00,CTR,19.40,19.50,18.80,150120.00
21/02/2019,19.20,CTR,19.40,19.70,18.80,64408.00
20/02/2019,19.40,CTR,19.70,19.80,19.30,36320.00
19/02/2019,19.50,CTR,19.50,19.50,19.30,25930.00
18/02/2019,19.30,CTR,19.70,19.90,19.00,22840.00
15/02/2019,19.40,CTR,19.60,19.60,19.20,13550.00
14/02/2019,19.50,CTR,19.90,20.00,19.20,21561.00
13/02/2019,19.40,CTR,19.50,19.70,19.20,74455.00
12/02/2019,19.60,CTR,19.70,19.90,19.20,74919.00
11/02/2019,19.80,CTR,20.10,20.10,19.50,123420.00
01/02/2019,20.00,CTR,20.30,20.30,19.60,39360.00
31/01/2019,20.00,CTR,20.10,20.20,19.80,4600.00
30/01/2019,20.40,CTR,20.30,20.40,19.80,24380.00
29/01/2019,20.30,CTR,20.50,20.50,19.50,112600.00
28/01/2019,20.10,CTR,20.20,20.30,19.60,54934.00
25/01/2019,20.00,CTR,20.00,20.40,19.70,31655.00
24/01/2019,19.80,CTR,20.00,20.10,19.80,8400.00
23/01/2019,20.20,CTR,20.00,20.20,19.60,13180.00
22/01/2019,20.20,CTR,20.60,22.50,19.30,4584.00
21/01/2019,19.90,CTR,20.20,20.20,19.20,21940.00
18/01/2019,20.60,CTR,20.70,20.70,20.20,6000.00
