DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,16.90,CVN,16.00,16.90,15.10,8100.00
25/04/2019,16.60,CVN,16.90,17.80,16.60,2300.00
24/04/2019,16.90,CVN,16.40,16.90,16.30,2400.00
23/04/2019,17.30,CVN,17.30,17.30,17.30,200.00
22/04/2019,17.80,CVN,17.80,17.80,17.80,0.00
19/04/2019,17.80,CVN,17.80,17.80,17.80,100.00
18/04/2019,17.00,CVN,17.00,17.00,17.00,0.00
17/04/2019,17.00,CVN,17.20,17.20,16.40,5300.00
16/04/2019,17.00,CVN,17.20,18.20,17.00,3400.00
12/04/2019,17.40,CVN,16.80,17.40,16.80,1300.00
11/04/2019,16.50,CVN,16.90,16.90,16.50,16000.00
10/04/2019,16.50,CVN,16.50,16.50,16.30,10000.00
09/04/2019,16.90,CVN,17.00,17.00,16.90,3900.00
08/04/2019,17.20,CVN,17.00,17.20,17.00,4100.00
05/04/2019,17.50,CVN,18.30,18.50,16.90,13200.00
04/04/2019,18.30,CVN,17.20,18.30,17.20,2300.00
03/04/2019,18.30,CVN,18.30,18.30,17.00,14600.00
02/04/2019,18.20,CVN,17.80,18.20,17.00,12700.00
01/04/2019,17.70,CVN,19.10,19.10,17.50,19500.00
29/03/2019,18.80,CVN,18.80,18.80,18.80,0.00
28/03/2019,18.80,CVN,18.50,19.50,18.40,3700.00
27/03/2019,18.80,CVN,18.20,19.00,18.20,34000.00
26/03/2019,18.40,CVN,18.50,18.60,17.90,17400.00
25/03/2019,18.50,CVN,18.60,19.50,18.00,10700.00
22/03/2019,18.50,CVN,18.30,18.60,18.10,21900.00
21/03/2019,18.10,CVN,18.20,19.90,18.00,44100.00
20/03/2019,18.10,CVN,18.10,18.10,17.30,47300.00
19/03/2019,18.10,CVN,17.80,18.20,17.80,9200.00
18/03/2019,18.10,CVN,17.30,19.00,17.30,36800.00
15/03/2019,17.30,CVN,17.00,17.80,17.00,35300.00
14/03/2019,17.50,CVN,16.10,17.80,16.10,1900.00
13/03/2019,16.50,CVN,17.00,18.00,16.20,9500.00
12/03/2019,17.00,CVN,16.90,17.00,16.10,11400.00
11/03/2019,16.80,CVN,16.20,17.00,16.20,2800.00
08/03/2019,17.00,CVN,17.40,17.40,16.10,400.00
07/03/2019,17.50,CVN,16.80,17.50,16.50,1000.00
06/03/2019,16.50,CVN,16.10,17.60,16.10,9000.00
05/03/2019,17.50,CVN,17.50,17.80,16.20,26800.00
04/03/2019,16.90,CVN,15.60,17.00,15.60,28300.00
01/03/2019,15.50,CVN,15.00,16.00,15.00,17800.00
28/02/2019,16.00,CVN,16.80,16.80,15.00,900.00
27/02/2019,16.00,CVN,16.40,16.60,15.00,12400.00
26/02/2019,16.60,CVN,16.20,16.80,15.50,500.00
25/02/2019,16.00,CVN,15.50,16.20,15.50,900.00
22/02/2019,14.80,CVN,15.50,15.90,14.80,16300.00
21/02/2019,15.90,CVN,15.80,16.00,15.80,1400.00
20/02/2019,16.00,CVN,16.00,16.00,16.00,2800.00
19/02/2019,16.00,CVN,16.20,16.20,15.50,10200.00
18/02/2019,17.10,CVN,17.50,17.70,16.80,400.00
15/02/2019,16.10,CVN,15.80,16.20,15.80,10100.00
14/02/2019,15.20,CVN,16.30,16.30,15.20,6000.00
13/02/2019,16.30,CVN,16.60,16.90,16.00,5700.00
12/02/2019,16.50,CVN,17.80,17.80,16.50,7400.00
11/02/2019,17.90,CVN,16.60,17.90,16.30,700.00
01/02/2019,17.80,CVN,17.50,17.80,17.50,400.00
31/01/2019,16.90,CVN,17.50,17.80,16.00,3500.00
30/01/2019,16.20,CVN,17.00,17.10,16.20,5700.00
29/01/2019,17.60,CVN,17.90,17.90,16.60,2200.00
28/01/2019,17.40,CVN,17.90,17.90,17.00,7500.00
25/01/2019,17.60,CVN,18.10,18.60,17.60,3900.00
24/01/2019,18.20,CVN,18.20,18.20,18.10,3200.00
23/01/2019,17.70,CVN,17.80,17.80,17.70,600.00
