DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,116.80,D2D,113.00,117.40,112.00,97950.00
25/04/2019,113.00,D2D,114.10,114.30,112.60,24520.00
24/04/2019,114.10,D2D,112.50,117.00,112.50,61470.00
23/04/2019,113.40,D2D,112.90,113.90,111.00,27860.00
22/04/2019,111.00,D2D,116.00,116.30,111.00,49900.00
19/04/2019,115.10,D2D,116.00,116.00,114.70,28140.00
18/04/2019,116.00,D2D,116.50,117.70,114.00,132590.00
17/04/2019,114.00,D2D,116.30,120.50,114.00,72800.00
16/04/2019,117.80,D2D,115.00,118.50,114.00,50520.00
12/04/2019,116.00,D2D,116.00,120.00,116.00,109320.00
11/04/2019,116.50,D2D,111.50,117.00,111.50,90650.00
10/04/2019,111.90,D2D,110.30,112.50,108.00,63420.00
09/04/2019,111.60,D2D,113.60,114.00,111.00,63750.00
08/04/2019,113.60,D2D,116.50,116.90,112.00,87890.00
05/04/2019,115.90,D2D,116.00,116.50,112.50,55730.00
04/04/2019,114.30,D2D,107.00,114.30,107.00,137090.00
03/04/2019,107.00,D2D,103.40,107.40,103.00,170440.00
02/04/2019,103.40,D2D,106.00,106.90,102.00,75700.00
01/04/2019,104.00,D2D,99.90,104.00,99.00,139780.00
29/03/2019,98.50,D2D,96.80,99.00,96.80,86710.00
28/03/2019,96.80,D2D,96.00,97.80,95.50,59310.00
27/03/2019,98.00,D2D,97.00,99.80,95.50,86970.00
26/03/2019,95.00,D2D,95.50,97.70,94.30,57700.00
25/03/2019,96.00,D2D,98.00,99.00,95.60,143160.00
22/03/2019,100.60,D2D,98.50,101.20,96.50,95250.00
21/03/2019,98.50,D2D,98.00,102.90,97.00,54230.00
20/03/2019,99.50,D2D,97.40,99.50,95.50,143210.00
19/03/2019,98.00,D2D,104.50,104.80,98.00,185550.00
18/03/2019,104.00,D2D,103.00,105.00,100.20,74300.00
15/03/2019,102.10,D2D,107.20,107.20,101.30,164430.00
14/03/2019,106.50,D2D,105.10,108.70,105.10,52310.00
