DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,8.60,DAH,8.75,8.75,8.30,97800.00
25/04/2019,8.68,DAH,8.90,8.93,8.33,496310.00
24/04/2019,8.95,DAH,8.78,9.07,8.52,317230.00
23/04/2019,8.80,DAH,8.32,8.90,8.31,719930.00
22/04/2019,8.32,DAH,7.85,8.32,7.78,1900590.00
19/04/2019,7.78,DAH,7.72,7.99,7.68,98900.00
18/04/2019,7.70,DAH,7.56,7.70,7.56,186510.00
17/04/2019,7.58,DAH,7.52,7.60,7.50,217990.00
16/04/2019,7.51,DAH,7.51,7.51,7.45,130680.00
12/04/2019,7.50,DAH,7.52,7.55,7.49,111440.00
11/04/2019,7.52,DAH,7.50,7.60,7.48,116810.00
10/04/2019,7.48,DAH,7.56,7.56,7.48,195410.00
09/04/2019,7.58,DAH,7.63,7.65,7.45,92930.00
08/04/2019,7.63,DAH,7.52,7.72,7.52,176920.00
05/04/2019,7.54,DAH,7.45,7.60,7.40,184420.00
04/04/2019,7.45,DAH,7.66,7.89,7.45,347880.00
03/04/2019,7.70,DAH,7.55,7.79,7.50,369390.00
02/04/2019,7.60,DAH,7.40,7.60,7.31,480890.00
01/04/2019,7.86,DAH,7.90,8.45,7.86,338540.00
29/03/2019,8.45,DAH,8.18,8.61,7.98,767530.00
28/03/2019,8.21,DAH,7.80,8.26,7.70,1029790.00
27/03/2019,7.72,DAH,7.22,7.72,7.18,1127050.00
26/03/2019,7.22,DAH,7.11,7.22,7.11,474660.00
25/03/2019,7.11,DAH,7.06,7.15,7.04,454590.00
22/03/2019,7.05,DAH,7.15,7.18,7.03,179540.00
21/03/2019,7.20,DAH,7.10,7.22,7.10,233670.00
20/03/2019,7.12,DAH,7.00,7.12,7.00,496230.00
19/03/2019,7.15,DAH,7.33,7.33,7.00,103600.00
18/03/2019,7.28,DAH,7.28,7.60,6.90,159380.00
15/03/2019,7.26,DAH,6.85,7.27,6.83,1080700.00
14/03/2019,6.80,DAH,6.80,6.80,6.70,3061030.00
13/03/2019,6.75,DAH,6.30,6.75,6.28,726710.00
12/03/2019,6.31,DAH,6.31,6.31,6.27,54020.00
11/03/2019,6.28,DAH,6.29,6.32,6.25,61460.00
08/03/2019,6.28,DAH,6.31,6.34,6.25,75250.00
07/03/2019,6.33,DAH,6.26,6.33,6.23,91670.00
06/03/2019,6.28,DAH,6.30,6.35,6.28,72900.00
05/03/2019,6.32,DAH,6.38,6.40,6.30,74790.00
04/03/2019,6.38,DAH,6.26,6.38,6.26,81360.00
01/03/2019,6.28,DAH,6.18,6.30,6.18,68860.00
28/02/2019,6.22,DAH,6.22,6.22,6.15,124540.00
27/02/2019,6.22,DAH,6.20,6.25,6.19,63820.00
26/02/2019,6.20,DAH,6.23,6.25,6.19,66780.00
25/02/2019,6.25,DAH,6.21,6.27,6.19,99380.00
22/02/2019,6.23,DAH,6.21,6.23,6.18,86760.00
21/02/2019,6.19,DAH,6.26,6.26,6.19,67210.00
20/02/2019,6.25,DAH,6.20,6.28,6.20,57750.00
19/02/2019,6.23,DAH,6.22,6.25,6.20,74700.00
18/02/2019,6.23,DAH,6.28,6.28,6.20,79620.00
15/02/2019,6.25,DAH,6.23,6.29,6.20,121620.00
14/02/2019,6.24,DAH,6.22,6.28,6.20,91990.00
13/02/2019,6.22,DAH,6.23,6.25,6.17,92780.00
12/02/2019,6.20,DAH,6.21,6.23,6.18,99050.00
11/02/2019,6.23,DAH,6.19,6.25,6.18,68050.00
01/02/2019,6.20,DAH,6.19,6.22,6.18,50300.00
31/01/2019,6.20,DAH,6.20,6.23,6.18,85890.00
30/01/2019,6.20,DAH,6.19,6.23,6.16,104860.00
29/01/2019,6.18,DAH,6.18,6.20,6.16,189380.00
28/01/2019,6.20,DAH,6.22,6.22,6.16,1335850.00
25/01/2019,6.20,DAH,6.20,6.22,6.18,103010.00
24/01/2019,6.21,DAH,6.21,6.23,6.18,485060.00
23/01/2019,6.23,DAH,6.26,6.26,6.19,660450.00
22/01/2019,6.26,DAH,6.14,6.26,6.12,411480.00
21/01/2019,6.16,DAH,6.16,6.18,6.14,116130.00
18/01/2019,6.16,DAH,6.16,6.19,6.13,148970.00
17/01/2019,6.15,DAH,6.15,6.18,6.12,200410.00
16/01/2019,6.18,DAH,6.18,6.23,6.15,710870.00
15/01/2019,6.20,DAH,6.12,6.20,6.09,269230.00
14/01/2019,6.10,DAH,6.16,6.16,6.06,822860.00
11/01/2019,6.17,DAH,6.14,6.19,6.08,850480.00
10/01/2019,6.16,DAH,6.13,6.18,6.10,123460.00
09/01/2019,6.15,DAH,6.18,6.18,6.10,1043520.00
08/01/2019,6.17,DAH,6.23,6.25,6.10,1713140.00
07/01/2019,6.20,DAH,6.10,6.20,6.08,2253770.00
04/01/2019,6.08,DAH,6.10,6.10,6.05,60390.00
03/01/2019,6.08,DAH,6.08,6.08,6.03,64410.00
02/01/2019,6.08,DAH,6.13,6.18,6.06,150090.00
