DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,18.15,DAT,18.15,18.15,18.15,0.00
25/04/2019,18.15,DAT,18.15,18.15,18.15,0.00
24/04/2019,18.15,DAT,18.15,18.15,18.15,0.00
23/04/2019,18.15,DAT,18.15,18.15,18.15,0.00
22/04/2019,18.15,DAT,18.15,18.15,18.15,0.00
19/04/2019,18.15,DAT,18.15,18.15,18.15,0.00
18/04/2019,18.15,DAT,18.15,18.15,18.15,80.00
17/04/2019,19.50,DAT,19.50,19.50,19.50,100.00
16/04/2019,19.00,DAT,19.00,19.00,19.00,0.00
12/04/2019,19.00,DAT,19.00,19.00,19.00,0.00
11/04/2019,19.00,DAT,19.00,19.00,19.00,0.00
10/04/2019,19.00,DAT,19.00,19.00,19.00,0.00
09/04/2019,19.00,DAT,19.00,19.00,19.00,0.00
08/04/2019,19.00,DAT,19.00,19.00,19.00,0.00
05/04/2019,19.00,DAT,19.00,19.00,19.00,0.00
04/04/2019,19.00,DAT,17.50,19.00,17.50,40.00
03/04/2019,18.30,DAT,18.30,18.30,18.30,0.00
02/04/2019,18.30,DAT,18.30,18.30,18.30,0.00
01/04/2019,18.30,DAT,18.30,18.30,18.30,0.00
29/03/2019,18.30,DAT,18.30,18.30,18.30,0.00
28/03/2019,18.30,DAT,18.30,18.30,18.30,0.00
27/03/2019,18.30,DAT,18.30,18.30,18.30,0.00
26/03/2019,18.30,DAT,18.30,18.30,18.30,0.00
25/03/2019,18.30,DAT,18.30,18.30,18.30,0.00
22/03/2019,18.30,DAT,18.30,18.30,18.30,30.00
21/03/2019,18.10,DAT,18.10,18.10,18.10,0.00
20/03/2019,18.10,DAT,18.10,18.10,18.10,0.00
19/03/2019,18.10,DAT,18.10,18.10,18.10,40.00
18/03/2019,18.10,DAT,18.10,18.10,18.10,10.00
15/03/2019,18.10,DAT,18.10,18.10,18.10,60.00
14/03/2019,18.10,DAT,18.10,18.10,18.10,10.00
13/03/2019,16.95,DAT,16.95,16.95,16.95,100.00
12/03/2019,15.85,DAT,15.90,15.90,15.85,20.00
11/03/2019,17.00,DAT,17.00,17.00,17.00,0.00
08/03/2019,17.00,DAT,17.00,17.00,17.00,0.00
07/03/2019,17.00,DAT,17.00,17.00,17.00,100.00
06/03/2019,17.25,DAT,18.50,18.50,17.25,50.00
05/03/2019,18.50,DAT,18.50,18.50,18.50,110.00
04/03/2019,19.45,DAT,20.90,20.90,19.45,150.00
01/03/2019,20.90,DAT,18.20,20.90,18.20,280.00
28/02/2019,19.55,DAT,19.55,19.55,19.55,50.00
27/02/2019,19.55,DAT,18.35,19.55,18.00,150.00
26/02/2019,18.35,DAT,16.00,18.35,16.00,220.00
25/02/2019,17.15,DAT,16.05,17.15,16.05,80.00
22/02/2019,16.05,DAT,16.05,16.05,16.05,10.00
