DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,12.30,DBT,12.30,12.30,12.30,0.00
25/04/2019,12.30,DBT,12.30,12.30,12.30,0.00
24/04/2019,12.30,DBT,12.20,12.30,12.20,3026.00
23/04/2019,12.30,DBT,12.30,12.30,12.30,2500.00
22/04/2019,12.30,DBT,12.30,12.30,12.30,0.00
19/04/2019,12.30,DBT,12.30,12.30,12.30,2600.00
18/04/2019,12.30,DBT,12.30,12.30,12.30,1000.00
17/04/2019,12.00,DBT,12.00,12.00,12.00,4.00
16/04/2019,12.00,DBT,12.00,12.00,12.00,0.00
12/04/2019,12.00,DBT,12.00,12.00,12.00,0.00
11/04/2019,12.00,DBT,12.00,12.00,12.00,300.00
10/04/2019,12.00,DBT,12.00,12.00,12.00,2800.00
09/04/2019,12.30,DBT,12.30,12.30,12.30,0.00
08/04/2019,12.30,DBT,12.40,12.40,12.30,200.00
05/04/2019,12.10,DBT,12.20,12.20,12.10,8100.00
04/04/2019,12.20,DBT,12.20,12.40,12.00,15100.00
03/04/2019,12.40,DBT,12.40,12.40,12.40,0.00
02/04/2019,12.40,DBT,12.40,12.40,12.40,0.00
01/04/2019,12.40,DBT,11.60,12.40,11.60,91908.00
29/03/2019,12.00,DBT,12.30,12.30,12.00,1900.00
28/03/2019,12.00,DBT,12.00,12.00,12.00,1400.00
27/03/2019,12.00,DBT,12.00,12.00,12.00,10.00
26/03/2019,12.00,DBT,12.00,12.00,12.00,1105.00
25/03/2019,12.20,DBT,12.30,12.30,12.20,850.00
22/03/2019,12.00,DBT,12.00,12.00,12.00,1000.00
21/03/2019,11.90,DBT,11.90,11.90,11.90,0.00
20/03/2019,11.90,DBT,12.00,12.00,11.90,3800.00
19/03/2019,12.00,DBT,12.10,12.20,12.00,3300.00
18/03/2019,12.10,DBT,11.90,12.10,11.90,600.00
15/03/2019,12.30,DBT,11.90,12.30,11.90,1800.00
14/03/2019,11.50,DBT,11.50,11.50,11.50,0.00
13/03/2019,11.50,DBT,11.50,11.50,11.50,500.00
12/03/2019,12.50,DBT,12.50,12.50,12.50,1763.00
11/03/2019,12.50,DBT,12.50,12.50,12.50,0.00
08/03/2019,12.50,DBT,12.40,12.50,12.40,2300.00
07/03/2019,12.40,DBT,12.40,12.40,12.40,0.00
06/03/2019,12.40,DBT,12.40,12.40,12.40,2100.00
05/03/2019,12.40,DBT,12.40,12.40,12.40,100.00
04/03/2019,12.00,DBT,12.00,12.00,12.00,0.00
01/03/2019,12.00,DBT,12.50,12.50,12.00,1300.00
28/02/2019,12.00,DBT,12.00,12.00,12.00,0.00
27/02/2019,12.00,DBT,12.00,12.00,12.00,3000.00
26/02/2019,12.00,DBT,12.00,12.00,12.00,0.00
25/02/2019,12.00,DBT,12.00,12.00,12.00,2000.00
22/02/2019,11.90,DBT,11.50,11.90,11.50,2200.00
21/02/2019,12.60,DBT,12.60,12.60,12.60,0.00
20/02/2019,12.60,DBT,12.60,12.60,12.60,0.00
19/02/2019,12.60,DBT,12.60,12.60,12.60,0.00
18/02/2019,12.60,DBT,12.30,12.60,12.30,12752.00
15/02/2019,11.50,DBT,11.50,11.50,11.50,1000.00
14/02/2019,11.50,DBT,11.50,11.50,11.50,150.00
13/02/2019,11.50,DBT,11.50,11.50,11.50,1000.00
12/02/2019,11.50,DBT,11.50,11.50,11.40,900.00
11/02/2019,11.20,DBT,11.20,11.20,11.20,0.00
01/02/2019,11.20,DBT,11.20,11.20,11.20,0.00
31/01/2019,11.20,DBT,11.20,11.20,11.20,0.00
30/01/2019,11.20,DBT,11.20,11.20,11.20,0.00
29/01/2019,11.20,DBT,11.20,11.20,11.20,0.00
28/01/2019,11.20,DBT,11.20,11.20,11.20,0.00
25/01/2019,11.20,DBT,11.20,11.20,11.20,0.00
24/01/2019,11.20,DBT,11.20,11.20,11.20,0.00
23/01/2019,11.20,DBT,11.20,11.20,11.20,0.00
22/01/2019,11.20,DBT,11.20,11.20,11.20,100.00
21/01/2019,11.00,DBT,11.00,11.00,11.00,50.00
18/01/2019,11.00,DBT,11.00,11.00,11.00,0.00
17/01/2019,11.00,DBT,11.00,11.00,11.00,0.00
16/01/2019,11.00,DBT,11.00,11.00,11.00,0.00
15/01/2019,11.00,DBT,11.20,11.20,11.00,2300.00
14/01/2019,11.40,DBT,11.40,11.40,11.30,4040.00
11/01/2019,11.40,DBT,11.50,11.50,11.00,8000.00
10/01/2019,11.50,DBT,11.60,11.60,11.50,5100.00
09/01/2019,11.60,DBT,11.60,11.60,11.60,3900.00
08/01/2019,11.70,DBT,11.80,11.80,11.70,1230.00
07/01/2019,11.80,DBT,11.80,11.80,11.80,900.00
04/01/2019,11.80,DBT,11.90,11.90,11.80,11700.00
