DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,9.00,DC4,8.80,9.00,8.80,600.00
25/04/2019,8.60,DC4,8.70,8.70,8.60,3000.00
24/04/2019,9.10,DC4,8.30,9.10,8.30,3912.00
23/04/2019,8.80,DC4,8.80,8.80,8.80,1579.00
22/04/2019,8.90,DC4,8.80,9.00,8.70,4000.00
19/04/2019,8.90,DC4,8.80,8.90,8.70,2600.00
18/04/2019,8.90,DC4,8.70,8.90,8.60,8300.00
17/04/2019,8.70,DC4,8.80,9.00,8.70,12497.00
16/04/2019,9.20,DC4,8.70,9.20,8.70,8700.00
12/04/2019,8.80,DC4,8.70,8.80,8.70,1300.00
11/04/2019,9.00,DC4,8.80,9.00,8.70,2050.00
10/04/2019,9.10,DC4,8.70,9.10,8.70,900.00
09/04/2019,9.20,DC4,9.10,9.30,8.70,14417.00
08/04/2019,9.10,DC4,9.10,9.20,8.70,3400.00
05/04/2019,9.10,DC4,8.70,9.10,8.70,4200.00
04/04/2019,9.30,DC4,8.70,9.30,8.60,2879.00
03/04/2019,9.40,DC4,9.40,9.40,9.40,100.00
02/04/2019,8.60,DC4,9.00,9.00,8.60,9000.00
01/04/2019,9.50,DC4,8.80,9.50,8.70,4600.00
29/03/2019,9.60,DC4,9.50,9.60,9.50,1400.00
28/03/2019,9.20,DC4,9.20,9.20,9.20,0.00
27/03/2019,9.20,DC4,9.20,9.20,9.20,100.00
26/03/2019,9.30,DC4,9.50,9.50,8.70,2706.00
25/03/2019,9.40,DC4,9.50,9.50,9.40,401.00
22/03/2019,8.70,DC4,10.50,10.50,8.70,700.00
21/03/2019,9.60,DC4,9.60,9.60,9.60,100.00
20/03/2019,10.40,DC4,9.50,10.40,9.50,21400.00
19/03/2019,10.50,DC4,10.50,10.50,10.50,200.00
18/03/2019,9.80,DC4,9.60,9.80,9.60,700.00
15/03/2019,9.80,DC4,9.80,9.80,9.80,0.00
14/03/2019,9.80,DC4,9.40,9.80,9.40,500.00
13/03/2019,9.30,DC4,9.30,9.30,9.30,400.00
12/03/2019,8.60,DC4,9.00,9.50,8.60,5200.00
11/03/2019,9.00,DC4,9.00,9.90,9.00,4100.00
08/03/2019,9.90,DC4,9.90,9.90,9.90,100.00
07/03/2019,10.90,DC4,9.30,10.90,9.30,9300.00
