DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
14/12/2011,9.50,DCC,9.50,9.50,9.50,0.00
13/12/2011,9.50,DCC,9.50,9.50,9.50,0.00
12/12/2011,9.50,DCC,9.50,9.50,9.50,0.00
09/12/2011,9.50,DCC,9.50,9.50,9.50,0.00
08/12/2011,9.50,DCC,9.50,9.50,9.50,0.00
07/12/2011,9.50,DCC,9.50,9.50,9.50,0.00
06/12/2011,9.50,DCC,9.50,9.50,9.50,0.00
05/12/2011,9.50,DCC,9.50,9.50,9.50,0.00
02/12/2011,9.50,DCC,9.50,9.50,9.50,0.00
01/12/2011,9.50,DCC,9.50,9.50,9.50,0.00
30/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
29/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
28/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
25/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
24/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
23/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
22/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
21/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
18/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
17/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
16/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
15/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
14/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
11/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
10/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
09/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
08/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
07/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
04/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
03/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
02/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
01/11/2011,9.50,DCC,9.50,9.50,9.50,0.00
31/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
28/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
27/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
26/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
25/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
24/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
21/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
20/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
19/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
18/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
17/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
14/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
13/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
12/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
11/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
10/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
07/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
06/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
05/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
04/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
03/10/2011,9.50,DCC,9.50,9.50,9.50,0.00
30/09/2011,9.50,DCC,9.50,9.50,9.50,0.00
29/09/2011,9.50,DCC,9.50,9.50,9.50,0.00
28/09/2011,9.50,DCC,9.50,9.50,9.50,0.00
27/09/2011,9.50,DCC,9.50,9.50,9.50,0.00
26/09/2011,9.50,DCC,9.50,9.50,9.50,0.00
23/09/2011,9.50,DCC,9.50,9.50,9.50,0.00
22/09/2011,9.50,DCC,9.50,9.50,9.50,0.00
21/09/2011,9.50,DCC,9.50,9.50,9.50,0.00
20/09/2011,9.50,DCC,9.50,9.50,9.50,0.00
19/09/2011,9.50,DCC,9.50,9.50,9.50,0.00
16/09/2011,9.50,DCC,9.50,9.50,9.50,0.00
15/09/2011,9.50,DCC,9.50,9.50,9.50,120.00
14/09/2011,10.00,DCC,10.00,10.00,10.00,0.00
13/09/2011,10.00,DCC,10.00,10.00,10.00,20.00
12/09/2011,10.50,DCC,10.50,10.50,10.50,0.00
09/09/2011,10.50,DCC,10.60,10.60,9.60,1030.00
08/09/2011,10.10,DCC,10.60,10.70,10.10,450.00
07/09/2011,10.60,DCC,10.60,10.60,10.60,350.00
06/09/2011,10.60,DCC,10.60,10.60,10.60,100.00
05/09/2011,10.90,DCC,10.90,10.90,10.90,100.00
01/09/2011,10.70,DCC,11.70,11.70,10.70,510.00
31/08/2011,11.20,DCC,10.90,11.20,10.30,600.00
30/08/2011,10.70,DCC,10.60,10.70,10.60,190.00
29/08/2011,10.20,DCC,10.20,10.20,9.60,690.00
26/08/2011,9.90,DCC,10.80,10.80,9.90,720.00
25/08/2011,10.30,DCC,10.20,10.30,9.50,1100.00
24/08/2011,9.90,DCC,10.70,10.70,9.90,130.00
23/08/2011,10.20,DCC,9.90,10.20,9.90,210.00
22/08/2011,9.90,DCC,10.30,10.30,9.80,1300.00
19/08/2011,10.30,DCC,9.50,10.30,9.50,20.00
18/08/2011,9.90,DCC,9.90,9.90,9.90,110.00
17/08/2011,9.50,DCC,10.30,10.30,9.50,350.00
16/08/2011,9.90,DCC,9.90,9.90,9.90,10.00
15/08/2011,10.20,DCC,10.20,10.20,10.20,10.00
12/08/2011,10.00,DCC,10.00,10.00,10.00,40.00
11/08/2011,10.50,DCC,11.00,11.00,10.50,650.00
10/08/2011,11.00,DCC,10.30,11.10,10.30,1160.00
09/08/2011,10.80,DCC,10.80,10.80,10.80,60.00
08/08/2011,11.30,DCC,11.30,11.30,11.30,50.00
05/08/2011,11.70,DCC,11.70,11.70,11.70,0.00
04/08/2011,11.70,DCC,11.50,11.70,11.00,3480.00
03/08/2011,11.50,DCC,11.50,11.70,11.50,210.00
02/08/2011,11.50,DCC,11.50,11.50,11.50,350.00
01/08/2011,11.00,DCC,11.00,11.00,11.00,0.00
29/07/2011,11.00,DCC,10.80,11.00,10.80,230.00
28/07/2011,11.30,DCC,11.60,11.70,11.20,160.00
