DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,15.70,DCD,13.50,16.50,13.50,1600.00
25/04/2019,11.90,DCD,15.50,15.80,11.80,8800.00
24/04/2019,13.80,DCD,13.80,13.80,13.80,1300.00
23/04/2019,14.20,DCD,13.10,14.30,13.10,20700.00
22/04/2019,13.20,DCD,13.20,13.20,13.20,0.00
19/04/2019,13.20,DCD,13.20,13.20,13.20,1000.00
18/04/2019,12.20,DCD,12.20,12.20,12.20,1000.00
17/04/2019,11.40,DCD,11.40,11.40,11.40,0.00
16/04/2019,11.40,DCD,11.40,11.40,11.40,100.00
12/04/2019,10.00,DCD,9.10,10.00,9.10,8200.00
11/04/2019,10.00,DCD,9.10,10.00,9.10,2400.00
10/04/2019,9.00,DCD,10.20,10.20,9.00,1400.00
09/04/2019,8.90,DCD,9.00,9.00,8.90,500.00
08/04/2019,12.00,DCD,9.00,12.00,9.00,1300.00
05/04/2019,10.50,DCD,10.50,10.50,10.50,0.00
04/04/2019,10.50,DCD,10.60,10.60,10.50,3000.00
03/04/2019,9.30,DCD,9.30,9.30,9.30,0.00
02/04/2019,9.50,DCD,9.20,9.50,9.20,800.00
01/04/2019,9.40,DCD,9.40,9.40,9.40,100.00
29/03/2019,8.80,DCD,8.90,9.90,8.80,3900.00
28/03/2019,8.60,DCD,8.80,8.90,8.50,34300.00
27/03/2019,8.70,DCD,7.90,8.80,7.90,8400.00
26/03/2019,7.80,DCD,7.90,10.00,7.80,1900.00
25/03/2019,8.90,DCD,9.00,9.00,8.90,1400.00
22/03/2019,9.80,DCD,9.80,9.80,9.80,0.00
21/03/2019,9.80,DCD,9.80,9.80,9.80,2000.00
20/03/2019,9.00,DCD,9.10,9.20,9.00,2600.00
19/03/2019,9.70,DCD,9.80,9.80,9.70,17100.00
18/03/2019,8.60,DCD,8.60,8.60,8.60,0.00
15/03/2019,8.60,DCD,8.60,8.60,8.60,0.00
14/03/2019,8.60,DCD,8.60,8.60,8.60,0.00
13/03/2019,8.60,DCD,8.60,8.60,8.60,0.00
12/03/2019,8.60,DCD,8.60,8.60,8.60,0.00
11/03/2019,8.60,DCD,8.60,8.60,8.60,0.00
08/03/2019,8.60,DCD,8.60,8.60,8.60,0.00
07/03/2019,8.60,DCD,8.60,8.60,8.60,0.00
06/03/2019,8.60,DCD,8.60,8.60,8.60,1000.00
05/03/2019,8.50,DCD,8.50,8.50,8.50,0.00
04/03/2019,8.50,DCD,8.50,8.50,8.50,0.00
01/03/2019,8.50,DCD,8.50,8.50,8.50,0.00
28/02/2019,8.50,DCD,8.50,8.50,8.50,0.00
27/02/2019,8.50,DCD,8.50,8.50,8.50,1000.00
26/02/2019,7.60,DCD,7.60,7.60,7.60,0.00
25/02/2019,7.60,DCD,7.60,7.60,7.60,0.00
22/02/2019,7.60,DCD,7.60,7.60,7.60,0.00
21/02/2019,7.60,DCD,7.60,7.60,7.60,1000.00
20/02/2019,7.50,DCD,7.50,7.50,7.50,0.00
19/02/2019,7.50,DCD,7.50,7.50,7.50,5000.00
18/02/2019,7.50,DCD,7.50,7.50,7.50,0.00
15/02/2019,7.50,DCD,7.50,7.50,7.50,0.00
14/02/2019,7.50,DCD,7.50,7.50,7.50,0.00
13/02/2019,7.50,DCD,7.50,7.50,7.50,0.00
12/02/2019,7.50,DCD,7.50,7.50,7.50,1000.00
11/02/2019,7.50,DCD,7.50,7.50,7.50,0.00
01/02/2019,7.50,DCD,7.50,7.50,7.50,0.00
31/01/2019,7.50,DCD,7.50,7.50,7.50,0.00
30/01/2019,7.50,DCD,7.50,7.50,7.50,0.00
29/01/2019,7.50,DCD,7.50,7.50,7.50,0.00
28/01/2019,7.50,DCD,7.50,7.50,7.50,0.00
25/01/2019,7.50,DCD,7.50,7.50,7.50,0.00
24/01/2019,7.50,DCD,7.50,7.50,7.50,0.00
