DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,20.00,DCL,19.60,20.00,19.15,22790.00
25/04/2019,19.80,DCL,19.90,19.90,19.10,20650.00
24/04/2019,19.85,DCL,19.05,19.85,19.05,73870.00
23/04/2019,19.35,DCL,19.10,19.35,19.05,40670.00
22/04/2019,19.50,DCL,19.80,19.80,19.05,45510.00
19/04/2019,20.00,DCL,20.20,20.20,19.10,21880.00
18/04/2019,20.00,DCL,19.50,20.00,19.10,230920.00
17/04/2019,20.50,DCL,20.60,20.60,19.60,40330.00
16/04/2019,20.80,DCL,19.90,20.80,19.70,110470.00
12/04/2019,20.80,DCL,20.80,20.95,20.30,48960.00
11/04/2019,20.95,DCL,20.80,21.00,20.70,103170.00
10/04/2019,20.80,DCL,21.35,21.35,20.40,97680.00
09/04/2019,21.00,DCL,21.45,21.45,20.70,183680.00
08/04/2019,20.30,DCL,18.70,20.30,18.70,486600.00
05/04/2019,19.00,DCL,19.10,19.20,18.50,91010.00
04/04/2019,19.20,DCL,19.45,19.45,19.00,56210.00
03/04/2019,19.10,DCL,18.90,19.50,18.80,141680.00
02/04/2019,18.90,DCL,18.90,19.00,18.80,84990.00
01/04/2019,19.00,DCL,20.00,20.00,19.00,229120.00
29/03/2019,19.80,DCL,19.60,20.00,19.60,296670.00
28/03/2019,19.25,DCL,18.75,19.25,18.00,682110.00
27/03/2019,18.00,DCL,16.55,18.05,16.55,179310.00
26/03/2019,16.90,DCL,16.10,17.00,16.10,33110.00
25/03/2019,16.10,DCL,17.10,17.10,16.10,301030.00
22/03/2019,17.10,DCL,18.00,18.05,17.10,106740.00
21/03/2019,18.05,DCL,18.40,18.80,18.00,192460.00
20/03/2019,18.60,DCL,18.65,18.65,18.05,102810.00
19/03/2019,18.65,DCL,18.00,19.00,17.80,253510.00
18/03/2019,18.40,DCL,17.60,18.45,17.50,321560.00
15/03/2019,18.45,DCL,18.50,18.70,18.05,366910.00
14/03/2019,18.50,DCL,18.80,18.85,18.00,282400.00
13/03/2019,17.65,DCL,15.90,17.65,15.90,176190.00
12/03/2019,16.50,DCL,16.40,17.00,16.40,276860.00
11/03/2019,17.60,DCL,17.60,18.00,17.60,473740.00
08/03/2019,18.90,DCL,18.85,19.30,18.85,1063550.00
07/03/2019,18.85,DCL,18.85,18.85,18.85,105600.00
06/03/2019,17.65,DCL,17.65,17.65,17.10,947410.00
05/03/2019,16.50,DCL,16.50,16.50,16.50,82370.00
04/03/2019,15.45,DCL,15.45,15.45,15.45,82130.00
01/03/2019,14.45,DCL,14.45,14.45,13.45,653680.00
28/02/2019,13.55,DCL,12.70,13.55,12.70,64580.00
27/02/2019,12.70,DCL,12.40,12.70,12.40,87250.00
26/02/2019,11.90,DCL,12.70,12.70,11.90,28450.00
25/02/2019,12.50,DCL,12.65,12.70,12.50,40700.00
22/02/2019,12.50,DCL,12.10,12.50,11.90,19050.00
21/02/2019,12.10,DCL,12.30,12.75,12.00,37810.00
20/02/2019,12.30,DCL,11.40,12.30,11.10,72560.00
19/02/2019,11.50,DCL,11.10,11.50,11.00,14650.00
18/02/2019,11.10,DCL,10.90,11.10,10.90,33580.00
15/02/2019,11.00,DCL,10.80,11.00,10.80,3990.00
14/02/2019,10.90,DCL,10.75,10.90,10.70,15670.00
13/02/2019,10.90,DCL,10.50,11.00,10.50,17750.00
12/02/2019,10.60,DCL,10.60,10.60,10.50,33830.00
11/02/2019,10.40,DCL,10.40,10.45,10.20,12480.00
01/02/2019,10.35,DCL,10.35,10.35,10.35,2700.00
31/01/2019,10.25,DCL,10.25,10.40,10.25,14730.00
30/01/2019,10.40,DCL,10.60,10.60,10.00,43990.00
29/01/2019,10.10,DCL,9.63,10.10,9.61,25310.00
28/01/2019,9.46,DCL,9.35,9.70,9.31,41250.00
25/01/2019,9.31,DCL,9.30,9.50,9.30,4270.00
24/01/2019,9.30,DCL,9.50,9.55,9.30,4810.00
23/01/2019,9.59,DCL,9.16,9.70,9.16,12820.00
22/01/2019,9.30,DCL,9.45,9.45,9.30,26410.00
21/01/2019,9.30,DCL,9.55,9.55,9.20,15720.00
18/01/2019,9.55,DCL,9.45,9.55,9.40,10490.00
17/01/2019,9.40,DCL,9.41,9.41,9.40,13150.00
16/01/2019,9.55,DCL,9.40,9.55,9.40,29360.00
15/01/2019,9.41,DCL,9.45,9.45,9.40,800.00
14/01/2019,9.55,DCL,9.60,9.60,9.45,18140.00
11/01/2019,9.57,DCL,9.41,9.59,9.41,156690.00
10/01/2019,9.59,DCL,9.45,9.59,9.40,37620.00
09/01/2019,9.40,DCL,9.40,9.40,9.30,42700.00
08/01/2019,9.40,DCL,9.36,9.40,9.36,8290.00
07/01/2019,9.39,DCL,9.30,9.40,9.24,30410.00
04/01/2019,9.30,DCL,9.30,9.39,9.27,132820.00
03/01/2019,9.30,DCL,9.26,9.36,9.26,92680.00
02/01/2019,9.30,DCL,9.60,9.60,9.30,53560.00
28/12/2018,9.35,DCL,9.30,9.40,9.30,26730.00
27/12/2018,9.34,DCL,9.30,9.49,9.25,28980.00
26/12/2018,9.34,DCL,9.21,9.34,9.10,1650.00
25/12/2018,9.21,DCL,9.20,9.22,9.11,25100.00
24/12/2018,9.22,DCL,9.30,9.30,9.22,12290.00
21/12/2018,9.35,DCL,9.20,9.35,9.10,18290.00
20/12/2018,9.28,DCL,9.40,9.40,9.12,24170.00
19/12/2018,9.29,DCL,9.12,9.29,9.12,50.00
18/12/2018,9.12,DCL,9.25,9.25,9.11,8400.00
17/12/2018,9.20,DCL,9.22,9.30,9.20,8250.00
14/12/2018,9.26,DCL,9.45,9.45,9.26,21510.00
13/12/2018,9.30,DCL,9.30,9.45,9.30,6510.00
12/12/2018,9.40,DCL,9.60,9.60,9.22,5880.00
11/12/2018,9.34,DCL,9.26,9.34,9.20,16200.00
10/12/2018,9.26,DCL,9.31,9.32,9.20,25530.00
07/12/2018,9.32,DCL,9.35,9.35,9.24,8970.00
06/12/2018,9.23,DCL,9.35,9.50,9.23,8470.00
05/12/2018,9.35,DCL,9.20,9.35,9.20,19690.00
04/12/2018,9.46,DCL,9.30,9.60,9.20,118310.00
03/12/2018,9.20,DCL,9.25,9.27,9.20,3050.00
30/11/2018,9.10,DCL,9.05,9.27,9.05,8550.00
29/11/2018,9.21,DCL,9.21,9.27,9.21,14260.00
28/11/2018,9.24,DCL,9.15,9.27,9.15,54410.00
27/11/2018,9.18,DCL,9.20,9.20,9.18,14330.00
26/11/2018,9.20,DCL,9.39,9.39,9.20,2320.00
23/11/2018,9.16,DCL,9.35,9.35,9.16,10690.00
22/11/2018,9.20,DCL,9.15,9.35,9.12,38480.00
21/11/2018,9.12,DCL,9.11,9.25,9.11,8370.00
20/11/2018,9.11,DCL,9.34,9.34,9.11,53620.00
19/11/2018,9.34,DCL,9.00,9.34,9.00,25700.00
16/11/2018,9.64,DCL,9.50,9.72,9.40,37980.00
15/11/2018,9.50,DCL,9.66,9.75,9.50,24790.00
14/11/2018,9.75,DCL,9.99,9.99,9.75,2730.00
13/11/2018,9.75,DCL,9.81,9.96,9.65,146860.00
12/11/2018,10.00,DCL,10.60,10.75,10.00,51080.00
09/11/2018,10.75,DCL,10.75,10.95,10.70,8500.00
08/11/2018,10.90,DCL,10.70,10.95,10.65,7200.00
07/11/2018,10.75,DCL,10.95,11.00,10.70,15370.00
06/11/2018,10.60,DCL,10.45,11.50,10.45,69460.00
05/11/2018,10.75,DCL,10.65,11.10,10.65,3270.00
02/11/2018,11.10,DCL,10.50,11.35,10.50,43060.00
01/11/2018,11.10,DCL,11.30,11.35,11.10,29240.00
31/10/2018,11.40,DCL,11.15,11.80,11.15,41360.00
30/10/2018,11.50,DCL,11.30,11.80,11.30,17540.00
29/10/2018,11.80,DCL,11.50,11.80,11.25,7590.00
26/10/2018,11.90,DCL,11.45,11.90,11.45,1360.00
25/10/2018,11.95,DCL,11.75,11.95,11.10,21190.00
24/10/2018,11.80,DCL,11.90,12.00,11.80,11490.00
23/10/2018,11.80,DCL,12.35,12.40,11.80,8960.00
22/10/2018,12.05,DCL,11.70,12.05,11.70,12910.00
19/10/2018,11.95,DCL,12.00,12.10,11.90,28100.00
18/10/2018,12.10,DCL,12.20,12.20,12.00,18880.00
17/10/2018,12.20,DCL,12.35,12.35,12.00,64540.00
16/10/2018,12.00,DCL,12.20,12.20,11.95,24200.00
15/10/2018,12.00,DCL,12.75,12.75,12.00,20820.00
12/10/2018,12.70,DCL,11.95,12.70,11.95,48700.00
11/10/2018,12.45,DCL,13.20,13.20,12.45,126130.00
10/10/2018,13.35,DCL,13.40,13.40,13.30,61270.00
09/10/2018,13.40,DCL,13.55,13.55,13.40,92760.00
08/10/2018,13.40,DCL,13.50,13.65,13.35,77170.00
05/10/2018,13.40,DCL,13.70,13.85,13.40,87330.00
04/10/2018,13.65,DCL,13.75,13.75,13.50,151630.00
03/10/2018,13.90,DCL,13.90,14.10,13.75,72610.00
02/10/2018,14.00,DCL,14.35,14.50,14.00,61690.00
01/10/2018,14.40,DCL,14.50,14.50,14.00,120190.00
28/09/2018,14.00,DCL,13.65,14.20,13.60,264740.00
27/09/2018,13.65,DCL,13.40,13.70,13.40,84030.00
26/09/2018,13.40,DCL,13.40,13.60,13.25,108080.00
25/09/2018,13.40,DCL,13.40,13.50,13.30,32010.00
24/09/2018,13.50,DCL,13.45,13.60,13.35,11080.00
21/09/2018,13.35,DCL,13.50,13.60,13.35,77190.00
20/09/2018,13.45,DCL,13.60,13.60,13.45,42660.00
19/09/2018,13.60,DCL,13.30,13.80,13.25,101380.00
18/09/2018,13.70,DCL,13.30,13.70,13.20,65930.00
17/09/2018,13.60,DCL,13.80,13.95,13.50,16400.00
14/09/2018,13.95,DCL,13.80,13.95,13.45,44940.00
13/09/2018,13.45,DCL,13.50,13.70,13.25,20500.00
12/09/2018,13.40,DCL,13.80,13.95,13.40,21340.00
11/09/2018,13.95,DCL,13.65,13.95,13.35,53740.00
10/09/2018,13.70,DCL,13.50,13.75,13.40,132830.00
07/09/2018,13.50,DCL,13.50,13.50,13.25,55580.00
06/09/2018,13.40,DCL,13.60,13.60,13.40,31550.00
05/09/2018,14.00,DCL,13.60,14.00,13.40,38580.00
04/09/2018,13.80,DCL,13.80,13.80,13.55,173440.00
31/08/2018,13.80,DCL,13.85,14.00,13.55,88810.00
30/08/2018,13.85,DCL,13.65,13.85,13.60,33060.00
29/08/2018,14.10,DCL,14.20,14.20,13.65,7010.00
28/08/2018,14.20,DCL,13.90,14.20,13.50,24970.00
27/08/2018,13.80,DCL,13.80,13.80,13.45,6670.00
24/08/2018,13.80,DCL,13.90,14.00,13.50,30330.00
23/08/2018,14.00,DCL,13.80,14.10,13.30,26610.00
22/08/2018,14.20,DCL,14.00,14.20,14.00,630.00
21/08/2018,14.10,DCL,14.00,14.30,13.70,329930.00
20/08/2018,13.80,DCL,14.40,14.40,13.80,21960.00
17/08/2018,14.10,DCL,14.10,14.10,14.10,1220.00
16/08/2018,14.20,DCL,14.00,14.30,13.75,19640.00
15/08/2018,14.50,DCL,14.35,14.50,13.90,28160.00
14/08/2018,14.45,DCL,14.00,14.45,14.00,11770.00
13/08/2018,14.00,DCL,14.00,14.20,13.80,8020.00
10/08/2018,14.60,DCL,14.00,14.60,13.70,48300.00
09/08/2018,14.20,DCL,14.60,14.65,13.80,27040.00
08/08/2018,14.30,DCL,13.90,14.40,13.50,11750.00
07/08/2018,13.90,DCL,14.20,14.75,13.90,41320.00
06/08/2018,14.90,DCL,15.45,15.45,14.00,109460.00
03/08/2018,14.45,DCL,13.10,14.45,13.10,116100.00
02/08/2018,13.55,DCL,14.00,14.00,13.55,1190.00
01/08/2018,13.90,DCL,14.00,14.15,13.50,29360.00
31/07/2018,14.00,DCL,13.90,14.00,13.75,13480.00
30/07/2018,14.00,DCL,14.00,14.00,13.75,28620.00
27/07/2018,14.20,DCL,14.30,14.30,14.00,20980.00
26/07/2018,14.30,DCL,14.30,14.30,14.00,12980.00
25/07/2018,14.30,DCL,13.90,14.50,13.90,38880.00
24/07/2018,13.90,DCL,13.80,14.00,13.70,22990.00
23/07/2018,13.75,DCL,13.70,14.00,13.70,26130.00
20/07/2018,14.00,DCL,13.70,14.00,13.70,9010.00
19/07/2018,14.00,DCL,14.00,14.00,14.00,2160.00
18/07/2018,13.90,DCL,13.50,13.90,13.00,107620.00
17/07/2018,13.90,DCL,14.00,14.00,13.55,18560.00
16/07/2018,14.00,DCL,14.00,14.00,13.95,360.00
13/07/2018,14.00,DCL,13.95,14.00,13.50,7120.00
12/07/2018,13.95,DCL,13.20,14.00,13.20,3170.00
11/07/2018,14.00,DCL,13.95,14.00,13.05,43820.00
10/07/2018,14.00,DCL,14.30,14.35,13.85,20850.00
09/07/2018,14.35,DCL,14.10,14.40,13.80,5320.00
06/07/2018,14.15,DCL,14.30,14.30,13.70,8070.00
05/07/2018,14.45,DCL,14.40,14.45,13.90,10580.00
04/07/2018,14.50,DCL,14.40,14.50,13.80,2350.00
03/07/2018,14.50,DCL,14.20,14.50,13.65,13560.00
02/07/2018,14.60,DCL,14.80,14.80,13.80,23320.00
29/06/2018,14.80,DCL,15.00,15.00,14.40,10720.00
28/06/2018,14.65,DCL,14.90,15.00,14.60,19290.00
27/06/2018,15.00,DCL,15.40,15.40,14.80,13840.00
26/06/2018,15.05,DCL,14.75,15.10,14.75,1530.00
25/06/2018,15.10,DCL,15.25,15.25,14.55,8430.00
22/06/2018,15.25,DCL,15.40,15.40,14.80,5940.00
21/06/2018,15.45,DCL,14.70,15.50,14.65,15080.00
20/06/2018,15.50,DCL,14.25,15.50,14.25,8320.00
19/06/2018,15.10,DCL,15.50,15.50,14.45,59780.00
18/06/2018,15.50,DCL,16.00,16.00,15.50,5110.00
15/06/2018,16.00,DCL,16.30,16.30,16.00,1910.00
14/06/2018,16.30,DCL,16.45,16.45,16.00,16020.00
13/06/2018,16.25,DCL,16.60,16.60,15.75,1620.00
12/06/2018,16.20,DCL,16.00,16.20,15.75,42960.00
11/06/2018,16.20,DCL,16.70,16.70,16.20,19250.00
08/06/2018,16.50,DCL,16.90,16.90,16.25,14610.00
07/06/2018,16.80,DCL,16.90,16.90,16.00,44970.00
06/06/2018,16.90,DCL,16.95,16.95,16.60,9560.00
05/06/2018,16.95,DCL,16.50,17.20,16.00,90140.00
04/06/2018,16.95,DCL,17.20,17.20,16.50,43940.00
01/06/2018,17.00,DCL,17.95,17.95,16.90,42230.00
31/05/2018,17.00,DCL,17.75,17.80,16.90,72450.00
30/05/2018,16.70,DCL,16.60,16.70,15.65,36730.00
29/05/2018,15.65,DCL,14.90,15.65,14.80,89470.00
28/05/2018,14.65,DCL,15.70,15.75,14.65,85720.00
25/05/2018,15.70,DCL,15.75,15.75,15.20,37610.00
24/05/2018,15.75,DCL,15.80,15.80,15.20,51810.00
23/05/2018,16.00,DCL,15.80,16.00,15.20,55180.00
22/05/2018,16.00,DCL,16.40,16.80,15.90,62400.00
21/05/2018,17.00,DCL,17.10,17.10,16.80,10100.00
18/05/2018,17.10,DCL,17.00,17.10,16.80,7360.00
17/05/2018,17.20,DCL,17.00,17.30,17.00,4110.00
16/05/2018,17.30,DCL,17.40,17.45,16.90,67750.00
15/05/2018,17.30,DCL,17.45,17.50,17.00,33050.00
14/05/2018,17.50,DCL,17.40,17.60,16.90,13760.00
11/05/2018,17.30,DCL,17.35,17.35,16.80,17050.00
10/05/2018,17.40,DCL,17.05,17.40,16.90,42350.00
09/05/2018,17.55,DCL,17.00,17.70,17.00,10120.00
08/05/2018,17.30,DCL,17.60,17.60,17.00,45700.00
07/05/2018,17.80,DCL,17.80,17.80,17.70,37970.00
04/05/2018,17.80,DCL,17.90,17.90,17.65,7350.00
03/05/2018,17.70,DCL,17.90,17.90,17.40,10260.00
02/05/2018,17.60,DCL,16.90,17.90,16.90,18080.00
27/04/2018,17.95,DCL,17.50,17.95,17.50,17630.00
26/04/2018,17.95,DCL,17.85,18.00,17.45,19830.00
24/04/2018,18.00,DCL,18.00,18.10,17.00,101100.00
23/04/2018,18.00,DCL,17.70,18.30,17.70,2830.00
20/04/2018,18.25,DCL,18.00,18.55,17.10,30800.00
19/04/2018,18.20,DCL,18.60,18.60,18.00,70870.00
18/04/2018,18.20,DCL,18.00,18.70,18.00,145450.00
17/04/2018,18.20,DCL,18.10,18.45,18.00,37990.00
16/04/2018,18.55,DCL,18.75,18.75,18.00,42020.00
13/04/2018,18.75,DCL,18.30,18.95,18.00,74290.00
12/04/2018,18.20,DCL,18.00,18.40,17.85,194400.00
11/04/2018,18.15,DCL,18.50,19.00,18.00,81610.00
10/04/2018,18.50,DCL,19.20,19.20,18.00,33300.00
09/04/2018,19.20,DCL,19.20,19.20,18.20,49290.00
06/04/2018,19.20,DCL,19.60,19.60,19.00,38430.00
05/04/2018,19.60,DCL,19.30,19.60,19.30,18240.00
04/04/2018,19.60,DCL,19.70,19.70,19.10,35700.00
03/04/2018,19.70,DCL,19.30,19.70,19.00,34570.00
02/04/2018,19.70,DCL,19.80,19.80,19.60,11380.00
30/03/2018,19.80,DCL,19.50,19.80,18.50,94160.00
29/03/2018,19.50,DCL,19.60,19.60,19.35,23200.00
28/03/2018,19.80,DCL,20.00,20.00,19.00,29640.00
27/03/2018,19.90,DCL,20.00,20.00,19.65,10050.00
26/03/2018,19.80,DCL,20.00,20.00,19.50,153970.00
23/03/2018,20.00,DCL,19.80,20.00,19.50,63910.00
22/03/2018,20.00,DCL,20.00,20.00,19.80,32040.00
21/03/2018,20.00,DCL,20.20,20.30,20.00,21400.00
20/03/2018,20.00,DCL,20.00,20.10,19.85,62940.00
19/03/2018,20.00,DCL,20.45,20.45,19.90,131990.00
16/03/2018,20.00,DCL,20.40,20.50,20.00,86080.00
15/03/2018,20.00,DCL,20.00,20.35,19.70,106590.00
14/03/2018,20.00,DCL,19.80,20.25,19.80,49850.00
13/03/2018,20.20,DCL,20.40,20.50,19.80,77900.00
12/03/2018,20.00,DCL,20.40,20.40,19.80,42600.00
09/03/2018,20.40,DCL,20.50,20.60,20.25,27080.00
08/03/2018,20.50,DCL,20.20,20.50,20.00,162500.00
07/03/2018,20.20,DCL,20.10,20.30,20.00,55170.00
06/03/2018,20.30,DCL,20.00,20.40,19.90,44470.00
05/03/2018,20.40,DCL,20.25,20.50,19.95,36360.00
02/03/2018,20.35,DCL,20.40,20.40,19.00,125570.00
01/03/2018,20.40,DCL,20.45,20.45,19.80,105090.00
28/02/2018,20.50,DCL,20.60,20.60,20.00,76910.00
27/02/2018,20.50,DCL,20.50,20.50,20.00,58440.00
26/02/2018,20.50,DCL,20.60,20.80,20.20,48690.00
23/02/2018,20.60,DCL,20.90,20.90,20.35,30410.00
22/02/2018,20.90,DCL,21.00,21.00,20.00,158280.00
21/02/2018,21.40,DCL,21.85,21.85,20.00,14260.00
13/02/2018,21.40,DCL,21.10,21.40,20.55,27470.00
12/02/2018,20.55,DCL,20.50,21.20,20.50,158460.00
09/02/2018,20.50,DCL,19.50,20.50,19.40,25580.00
08/02/2018,20.50,DCL,21.00,21.00,20.35,37280.00
07/02/2018,21.00,DCL,20.10,21.35,20.10,21660.00
06/02/2018,20.00,DCL,20.00,21.10,19.55,217040.00
05/02/2018,21.00,DCL,21.80,22.50,21.00,53350.00
02/02/2018,21.90,DCL,22.20,22.20,21.80,39210.00
01/02/2018,22.20,DCL,22.15,22.50,22.10,103020.00
31/01/2018,22.15,DCL,22.20,22.50,21.90,68720.00
30/01/2018,22.20,DCL,20.70,22.30,20.70,140280.00
29/01/2018,21.85,DCL,22.50,22.50,21.80,122650.00
26/01/2018,22.25,DCL,22.20,22.60,22.20,81120.00
25/01/2018,22.50,DCL,22.70,22.70,22.15,218440.00
22/01/2018,22.70,DCL,23.20,23.20,22.50,88020.00
19/01/2018,23.20,DCL,22.90,23.30,22.90,101750.00
18/01/2018,23.00,DCL,22.90,23.00,22.70,57820.00
17/01/2018,22.90,DCL,23.00,23.40,22.90,303990.00
16/01/2018,23.00,DCL,23.35,23.35,22.85,90290.00
15/01/2018,23.25,DCL,22.80,23.40,22.80,21220.00
12/01/2018,23.20,DCL,23.10,23.50,22.70,132300.00
11/01/2018,23.30,DCL,23.35,23.50,22.80,75400.00
10/01/2018,23.40,DCL,23.70,23.90,23.20,47350.00
09/01/2018,23.70,DCL,23.10,23.85,23.10,121350.00
08/01/2018,23.10,DCL,23.05,23.50,23.00,82340.00
05/01/2018,23.05,DCL,23.90,23.90,23.05,34030.00
04/01/2018,23.90,DCL,22.80,23.90,22.80,191900.00
03/01/2018,22.80,DCL,22.60,23.00,22.50,86350.00
02/01/2018,23.00,DCL,23.00,23.00,22.50,53420.00
29/12/2017,23.00,DCL,22.45,23.10,22.45,100120.00
28/12/2017,22.50,DCL,22.90,23.00,22.20,66990.00
27/12/2017,22.90,DCL,23.50,23.55,22.90,162240.00
26/12/2017,23.80,DCL,23.80,23.85,23.20,85810.00
25/12/2017,23.80,DCL,23.80,23.80,23.30,73230.00
22/12/2017,23.50,DCL,23.00,23.90,23.00,420690.00
21/12/2017,23.50,DCL,23.80,24.05,23.00,524420.00
20/12/2017,24.20,DCL,24.90,24.90,23.80,632920.00
19/12/2017,24.50,DCL,25.00,25.00,24.10,319690.00
18/12/2017,24.70,DCL,24.15,24.90,24.15,636460.00
15/12/2017,24.15,DCL,23.70,24.15,23.70,129800.00
14/12/2017,23.70,DCL,23.50,23.85,23.30,48640.00
13/12/2017,23.55,DCL,23.00,23.55,22.85,63880.00
