DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,0.70,DCS,0.70,0.80,0.70,251545.00
25/04/2019,0.70,DCS,0.80,0.80,0.70,405425.00
24/04/2019,0.70,DCS,0.70,0.80,0.70,364920.00
23/04/2019,0.70,DCS,0.80,0.80,0.70,491176.00
22/04/2019,0.80,DCS,0.70,0.80,0.60,1263920.00
19/04/2019,0.70,DCS,0.60,0.70,0.60,268900.00
18/04/2019,0.60,DCS,0.70,0.70,0.60,362000.00
17/04/2019,0.70,DCS,0.70,0.70,0.60,325567.00
16/04/2019,0.70,DCS,0.70,0.70,0.60,481530.00
12/04/2019,0.70,DCS,0.70,0.80,0.70,842100.00
11/04/2019,0.70,DCS,0.70,0.80,0.70,131000.00
10/04/2019,0.70,DCS,0.70,0.80,0.70,1151266.00
09/04/2019,0.80,DCS,0.90,0.90,0.80,2594824.00
08/04/2019,0.90,DCS,0.90,0.90,0.80,101550.00
05/04/2019,0.90,DCS,0.80,0.90,0.80,245800.00
04/04/2019,0.80,DCS,0.90,0.90,0.80,74800.00
03/04/2019,0.90,DCS,0.90,0.90,0.80,54858.00
02/04/2019,0.90,DCS,0.90,1.00,0.80,246324.00
01/04/2019,0.90,DCS,0.90,1.00,0.80,235800.00
29/03/2019,0.90,DCS,0.90,1.00,0.90,63410.00
28/03/2019,0.90,DCS,0.90,1.00,0.90,70419.00
27/03/2019,0.90,DCS,0.90,1.00,0.80,232700.00
26/03/2019,0.90,DCS,0.80,0.90,0.80,146240.00
25/03/2019,0.90,DCS,0.90,1.00,0.90,172200.00
22/03/2019,1.00,DCS,0.90,1.00,0.80,235810.00
21/03/2019,0.90,DCS,1.00,1.00,0.90,198906.00
20/03/2019,1.00,DCS,0.90,1.00,0.90,252928.00
19/03/2019,0.90,DCS,0.90,1.00,0.90,272400.00
18/03/2019,0.90,DCS,0.90,1.00,0.80,221259.00
15/03/2019,0.90,DCS,1.00,1.00,0.90,177271.00
14/03/2019,1.00,DCS,1.00,1.00,0.80,368800.00
13/03/2019,0.90,DCS,0.90,1.00,0.80,223210.00
12/03/2019,0.90,DCS,0.90,0.90,0.80,366659.00
