DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
04/09/2018,40.00,DGL,40.00,44.00,40.00,51000.00
31/08/2018,40.00,DGL,40.00,40.60,40.00,100700.00
30/08/2018,40.10,DGL,40.00,40.50,39.30,90330.00
29/08/2018,40.00,DGL,38.30,40.40,38.30,102366.00
28/08/2018,38.30,DGL,38.10,38.30,37.50,54810.00
27/08/2018,38.20,DGL,38.00,38.20,38.00,47220.00
24/08/2018,38.10,DGL,38.10,38.20,38.00,47885.00
23/08/2018,38.00,DGL,38.30,38.40,38.00,10410.00
22/08/2018,38.30,DGL,38.20,38.90,37.40,9100.00
21/08/2018,38.20,DGL,37.50,38.90,37.50,35700.00
20/08/2018,38.50,DGL,37.20,39.00,37.20,177206.00
17/08/2018,37.20,DGL,37.40,37.90,37.00,129300.00
16/08/2018,37.40,DGL,36.70,37.40,36.70,100660.00
15/08/2018,36.60,DGL,37.80,37.80,36.50,144906.00
14/08/2018,37.80,DGL,37.80,38.00,37.10,26600.00
13/08/2018,38.00,DGL,38.00,38.10,37.80,198500.00
10/08/2018,38.00,DGL,39.20,39.30,37.00,129729.00
09/08/2018,39.20,DGL,37.80,39.20,37.80,120160.00
08/08/2018,37.80,DGL,37.10,37.80,37.00,103800.00
07/08/2018,37.00,DGL,36.10,37.20,36.10,70109.00
06/08/2018,36.60,DGL,35.90,36.60,35.50,65913.00
03/08/2018,36.30,DGL,36.30,36.30,36.00,52754.00
02/08/2018,36.30,DGL,36.00,36.30,36.00,43810.00
01/08/2018,36.70,DGL,34.50,36.70,34.50,307699.00
31/07/2018,34.50,DGL,33.60,34.80,33.60,157624.00
30/07/2018,33.80,DGL,33.60,33.80,33.40,39732.00
27/07/2018,33.80,DGL,33.60,33.90,33.60,32000.00
26/07/2018,33.70,DGL,33.50,33.70,33.00,47100.00
25/07/2018,33.70,DGL,33.80,34.00,33.00,34100.00
24/07/2018,33.80,DGL,34.50,34.50,33.50,34700.00
23/07/2018,34.50,DGL,33.90,35.00,33.90,155935.00
20/07/2018,34.50,DGL,31.10,34.50,31.00,44550.00
19/07/2018,31.40,DGL,31.10,31.40,31.00,22352.00
18/07/2018,31.50,DGL,30.80,31.50,30.80,56000.00
17/07/2018,31.20,DGL,31.20,31.20,31.20,0.00
16/07/2018,31.20,DGL,30.60,31.20,30.60,10200.00
13/07/2018,31.30,DGL,30.20,31.30,30.20,10500.00
12/07/2018,30.90,DGL,30.20,30.90,30.20,7700.00
11/07/2018,30.20,DGL,30.80,30.80,30.00,12800.00
10/07/2018,31.30,DGL,31.10,31.30,31.00,4000.00
09/07/2018,31.30,DGL,31.20,31.30,31.00,4300.00
06/07/2018,31.50,DGL,31.00,31.50,31.00,5100.00
05/07/2018,31.50,DGL,30.50,31.50,30.50,2600.00
04/07/2018,31.80,DGL,31.50,31.80,31.50,3300.00
03/07/2018,31.80,DGL,31.00,31.80,30.50,13802.00
02/07/2018,31.80,DGL,29.20,31.80,29.20,21666.00
29/06/2018,31.50,DGL,31.70,31.70,31.50,26300.00
28/06/2018,31.70,DGL,31.70,31.70,31.70,300.00
27/06/2018,31.60,DGL,31.80,31.80,31.60,3200.00
26/06/2018,31.80,DGL,32.00,32.00,31.80,800.00
25/06/2018,31.60,DGL,31.50,32.10,31.50,7486.00
22/06/2018,32.00,DGL,32.00,32.00,31.80,5000.00
21/06/2018,32.00,DGL,32.00,32.00,32.00,1000.00
20/06/2018,32.00,DGL,31.80,32.00,31.80,9300.00
19/06/2018,31.80,DGL,32.20,32.20,31.60,33300.00
18/06/2018,32.30,DGL,32.00,32.30,32.00,12200.00
15/06/2018,32.00,DGL,31.50,32.30,31.50,14902.00
14/06/2018,32.20,DGL,31.80,32.20,31.80,30000.00
13/06/2018,31.80,DGL,33.40,33.40,31.60,11800.00
12/06/2018,31.80,DGL,31.50,31.80,31.50,4100.00
11/06/2018,31.80,DGL,31.50,31.80,31.20,13700.00
08/06/2018,32.00,DGL,31.70,32.00,31.70,6700.00
07/06/2018,32.00,DGL,32.00,32.00,31.50,14000.00
06/06/2018,31.60,DGL,31.50,32.00,31.50,19000.00
05/06/2018,31.50,DGL,31.40,31.80,31.30,4200.00
04/06/2018,31.60,DGL,33.10,33.10,31.50,40100.00
01/06/2018,31.50,DGL,31.50,32.00,31.20,37900.00
31/05/2018,31.10,DGL,31.00,31.10,30.90,27300.00
30/05/2018,31.00,DGL,31.20,31.20,31.00,10000.00
29/05/2018,31.60,DGL,31.30,31.60,31.10,7900.00
28/05/2018,31.50,DGL,31.50,31.50,31.50,1600.00
25/05/2018,31.50,DGL,31.50,31.50,31.50,18500.00
24/05/2018,31.50,DGL,31.50,31.50,31.40,32000.00
23/05/2018,31.90,DGL,31.90,31.90,31.90,0.00
22/05/2018,31.90,DGL,31.80,31.90,31.80,7500.00
21/05/2018,32.00,DGL,32.00,32.00,32.00,40700.00
18/05/2018,32.00,DGL,32.00,32.20,32.00,32600.00
17/05/2018,32.10,DGL,32.00,32.50,32.00,48500.00
16/05/2018,32.00,DGL,35.20,35.20,32.00,14500.00
15/05/2018,32.00,DGL,32.00,32.20,32.00,23900.00
14/05/2018,32.30,DGL,32.10,32.30,32.00,11900.00
11/05/2018,32.30,DGL,32.30,32.50,32.30,29800.00
10/05/2018,32.30,DGL,32.10,32.30,31.20,21900.00
09/05/2018,32.10,DGL,32.20,32.30,32.10,6000.00
08/05/2018,32.20,DGL,32.20,32.40,32.20,4400.00
07/05/2018,32.60,DGL,35.80,35.80,30.50,13100.00
04/05/2018,32.60,DGL,31.50,33.00,31.00,17320.00
03/05/2018,32.70,DGL,32.50,32.70,32.20,25800.00
02/05/2018,33.00,DGL,32.20,34.00,32.20,24400.00
27/04/2018,32.20,DGL,35.60,35.60,32.20,11600.00
26/04/2018,32.40,DGL,33.30,33.30,32.40,15600.00
24/04/2018,33.30,DGL,33.00,33.30,33.00,500.00
23/04/2018,33.50,DGL,33.00,34.40,33.00,57200.00
20/04/2018,32.80,DGL,32.20,32.80,32.00,44100.00
19/04/2018,32.00,DGL,32.00,32.70,32.00,11000.00
18/04/2018,32.50,DGL,31.50,32.70,31.50,42200.00
17/04/2018,31.50,DGL,31.60,31.60,31.10,42000.00
16/04/2018,31.50,DGL,31.50,31.50,31.50,10500.00
13/04/2018,31.40,DGL,31.50,31.60,31.40,11500.00
12/04/2018,31.00,DGL,31.00,31.40,31.00,20400.00
11/04/2018,30.90,DGL,30.80,30.90,30.80,39000.00
10/04/2018,31.40,DGL,31.00,31.40,31.00,8900.00
09/04/2018,31.00,DGL,30.90,31.00,30.80,18500.00
06/04/2018,31.20,DGL,31.30,31.30,31.20,27900.00
05/04/2018,31.20,DGL,31.00,31.50,31.00,36500.00
04/04/2018,30.90,DGL,31.00,31.00,30.70,63243.00
03/04/2018,31.00,DGL,30.50,31.00,30.50,6300.00
02/04/2018,31.00,DGL,31.00,31.00,30.80,14900.00
30/03/2018,31.00,DGL,31.00,31.00,29.70,80600.00
29/03/2018,32.80,DGL,32.80,32.80,32.80,0.00
28/03/2018,32.80,DGL,32.80,32.80,32.80,0.00
27/03/2018,32.80,DGL,32.80,32.80,32.80,0.00
26/03/2018,32.80,DGL,33.90,33.90,32.00,1510.00
23/03/2018,32.00,DGL,32.00,32.00,32.00,300.00
22/03/2018,32.30,DGL,32.00,32.30,32.00,600.00
21/03/2018,32.00,DGL,32.00,32.00,32.00,4700.00
20/03/2018,33.50,DGL,32.50,33.50,31.70,9200.00
19/03/2018,34.40,DGL,35.50,35.50,32.50,9000.00
16/03/2018,32.70,DGL,33.40,33.40,32.70,4700.00
15/03/2018,33.40,DGL,33.80,33.80,33.40,3300.00
14/03/2018,33.40,DGL,33.80,33.80,33.40,9500.00
13/03/2018,33.90,DGL,35.00,35.00,33.30,33600.00
12/03/2018,35.00,DGL,35.00,35.30,35.00,95600.00
09/03/2018,34.50,DGL,33.30,36.30,33.30,148400.00
08/03/2018,33.00,DGL,33.80,33.80,32.90,23900.00
07/03/2018,35.00,DGL,36.00,36.00,32.10,11500.00
06/03/2018,33.90,DGL,32.50,33.90,32.50,900.00
