DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,22.80,DGW,22.60,23.00,22.50,627870.00
25/04/2019,22.60,DGW,22.70,22.80,22.45,239040.00
24/04/2019,22.70,DGW,22.50,22.70,22.40,239790.00
23/04/2019,22.50,DGW,22.30,22.50,22.20,214660.00
22/04/2019,22.30,DGW,22.50,22.50,22.15,145740.00
19/04/2019,22.30,DGW,22.10,22.35,22.00,128570.00
18/04/2019,22.00,DGW,22.40,22.70,21.90,224030.00
17/04/2019,22.50,DGW,22.60,22.65,22.20,266830.00
16/04/2019,22.60,DGW,22.40,22.60,21.90,221870.00
12/04/2019,22.60,DGW,22.70,22.70,22.40,105170.00
11/04/2019,22.70,DGW,22.65,22.80,22.50,370500.00
10/04/2019,22.65,DGW,22.55,22.80,22.40,367900.00
09/04/2019,22.60,DGW,22.90,22.90,22.50,303750.00
08/04/2019,22.90,DGW,22.40,22.90,22.40,336050.00
05/04/2019,22.35,DGW,22.30,22.80,22.00,238460.00
04/04/2019,21.80,DGW,22.35,22.35,21.80,186080.00
03/04/2019,22.35,DGW,22.50,22.70,22.30,37310.00
02/04/2019,22.55,DGW,23.00,23.00,22.50,82370.00
01/04/2019,22.75,DGW,22.80,23.00,22.60,334770.00
29/03/2019,22.75,DGW,23.10,23.10,22.70,228640.00
28/03/2019,23.10,DGW,23.00,23.15,22.80,145160.00
27/03/2019,23.15,DGW,22.90,23.30,22.90,160360.00
26/03/2019,23.00,DGW,22.70,23.00,22.50,300340.00
25/03/2019,22.70,DGW,23.10,23.10,22.50,147490.00
22/03/2019,23.30,DGW,23.20,23.30,23.05,248560.00
21/03/2019,23.30,DGW,23.50,23.60,23.15,269180.00
20/03/2019,23.55,DGW,23.80,23.80,23.40,210920.00
19/03/2019,23.80,DGW,23.90,24.00,23.60,400230.00
18/03/2019,23.90,DGW,23.40,23.90,23.40,571830.00
15/03/2019,23.30,DGW,23.20,23.40,23.10,216690.00
14/03/2019,23.20,DGW,22.80,23.20,22.75,186860.00
13/03/2019,22.80,DGW,22.70,23.50,22.65,264660.00
12/03/2019,22.70,DGW,22.65,22.90,22.50,276550.00
11/03/2019,22.70,DGW,23.00,23.00,22.50,241210.00
08/03/2019,22.95,DGW,23.10,23.15,22.75,213710.00
07/03/2019,23.15,DGW,23.40,23.45,23.10,147170.00
06/03/2019,23.25,DGW,23.20,23.50,23.10,335400.00
05/03/2019,23.20,DGW,23.20,23.20,23.05,227140.00
04/03/2019,23.20,DGW,23.20,23.40,22.80,434850.00
01/03/2019,23.20,DGW,23.75,23.95,23.20,425660.00
28/02/2019,23.40,DGW,23.80,23.95,23.40,271000.00
27/02/2019,23.90,DGW,24.00,24.40,23.80,638900.00
26/02/2019,24.00,DGW,24.20,24.40,23.85,372180.00
25/02/2019,24.25,DGW,24.30,24.50,23.90,457960.00
22/02/2019,24.30,DGW,23.70,24.50,23.70,962200.00
21/02/2019,23.70,DGW,23.80,23.90,23.50,556260.00
20/02/2019,23.70,DGW,23.80,24.00,23.55,414940.00
19/02/2019,23.90,DGW,24.10,24.30,23.80,367070.00
18/02/2019,24.10,DGW,23.80,24.20,23.75,487780.00
15/02/2019,23.90,DGW,23.90,24.20,23.60,700010.00
14/02/2019,23.90,DGW,23.90,24.20,23.75,556190.00
13/02/2019,24.00,DGW,24.30,24.40,23.95,572380.00
12/02/2019,24.20,DGW,24.00,24.20,23.65,1151470.00
11/02/2019,24.00,DGW,24.05,24.20,23.70,333150.00
01/02/2019,24.00,DGW,23.40,24.00,23.35,824070.00
31/01/2019,23.30,DGW,22.75,23.40,22.75,655360.00
30/01/2019,22.70,DGW,22.60,22.80,22.40,309580.00
29/01/2019,22.80,DGW,22.70,22.90,22.40,139680.00
28/01/2019,22.80,DGW,23.00,23.00,22.60,159290.00
25/01/2019,22.80,DGW,23.20,23.20,22.75,140380.00
24/01/2019,23.00,DGW,23.00,23.20,22.75,135560.00
23/01/2019,23.10,DGW,23.00,23.20,22.50,298310.00
22/01/2019,23.00,DGW,23.30,23.50,23.00,465320.00
21/01/2019,23.30,DGW,22.60,23.30,22.40,539810.00
18/01/2019,22.60,DGW,22.60,22.80,22.45,197670.00
17/01/2019,22.70,DGW,22.80,22.90,22.45,397290.00
16/01/2019,22.80,DGW,22.65,23.00,22.50,420300.00
15/01/2019,22.55,DGW,22.40,22.60,22.10,481010.00
14/01/2019,22.50,DGW,22.60,22.70,22.30,118850.00
11/01/2019,22.70,DGW,22.40,22.70,22.35,226560.00
10/01/2019,22.60,DGW,22.30,22.60,22.20,287750.00
09/01/2019,22.25,DGW,22.25,22.50,22.00,324780.00
08/01/2019,22.30,DGW,22.30,22.45,22.25,96180.00
07/01/2019,22.45,DGW,22.20,22.50,21.80,532100.00
